economy_code,lab_eff_periods,high_eff,low_eff,change_eff,high_sav,low_sav,change_sav,high_delta,low_delta,change_del,alpha,cap_compare,notes
01_AUS,10,0.015,0.012,0.002,0.25,0.22,0.002,0.046,0.044,0.0005,0.4,0.05,
02_BD,10,0.015,0.012,0.002,0.25,0.22,0.002,0.046,0.044,0.0005,0.4,0.2,
03_CDA,10,0.015,0.012,0.002,0.25,0.22,0.002,0.046,0.044,0.0005,0.4,0.05,
04_CHL,10,0.015,0.012,0.002,0.25,0.22,0.002,0.046,0.044,0.0005,0.4,0.05,
05_PRC,10,0.015,0.012,0.004,0.25,0.22,0.02,0.046,0.044,0.0005,0.4,0.1,
06_HKC,10,0.015,0.012,0.002,0.25,0.24,0.01,0.046,0.044,0.0005,0.4,0.05,
07_INA,5,0.03,0.012,0.002,0.25,0.22,0.002,0.046,0.04,0.0005,0.4,0.04,
08_JPN,10,0.015,0.012,0.002,0.25,0.22,0.002,0.046,0.044,0.0005,0.4,0.0001,
09_ROK,10,0.0125,0.01,0.002,0.25,0.22,0.002,0.046,0.044,0.0005,0.4,0.05,
10_MAS,10,0.025,0.012,0.002,0.25,0.22,0.002,0.046,0.044,0.0005,0.4,0.1,
11_MEX,10,0.015,0.012,0.002,0.25,0.24,0.002,0.046,0.044,0.0005,0.4,0.01,
12_NZ,10,0.015,0.012,0.002,0.25,0.22,0.002,0.046,0.044,0.0005,0.4,0.05,
13_PNG,1,0.08,0.06,0.013,0.25,0.22,0.002,0.046,0.044,0.0005,0.4,0.05,
14_PE,10,0.015,0.012,0.002,0.25,0.22,0.002,0.046,0.044,0.0005,0.4,0.05,
15_PHL,10,0.015,0.012,0.002,0.25,0.22,0.002,0.046,0.044,0.0005,0.4,0.05,
16_RUS,10,0.015,0.012,0.002,0.25,0.22,0.002,0.046,0.044,0.0005,0.4,0.0,
17_SGP,10,0.015,0.012,0.002,0.25,0.22,0.002,0.046,0.044,0.0005,0.4,0.05,
18_CT,10,0.015,0.012,0.002,0.25,0.22,0.002,0.046,0.044,0.0005,0.4,0.05,
19_THA,10,0.02,0.016,0.002,0.34,0.22,0.002,0.046,0.044,0.0005,0.4,0.001,
20_USA,10,0.015,0.012,0.002,0.25,0.22,0.002,0.046,0.044,0.0005,0.4,0.05,
21_VN,10,0.015,0.01,0.005,0.25,0.22,0.01,0.046,0.044,0.0005,0.4,0.05,
