economy,variant,extra_annual_growth,notes
Australia,Medium,0,No extra compounding growth (0.0015) applied on top of UN DESA Medium from 2023 like 9th Outlook
Brunei Darussalam,Medium,0,
Canada,Medium,0,
Chile,Medium,0,
China,Medium,0,
"Hong Kong, China",Medium,0,
Indonesia,Medium,0,
Japan,Medium,0,
Korea,Medium,0,
Malaysia,Medium,0,
Mexico,Medium,0,
New Zealand,Medium,0,
Papua New Guinea,Medium,0,
Peru,Medium,0,
Philippines,Medium,0,
Russia,Medium,0,
Singapore,Medium,0,
Chinese Taipei,Medium,0,
Thailand,Medium,0,
United States of America,Medium,0,
Viet Nam,Medium,0,
