economy_code,economy,year,variable,value,units,source
01_AUS,Australia,1980,GDP_per_capita,26751.46353916993,USD PPP 2017,9th Outlook
01_AUS,Australia,1981,GDP_per_capita,27471.60975548485,USD PPP 2017,9th Outlook
01_AUS,Australia,1982,GDP_per_capita,27044.141276644485,USD PPP 2017,9th Outlook
01_AUS,Australia,1983,GDP_per_capita,26504.72901672476,USD PPP 2017,9th Outlook
01_AUS,Australia,1984,GDP_per_capita,27829.764713405704,USD PPP 2017,9th Outlook
01_AUS,Australia,1985,GDP_per_capita,28981.657871504118,USD PPP 2017,9th Outlook
01_AUS,Australia,1986,GDP_per_capita,29287.509349036747,USD PPP 2017,9th Outlook
01_AUS,Australia,1987,GDP_per_capita,30268.62283089771,USD PPP 2017,9th Outlook
01_AUS,Australia,1988,GDP_per_capita,31061.210024142765,USD PPP 2017,9th Outlook
01_AUS,Australia,1989,GDP_per_capita,31961.516268019823,USD PPP 2017,9th Outlook
01_AUS,Australia,1990,GDP_per_capita,31930.775870308305,USD PPP 2017,9th Outlook
01_AUS,Australia,1991,GDP_per_capita,31173.286152249188,USD PPP 2017,9th Outlook
01_AUS,Australia,1992,GDP_per_capita,31589.532780076446,USD PPP 2017,9th Outlook
01_AUS,Australia,1993,GDP_per_capita,32505.74163629005,USD PPP 2017,9th Outlook
01_AUS,Australia,1994,GDP_per_capita,33766.038819709574,USD PPP 2017,9th Outlook
01_AUS,Australia,1995,GDP_per_capita,34406.482711086814,USD PPP 2017,9th Outlook
01_AUS,Australia,1996,GDP_per_capita,35377.28038584378,USD PPP 2017,9th Outlook
01_AUS,Australia,1997,GDP_per_capita,36586.989199447446,USD PPP 2017,9th Outlook
01_AUS,Australia,1998,GDP_per_capita,37897.40127028224,USD PPP 2017,9th Outlook
01_AUS,Australia,1999,GDP_per_capita,39134.53308425769,USD PPP 2017,9th Outlook
01_AUS,Australia,2000,GDP_per_capita,39910.39490273478,USD PPP 2017,9th Outlook
01_AUS,Australia,2001,GDP_per_capita,40482.562103775366,USD PPP 2017,9th Outlook
01_AUS,Australia,2002,GDP_per_capita,41667.04097755838,USD PPP 2017,9th Outlook
01_AUS,Australia,2003,GDP_per_capita,42432.93377389523,USD PPP 2017,9th Outlook
01_AUS,Australia,2004,GDP_per_capita,43681.95346669169,USD PPP 2017,9th Outlook
01_AUS,Australia,2005,GDP_per_capita,44475.23765564395,USD PPP 2017,9th Outlook
01_AUS,Australia,2006,GDP_per_capita,45040.84863316272,USD PPP 2017,9th Outlook
01_AUS,Australia,2007,GDP_per_capita,46260.91766316159,USD PPP 2017,9th Outlook
01_AUS,Australia,2008,GDP_per_capita,46544.37511385019,USD PPP 2017,9th Outlook
01_AUS,Australia,2009,GDP_per_capita,46475.00866976796,USD PPP 2017,9th Outlook
01_AUS,Australia,2010,GDP_per_capita,46752.58279820643,USD PPP 2017,9th Outlook
01_AUS,Australia,2011,GDP_per_capita,47371.599154461685,USD PPP 2017,9th Outlook
01_AUS,Australia,2012,GDP_per_capita,48394.69795181188,USD PPP 2017,9th Outlook
01_AUS,Australia,2013,GDP_per_capita,48615.15968835516,USD PPP 2017,9th Outlook
01_AUS,Australia,2014,GDP_per_capita,49059.39146580045,USD PPP 2017,9th Outlook
01_AUS,Australia,2015,GDP_per_capita,49465.5868395146,USD PPP 2017,9th Outlook
01_AUS,Australia,2016,GDP_per_capita,50044.59393554783,USD PPP 2017,9th Outlook
01_AUS,Australia,2017,GDP_per_capita,50407.263453060405,USD PPP 2017,9th Outlook
01_AUS,Australia,2018,GDP_per_capita,50981.31840833452,USD PPP 2017,9th Outlook
01_AUS,Australia,2019,GDP_per_capita,51202.65604578374,USD PPP 2017,9th Outlook
01_AUS,Australia,2020,GDP_per_capita,49374.83349807406,USD PPP 2017,9th Outlook
01_AUS,Australia,2021,GDP_per_capita,51291.91772366191,USD PPP 2017,9th Outlook
01_AUS,Australia,2022,GDP_per_capita,52703.90036671681,USD PPP 2017,9th Outlook
01_AUS,Australia,2023,GDP_per_capita,53069.51351424776,USD PPP 2017,9th Outlook
01_AUS,Australia,2024,GDP_per_capita,53321.53899932239,USD PPP 2017,9th Outlook
01_AUS,Australia,2025,GDP_per_capita,53694.63948520898,USD PPP 2017,9th Outlook
01_AUS,Australia,2026,GDP_per_capita,54155.04534682693,USD PPP 2017,9th Outlook
01_AUS,Australia,2027,GDP_per_capita,54701.78253386021,USD PPP 2017,9th Outlook
01_AUS,Australia,2028,GDP_per_capita,55178.14189309241,USD PPP 2017,9th Outlook
01_AUS,Australia,2029,GDP_per_capita,55630.983068792986,USD PPP 2017,9th Outlook
01_AUS,Australia,2030,GDP_per_capita,56132.63110490592,USD PPP 2017,9th Outlook
01_AUS,Australia,2031,GDP_per_capita,56632.72081487039,USD PPP 2017,9th Outlook
01_AUS,Australia,2032,GDP_per_capita,57203.650262948446,USD PPP 2017,9th Outlook
01_AUS,Australia,2033,GDP_per_capita,57720.69463901829,USD PPP 2017,9th Outlook
