economy_code,economy,variable,year,value,percent,source
01_AUS,Australia,"Gross domestic product per capita, constant prices",1980,30802.189,,IMF
01_AUS,Australia,"Gross domestic product per capita, constant prices",1981,31567.091,0.02483271562290601,IMF
01_AUS,Australia,"Gross domestic product per capita, constant prices",1982,31070.984,-0.015715955581716456,IMF
01_AUS,Australia,"Gross domestic product per capita, constant prices",1983,30535.176,-0.017244642139431443,IMF
01_AUS,Australia,"Gross domestic product per capita, constant prices",1984,32071.528,0.050314168813043736,IMF
01_AUS,Australia,"Gross domestic product per capita, constant prices",1985,33346.539,0.03975523087019739,IMF
01_AUS,Australia,"Gross domestic product per capita, constant prices",1986,33658.66,0.0093599218797491,IMF
01_AUS,Australia,"Gross domestic product per capita, constant prices",1987,34754.441,0.03255569294796623,IMF
01_AUS,Australia,"Gross domestic product per capita, constant prices",1988,35597.662,0.024262251837110504,IMF
01_AUS,Australia,"Gross domestic product per capita, constant prices",1989,36697.118,0.03088562389294003,IMF
01_AUS,Australia,"Gross domestic product per capita, constant prices",1990,36736.918,0.0010845538333554838,IMF
01_AUS,Australia,"Gross domestic product per capita, constant prices",1991,35936.873,-0.021777684235786965,IMF
01_AUS,Australia,"Gross domestic product per capita, constant prices",1992,36497.835,0.015609649732184483,IMF
01_AUS,Australia,"Gross domestic product per capita, constant prices",1993,37581.184,0.029682555143339284,IMF
01_AUS,Australia,"Gross domestic product per capita, constant prices",1994,39029.571,0.03854021735983637,IMF
01_AUS,Australia,"Gross domestic product per capita, constant prices",1995,39682.821,0.01673730925712702,IMF
01_AUS,Australia,"Gross domestic product per capita, constant prices",1996,40783.883,0.02774656569904632,IMF
01_AUS,Australia,"Gross domestic product per capita, constant prices",1997,42295.124,0.03705485816541798,IMF
01_AUS,Australia,"Gross domestic product per capita, constant prices",1998,43814.647,0.035926670885277234,IMF
01_AUS,Australia,"Gross domestic product per capita, constant prices",1999,45234.949,0.03241614613487598,IMF
01_AUS,Australia,"Gross domestic product per capita, constant prices",2000,46100.477,0.019134054953836577,IMF
01_AUS,Australia,"Gross domestic product per capita, constant prices",2001,46692.792,0.012848348619039385,IMF
01_AUS,Australia,"Gross domestic product per capita, constant prices",2002,48086.175,0.029841501017972893,IMF
01_AUS,Australia,"Gross domestic product per capita, constant prices",2003,48983.439,0.018659500365749482,IMF
01_AUS,Australia,"Gross domestic product per capita, constant prices",2004,50436.483,0.02966398500521783,IMF
01_AUS,Australia,"Gross domestic product per capita, constant prices",2005,51290.522,0.016932961007610325,IMF
01_AUS,Australia,"Gross domestic product per capita, constant prices",2006,51836.183,0.010638632221368294,IMF
01_AUS,Australia,"Gross domestic product per capita, constant prices",2007,53094.676,0.024278272958485392,IMF
01_AUS,Australia,"Gross domestic product per capita, constant prices",2008,53342.822,0.004673651271551282,IMF
01_AUS,Australia,"Gross domestic product per capita, constant prices",2009,53427.136,0.0015806062903833684,IMF
01_AUS,Australia,"Gross domestic product per capita, constant prices",2010,53967.245,0.010109263577220418,IMF
01_AUS,Australia,"Gross domestic product per capita, constant prices",2011,54590.585,0.01155033946980244,IMF
01_AUS,Australia,"Gross domestic product per capita, constant prices",2012,55702.019,0.02035944476506346,IMF
01_AUS,Australia,"Gross domestic product per capita, constant prices",2013,56047.797,0.006207638541791516,IMF
01_AUS,Australia,"Gross domestic product per capita, constant prices",2014,56648.962,0.010725934509076218,IMF
01_AUS,Australia,"Gross domestic product per capita, constant prices",2015,57131.353,0.00851544287784134,IMF
01_AUS,Australia,"Gross domestic product per capita, constant prices",2016,57712.184,0.010166589263166825,IMF
01_AUS,Australia,"Gross domestic product per capita, constant prices",2017,58197.531,0.0084097839721331,IMF
01_AUS,Australia,"Gross domestic product per capita, constant prices",2018,58899.514,0.012062075279447804,IMF
01_AUS,Australia,"Gross domestic product per capita, constant prices",2019,59181.233,0.004783044559586669,IMF
01_AUS,Australia,"Gross domestic product per capita, constant prices",2020,57722.937,-0.02464118988531383,IMF
01_AUS,Australia,"Gross domestic product per capita, constant prices",2021,60478.221,0.047732914213980404,IMF
01_AUS,Australia,"Gross domestic product per capita, constant prices",2022,61714.638,0.020444004131669136,IMF
01_AUS,Australia,"Gross domestic product per capita, constant prices",2023,61544.286,-0.00276031757652051,IMF
01_AUS,Australia,"Gross domestic product per capita, constant prices",2024,61183.106,-0.0058686195498312,IMF
01_AUS,Australia,"Gross domestic product per capita, constant prices",2025,61618.798,0.007121116080638368,IMF
01_AUS,Australia,"Gross domestic product per capita, constant prices",2026,62080.446,0.007491999438223429,IMF
01_AUS,Australia,"Gross domestic product per capita, constant prices",2027,62385.671,0.004916604497332333,IMF
01_AUS,Australia,"Gross domestic product per capita, constant prices",2028,62789.615,0.0064749483899915194,IMF
01_AUS,Australia,"Gross domestic product per capita, constant prices",2029,63321.459,0.008470254197290528,IMF
01_AUS,Australia,"Gross domestic product per capita, constant prices",2030,63984.048,0.010463893448822814,IMF
01_AUS,Australia,"Gross domestic product per capita, constant prices",2031,64695.349,0.011116848999613183,IMF
01_AUS,Australia,Gross national savings,1980,21.709,,IMF
01_AUS,Australia,Gross national savings,1981,20.854,-0.039384587037634144,IMF
01_AUS,Australia,Gross national savings,1982,18.743,-0.10122758223841954,IMF
01_AUS,Australia,Gross national savings,1983,16.927,-0.09688950541535502,IMF
01_AUS,Australia,Gross national savings,1984,20.118,0.18851538961422576,IMF
01_AUS,Australia,Gross national savings,1985,18.318,-0.08947211452430648,IMF
01_AUS,Australia,Gross national savings,1986,17.597,-0.03936019216071629,IMF
01_AUS,Australia,Gross national savings,1987,20.155,0.1453656873330682,IMF
01_AUS,Australia,Gross national savings,1988,25.215,0.2510543289506326,IMF
01_AUS,Australia,Gross national savings,1989,25.326,0.004402141582391383,IMF
01_AUS,Australia,Gross national savings,1990,22.946,-0.09397457158651179,IMF
01_AUS,Australia,Gross national savings,1991,18.315,-0.20182166826462133,IMF
01_AUS,Australia,Gross national savings,1992,19.228,0.04984984984984986,IMF
01_AUS,Australia,Gross national savings,1993,21.066,0.09558976492614923,IMF
01_AUS,Australia,Gross national savings,1994,21.564,0.023639988607234486,IMF
01_AUS,Australia,Gross national savings,1995,20.548,-0.04711556297532937,IMF
01_AUS,Australia,Gross national savings,1996,21.393,0.04112322367140364,IMF
01_AUS,Australia,Gross national savings,1997,21.716,0.015098396671808567,IMF
01_AUS,Australia,Gross national savings,1998,21.508,-0.009578191195432018,IMF
01_AUS,Australia,Gross national savings,1999,20.51,-0.04640133903663746,IMF
01_AUS,Australia,Gross national savings,2000,21.165,0.03193564115065817,IMF
01_AUS,Australia,Gross national savings,2001,21.099,-0.003118355776045356,IMF
01_AUS,Australia,Gross national savings,2002,21.428,0.015593156073747672,IMF
01_AUS,Australia,Gross national savings,2003,21.417,-0.0005133470225872072,IMF
01_AUS,Australia,Gross national savings,2004,20.964,-0.021151421767754752,IMF
01_AUS,Australia,Gross national savings,2005,21.656,0.03300896775424533,IMF
01_AUS,Australia,Gross national savings,2006,21.096,-0.025858884373845537,IMF
01_AUS,Australia,Gross national savings,2007,21.196,0.004740235115661795,IMF
01_AUS,Australia,Gross national savings,2008,23.944,0.12964710322702389,IMF
01_AUS,Australia,Gross national savings,2009,22.053,-0.07897594386902762,IMF
01_AUS,Australia,Gross national savings,2010,22.967,0.04144560830725963,IMF
01_AUS,Australia,Gross national savings,2011,23.743,0.03378760830757166,IMF
01_AUS,Australia,Gross national savings,2012,23.674,-0.0029061196984373483,IMF
01_AUS,Australia,Gross national savings,2013,23.692,0.0007603277857566315,IMF
01_AUS,Australia,Gross national savings,2014,23.105,-0.02477629579604934,IMF
01_AUS,Australia,Gross national savings,2015,21.499,-0.0695087643367237,IMF
01_AUS,Australia,Gross national savings,2016,20.655,-0.03925763989022735,IMF
01_AUS,Australia,Gross national savings,2017,21.698,0.05049624788186868,IMF
01_AUS,Australia,Gross national savings,2018,21.558,-0.006452207576735258,IMF
01_AUS,Australia,Gross national savings,2019,22.614,0.048984135819649444,IMF
01_AUS,Australia,Gross national savings,2020,24.105,0.06593260811886448,IMF
01_AUS,Australia,Gross national savings,2021,25.68,0.06533914125700058,IMF
01_AUS,Australia,Gross national savings,2022,24.35,-0.051791277258566915,IMF
01_AUS,Australia,Gross national savings,2023,23.336,-0.04164271047227941,IMF
01_AUS,Australia,Gross national savings,2024,22.381,-0.04092389441206712,IMF
01_AUS,Australia,Gross national savings,2025,22.032,-0.015593583843438674,IMF
01_AUS,Australia,Gross national savings,2026,22.113,0.003676470588235281,IMF
01_AUS,Australia,Gross national savings,2027,22.334,0.009994121105232123,IMF
01_AUS,Australia,Gross national savings,2028,22.454,0.005372973941076387,IMF
01_AUS,Australia,Gross national savings,2029,22.58,0.005611472343457713,IMF
01_AUS,Australia,Gross national savings,2030,22.604,0.0010628875110718639,IMF
01_AUS,Australia,Gross national savings,2031,22.626,0.000973279065652255,IMF
01_AUS,Australia,Population,1980,14.802,,IMF
01_AUS,Australia,Population,1981,15.039,0.016011349817592224,IMF
01_AUS,Australia,Population,1982,15.289,0.016623445707826257,IMF
01_AUS,Australia,Population,1983,15.483,0.012688861272810659,IMF
01_AUS,Australia,Population,1984,15.677,0.012529871471936849,IMF
01_AUS,Australia,Population,1985,15.901,0.014288448044906588,IMF
01_AUS,Australia,Population,1986,16.139,0.014967612099867855,IMF
01_AUS,Australia,Population,1987,16.395,0.015862197162153757,IMF
01_AUS,Australia,Population,1988,16.687,0.01781030802073813,IMF
01_AUS,Australia,Population,1989,16.937,0.014981722298795574,IMF
01_AUS,Australia,Population,1990,17.17,0.013756863671252395,IMF
01_AUS,Australia,Population,1991,17.379,0.01217239370995915,IMF
01_AUS,Australia,Population,1992,17.557,0.010242246389320364,IMF
01_AUS,Australia,Population,1993,17.719,0.009227088910406245,IMF
01_AUS,Australia,Population,1994,17.893,0.009819967266775809,IMF
01_AUS,Australia,Population,1995,18.12,0.012686525456882647,IMF
01_AUS,Australia,Population,1996,18.33,0.011589403973509826,IMF
01_AUS,Australia,Population,1997,18.51,0.00981996726677603,IMF
01_AUS,Australia,Population,1998,18.706,0.010588870880605006,IMF
01_AUS,Australia,Population,1999,18.919,0.011386720838233666,IMF
01_AUS,Australia,Population,2000,19.141,0.011734235424705197,IMF
01_AUS,Australia,Population,2001,19.386,0.012799749229402968,IMF
01_AUS,Australia,Population,2002,19.605,0.011296812132466805,IMF
01_AUS,Australia,Population,2003,19.827,0.011323641928079553,IMF
01_AUS,Australia,Population,2004,20.046,0.0110455439552124,IMF
01_AUS,Australia,Population,2005,20.312,0.01326948019555041,IMF
01_AUS,Australia,Population,2006,20.628,0.015557306025994366,IMF
01_AUS,Australia,Population,2007,21.016,0.018809385301531867,IMF
01_AUS,Australia,Population,2008,21.476,0.02188808526836694,IMF
01_AUS,Australia,Population,2009,21.866,0.018159806295399594,IMF
01_AUS,Australia,Population,2010,22.172,0.013994329095399216,IMF
01_AUS,Australia,Population,2011,22.522,0.015785675626916795,IMF
01_AUS,Australia,Population,2012,22.928,0.018026818222182772,IMF
01_AUS,Australia,Population,2013,23.298,0.016137473831123295,IMF
01_AUS,Australia,Population,2014,23.64,0.014679371619881643,IMF
01_AUS,Australia,Population,2015,23.985,0.014593908629441543,IMF
01_AUS,Australia,Population,2016,24.385,0.01667708984782168,IMF
01_AUS,Australia,Population,2017,24.759,0.015337297518966508,IMF
01_AUS,Australia,Population,2018,25.146,0.015630679752817178,IMF
01_AUS,Australia,Population,2019,25.52,0.014873140857392775,IMF
01_AUS,Australia,Population,2020,25.631,0.004349529780564243,IMF
01_AUS,Australia,Population,2021,25.774,0.005579181459950844,IMF
01_AUS,Australia,Population,2022,26.32,0.021184139054861495,IMF
01_AUS,Australia,Population,2023,26.957,0.024202127659574524,IMF
01_AUS,Australia,Population,2024,27.388,0.01598842601179662,IMF
01_AUS,Australia,Population,2025,27.73,0.012487220680589939,IMF
01_AUS,Australia,Population,2026,28.077,0.01251352326000732,IMF
01_AUS,Australia,Population,2027,28.414,0.01200270684189908,IMF
01_AUS,Australia,Population,2028,28.755,0.012001126205391621,IMF
01_AUS,Australia,Population,2029,29.1,0.011997913406364136,IMF
01_AUS,Australia,Population,2030,29.449,0.011993127147766236,IMF
01_AUS,Australia,Population,2031,29.803,0.0120207816903799,IMF
01_AUS,Australia,Real GDP PPP 2021 USD,1980,455934.00157799997,,IMF
01_AUS,Australia,Real GDP PPP 2021 USD,1981,474737.481549,0.041241670737257374,IMF
01_AUS,Australia,Real GDP PPP 2021 USD,1982,475044.274376,0.0006462367917505762,IMF
01_AUS,Australia,Real GDP PPP 2021 USD,1983,472776.130008,-0.004774595738427423,IMF
01_AUS,Australia,Real GDP PPP 2021 USD,1984,502785.34445599996,0.06347447035342535,IMF
01_AUS,Australia,Real GDP PPP 2021 USD,1985,530243.316639,0.05461171946590593,IMF
01_AUS,Australia,Real GDP PPP 2021 USD,1986,543217.1137400001,0.024467629659598256,IMF
01_AUS,Australia,Real GDP PPP 2021 USD,1987,569799.0601949999,0.04893429493041124,IMF
01_AUS,Australia,Real GDP PPP 2021 USD,1988,594018.1857939999,0.04250467803634428,IMF
01_AUS,Australia,Real GDP PPP 2021 USD,1989,621539.0875660001,0.0463300660319248,IMF
