economy_code,economy,year,variable,value,percent,source
01_AUS,Australia,1950,Average hours,2029.52,,PWT
01_AUS,Australia,1951,Average hours,2010.76,-0.00924356498088219,PWT
01_AUS,Australia,1952,Average hours,1992.16,-0.009250233742465475,PWT
01_AUS,Australia,1953,Average hours,1973.74,-0.009246245281503529,PWT
01_AUS,Australia,1954,Average hours,1955.48,-0.009251471825063029,PWT
01_AUS,Australia,1955,Average hours,1937.4,-0.009245811770000167,PWT
01_AUS,Australia,1956,Average hours,1919.48,-0.009249509652111132,PWT
01_AUS,Australia,1957,Average hours,1901.73,-0.009247296142705363,PWT
01_AUS,Australia,1958,Average hours,1884.14,-0.009249472848406382,PWT
01_AUS,Australia,1959,Average hours,1866.72,-0.009245597460910582,PWT
01_AUS,Australia,1960,Average hours,1849.46,-0.009246164395303014,PWT
01_AUS,Australia,1961,Average hours,1846.05,-0.0018437814280926057,PWT
01_AUS,Australia,1962,Average hours,1842.64,-0.0018471872376153442,PWT
01_AUS,Australia,1963,Average hours,1839.24,-0.001845178656709967,PWT
01_AUS,Australia,1964,Average hours,1835.85,-0.0018431526065114667,PWT
01_AUS,Australia,1965,Average hours,1832.46,-0.001846556091183893,PWT
01_AUS,Australia,1966,Average hours,1829.08,-0.0018445150235203434,PWT
01_AUS,Australia,1967,Average hours,1825.71,-0.0018424563168367714,PWT
01_AUS,Australia,1968,Average hours,1822.34,-0.0018458572281468966,PWT
01_AUS,Australia,1969,Average hours,1818.98,-0.0018437832676667654,PWT
01_AUS,Australia,1970,Average hours,1815.62,-0.0018471890839921734,PWT
01_AUS,Australia,1971,Average hours,1798.2,-0.0095945186768156,PWT
01_AUS,Australia,1972,Average hours,1779.19,-0.010571682793904968,PWT
01_AUS,Australia,1973,Average hours,1766.72,-0.007008807378638626,PWT
01_AUS,Australia,1974,Average hours,1782.85,0.00912991305922839,PWT
01_AUS,Australia,1975,Average hours,1770.48,-0.006938329079844041,PWT
01_AUS,Australia,1976,Average hours,1780.18,0.005478740228638479,PWT
01_AUS,Australia,1977,Average hours,1781.86,0.0009437247918748781,PWT
01_AUS,Australia,1978,Average hours,1782.66,0.00044896905480795724,PWT
01_AUS,Australia,1979,Average hours,1787.7,0.00282723570394805,PWT
01_AUS,Australia,1980,Average hours,1785.37,-0.0013033506740505185,PWT
01_AUS,Australia,1981,Average hours,1771.21,-0.00793112912169458,PWT
01_AUS,Australia,1982,Average hours,1750.51,-0.011686925886823185,PWT
01_AUS,Australia,1983,Average hours,1734.47,-0.00916304391291678,PWT
01_AUS,Australia,1984,Average hours,1753.62,0.011040836682098876,PWT
01_AUS,Australia,1985,Average hours,1745.54,-0.004607611683260848,PWT
01_AUS,Australia,1986,Average hours,1750.05,0.0025837276716660362,PWT
01_AUS,Australia,1987,Average hours,1748.07,-0.001131396245821592,PWT
01_AUS,Australia,1988,Average hours,1745.23,-0.0016246488984994478,PWT
01_AUS,Australia,1989,Average hours,1755.12,0.005666874853171189,PWT
01_AUS,Australia,1990,Average hours,1740.63,-0.008255845754136293,PWT
01_AUS,Australia,1991,Average hours,1727.68,-0.007439835002269302,PWT
01_AUS,Australia,1992,Average hours,1724.85,-0.0016380348212632345,PWT
01_AUS,Australia,1993,Average hours,1740.43,0.009032669507493596,PWT
01_AUS,Australia,1994,Average hours,1745.08,0.0026717535321729713,PWT
01_AUS,Australia,1995,Average hours,1746.31,0.000704838746647729,PWT
01_AUS,Australia,1996,Average hours,1748.8,0.001425863678270245,PWT
01_AUS,Australia,1997,Average hours,1746.24,-0.0014638609332112695,PWT
01_AUS,Australia,1998,Average hours,1735.3,-0.006264889133223428,PWT
01_AUS,Australia,1999,Average hours,1723.86,-0.00659252002535593,PWT
01_AUS,Australia,2000,Average hours,1738.5,0.00849256900212314,PWT
01_AUS,Australia,2001,Average hours,1716.04,-0.012919183203911389,PWT
01_AUS,Australia,2002,Average hours,1697.8,-0.01062912286426887,PWT
01_AUS,Australia,2003,Average hours,1694.46,-0.0019672517375426413,PWT
01_AUS,Australia,2004,Average hours,1686.14,-0.00491011885792525,PWT
01_AUS,Australia,2005,Average hours,1685.79,-0.00020757469723753363,PWT
01_AUS,Australia,2006,Average hours,1676.85,-0.005303151638104464,PWT
01_AUS,Australia,2007,Average hours,1674.13,-0.0016220890359899265,PWT
01_AUS,Australia,2008,Average hours,1677.89,0.0022459426687293504,PWT
01_AUS,Australia,2009,Average hours,1672.41,-0.003266006710809455,PWT
