economy_code,economy,variable,year,value,percent,source
01_AUS,Australia,"Gross domestic product per capita, constant prices",1990,36267.7410592234,,WDI
01_AUS,Australia,"Gross domestic product per capita, constant prices",1991,35670.6678637309,-0.016462927606037292,WDI
01_AUS,Australia,"Gross domestic product per capita, constant prices",1992,35426.2848289008,-0.006851092212898591,WDI
01_AUS,Australia,"Gross domestic product per capita, constant prices",1993,36533.1468283451,0.03124408909345533,WDI
01_AUS,Australia,"Gross domestic product per capita, constant prices",1994,37622.6524772939,0.02982238716166319,WDI
01_AUS,Australia,"Gross domestic product per capita, constant prices",1995,38653.3366778657,0.02739530928059475,WDI
01_AUS,Australia,"Gross domestic product per capita, constant prices",1996,39663.1617728168,0.026125172669229313,WDI
01_AUS,Australia,"Gross domestic product per capita, constant prices",1997,40773.5660516518,0.02799585885752598,WDI
01_AUS,Australia,"Gross domestic product per capita, constant prices",1998,42257.1718122395,0.03638646074538299,WDI
01_AUS,Australia,"Gross domestic product per capita, constant prices",1999,43899.073794405,0.03885498985736491,WDI
01_AUS,Australia,"Gross domestic product per capita, constant prices",2000,45099.0752097084,0.027335460901144026,WDI
01_AUS,Australia,"Gross domestic product per capita, constant prices",2001,45428.2000837579,0.007297818691826663,WDI
01_AUS,Australia,"Gross domestic product per capita, constant prices",2002,46688.3947760633,0.027740361493123755,WDI
01_AUS,Australia,"Gross domestic product per capita, constant prices",2003,47581.2285345879,0.019123248139221616,WDI
01_AUS,Australia,"Gross domestic product per capita, constant prices",2004,49061.2761503925,0.031105704106162868,WDI
01_AUS,Australia,"Gross domestic product per capita, constant prices",2005,49997.0664953941,0.019073909576526882,WDI
01_AUS,Australia,"Gross domestic product per capita, constant prices",2006,50693.7248649798,0.013933984899891616,WDI
01_AUS,Australia,"Gross domestic product per capita, constant prices",2007,51663.2403953881,0.01912496138310127,WDI
01_AUS,Australia,"Gross domestic product per capita, constant prices",2008,52473.3819160773,0.015681198362492044,WDI
01_AUS,Australia,"Gross domestic product per capita, constant prices",2009,52407.9115378584,-0.001247687414613452,WDI
01_AUS,Australia,"Gross domestic product per capita, constant prices",2010,52739.2681556133,0.006322644960113255,WDI
01_AUS,Australia,"Gross domestic product per capita, constant prices",2011,53257.0473237603,0.009817716215159367,WDI
01_AUS,Australia,"Gross domestic product per capita, constant prices",2012,54403.8836902433,0.021533983277577384,WDI
01_AUS,Australia,"Gross domestic product per capita, constant prices",2013,54895.0052588984,0.009027325538951914,WDI
01_AUS,Australia,"Gross domestic product per capita, constant prices",2014,55489.068844146,0.010821814889093284,WDI
01_AUS,Australia,"Gross domestic product per capita, constant prices",2015,55879.9958817103,0.00704511799724572,WDI
01_AUS,Australia,"Gross domestic product per capita, constant prices",2016,56529.951824687,0.011631281153859696,WDI
01_AUS,Australia,"Gross domestic product per capita, constant prices",2017,56881.8569859104,0.006225109872988188,WDI
01_AUS,Australia,"Gross domestic product per capita, constant prices",2018,57647.8455068105,0.013466306507711856,WDI
01_AUS,Australia,"Gross domestic product per capita, constant prices",2019,58048.6188420831,0.0069520956377329135,WDI
01_AUS,Australia,"Gross domestic product per capita, constant prices",2020,57260.4650530108,-0.013577477032079233,WDI
01_AUS,Australia,"Gross domestic product per capita, constant prices",2021,58327.4146842325,0.01863326870003479,WDI
01_AUS,Australia,"Gross domestic product per capita, constant prices",2022,60029.1329190733,0.02917527279502119,WDI
01_AUS,Australia,"Gross domestic product per capita, constant prices",2023,60684.9596204883,0.010925140336428552,WDI
01_AUS,Australia,"Gross domestic product per capita, constant prices",2024,60309.5831772339,-0.006185658614620948,WDI
01_AUS,Australia,"Gross domestic product per capita, constant prices",2025,60194.0633547961,-0.0019154472034456083,WDI
02_BD,Brunei Darussalam,"Gross domestic product per capita, constant prices",1990,118163.68336994,,WDI
02_BD,Brunei Darussalam,"Gross domestic product per capita, constant prices",1991,118220.68359533,0.00048238362045260885,WDI
02_BD,Brunei Darussalam,"Gross domestic product per capita, constant prices",1992,111457.220883519,-0.05721048556073638,WDI
02_BD,Brunei Darussalam,"Gross domestic product per capita, constant prices",1993,107899.136339239,-0.03192332014090371,WDI
02_BD,Brunei Darussalam,"Gross domestic product per capita, constant prices",1994,106239.232694338,-0.015383845517374706,WDI
02_BD,Brunei Darussalam,"Gross domestic product per capita, constant prices",1995,105043.853097683,-0.011251771745135364,WDI
02_BD,Brunei Darussalam,"Gross domestic product per capita, constant prices",1996,102522.125418121,-0.024006427841303357,WDI
02_BD,Brunei Darussalam,"Gross domestic product per capita, constant prices",1997,106503.420270796,0.0388335184862576,WDI
02_BD,Brunei Darussalam,"Gross domestic product per capita, constant prices",1998,97171.6372551031,-0.08761956181281205,WDI
