economy_code,economy,year,variable,value,source,percent
01_AUS,Australia,1990,Capital stock,3209897.8799290387,WDI and PWT calculation,
01_AUS,Australia,1991,Capital stock,3241658.6589730615,WDI and PWT calculation,0.009894638468911365
01_AUS,Australia,1992,Capital stock,3194702.3399404967,WDI and PWT calculation,-0.014485275586492596
01_AUS,Australia,1993,Capital stock,3269648.9715231406,WDI and PWT calculation,0.023459660277470373
01_AUS,Australia,1994,Capital stock,3361182.7214058777,WDI and PWT calculation,0.02799497765048975
01_AUS,Australia,1995,Capital stock,3448704.642123038,WDI and PWT calculation,0.0260390249419562
01_AUS,Australia,1996,Capital stock,3539685.5882801856,WDI and PWT calculation,0.02638119398393579
01_AUS,Australia,1997,Capital stock,3618952.593968984,WDI and PWT calculation,0.022393798463696823
01_AUS,Australia,1998,Capital stock,3713698.16689125,WDI and PWT calculation,0.026180385197684064
01_AUS,Australia,1999,Capital stock,3870166.47047785,WDI and PWT calculation,0.04213274653862897
01_AUS,Australia,2000,Capital stock,4029636.3295536186,WDI and PWT calculation,0.041204909476691975
01_AUS,Australia,2001,Capital stock,4055167.2217895496,WDI and PWT calculation,0.006335780737503738
01_AUS,Australia,2002,Capital stock,4212083.822908463,WDI and PWT calculation,0.038695469887346734
01_AUS,Australia,2003,Capital stock,4299559.029608603,WDI and PWT calculation,0.020767679461739075
01_AUS,Australia,2004,Capital stock,4482319.629141826,WDI and PWT calculation,0.04250682413583706
01_AUS,Australia,2005,Capital stock,4650882.519740263,WDI and PWT calculation,0.037606173710264645
01_AUS,Australia,2006,Capital stock,4757938.92073421,WDI and PWT calculation,0.023018513269160268
01_AUS,Australia,2007,Capital stock,4933821.0109843705,WDI and PWT calculation,0.03696602524334636
01_AUS,Australia,2008,Capital stock,5179907.517135421,WDI and PWT calculation,0.0498774693291828
01_AUS,Australia,2009,Capital stock,5324474.609806161,WDI and PWT calculation,0.02790920343510095
01_AUS,Australia,2010,Capital stock,5473220.512650328,WDI and PWT calculation,0.027936259207663294
01_AUS,Australia,2011,Capital stock,5579192.6585253775,WDI and PWT calculation,0.019361936108752698
01_AUS,Australia,2012,Capital stock,5843307.971197058,WDI and PWT calculation,0.04733934259611838
01_AUS,Australia,2013,Capital stock,6022326.709007116,WDI and PWT calculation,0.030636539900426252
01_AUS,Australia,2014,Capital stock,6203059.684433638,WDI and PWT calculation,0.030010489991553202
01_AUS,Australia,2015,Capital stock,6305359.386441025,WDI and PWT calculation,0.016491813268233457
01_AUS,Australia,2016,Capital stock,6468601.789678548,WDI and PWT calculation,0.02588946850334306
01_AUS,Australia,2017,Capital stock,6577618.49395307,WDI and PWT calculation,0.01685320998557538
01_AUS,Australia,2018,Capital stock,6760298.377382127,WDI and PWT calculation,0.02777295210979447
01_AUS,Australia,2019,Capital stock,7045508.502159561,WDI and PWT calculation,0.04218898469506316
01_AUS,Australia,2020,Capital stock,7025525.094107329,WDI and PWT calculation,-0.0028363329695942907
01_AUS,Australia,2021,Capital stock,7027074.30576847,WDI and PWT calculation,0.00022051186785176924
01_AUS,Australia,2022,Capital stock,7240002.559464331,WDI and PWT calculation,0.03030112454070233
01_AUS,Australia,2023,Capital stock,7565589.948001127,WDI and PWT calculation,0.04497061787791479
01_AUS,Australia,2024,Capital stock,7669496.345443953,WDI and PWT calculation,0.013734077336596595
01_AUS,Australia,2025,Capital stock,7773065.059257426,WDI and PWT calculation,0.013503978507662717
02_BD,Brunei Darussalam,1990,Capital stock,107119.5656696976,WDI and PWT calculation,
02_BD,Brunei Darussalam,1991,Capital stock,111524.38048755303,WDI and PWT calculation,0.04112054404176413
02_BD,Brunei Darussalam,1992,Capital stock,108718.57574078294,WDI and PWT calculation,-0.025158666961465403
02_BD,Brunei Darussalam,1993,Capital stock,115171.72934738347,WDI and PWT calculation,0.05935649508494989
02_BD,Brunei Darussalam,1994,Capital stock,118256.79949107465,WDI and PWT calculation,0.02678669636353148
02_BD,Brunei Darussalam,1995,Capital stock,120838.89274336863,WDI and PWT calculation,0.02183462822777371
02_BD,Brunei Darussalam,1996,Capital stock,133277.24213637013,WDI and PWT calculation,0.10293332809178768
02_BD,Brunei Darussalam,1997,Capital stock,151049.85657853412,WDI and PWT calculation,0.1333507068219415
02_BD,Brunei Darussalam,1998,Capital stock,146443.31145645893,WDI and PWT calculation,-0.03049685200912544
02_BD,Brunei Darussalam,1999,Capital stock,150244.9345812203,WDI and PWT calculation,0.025959691070572832
02_BD,Brunei Darussalam,2000,Capital stock,150405.77403574032,WDI and PWT calculation,0.0010705149891963028
02_BD,Brunei Darussalam,2001,Capital stock,148707.0674528832,WDI and PWT calculation,-0.011294158045112468
02_BD,Brunei Darussalam,2002,Capital stock,152444.1263445947,WDI and PWT calculation,0.025130338158914745
02_BD,Brunei Darussalam,2003,Capital stock,154614.92975496422,WDI and PWT calculation,0.014239993776227866
02_BD,Brunei Darussalam,2004,Capital stock,155480.34361075232,WDI and PWT calculation,0.0055972205087801985
02_BD,Brunei Darussalam,2005,Capital stock,156480.63687586298,WDI and PWT calculation,0.006433567368586024
02_BD,Brunei Darussalam,2006,Capital stock,157836.77920963484,WDI and PWT calculation,0.00866651849613631
02_BD,Brunei Darussalam,2007,Capital stock,155672.1954575782,WDI and PWT calculation,-0.013714064382812197
