economy_code,economy,year,variant,variable,value,percent,source
01_AUS,Australia,1950.0,Estimates,population_1jan,8048.9,,UN DESA
01_AUS,Australia,1951.0,Estimates,population_1jan,8304.6,0.0317683161674267,UN DESA
01_AUS,Australia,1952.0,Estimates,population_1jan,8532.62,0.027457071984201553,UN DESA
01_AUS,Australia,1953.0,Estimates,population_1jan,8728.789,0.022990476547648964,UN DESA
01_AUS,Australia,1954.0,Estimates,population_1jan,8903.373,0.020000941711387332,UN DESA
01_AUS,Australia,1955.0,Estimates,population_1jan,9095.393,0.021567107207571823,UN DESA
01_AUS,Australia,1956.0,Estimates,population_1jan,9314.969,0.0241414527112791,UN DESA
01_AUS,Australia,1957.0,Estimates,population_1jan,9534.354,0.023551876554822604,UN DESA
01_AUS,Australia,1958.0,Estimates,population_1jan,9743.196,0.021904158372974214,UN DESA
01_AUS,Australia,1959.0,Estimates,population_1jan,9952.077,0.021438653189364,UN DESA
01_AUS,Australia,1960.0,Estimates,population_1jan,10167.995,0.021695772651276757,UN DESA
01_AUS,Australia,1961.0,Estimates,population_1jan,10393.631,0.022190805561961735,UN DESA
01_AUS,Australia,1962.0,Estimates,population_1jan,10607.255,0.020553356185148308,UN DESA
01_AUS,Australia,1963.0,Estimates,population_1jan,10807.217,0.018851437058881038,UN DESA
01_AUS,Australia,1964.0,Estimates,population_1jan,11019.313,0.01962540402399604,UN DESA
01_AUS,Australia,1965.0,Estimates,population_1jan,11237.188,0.019772103760007598,UN DESA
01_AUS,Australia,1966.0,Estimates,population_1jan,11477.766,0.021409092737435742,UN DESA
01_AUS,Australia,1967.0,Estimates,population_1jan,11707.204,0.019989778498707755,UN DESA
01_AUS,Australia,1968.0,Estimates,population_1jan,11913.834,0.017649816301142485,UN DESA
01_AUS,Australia,1969.0,Estimates,population_1jan,12146.192,0.019503209462209847,UN DESA
01_AUS,Australia,1970.0,Estimates,population_1jan,12398.569,0.020778281785764685,UN DESA
01_AUS,Australia,1971.0,Estimates,population_1jan,12800.253,0.03239760975641626,UN DESA
01_AUS,Australia,1972.0,Estimates,population_1jan,13195.675,0.030891733155586687,UN DESA
01_AUS,Australia,1973.0,Estimates,population_1jan,13414.117,0.016554060326584352,UN DESA
01_AUS,Australia,1974.0,Estimates,population_1jan,13623.253,0.015590739218988459,UN DESA
01_AUS,Australia,1975.0,Estimates,population_1jan,13815.736,0.014129004284072266,UN DESA
01_AUS,Australia,1976.0,Estimates,population_1jan,13972.242,0.011328097178463725,UN DESA
01_AUS,Australia,1977.0,Estimates,population_1jan,14121.268,0.01066586164196126,UN DESA
01_AUS,Australia,1978.0,Estimates,population_1jan,14285.749,0.011647750046242189,UN DESA
01_AUS,Australia,1979.0,Estimates,population_1jan,14448.447,0.011388832325137432,UN DESA
01_AUS,Australia,1980.0,Estimates,population_1jan,14617.623,0.011708940068091644,UN DESA
01_AUS,Australia,1981.0,Estimates,population_1jan,14825.071,0.014191637039756788,UN DESA
01_AUS,Australia,1982.0,Estimates,population_1jan,15073.333,0.016746091806238317,UN DESA
01_AUS,Australia,1983.0,Estimates,population_1jan,15311.637,0.015809642101053623,UN DESA
01_AUS,Australia,1984.0,Estimates,population_1jan,15518.149,0.013487258090039589,UN DESA
01_AUS,Australia,1985.0,Estimates,population_1jan,15723.157,0.013210853949140455,UN DESA
01_AUS,Australia,1986.0,Estimates,population_1jan,15948.338,0.014321614927587323,UN DESA
01_AUS,Australia,1987.0,Estimates,population_1jan,16190.928,0.015210989383345197,UN DESA
01_AUS,Australia,1988.0,Estimates,population_1jan,16453.609,0.016223961961908673,UN DESA
01_AUS,Australia,1989.0,Estimates,population_1jan,16734.589,0.017077104482062344,UN DESA
01_AUS,Australia,1990.0,Estimates,population_1jan,17004.135,0.01610711801765774,UN DESA
01_AUS,Australia,1991.0,Estimates,population_1jan,17248.461,0.014368622690892563,UN DESA
01_AUS,Australia,1992.0,Estimates,population_1jan,17457.924,0.012143866052745311,UN DESA
01_AUS,Australia,1993.0,Estimates,population_1jan,17640.653,0.010466822973911327,UN DESA
01_AUS,Australia,1994.0,Estimates,population_1jan,17805.169,0.009325958625227893,UN DESA
01_AUS,Australia,1995.0,Estimates,population_1jan,17989.698,0.010363788178590072,UN DESA
01_AUS,Australia,1996.0,Estimates,population_1jan,18200.991,0.01174522218216234,UN DESA
01_AUS,Australia,1997.0,Estimates,population_1jan,18409.624,0.011462727496541092,UN DESA
01_AUS,Australia,1998.0,Estimates,population_1jan,18600.201,0.010352031089825742,UN DESA
01_AUS,Australia,1999.0,Estimates,population_1jan,18803.233,0.010915580966033511,UN DESA
01_AUS,Australia,2000.0,Estimates,population_1jan,19016.729,0.011354217649698795,UN DESA
01_AUS,Australia,2001.0,Estimates,population_1jan,19248.213,0.01217265072242446,UN DESA
01_AUS,Australia,2002.0,Estimates,population_1jan,19482.653,0.012179831966738774,UN DESA
01_AUS,Australia,2003.0,Estimates,population_1jan,19708.057,0.011569471570427314,UN DESA
01_AUS,Australia,2004.0,Estimates,population_1jan,19930.852,0.011304767385237335,UN DESA
01_AUS,Australia,2005.0,Estimates,population_1jan,20162.502,0.011622684268590255,UN DESA
01_AUS,Australia,2006.0,Estimates,population_1jan,20426.478,0.013092422755866195,UN DESA
01_AUS,Australia,2007.0,Estimates,population_1jan,20754.641,0.01606556940457393,UN DESA
01_AUS,Australia,2008.0,Estimates,population_1jan,21154.456,0.019263884159692157,UN DESA
01_AUS,Australia,2009.0,Estimates,population_1jan,21586.721,0.02043375636792555,UN DESA
01_AUS,Australia,2010.0,Estimates,population_1jan,21979.301,0.01818618029111496,UN DESA
01_AUS,Australia,2011.0,Estimates,population_1jan,22303.86,0.014766575151775818,UN DESA
01_AUS,Australia,2012.0,Estimates,population_1jan,22655.69,0.01577439958823268,UN DESA
01_AUS,Australia,2013.0,Estimates,population_1jan,23049.598,0.017386713889535166,UN DESA
01_AUS,Australia,2014.0,Estimates,population_1jan,23422.943,0.016197462532752116,UN DESA
01_AUS,Australia,2015.0,Estimates,population_1jan,23768.258,0.014742596607095981,UN DESA
01_AUS,Australia,2016.0,Estimates,population_1jan,24127.746,0.01512470960219292,UN DESA
01_AUS,Australia,2017.0,Estimates,population_1jan,24532.18,0.016762195689560055,UN DESA
01_AUS,Australia,2018.0,Estimates,population_1jan,24929.897,0.01621205290357408,UN DESA
01_AUS,Australia,2019.0,Estimates,population_1jan,25309.514,0.015227379399120666,UN DESA
01_AUS,Australia,2020.0,Estimates,population_1jan,25655.914,0.013686552811721375,UN DESA
01_AUS,Australia,2021.0,Estimates,population_1jan,25831.668,0.006850428326194091,UN DESA
01_AUS,Australia,2022.0,Estimates,population_1jan,26081.167,0.009658648446550178,UN DESA
01_AUS,Australia,2023.0,Estimates,population_1jan,26320.802,0.009188047452017623,UN DESA
01_AUS,Australia,2024.0,High,population_1jan,26581.446,0.009902585795068086,UN DESA
01_AUS,Australia,2025.0,High,population_1jan,26891.409,0.011660878042526246,UN DESA
01_AUS,Australia,2026.0,High,population_1jan,27195.833,0.011320492726877962,UN DESA
01_AUS,Australia,2027.0,High,population_1jan,27489.98,0.010815884918840446,UN DESA
01_AUS,Australia,2028.0,High,population_1jan,27782.232,0.010631219084189958,UN DESA
01_AUS,Australia,2029.0,High,population_1jan,28070.74,0.010384622804963994,UN DESA
01_AUS,Australia,2030.0,High,population_1jan,28376.272,0.010884358588337806,UN DESA
01_AUS,Australia,2031.0,High,population_1jan,28680.099,0.01070707949233074,UN DESA
01_AUS,Australia,2032.0,High,population_1jan,28979.695,0.01044612851580462,UN DESA
01_AUS,Australia,2033.0,High,population_1jan,29273.025,0.010121914671634702,UN DESA
01_AUS,Australia,2034.0,High,population_1jan,29563.779,0.009932489040678227,UN DESA
01_AUS,Australia,2035.0,High,population_1jan,29871.096,0.010395051322769078,UN DESA
01_AUS,Australia,2036.0,High,population_1jan,30180.418,0.010355227675609813,UN DESA
01_AUS,Australia,2037.0,High,population_1jan,30489.504,0.01024127631366789,UN DESA
01_AUS,Australia,2038.0,High,population_1jan,30791.517,0.009905474356027621,UN DESA
01_AUS,Australia,2039.0,High,population_1jan,31099.05,0.009987588464706043,UN DESA
01_AUS,Australia,2040.0,High,population_1jan,31400.818,0.00970344753296315,UN DESA
01_AUS,Australia,2041.0,High,population_1jan,31707.457,0.00976531885252152,UN DESA
01_AUS,Australia,2042.0,High,population_1jan,32018.661,0.009814852070918256,UN DESA
01_AUS,Australia,2043.0,High,population_1jan,32333.708,0.009839480795277522,UN DESA
01_AUS,Australia,2044.0,High,population_1jan,32646.626,0.0096777641463206,UN DESA
01_AUS,Australia,2045.0,High,population_1jan,32959.911,0.009596244340839277,UN DESA
01_AUS,Australia,2046.0,High,population_1jan,33277.527,0.009636433787700405,UN DESA
