economy_code,economy,year,variable,value,population
01_AUS,Australia,1990,APERC GDP projections,,GDP_low
01_AUS,Australia,1991,APERC GDP projections,,GDP_low
01_AUS,Australia,1992,APERC GDP projections,,GDP_low
01_AUS,Australia,1993,APERC GDP projections,,GDP_low
01_AUS,Australia,1994,APERC GDP projections,,GDP_low
01_AUS,Australia,1995,APERC GDP projections,,GDP_low
01_AUS,Australia,1996,APERC GDP projections,,GDP_low
01_AUS,Australia,1997,APERC GDP projections,,GDP_low
01_AUS,Australia,1998,APERC GDP projections,,GDP_low
01_AUS,Australia,1999,APERC GDP projections,,GDP_low
01_AUS,Australia,2000,APERC GDP projections,,GDP_low
01_AUS,Australia,2001,APERC GDP projections,,GDP_low
01_AUS,Australia,2002,APERC GDP projections,,GDP_low
01_AUS,Australia,2003,APERC GDP projections,,GDP_low
01_AUS,Australia,2004,APERC GDP projections,,GDP_low
01_AUS,Australia,2005,APERC GDP projections,,GDP_low
01_AUS,Australia,2006,APERC GDP projections,,GDP_low
01_AUS,Australia,2007,APERC GDP projections,,GDP_low
01_AUS,Australia,2008,APERC GDP projections,,GDP_low
01_AUS,Australia,2009,APERC GDP projections,,GDP_low
01_AUS,Australia,2010,APERC GDP projections,,GDP_low
01_AUS,Australia,2011,APERC GDP projections,,GDP_low
01_AUS,Australia,2012,APERC GDP projections,,GDP_low
01_AUS,Australia,2013,APERC GDP projections,,GDP_low
01_AUS,Australia,2014,APERC GDP projections,,GDP_low
01_AUS,Australia,2015,APERC GDP projections,,GDP_low
01_AUS,Australia,2016,APERC GDP projections,,GDP_low
01_AUS,Australia,2017,APERC GDP projections,,GDP_low
01_AUS,Australia,2018,APERC GDP projections,,GDP_low
01_AUS,Australia,2019,APERC GDP projections,,GDP_low
01_AUS,Australia,2020,APERC GDP projections,,GDP_low
01_AUS,Australia,2021,APERC GDP projections,,GDP_low
01_AUS,Australia,2022,APERC GDP projections,,GDP_low
01_AUS,Australia,2023,APERC GDP projections,,GDP_low
01_AUS,Australia,2024,APERC GDP projections,,GDP_low
01_AUS,Australia,2025,APERC GDP projections,,GDP_low
