economy_code,economy,year,variable,value,population
02_BD,Brunei Darussalam,1990,APERC GDP projections,,GDP_low
02_BD,Brunei Darussalam,1991,APERC GDP projections,,GDP_low
02_BD,Brunei Darussalam,1992,APERC GDP projections,,GDP_low
02_BD,Brunei Darussalam,1993,APERC GDP projections,,GDP_low
02_BD,Brunei Darussalam,1994,APERC GDP projections,,GDP_low
02_BD,Brunei Darussalam,1995,APERC GDP projections,,GDP_low
02_BD,Brunei Darussalam,1996,APERC GDP projections,,GDP_low
02_BD,Brunei Darussalam,1997,APERC GDP projections,,GDP_low
02_BD,Brunei Darussalam,1998,APERC GDP projections,,GDP_low
02_BD,Brunei Darussalam,1999,APERC GDP projections,,GDP_low
02_BD,Brunei Darussalam,2000,APERC GDP projections,,GDP_low
02_BD,Brunei Darussalam,2001,APERC GDP projections,,GDP_low
02_BD,Brunei Darussalam,2002,APERC GDP projections,,GDP_low
02_BD,Brunei Darussalam,2003,APERC GDP projections,,GDP_low
02_BD,Brunei Darussalam,2004,APERC GDP projections,,GDP_low
02_BD,Brunei Darussalam,2005,APERC GDP projections,,GDP_low
02_BD,Brunei Darussalam,2006,APERC GDP projections,,GDP_low
02_BD,Brunei Darussalam,2007,APERC GDP projections,,GDP_low
02_BD,Brunei Darussalam,2008,APERC GDP projections,,GDP_low
02_BD,Brunei Darussalam,2009,APERC GDP projections,,GDP_low
02_BD,Brunei Darussalam,2010,APERC GDP projections,,GDP_low
02_BD,Brunei Darussalam,2011,APERC GDP projections,,GDP_low
02_BD,Brunei Darussalam,2012,APERC GDP projections,,GDP_low
02_BD,Brunei Darussalam,2013,APERC GDP projections,,GDP_low
02_BD,Brunei Darussalam,2014,APERC GDP projections,,GDP_low
02_BD,Brunei Darussalam,2015,APERC GDP projections,,GDP_low
02_BD,Brunei Darussalam,2016,APERC GDP projections,,GDP_low
02_BD,Brunei Darussalam,2017,APERC GDP projections,,GDP_low
02_BD,Brunei Darussalam,2018,APERC GDP projections,,GDP_low
02_BD,Brunei Darussalam,2019,APERC GDP projections,,GDP_low
02_BD,Brunei Darussalam,2020,APERC GDP projections,,GDP_low
02_BD,Brunei Darussalam,2021,APERC GDP projections,,GDP_low
02_BD,Brunei Darussalam,2022,APERC GDP projections,,GDP_low
02_BD,Brunei Darussalam,2023,APERC GDP projections,,GDP_low
02_BD,Brunei Darussalam,2024,APERC GDP projections,,GDP_low
02_BD,Brunei Darussalam,2025,APERC GDP projections,,GDP_low
02_BD,Brunei Darussalam,2026,APERC GDP projections,36819.04789756223,GDP_low
02_BD,Brunei Darussalam,2027,APERC GDP projections,36951.62680470652,GDP_low
02_BD,Brunei Darussalam,2028,APERC GDP projections,37266.42726493171,GDP_low
02_BD,Brunei Darussalam,2029,APERC GDP projections,37582.076797109024,GDP_low
02_BD,Brunei Darussalam,2030,APERC GDP projections,37746.85796038235,GDP_low
02_BD,Brunei Darussalam,2031,APERC GDP projections,37914.27260624957,GDP_low
02_BD,Brunei Darussalam,2032,APERC GDP projections,38127.44918227072,GDP_low
02_BD,Brunei Darussalam,2033,APERC GDP projections,38357.82483719437,GDP_low
02_BD,Brunei Darussalam,2034,APERC GDP projections,38588.72533111726,GDP_low
02_BD,Brunei Darussalam,2035,APERC GDP projections,38797.74033645146,GDP_low
