economy_code,economy,year,variable,value,population
03_CDA,Canada,1990,APERC GDP projections,,GDP_low
03_CDA,Canada,1991,APERC GDP projections,,GDP_low
03_CDA,Canada,1992,APERC GDP projections,,GDP_low
03_CDA,Canada,1993,APERC GDP projections,,GDP_low
03_CDA,Canada,1994,APERC GDP projections,,GDP_low
03_CDA,Canada,1995,APERC GDP projections,,GDP_low
03_CDA,Canada,1996,APERC GDP projections,,GDP_low
03_CDA,Canada,1997,APERC GDP projections,,GDP_low
03_CDA,Canada,1998,APERC GDP projections,,GDP_low
03_CDA,Canada,1999,APERC GDP projections,,GDP_low
03_CDA,Canada,2000,APERC GDP projections,,GDP_low
03_CDA,Canada,2001,APERC GDP projections,,GDP_low
03_CDA,Canada,2002,APERC GDP projections,,GDP_low
03_CDA,Canada,2003,APERC GDP projections,,GDP_low
03_CDA,Canada,2004,APERC GDP projections,,GDP_low
03_CDA,Canada,2005,APERC GDP projections,,GDP_low
03_CDA,Canada,2006,APERC GDP projections,,GDP_low
03_CDA,Canada,2007,APERC GDP projections,,GDP_low
03_CDA,Canada,2008,APERC GDP projections,,GDP_low
03_CDA,Canada,2009,APERC GDP projections,,GDP_low
03_CDA,Canada,2010,APERC GDP projections,,GDP_low
03_CDA,Canada,2011,APERC GDP projections,,GDP_low
03_CDA,Canada,2012,APERC GDP projections,,GDP_low
03_CDA,Canada,2013,APERC GDP projections,,GDP_low
03_CDA,Canada,2014,APERC GDP projections,,GDP_low
03_CDA,Canada,2015,APERC GDP projections,,GDP_low
03_CDA,Canada,2016,APERC GDP projections,,GDP_low
03_CDA,Canada,2017,APERC GDP projections,,GDP_low
03_CDA,Canada,2018,APERC GDP projections,,GDP_low
03_CDA,Canada,2019,APERC GDP projections,,GDP_low
03_CDA,Canada,2020,APERC GDP projections,,GDP_low
03_CDA,Canada,2021,APERC GDP projections,,GDP_low
03_CDA,Canada,2022,APERC GDP projections,,GDP_low
03_CDA,Canada,2023,APERC GDP projections,,GDP_low
03_CDA,Canada,2024,APERC GDP projections,,GDP_low
03_CDA,Canada,2025,APERC GDP projections,,GDP_low
03_CDA,Canada,2026,APERC GDP projections,2455121.798002196,GDP_low
03_CDA,Canada,2027,APERC GDP projections,2495548.0745379934,GDP_low
03_CDA,Canada,2028,APERC GDP projections,2533490.7753463946,GDP_low
03_CDA,Canada,2029,APERC GDP projections,2569723.950610011,GDP_low
03_CDA,Canada,2030,APERC GDP projections,2604438.3511710507,GDP_low
03_CDA,Canada,2031,APERC GDP projections,2650390.678730786,GDP_low
03_CDA,Canada,2032,APERC GDP projections,2696224.473746416,GDP_low
03_CDA,Canada,2033,APERC GDP projections,2733864.558362808,GDP_low
03_CDA,Canada,2034,APERC GDP projections,2772137.110044509,GDP_low
03_CDA,Canada,2035,APERC GDP projections,2810180.017391205,GDP_low
03_CDA,Canada,2036,APERC GDP projections,2848487.132420199,GDP_low
03_CDA,Canada,2037,APERC GDP projections,2887423.800091291,GDP_low
03_CDA,Canada,2038,APERC GDP projections,2926606.884144457,GDP_low
03_CDA,Canada,2039,APERC GDP projections,2966007.7612297637,GDP_low
03_CDA,Canada,2040,APERC GDP projections,3005305.4211265496,GDP_low
03_CDA,Canada,2041,APERC GDP projections,3044638.783552686,GDP_low
03_CDA,Canada,2042,APERC GDP projections,3084336.570494953,GDP_low
03_CDA,Canada,2043,APERC GDP projections,3124328.2132739187,GDP_low
03_CDA,Canada,2044,APERC GDP projections,3164465.269390469,GDP_low
03_CDA,Canada,2045,APERC GDP projections,3204912.8875789484,GDP_low
03_CDA,Canada,2046,APERC GDP projections,3245868.327970587,GDP_low
03_CDA,Canada,2047,APERC GDP projections,3286457.9228129964,GDP_low
03_CDA,Canada,2048,APERC GDP projections,3327314.6179189743,GDP_low
03_CDA,Canada,2049,APERC GDP projections,3368597.9261964187,GDP_low
03_CDA,Canada,2050,APERC GDP projections,3409456.5669605457,GDP_low
03_CDA,Canada,2051,APERC GDP projections,3451201.259952332,GDP_low
03_CDA,Canada,2052,APERC GDP projections,3493197.135962298,GDP_low
03_CDA,Canada,2053,APERC GDP projections,3535797.301006244,GDP_low
03_CDA,Canada,2054,APERC GDP projections,3578072.5564106344,GDP_low
03_CDA,Canada,2055,APERC GDP projections,3620655.376397915,GDP_low
03_CDA,Canada,2056,APERC GDP projections,3663608.133271589,GDP_low
03_CDA,Canada,2057,APERC GDP projections,3707001.240000816,GDP_low
03_CDA,Canada,2058,APERC GDP projections,3750893.49027751,GDP_low
03_CDA,Canada,2059,APERC GDP projections,3795674.6984015466,GDP_low
03_CDA,Canada,2060,APERC GDP projections,3840627.193023589,GDP_low
03_CDA,Canada,2061,APERC GDP projections,3885579.1569865295,GDP_low
03_CDA,Canada,2062,APERC GDP projections,3931164.842675989,GDP_low
03_CDA,Canada,2063,APERC GDP projections,3977416.163195339,GDP_low
03_CDA,Canada,2064,APERC GDP projections,4023835.90918628,GDP_low
03_CDA,Canada,2065,APERC GDP projections,4070432.964624493,GDP_low
03_CDA,Canada,2066,APERC GDP projections,4117290.294048174,GDP_low
03_CDA,Canada,2067,APERC GDP projections,4164483.6247686855,GDP_low
03_CDA,Canada,2068,APERC GDP projections,4212510.703366919,GDP_low
03_CDA,Canada,2069,APERC GDP projections,4260069.834586552,GDP_low
03_CDA,Canada,2070,APERC GDP projections,4307914.767979357,GDP_low
03_CDA,Canada,2071,APERC GDP projections,4355961.93145663,GDP_low
03_CDA,Canada,2072,APERC GDP projections,4404460.921862314,GDP_low
03_CDA,Canada,2073,APERC GDP projections,4453132.366545814,GDP_low
03_CDA,Canada,2074,APERC GDP projections,4501677.175507345,GDP_low
03_CDA,Canada,2075,APERC GDP projections,4550664.991428609,GDP_low
03_CDA,Canada,2076,APERC GDP projections,4600490.56547467,GDP_low
03_CDA,Canada,2077,APERC GDP projections,4651278.88886231,GDP_low
03_CDA,Canada,2078,APERC GDP projections,4701796.432125307,GDP_low
03_CDA,Canada,2079,APERC GDP projections,4753823.355372979,GDP_low
03_CDA,Canada,2080,APERC GDP projections,4805977.190410057,GDP_low
