economy_code,economy,year,variable,value,population
04_CHL,Chile,1990,APERC GDP projections,,GDP_low
04_CHL,Chile,1991,APERC GDP projections,,GDP_low
04_CHL,Chile,1992,APERC GDP projections,,GDP_low
04_CHL,Chile,1993,APERC GDP projections,,GDP_low
04_CHL,Chile,1994,APERC GDP projections,,GDP_low
04_CHL,Chile,1995,APERC GDP projections,,GDP_low
04_CHL,Chile,1996,APERC GDP projections,,GDP_low
04_CHL,Chile,1997,APERC GDP projections,,GDP_low
04_CHL,Chile,1998,APERC GDP projections,,GDP_low
04_CHL,Chile,1999,APERC GDP projections,,GDP_low
04_CHL,Chile,2000,APERC GDP projections,,GDP_low
04_CHL,Chile,2001,APERC GDP projections,,GDP_low
04_CHL,Chile,2002,APERC GDP projections,,GDP_low
04_CHL,Chile,2003,APERC GDP projections,,GDP_low
04_CHL,Chile,2004,APERC GDP projections,,GDP_low
04_CHL,Chile,2005,APERC GDP projections,,GDP_low
04_CHL,Chile,2006,APERC GDP projections,,GDP_low
04_CHL,Chile,2007,APERC GDP projections,,GDP_low
04_CHL,Chile,2008,APERC GDP projections,,GDP_low
04_CHL,Chile,2009,APERC GDP projections,,GDP_low
04_CHL,Chile,2010,APERC GDP projections,,GDP_low
04_CHL,Chile,2011,APERC GDP projections,,GDP_low
04_CHL,Chile,2012,APERC GDP projections,,GDP_low
04_CHL,Chile,2013,APERC GDP projections,,GDP_low
04_CHL,Chile,2014,APERC GDP projections,,GDP_low
04_CHL,Chile,2015,APERC GDP projections,,GDP_low
04_CHL,Chile,2016,APERC GDP projections,,GDP_low
04_CHL,Chile,2017,APERC GDP projections,,GDP_low
04_CHL,Chile,2018,APERC GDP projections,,GDP_low
04_CHL,Chile,2019,APERC GDP projections,,GDP_low
04_CHL,Chile,2020,APERC GDP projections,,GDP_low
04_CHL,Chile,2021,APERC GDP projections,,GDP_low
04_CHL,Chile,2022,APERC GDP projections,,GDP_low
04_CHL,Chile,2023,APERC GDP projections,,GDP_low
04_CHL,Chile,2024,APERC GDP projections,,GDP_low
04_CHL,Chile,2025,APERC GDP projections,,GDP_low
04_CHL,Chile,2026,APERC GDP projections,621336.7443098631,GDP_low
04_CHL,Chile,2027,APERC GDP projections,629929.9568397903,GDP_low
04_CHL,Chile,2028,APERC GDP projections,639105.0149142484,GDP_low
04_CHL,Chile,2029,APERC GDP projections,647463.2494884816,GDP_low
04_CHL,Chile,2030,APERC GDP projections,656695.7081737116,GDP_low
04_CHL,Chile,2031,APERC GDP projections,669656.0297169513,GDP_low
04_CHL,Chile,2032,APERC GDP projections,678440.6697209236,GDP_low
04_CHL,Chile,2033,APERC GDP projections,687218.3025276796,GDP_low
04_CHL,Chile,2034,APERC GDP projections,696989.4315444824,GDP_low
04_CHL,Chile,2035,APERC GDP projections,705974.9426078958,GDP_low
04_CHL,Chile,2036,APERC GDP projections,714466.9544888329,GDP_low
04_CHL,Chile,2037,APERC GDP projections,723123.4679712332,GDP_low
04_CHL,Chile,2038,APERC GDP projections,731853.0512012291,GDP_low
04_CHL,Chile,2039,APERC GDP projections,740680.5982039836,GDP_low
04_CHL,Chile,2040,APERC GDP projections,749819.5385611021,GDP_low
04_CHL,Chile,2041,APERC GDP projections,759227.2232375719,GDP_low
04_CHL,Chile,2042,APERC GDP projections,768406.3739780093,GDP_low
04_CHL,Chile,2043,APERC GDP projections,777887.0044676433,GDP_low
04_CHL,Chile,2044,APERC GDP projections,787609.3878810938,GDP_low
04_CHL,Chile,2045,APERC GDP projections,797395.9316184941,GDP_low
04_CHL,Chile,2046,APERC GDP projections,807302.666181721,GDP_low
04_CHL,Chile,2047,APERC GDP projections,817471.7496847496,GDP_low
04_CHL,Chile,2048,APERC GDP projections,827679.9669101837,GDP_low
04_CHL,Chile,2049,APERC GDP projections,837816.0206414078,GDP_low
04_CHL,Chile,2050,APERC GDP projections,847936.5984587165,GDP_low
04_CHL,Chile,2051,APERC GDP projections,858085.7553805007,GDP_low
04_CHL,Chile,2052,APERC GDP projections,868162.7625168555,GDP_low
04_CHL,Chile,2053,APERC GDP projections,878152.6342107326,GDP_low
04_CHL,Chile,2054,APERC GDP projections,888009.4764147982,GDP_low
04_CHL,Chile,2055,APERC GDP projections,897809.3874180939,GDP_low
04_CHL,Chile,2056,APERC GDP projections,907464.2894618672,GDP_low
04_CHL,Chile,2057,APERC GDP projections,917028.4059659255,GDP_low
04_CHL,Chile,2058,APERC GDP projections,926447.0713765252,GDP_low
04_CHL,Chile,2059,APERC GDP projections,935805.572993878,GDP_low
04_CHL,Chile,2060,APERC GDP projections,944926.2403323412,GDP_low
04_CHL,Chile,2061,APERC GDP projections,953929.9056623098,GDP_low
04_CHL,Chile,2062,APERC GDP projections,962712.4620559248,GDP_low
04_CHL,Chile,2063,APERC GDP projections,971299.6490729152,GDP_low
04_CHL,Chile,2064,APERC GDP projections,979574.8100977576,GDP_low
04_CHL,Chile,2065,APERC GDP projections,987593.384786088,GDP_low
04_CHL,Chile,2066,APERC GDP projections,995443.78721779,GDP_low
04_CHL,Chile,2067,APERC GDP projections,1002997.2668944716,GDP_low
04_CHL,Chile,2068,APERC GDP projections,1010372.5211835868,GDP_low
04_CHL,Chile,2069,APERC GDP projections,1017535.4572466172,GDP_low
04_CHL,Chile,2070,APERC GDP projections,1024522.8605642398,GDP_low
04_CHL,Chile,2071,APERC GDP projections,1031274.564806394,GDP_low
04_CHL,Chile,2072,APERC GDP projections,1037751.1622565778,GDP_low
04_CHL,Chile,2073,APERC GDP projections,1044067.0332839916,GDP_low
