economy_code,economy,year,variable,value,population
05_PRC,China,1990,APERC GDP projections,,GDP_low
05_PRC,China,1991,APERC GDP projections,,GDP_low
05_PRC,China,1992,APERC GDP projections,,GDP_low
05_PRC,China,1993,APERC GDP projections,,GDP_low
05_PRC,China,1994,APERC GDP projections,,GDP_low
05_PRC,China,1995,APERC GDP projections,,GDP_low
05_PRC,China,1996,APERC GDP projections,,GDP_low
05_PRC,China,1997,APERC GDP projections,,GDP_low
05_PRC,China,1998,APERC GDP projections,,GDP_low
05_PRC,China,1999,APERC GDP projections,,GDP_low
05_PRC,China,2000,APERC GDP projections,,GDP_low
05_PRC,China,2001,APERC GDP projections,,GDP_low
05_PRC,China,2002,APERC GDP projections,,GDP_low
05_PRC,China,2003,APERC GDP projections,,GDP_low
05_PRC,China,2004,APERC GDP projections,,GDP_low
05_PRC,China,2005,APERC GDP projections,,GDP_low
05_PRC,China,2006,APERC GDP projections,,GDP_low
05_PRC,China,2007,APERC GDP projections,,GDP_low
05_PRC,China,2008,APERC GDP projections,,GDP_low
05_PRC,China,2009,APERC GDP projections,,GDP_low
05_PRC,China,2010,APERC GDP projections,,GDP_low
05_PRC,China,2011,APERC GDP projections,,GDP_low
05_PRC,China,2012,APERC GDP projections,,GDP_low
05_PRC,China,2013,APERC GDP projections,,GDP_low
05_PRC,China,2014,APERC GDP projections,,GDP_low
05_PRC,China,2015,APERC GDP projections,,GDP_low
05_PRC,China,2016,APERC GDP projections,,GDP_low
05_PRC,China,2017,APERC GDP projections,,GDP_low
05_PRC,China,2018,APERC GDP projections,,GDP_low
05_PRC,China,2019,APERC GDP projections,,GDP_low
05_PRC,China,2020,APERC GDP projections,,GDP_low
05_PRC,China,2021,APERC GDP projections,,GDP_low
05_PRC,China,2022,APERC GDP projections,,GDP_low
05_PRC,China,2023,APERC GDP projections,,GDP_low
05_PRC,China,2024,APERC GDP projections,,GDP_low
05_PRC,China,2025,APERC GDP projections,,GDP_low
05_PRC,China,2026,APERC GDP projections,36554363.82829243,GDP_low
05_PRC,China,2027,APERC GDP projections,37826123.292323634,GDP_low
05_PRC,China,2028,APERC GDP projections,39056366.18808497,GDP_low
05_PRC,China,2029,APERC GDP projections,40243624.01917084,GDP_low
05_PRC,China,2030,APERC GDP projections,41380427.56916077,GDP_low
05_PRC,China,2031,APERC GDP projections,42623452.04570167,GDP_low
05_PRC,China,2032,APERC GDP projections,43725247.963762656,GDP_low
05_PRC,China,2033,APERC GDP projections,44886404.702919856,GDP_low
05_PRC,China,2034,APERC GDP projections,46015436.165726975,GDP_low
05_PRC,China,2035,APERC GDP projections,47069878.95592965,GDP_low
05_PRC,China,2036,APERC GDP projections,48053914.38976531,GDP_low
05_PRC,China,2037,APERC GDP projections,49010796.10492188,GDP_low
05_PRC,China,2038,APERC GDP projections,49943275.80956846,GDP_low
05_PRC,China,2039,APERC GDP projections,50864134.28147138,GDP_low
05_PRC,China,2040,APERC GDP projections,51771393.9590841,GDP_low
05_PRC,China,2041,APERC GDP projections,52664594.74115484,GDP_low
05_PRC,China,2042,APERC GDP projections,53524578.58208753,GDP_low
05_PRC,China,2043,APERC GDP projections,54362546.41335132,GDP_low
05_PRC,China,2044,APERC GDP projections,55166325.56096319,GDP_low
05_PRC,China,2045,APERC GDP projections,55932356.7027182,GDP_low
05_PRC,China,2046,APERC GDP projections,56659793.65749166,GDP_low
05_PRC,China,2047,APERC GDP projections,57352112.09208793,GDP_low
05_PRC,China,2048,APERC GDP projections,58009928.66889463,GDP_low
