economy_code,economy,year,variable,value,population
06_HKC,"Hong Kong, China",1990,APERC GDP projections,,GDP_low
06_HKC,"Hong Kong, China",1991,APERC GDP projections,,GDP_low
06_HKC,"Hong Kong, China",1992,APERC GDP projections,,GDP_low
06_HKC,"Hong Kong, China",1993,APERC GDP projections,,GDP_low
06_HKC,"Hong Kong, China",1994,APERC GDP projections,,GDP_low
06_HKC,"Hong Kong, China",1995,APERC GDP projections,,GDP_low
06_HKC,"Hong Kong, China",1996,APERC GDP projections,,GDP_low
06_HKC,"Hong Kong, China",1997,APERC GDP projections,,GDP_low
06_HKC,"Hong Kong, China",1998,APERC GDP projections,,GDP_low
06_HKC,"Hong Kong, China",1999,APERC GDP projections,,GDP_low
06_HKC,"Hong Kong, China",2000,APERC GDP projections,,GDP_low
06_HKC,"Hong Kong, China",2001,APERC GDP projections,,GDP_low
06_HKC,"Hong Kong, China",2002,APERC GDP projections,,GDP_low
06_HKC,"Hong Kong, China",2003,APERC GDP projections,,GDP_low
06_HKC,"Hong Kong, China",2004,APERC GDP projections,,GDP_low
06_HKC,"Hong Kong, China",2005,APERC GDP projections,,GDP_low
06_HKC,"Hong Kong, China",2006,APERC GDP projections,,GDP_low
06_HKC,"Hong Kong, China",2007,APERC GDP projections,,GDP_low
06_HKC,"Hong Kong, China",2008,APERC GDP projections,,GDP_low
06_HKC,"Hong Kong, China",2009,APERC GDP projections,,GDP_low
06_HKC,"Hong Kong, China",2010,APERC GDP projections,,GDP_low
06_HKC,"Hong Kong, China",2011,APERC GDP projections,,GDP_low
06_HKC,"Hong Kong, China",2012,APERC GDP projections,,GDP_low
06_HKC,"Hong Kong, China",2013,APERC GDP projections,,GDP_low
06_HKC,"Hong Kong, China",2014,APERC GDP projections,,GDP_low
06_HKC,"Hong Kong, China",2015,APERC GDP projections,,GDP_low
06_HKC,"Hong Kong, China",2016,APERC GDP projections,,GDP_low
06_HKC,"Hong Kong, China",2017,APERC GDP projections,,GDP_low
06_HKC,"Hong Kong, China",2018,APERC GDP projections,,GDP_low
06_HKC,"Hong Kong, China",2019,APERC GDP projections,,GDP_low
06_HKC,"Hong Kong, China",2020,APERC GDP projections,,GDP_low
06_HKC,"Hong Kong, China",2021,APERC GDP projections,,GDP_low
06_HKC,"Hong Kong, China",2022,APERC GDP projections,,GDP_low
06_HKC,"Hong Kong, China",2023,APERC GDP projections,,GDP_low
06_HKC,"Hong Kong, China",2024,APERC GDP projections,,GDP_low
06_HKC,"Hong Kong, China",2025,APERC GDP projections,,GDP_low
06_HKC,"Hong Kong, China",2026,APERC GDP projections,525570.1140822719,GDP_low
06_HKC,"Hong Kong, China",2027,APERC GDP projections,534057.2532001373,GDP_low
06_HKC,"Hong Kong, China",2028,APERC GDP projections,542188.6392261107,GDP_low
06_HKC,"Hong Kong, China",2029,APERC GDP projections,547925.0450632472,GDP_low
06_HKC,"Hong Kong, China",2030,APERC GDP projections,555348.7567201687,GDP_low
06_HKC,"Hong Kong, China",2031,APERC GDP projections,564951.7238120936,GDP_low
06_HKC,"Hong Kong, China",2032,APERC GDP projections,574190.6148604217,GDP_low
06_HKC,"Hong Kong, China",2033,APERC GDP projections,583679.9753196586,GDP_low
06_HKC,"Hong Kong, China",2034,APERC GDP projections,591810.3138956748,GDP_low
06_HKC,"Hong Kong, China",2035,APERC GDP projections,599583.6288092673,GDP_low
06_HKC,"Hong Kong, China",2036,APERC GDP projections,605426.6191167453,GDP_low
06_HKC,"Hong Kong, China",2037,APERC GDP projections,611822.0768173408,GDP_low
06_HKC,"Hong Kong, China",2038,APERC GDP projections,619363.2284480279,GDP_low
06_HKC,"Hong Kong, China",2039,APERC GDP projections,624164.5107844129,GDP_low
06_HKC,"Hong Kong, China",2040,APERC GDP projections,631009.3092185359,GDP_low
06_HKC,"Hong Kong, China",2041,APERC GDP projections,635921.2541310127,GDP_low
06_HKC,"Hong Kong, China",2042,APERC GDP projections,640345.2914204047,GDP_low
06_HKC,"Hong Kong, China",2043,APERC GDP projections,643711.6868870568,GDP_low
06_HKC,"Hong Kong, China",2044,APERC GDP projections,647930.749138226,GDP_low
06_HKC,"Hong Kong, China",2045,APERC GDP projections,651574.031789571,GDP_low
06_HKC,"Hong Kong, China",2046,APERC GDP projections,654571.3679951514,GDP_low
06_HKC,"Hong Kong, China",2047,APERC GDP projections,657139.4653081793,GDP_low
06_HKC,"Hong Kong, China",2048,APERC GDP projections,657831.6129356687,GDP_low
06_HKC,"Hong Kong, China",2049,APERC GDP projections,659764.0208575177,GDP_low
06_HKC,"Hong Kong, China",2050,APERC GDP projections,660731.243334422,GDP_low
06_HKC,"Hong Kong, China",2051,APERC GDP projections,661937.6847789907,GDP_low
06_HKC,"Hong Kong, China",2052,APERC GDP projections,662258.380409904,GDP_low
06_HKC,"Hong Kong, China",2053,APERC GDP projections,662617.1366716102,GDP_low
06_HKC,"Hong Kong, China",2054,APERC GDP projections,662954.8625788265,GDP_low
06_HKC,"Hong Kong, China",2055,APERC GDP projections,663027.030933053,GDP_low
06_HKC,"Hong Kong, China",2056,APERC GDP projections,662549.0164500044,GDP_low
06_HKC,"Hong Kong, China",2057,APERC GDP projections,661605.623712132,GDP_low
06_HKC,"Hong Kong, China",2058,APERC GDP projections,660301.788457998,GDP_low
06_HKC,"Hong Kong, China",2059,APERC GDP projections,658631.3298595754,GDP_low
06_HKC,"Hong Kong, China",2060,APERC GDP projections,657129.5256550121,GDP_low
06_HKC,"Hong Kong, China",2061,APERC GDP projections,655374.965133624,GDP_low
06_HKC,"Hong Kong, China",2062,APERC GDP projections,653151.7998888537,GDP_low
06_HKC,"Hong Kong, China",2063,APERC GDP projections,651787.3682584182,GDP_low
06_HKC,"Hong Kong, China",2064,APERC GDP projections,650276.3476344276,GDP_low
06_HKC,"Hong Kong, China",2065,APERC GDP projections,647655.0681493767,GDP_low
