economy_code,economy,year,variable,value,population
07_INA,Indonesia,1990,APERC GDP projections,,GDP_low
07_INA,Indonesia,1991,APERC GDP projections,,GDP_low
07_INA,Indonesia,1992,APERC GDP projections,,GDP_low
07_INA,Indonesia,1993,APERC GDP projections,,GDP_low
07_INA,Indonesia,1994,APERC GDP projections,,GDP_low
07_INA,Indonesia,1995,APERC GDP projections,,GDP_low
07_INA,Indonesia,1996,APERC GDP projections,,GDP_low
07_INA,Indonesia,1997,APERC GDP projections,,GDP_low
07_INA,Indonesia,1998,APERC GDP projections,,GDP_low
07_INA,Indonesia,1999,APERC GDP projections,,GDP_low
07_INA,Indonesia,2000,APERC GDP projections,,GDP_low
07_INA,Indonesia,2001,APERC GDP projections,,GDP_low
07_INA,Indonesia,2002,APERC GDP projections,,GDP_low
07_INA,Indonesia,2003,APERC GDP projections,,GDP_low
07_INA,Indonesia,2004,APERC GDP projections,,GDP_low
07_INA,Indonesia,2005,APERC GDP projections,,GDP_low
07_INA,Indonesia,2006,APERC GDP projections,,GDP_low
07_INA,Indonesia,2007,APERC GDP projections,,GDP_low
07_INA,Indonesia,2008,APERC GDP projections,,GDP_low
07_INA,Indonesia,2009,APERC GDP projections,,GDP_low
07_INA,Indonesia,2010,APERC GDP projections,,GDP_low
07_INA,Indonesia,2011,APERC GDP projections,,GDP_low
07_INA,Indonesia,2012,APERC GDP projections,,GDP_low
07_INA,Indonesia,2013,APERC GDP projections,,GDP_low
07_INA,Indonesia,2014,APERC GDP projections,,GDP_low
07_INA,Indonesia,2015,APERC GDP projections,,GDP_low
07_INA,Indonesia,2016,APERC GDP projections,,GDP_low
07_INA,Indonesia,2017,APERC GDP projections,,GDP_low
07_INA,Indonesia,2018,APERC GDP projections,,GDP_low
07_INA,Indonesia,2019,APERC GDP projections,,GDP_low
07_INA,Indonesia,2020,APERC GDP projections,,GDP_low
07_INA,Indonesia,2021,APERC GDP projections,,GDP_low
07_INA,Indonesia,2022,APERC GDP projections,,GDP_low
07_INA,Indonesia,2023,APERC GDP projections,,GDP_low
07_INA,Indonesia,2024,APERC GDP projections,,GDP_low
07_INA,Indonesia,2025,APERC GDP projections,,GDP_low
07_INA,Indonesia,2026,APERC GDP projections,4513314.597609472,GDP_low
07_INA,Indonesia,2027,APERC GDP projections,4729717.141600824,GDP_low
07_INA,Indonesia,2028,APERC GDP projections,4948130.829763192,GDP_low
07_INA,Indonesia,2029,APERC GDP projections,5170974.953889814,GDP_low
07_INA,Indonesia,2030,APERC GDP projections,5395377.696436891,GDP_low
07_INA,Indonesia,2031,APERC GDP projections,5622588.334678799,GDP_low
07_INA,Indonesia,2032,APERC GDP projections,5855629.546381928,GDP_low
07_INA,Indonesia,2033,APERC GDP projections,6092147.639784655,GDP_low
07_INA,Indonesia,2034,APERC GDP projections,6332669.656925949,GDP_low
07_INA,Indonesia,2035,APERC GDP projections,6574084.795258764,GDP_low
07_INA,Indonesia,2036,APERC GDP projections,6818778.724540662,GDP_low
07_INA,Indonesia,2037,APERC GDP projections,7066990.432054926,GDP_low
07_INA,Indonesia,2038,APERC GDP projections,7318255.18034941,GDP_low
07_INA,Indonesia,2039,APERC GDP projections,7572410.006435288,GDP_low
07_INA,Indonesia,2040,APERC GDP projections,7829333.971887377,GDP_low
07_INA,Indonesia,2041,APERC GDP projections,8088740.49076411,GDP_low
07_INA,Indonesia,2042,APERC GDP projections,8350487.942055028,GDP_low
07_INA,Indonesia,2043,APERC GDP projections,8614240.836719174,GDP_low
07_INA,Indonesia,2044,APERC GDP projections,8879850.05920474,GDP_low
07_INA,Indonesia,2045,APERC GDP projections,9146979.727802644,GDP_low
07_INA,Indonesia,2046,APERC GDP projections,9415356.765031485,GDP_low
07_INA,Indonesia,2047,APERC GDP projections,9684685.74453817,GDP_low
07_INA,Indonesia,2048,APERC GDP projections,9954796.59143245,GDP_low
07_INA,Indonesia,2049,APERC GDP projections,10225609.384995902,GDP_low
07_INA,Indonesia,2050,APERC GDP projections,10496542.097127924,GDP_low
07_INA,Indonesia,2051,APERC GDP projections,10767338.778602917,GDP_low
07_INA,Indonesia,2052,APERC GDP projections,11037645.634162256,GDP_low
07_INA,Indonesia,2053,APERC GDP projections,11307299.518025383,GDP_low
07_INA,Indonesia,2054,APERC GDP projections,11576149.225514086,GDP_low
07_INA,Indonesia,2055,APERC GDP projections,11843861.407496756,GDP_low
07_INA,Indonesia,2056,APERC GDP projections,12110248.469021874,GDP_low
07_INA,Indonesia,2057,APERC GDP projections,12375149.35581966,GDP_low
07_INA,Indonesia,2058,APERC GDP projections,12638163.476503298,GDP_low
07_INA,Indonesia,2059,APERC GDP projections,12902710.18400432,GDP_low
07_INA,Indonesia,2060,APERC GDP projections,13168488.49301937,GDP_low
07_INA,Indonesia,2061,APERC GDP projections,13435509.080769662,GDP_low
07_INA,Indonesia,2062,APERC GDP projections,13703482.533057451,GDP_low
07_INA,Indonesia,2063,APERC GDP projections,13972354.888390703,GDP_low
07_INA,Indonesia,2064,APERC GDP projections,14242006.323276095,GDP_low
07_INA,Indonesia,2065,APERC GDP projections,14514984.59992592,GDP_low
07_INA,Indonesia,2066,APERC GDP projections,14791398.549093047,GDP_low
07_INA,Indonesia,2067,APERC GDP projections,15071190.395701444,GDP_low
07_INA,Indonesia,2068,APERC GDP projections,15354397.373479169,GDP_low
07_INA,Indonesia,2069,APERC GDP projections,15641100.053753631,GDP_low
07_INA,Indonesia,2070,APERC GDP projections,15931303.96047796,GDP_low
07_INA,Indonesia,2071,APERC GDP projections,16225124.242465211,GDP_low
07_INA,Indonesia,2072,APERC GDP projections,16522517.495218456,GDP_low
07_INA,Indonesia,2073,APERC GDP projections,16823319.386374645,GDP_low
07_INA,Indonesia,2074,APERC GDP projections,17127375.685388062,GDP_low
07_INA,Indonesia,2075,APERC GDP projections,17434843.856680743,GDP_low
