economy_code,economy,year,variable,value,population
08_JPN,Japan,1990,APERC GDP projections,,GDP_low
08_JPN,Japan,1991,APERC GDP projections,,GDP_low
08_JPN,Japan,1992,APERC GDP projections,,GDP_low
08_JPN,Japan,1993,APERC GDP projections,,GDP_low
08_JPN,Japan,1994,APERC GDP projections,,GDP_low
08_JPN,Japan,1995,APERC GDP projections,,GDP_low
08_JPN,Japan,1996,APERC GDP projections,,GDP_low
08_JPN,Japan,1997,APERC GDP projections,,GDP_low
08_JPN,Japan,1998,APERC GDP projections,,GDP_low
08_JPN,Japan,1999,APERC GDP projections,,GDP_low
08_JPN,Japan,2000,APERC GDP projections,,GDP_low
08_JPN,Japan,2001,APERC GDP projections,,GDP_low
08_JPN,Japan,2002,APERC GDP projections,,GDP_low
08_JPN,Japan,2003,APERC GDP projections,,GDP_low
08_JPN,Japan,2004,APERC GDP projections,,GDP_low
08_JPN,Japan,2005,APERC GDP projections,,GDP_low
08_JPN,Japan,2006,APERC GDP projections,,GDP_low
08_JPN,Japan,2007,APERC GDP projections,,GDP_low
08_JPN,Japan,2008,APERC GDP projections,,GDP_low
08_JPN,Japan,2009,APERC GDP projections,,GDP_low
08_JPN,Japan,2010,APERC GDP projections,,GDP_low
08_JPN,Japan,2011,APERC GDP projections,,GDP_low
08_JPN,Japan,2012,APERC GDP projections,,GDP_low
08_JPN,Japan,2013,APERC GDP projections,,GDP_low
08_JPN,Japan,2014,APERC GDP projections,,GDP_low
08_JPN,Japan,2015,APERC GDP projections,,GDP_low
08_JPN,Japan,2016,APERC GDP projections,,GDP_low
08_JPN,Japan,2017,APERC GDP projections,,GDP_low
08_JPN,Japan,2018,APERC GDP projections,,GDP_low
08_JPN,Japan,2019,APERC GDP projections,,GDP_low
08_JPN,Japan,2020,APERC GDP projections,,GDP_low
08_JPN,Japan,2021,APERC GDP projections,,GDP_low
08_JPN,Japan,2022,APERC GDP projections,,GDP_low
08_JPN,Japan,2023,APERC GDP projections,,GDP_low
08_JPN,Japan,2024,APERC GDP projections,,GDP_low
08_JPN,Japan,2025,APERC GDP projections,,GDP_low
08_JPN,Japan,2026,APERC GDP projections,5996003.73041341,GDP_low
08_JPN,Japan,2027,APERC GDP projections,6035212.096315742,GDP_low
08_JPN,Japan,2028,APERC GDP projections,6069412.625624806,GDP_low
08_JPN,Japan,2029,APERC GDP projections,6103281.439129014,GDP_low
08_JPN,Japan,2030,APERC GDP projections,6140724.805613829,GDP_low
08_JPN,Japan,2031,APERC GDP projections,6192943.714335447,GDP_low
08_JPN,Japan,2032,APERC GDP projections,6245184.415534443,GDP_low
08_JPN,Japan,2033,APERC GDP projections,6294607.9856856,GDP_low
08_JPN,Japan,2034,APERC GDP projections,6341635.4352764,GDP_low
08_JPN,Japan,2035,APERC GDP projections,6386473.213085444,GDP_low
08_JPN,Japan,2036,APERC GDP projections,6433205.1658568885,GDP_low
08_JPN,Japan,2037,APERC GDP projections,6481485.977152027,GDP_low
08_JPN,Japan,2038,APERC GDP projections,6529832.286837965,GDP_low
08_JPN,Japan,2039,APERC GDP projections,6578409.668178675,GDP_low
08_JPN,Japan,2040,APERC GDP projections,6627071.91561925,GDP_low
