economy_code,economy,year,variable,value,population
09_ROK,Korea,1990,APERC GDP projections,,GDP_low
09_ROK,Korea,1991,APERC GDP projections,,GDP_low
09_ROK,Korea,1992,APERC GDP projections,,GDP_low
09_ROK,Korea,1993,APERC GDP projections,,GDP_low
09_ROK,Korea,1994,APERC GDP projections,,GDP_low
09_ROK,Korea,1995,APERC GDP projections,,GDP_low
09_ROK,Korea,1996,APERC GDP projections,,GDP_low
09_ROK,Korea,1997,APERC GDP projections,,GDP_low
09_ROK,Korea,1998,APERC GDP projections,,GDP_low
09_ROK,Korea,1999,APERC GDP projections,,GDP_low
09_ROK,Korea,2000,APERC GDP projections,,GDP_low
09_ROK,Korea,2001,APERC GDP projections,,GDP_low
09_ROK,Korea,2002,APERC GDP projections,,GDP_low
09_ROK,Korea,2003,APERC GDP projections,,GDP_low
09_ROK,Korea,2004,APERC GDP projections,,GDP_low
09_ROK,Korea,2005,APERC GDP projections,,GDP_low
09_ROK,Korea,2006,APERC GDP projections,,GDP_low
09_ROK,Korea,2007,APERC GDP projections,,GDP_low
09_ROK,Korea,2008,APERC GDP projections,,GDP_low
09_ROK,Korea,2009,APERC GDP projections,,GDP_low
09_ROK,Korea,2010,APERC GDP projections,,GDP_low
09_ROK,Korea,2011,APERC GDP projections,,GDP_low
09_ROK,Korea,2012,APERC GDP projections,,GDP_low
09_ROK,Korea,2013,APERC GDP projections,,GDP_low
09_ROK,Korea,2014,APERC GDP projections,,GDP_low
09_ROK,Korea,2015,APERC GDP projections,,GDP_low
09_ROK,Korea,2016,APERC GDP projections,,GDP_low
09_ROK,Korea,2017,APERC GDP projections,,GDP_low
09_ROK,Korea,2018,APERC GDP projections,,GDP_low
09_ROK,Korea,2019,APERC GDP projections,,GDP_low
09_ROK,Korea,2020,APERC GDP projections,,GDP_low
09_ROK,Korea,2021,APERC GDP projections,,GDP_low
09_ROK,Korea,2022,APERC GDP projections,,GDP_low
09_ROK,Korea,2023,APERC GDP projections,,GDP_low
09_ROK,Korea,2024,APERC GDP projections,,GDP_low
09_ROK,Korea,2025,APERC GDP projections,,GDP_low
09_ROK,Korea,2026,APERC GDP projections,2908900.154146088,GDP_low
09_ROK,Korea,2027,APERC GDP projections,2937771.5114150145,GDP_low
09_ROK,Korea,2028,APERC GDP projections,2965803.079418749,GDP_low
09_ROK,Korea,2029,APERC GDP projections,2993199.964471149,GDP_low
09_ROK,Korea,2030,APERC GDP projections,3018038.0141856284,GDP_low
09_ROK,Korea,2031,APERC GDP projections,3047446.151662834,GDP_low
09_ROK,Korea,2032,APERC GDP projections,3076181.2674622955,GDP_low
09_ROK,Korea,2033,APERC GDP projections,3104135.5151368845,GDP_low
09_ROK,Korea,2034,APERC GDP projections,3124753.2339170794,GDP_low
09_ROK,Korea,2035,APERC GDP projections,3143345.694747084,GDP_low
09_ROK,Korea,2036,APERC GDP projections,3161015.0051940577,GDP_low
09_ROK,Korea,2037,APERC GDP projections,3177753.021048041,GDP_low
09_ROK,Korea,2038,APERC GDP projections,3193446.458692251,GDP_low
09_ROK,Korea,2039,APERC GDP projections,3208122.747073536,GDP_low
09_ROK,Korea,2040,APERC GDP projections,3221854.758165772,GDP_low
09_ROK,Korea,2041,APERC GDP projections,3234751.4619120327,GDP_low
09_ROK,Korea,2042,APERC GDP projections,3246546.839657384,GDP_low
