economy_code,economy,year,variable,value,population
11_MEX,Mexico,1990,APERC GDP projections,,GDP_low
11_MEX,Mexico,1991,APERC GDP projections,,GDP_low
11_MEX,Mexico,1992,APERC GDP projections,,GDP_low
11_MEX,Mexico,1993,APERC GDP projections,,GDP_low
11_MEX,Mexico,1994,APERC GDP projections,,GDP_low
11_MEX,Mexico,1995,APERC GDP projections,,GDP_low
11_MEX,Mexico,1996,APERC GDP projections,,GDP_low
11_MEX,Mexico,1997,APERC GDP projections,,GDP_low
11_MEX,Mexico,1998,APERC GDP projections,,GDP_low
11_MEX,Mexico,1999,APERC GDP projections,,GDP_low
11_MEX,Mexico,2000,APERC GDP projections,,GDP_low
11_MEX,Mexico,2001,APERC GDP projections,,GDP_low
11_MEX,Mexico,2002,APERC GDP projections,,GDP_low
11_MEX,Mexico,2003,APERC GDP projections,,GDP_low
11_MEX,Mexico,2004,APERC GDP projections,,GDP_low
11_MEX,Mexico,2005,APERC GDP projections,,GDP_low
11_MEX,Mexico,2006,APERC GDP projections,,GDP_low
11_MEX,Mexico,2007,APERC GDP projections,,GDP_low
11_MEX,Mexico,2008,APERC GDP projections,,GDP_low
11_MEX,Mexico,2009,APERC GDP projections,,GDP_low
11_MEX,Mexico,2010,APERC GDP projections,,GDP_low
11_MEX,Mexico,2011,APERC GDP projections,,GDP_low
11_MEX,Mexico,2012,APERC GDP projections,,GDP_low
11_MEX,Mexico,2013,APERC GDP projections,,GDP_low
11_MEX,Mexico,2014,APERC GDP projections,,GDP_low
11_MEX,Mexico,2015,APERC GDP projections,,GDP_low
11_MEX,Mexico,2016,APERC GDP projections,,GDP_low
11_MEX,Mexico,2017,APERC GDP projections,,GDP_low
11_MEX,Mexico,2018,APERC GDP projections,,GDP_low
11_MEX,Mexico,2019,APERC GDP projections,,GDP_low
11_MEX,Mexico,2020,APERC GDP projections,,GDP_low
11_MEX,Mexico,2021,APERC GDP projections,,GDP_low
11_MEX,Mexico,2022,APERC GDP projections,,GDP_low
11_MEX,Mexico,2023,APERC GDP projections,,GDP_low
11_MEX,Mexico,2024,APERC GDP projections,,GDP_low
11_MEX,Mexico,2025,APERC GDP projections,,GDP_low
11_MEX,Mexico,2026,APERC GDP projections,2914094.77633573,GDP_low
11_MEX,Mexico,2027,APERC GDP projections,2936581.961256215,GDP_low
11_MEX,Mexico,2028,APERC GDP projections,2957989.14288468,GDP_low
11_MEX,Mexico,2029,APERC GDP projections,2977798.475474441,GDP_low
11_MEX,Mexico,2030,APERC GDP projections,3000221.1258105207,GDP_low
11_MEX,Mexico,2031,APERC GDP projections,3042528.0355045795,GDP_low
11_MEX,Mexico,2032,APERC GDP projections,3079347.297847355,GDP_low
11_MEX,Mexico,2033,APERC GDP projections,3110164.2712693093,GDP_low
11_MEX,Mexico,2034,APERC GDP projections,3137212.515926172,GDP_low
11_MEX,Mexico,2035,APERC GDP projections,3163084.8768279934,GDP_low
11_MEX,Mexico,2036,APERC GDP projections,3190505.9705490563,GDP_low
11_MEX,Mexico,2037,APERC GDP projections,3218768.066524403,GDP_low
11_MEX,Mexico,2038,APERC GDP projections,3248148.3615764263,GDP_low
11_MEX,Mexico,2039,APERC GDP projections,3278750.996465469,GDP_low
11_MEX,Mexico,2040,APERC GDP projections,3310822.091347973,GDP_low
11_MEX,Mexico,2041,APERC GDP projections,3344079.737214277,GDP_low
11_MEX,Mexico,2042,APERC GDP projections,3376452.905318171,GDP_low
11_MEX,Mexico,2043,APERC GDP projections,3408389.543405069,GDP_low
11_MEX,Mexico,2044,APERC GDP projections,3440456.886395577,GDP_low
11_MEX,Mexico,2045,APERC GDP projections,3473206.3995509385,GDP_low
11_MEX,Mexico,2046,APERC GDP projections,3506532.833798865,GDP_low
11_MEX,Mexico,2047,APERC GDP projections,3539455.421215997,GDP_low
11_MEX,Mexico,2048,APERC GDP projections,3571905.161272619,GDP_low
11_MEX,Mexico,2049,APERC GDP projections,3604012.7672190713,GDP_low
11_MEX,Mexico,2050,APERC GDP projections,3635499.21348632,GDP_low
11_MEX,Mexico,2051,APERC GDP projections,3666551.625283406,GDP_low
11_MEX,Mexico,2052,APERC GDP projections,3697058.176199092,GDP_low
11_MEX,Mexico,2053,APERC GDP projections,3727040.514775295,GDP_low
11_MEX,Mexico,2054,APERC GDP projections,3756434.737570976,GDP_low
11_MEX,Mexico,2055,APERC GDP projections,3785258.77685647,GDP_low
11_MEX,Mexico,2056,APERC GDP projections,3813512.008285179,GDP_low
11_MEX,Mexico,2057,APERC GDP projections,3841170.961842017,GDP_low
11_MEX,Mexico,2058,APERC GDP projections,3868293.154076775,GDP_low
11_MEX,Mexico,2059,APERC GDP projections,3894880.021453845,GDP_low
11_MEX,Mexico,2060,APERC GDP projections,3920842.228285145,GDP_low
11_MEX,Mexico,2061,APERC GDP projections,3946141.568748036,GDP_low
11_MEX,Mexico,2062,APERC GDP projections,3970893.255465952,GDP_low
11_MEX,Mexico,2063,APERC GDP projections,3995048.673918743,GDP_low
11_MEX,Mexico,2064,APERC GDP projections,4018582.3816628936,GDP_low
11_MEX,Mexico,2065,APERC GDP projections,4041506.3390599065,GDP_low
11_MEX,Mexico,2066,APERC GDP projections,4063777.607046202,GDP_low
11_MEX,Mexico,2067,APERC GDP projections,4085470.9523619167,GDP_low
11_MEX,Mexico,2068,APERC GDP projections,4106600.3660534928,GDP_low
11_MEX,Mexico,2069,APERC GDP projections,4127087.2658657846,GDP_low
11_MEX,Mexico,2070,APERC GDP projections,4146941.069620157,GDP_low
11_MEX,Mexico,2071,APERC GDP projections,4166090.321115492,GDP_low
11_MEX,Mexico,2072,APERC GDP projections,4184701.826108946,GDP_low
11_MEX,Mexico,2073,APERC GDP projections,4202598.289081532,GDP_low
11_MEX,Mexico,2074,APERC GDP projections,4219773.017180601,GDP_low
11_MEX,Mexico,2075,APERC GDP projections,4236266.078196866,GDP_low
11_MEX,Mexico,2076,APERC GDP projections,4252078.688774752,GDP_low
11_MEX,Mexico,2077,APERC GDP projections,4267187.448864271,GDP_low
11_MEX,Mexico,2078,APERC GDP projections,4281545.329765159,GDP_low
11_MEX,Mexico,2079,APERC GDP projections,4295127.898412829,GDP_low
11_MEX,Mexico,2080,APERC GDP projections,4307899.56070766,GDP_low
11_MEX,Mexico,2081,APERC GDP projections,4319865.275800542,GDP_low
11_MEX,Mexico,2082,APERC GDP projections,4330975.818356932,GDP_low
11_MEX,Mexico,2083,APERC GDP projections,4341424.264232406,GDP_low
11_MEX,Mexico,2084,APERC GDP projections,4350933.958834462,GDP_low
11_MEX,Mexico,2085,APERC GDP projections,4359589.328142504,GDP_low
11_MEX,Mexico,2086,APERC GDP projections,4367281.948750369,GDP_low
11_MEX,Mexico,2087,APERC GDP projections,4374169.708024081,GDP_low
11_MEX,Mexico,2088,APERC GDP projections,4380267.835315837,GDP_low
11_MEX,Mexico,2089,APERC GDP projections,4385576.637516567,GDP_low
11_MEX,Mexico,2090,APERC GDP projections,4389953.386939293,GDP_low
11_MEX,Mexico,2091,APERC GDP projections,4393466.68388755,GDP_low
11_MEX,Mexico,2092,APERC GDP projections,4396061.443882294,GDP_low
11_MEX,Mexico,2093,APERC GDP projections,4397918.924915026,GDP_low
11_MEX,Mexico,2094,APERC GDP projections,4398756.874023582,GDP_low
11_MEX,Mexico,2095,APERC GDP projections,4398753.049397915,GDP_low
11_MEX,Mexico,2096,APERC GDP projections,4397948.349624349,GDP_low
11_MEX,Mexico,2097,APERC GDP projections,4396414.517852764,GDP_low
11_MEX,Mexico,2098,APERC GDP projections,4394091.403815841,GDP_low
11_MEX,Mexico,2099,APERC GDP projections,4391063.103214175,GDP_low
11_MEX,Mexico,2100,APERC GDP projections,4387286.754298617,GDP_low
11_MEX,Mexico,1990,APERC GDP projections,,GDP_high
11_MEX,Mexico,1991,APERC GDP projections,,GDP_high
11_MEX,Mexico,1992,APERC GDP projections,,GDP_high
11_MEX,Mexico,1993,APERC GDP projections,,GDP_high
11_MEX,Mexico,1994,APERC GDP projections,,GDP_high
11_MEX,Mexico,1995,APERC GDP projections,,GDP_high
11_MEX,Mexico,1996,APERC GDP projections,,GDP_high
11_MEX,Mexico,1997,APERC GDP projections,,GDP_high
11_MEX,Mexico,1998,APERC GDP projections,,GDP_high
11_MEX,Mexico,1999,APERC GDP projections,,GDP_high
11_MEX,Mexico,2000,APERC GDP projections,,GDP_high
11_MEX,Mexico,2001,APERC GDP projections,,GDP_high
11_MEX,Mexico,2002,APERC GDP projections,,GDP_high
11_MEX,Mexico,2003,APERC GDP projections,,GDP_high
11_MEX,Mexico,2004,APERC GDP projections,,GDP_high
11_MEX,Mexico,2005,APERC GDP projections,,GDP_high
11_MEX,Mexico,2006,APERC GDP projections,,GDP_high
11_MEX,Mexico,2007,APERC GDP projections,,GDP_high
11_MEX,Mexico,2008,APERC GDP projections,,GDP_high
11_MEX,Mexico,2009,APERC GDP projections,,GDP_high
11_MEX,Mexico,2010,APERC GDP projections,,GDP_high
11_MEX,Mexico,2011,APERC GDP projections,,GDP_high
11_MEX,Mexico,2012,APERC GDP projections,,GDP_high
11_MEX,Mexico,2013,APERC GDP projections,,GDP_high
11_MEX,Mexico,2014,APERC GDP projections,,GDP_high
11_MEX,Mexico,2015,APERC GDP projections,,GDP_high
11_MEX,Mexico,2016,APERC GDP projections,,GDP_high
11_MEX,Mexico,2017,APERC GDP projections,,GDP_high
11_MEX,Mexico,2018,APERC GDP projections,,GDP_high
11_MEX,Mexico,2019,APERC GDP projections,,GDP_high
11_MEX,Mexico,2020,APERC GDP projections,,GDP_high
11_MEX,Mexico,2021,APERC GDP projections,,GDP_high
11_MEX,Mexico,2022,APERC GDP projections,,GDP_high
11_MEX,Mexico,2023,APERC GDP projections,,GDP_high
11_MEX,Mexico,2024,APERC GDP projections,,GDP_high
11_MEX,Mexico,2025,APERC GDP projections,,GDP_high
11_MEX,Mexico,2026,APERC GDP projections,2920344.9707672494,GDP_high
11_MEX,Mexico,2027,APERC GDP projections,2949024.818830986,GDP_high
11_MEX,Mexico,2028,APERC GDP projections,2976554.7391119995,GDP_high
11_MEX,Mexico,2029,APERC GDP projections,3002399.477659101,GDP_high
11_MEX,Mexico,2030,APERC GDP projections,3035074.266954277,GDP_high
11_MEX,Mexico,2031,APERC GDP projections,3087880.590502853,GDP_high
11_MEX,Mexico,2032,APERC GDP projections,3135150.6501047765,GDP_high
11_MEX,Mexico,2033,APERC GDP projections,3176280.8841565894,GDP_high
11_MEX,Mexico,2034,APERC GDP projections,3213478.750571245,GDP_high
11_MEX,Mexico,2035,APERC GDP projections,3252319.337130376,GDP_high
11_MEX,Mexico,2036,APERC GDP projections,3293420.307042399,GDP_high
11_MEX,Mexico,2037,APERC GDP projections,3335438.837749631,GDP_high
11_MEX,Mexico,2038,APERC GDP projections,3378666.1951719723,GDP_high
11_MEX,Mexico,2039,APERC GDP projections,3423240.3653349867,GDP_high
11_MEX,Mexico,2040,APERC GDP projections,3469470.9625020474,GDP_high
11_MEX,Mexico,2041,APERC GDP projections,3517131.4366164785,GDP_high
11_MEX,Mexico,2042,APERC GDP projections,3564120.781612104,GDP_high
11_MEX,Mexico,2043,APERC GDP projections,3610995.78465061,GDP_high
11_MEX,Mexico,2044,APERC GDP projections,3658442.621378989,GDP_high
11_MEX,Mexico,2045,APERC GDP projections,3707118.706015009,GDP_high
11_MEX,Mexico,2046,APERC GDP projections,3757020.04284656,GDP_high
11_MEX,Mexico,2047,APERC GDP projections,3808091.168006014,GDP_high
11_MEX,Mexico,2048,APERC GDP projections,3860331.8781213686,GDP_high
11_MEX,Mexico,2049,APERC GDP projections,3912983.9829987455,GDP_high
11_MEX,Mexico,2050,APERC GDP projections,3965839.22909826,GDP_high
11_MEX,Mexico,2051,APERC GDP projections,4019123.0986091695,GDP_high
11_MEX,Mexico,2052,APERC GDP projections,4072781.347559782,GDP_high
11_MEX,Mexico,2053,APERC GDP projections,4126879.214315429,GDP_high
11_MEX,Mexico,2054,APERC GDP projections,4181402.246417528,GDP_high
11_MEX,Mexico,2055,APERC GDP projections,4236389.218840725,GDP_high
11_MEX,Mexico,2056,APERC GDP projections,4291855.601167292,GDP_high
11_MEX,Mexico,2057,APERC GDP projections,4347775.742450149,GDP_high
11_MEX,Mexico,2058,APERC GDP projections,4404207.425898621,GDP_high
11_MEX,Mexico,2059,APERC GDP projections,4461149.281299529,GDP_high
11_MEX,Mexico,2060,APERC GDP projections,4518522.958589881,GDP_high
11_MEX,Mexico,2061,APERC GDP projections,4576265.390120058,GDP_high
11_MEX,Mexico,2062,APERC GDP projections,4634475.331789579,GDP_high
11_MEX,Mexico,2063,APERC GDP projections,4693115.163336631,GDP_high
11_MEX,Mexico,2064,APERC GDP projections,4752144.454023338,GDP_high
11_MEX,Mexico,2065,APERC GDP projections,4811546.02571722,GDP_high
11_MEX,Mexico,2066,APERC GDP projections,4871279.829044919,GDP_high
11_MEX,Mexico,2067,APERC GDP projections,4931384.453782375,GDP_high
11_MEX,Mexico,2068,APERC GDP projections,4991885.398767278,GDP_high
11_MEX,Mexico,2069,APERC GDP projections,5052718.443171398,GDP_high
11_MEX,Mexico,2070,APERC GDP projections,5113886.39645777,GDP_high
