economy_code,economy,year,variable,value,population
12_NZ,New Zealand,1990,APERC GDP projections,,GDP_low
12_NZ,New Zealand,1991,APERC GDP projections,,GDP_low
12_NZ,New Zealand,1992,APERC GDP projections,,GDP_low
12_NZ,New Zealand,1993,APERC GDP projections,,GDP_low
12_NZ,New Zealand,1994,APERC GDP projections,,GDP_low
12_NZ,New Zealand,1995,APERC GDP projections,,GDP_low
12_NZ,New Zealand,1996,APERC GDP projections,,GDP_low
12_NZ,New Zealand,1997,APERC GDP projections,,GDP_low
12_NZ,New Zealand,1998,APERC GDP projections,,GDP_low
12_NZ,New Zealand,1999,APERC GDP projections,,GDP_low
12_NZ,New Zealand,2000,APERC GDP projections,,GDP_low
12_NZ,New Zealand,2001,APERC GDP projections,,GDP_low
12_NZ,New Zealand,2002,APERC GDP projections,,GDP_low
12_NZ,New Zealand,2003,APERC GDP projections,,GDP_low
12_NZ,New Zealand,2004,APERC GDP projections,,GDP_low
12_NZ,New Zealand,2005,APERC GDP projections,,GDP_low
12_NZ,New Zealand,2006,APERC GDP projections,,GDP_low
12_NZ,New Zealand,2007,APERC GDP projections,,GDP_low
12_NZ,New Zealand,2008,APERC GDP projections,,GDP_low
12_NZ,New Zealand,2009,APERC GDP projections,,GDP_low
12_NZ,New Zealand,2010,APERC GDP projections,,GDP_low
12_NZ,New Zealand,2011,APERC GDP projections,,GDP_low
12_NZ,New Zealand,2012,APERC GDP projections,,GDP_low
12_NZ,New Zealand,2013,APERC GDP projections,,GDP_low
12_NZ,New Zealand,2014,APERC GDP projections,,GDP_low
12_NZ,New Zealand,2015,APERC GDP projections,,GDP_low
12_NZ,New Zealand,2016,APERC GDP projections,,GDP_low
12_NZ,New Zealand,2017,APERC GDP projections,,GDP_low
12_NZ,New Zealand,2018,APERC GDP projections,,GDP_low
12_NZ,New Zealand,2019,APERC GDP projections,,GDP_low
12_NZ,New Zealand,2020,APERC GDP projections,,GDP_low
12_NZ,New Zealand,2021,APERC GDP projections,,GDP_low
12_NZ,New Zealand,2022,APERC GDP projections,,GDP_low
12_NZ,New Zealand,2023,APERC GDP projections,,GDP_low
12_NZ,New Zealand,2024,APERC GDP projections,,GDP_low
12_NZ,New Zealand,2025,APERC GDP projections,,GDP_low
12_NZ,New Zealand,2026,APERC GDP projections,259335.43081706337,GDP_low
12_NZ,New Zealand,2027,APERC GDP projections,261582.338676406,GDP_low
12_NZ,New Zealand,2028,APERC GDP projections,263579.9685661796,GDP_low
12_NZ,New Zealand,2029,APERC GDP projections,265312.0875017262,GDP_low
12_NZ,New Zealand,2030,APERC GDP projections,266879.6621811794,GDP_low
12_NZ,New Zealand,2031,APERC GDP projections,269073.3816308702,GDP_low
12_NZ,New Zealand,2032,APERC GDP projections,270780.3788424205,GDP_low
12_NZ,New Zealand,2033,APERC GDP projections,272081.29865022114,GDP_low
12_NZ,New Zealand,2034,APERC GDP projections,273503.4723743983,GDP_low
12_NZ,New Zealand,2035,APERC GDP projections,275112.46240225504,GDP_low
12_NZ,New Zealand,2036,APERC GDP projections,276859.45294504816,GDP_low
12_NZ,New Zealand,2037,APERC GDP projections,278578.24697927193,GDP_low
12_NZ,New Zealand,2038,APERC GDP projections,280302.95798821334,GDP_low
12_NZ,New Zealand,2039,APERC GDP projections,282079.74108868174,GDP_low
12_NZ,New Zealand,2040,APERC GDP projections,283884.8259791356,GDP_low
12_NZ,New Zealand,2041,APERC GDP projections,285744.3197264432,GDP_low
12_NZ,New Zealand,2042,APERC GDP projections,287634.98579620634,GDP_low
12_NZ,New Zealand,2043,APERC GDP projections,289540.58832039806,GDP_low
12_NZ,New Zealand,2044,APERC GDP projections,291486.5149790354,GDP_low
12_NZ,New Zealand,2045,APERC GDP projections,293480.37398254446,GDP_low
12_NZ,New Zealand,2046,APERC GDP projections,295512.4223323571,GDP_low
12_NZ,New Zealand,2047,APERC GDP projections,297540.053344674,GDP_low
12_NZ,New Zealand,2048,APERC GDP projections,299596.8417839198,GDP_low
12_NZ,New Zealand,2049,APERC GDP projections,301715.0061202082,GDP_low
12_NZ,New Zealand,2050,APERC GDP projections,303826.7689647351,GDP_low
12_NZ,New Zealand,2051,APERC GDP projections,306091.2097453007,GDP_low
12_NZ,New Zealand,2052,APERC GDP projections,308446.46355084307,GDP_low
12_NZ,New Zealand,2053,APERC GDP projections,310760.7581913686,GDP_low
12_NZ,New Zealand,2054,APERC GDP projections,313116.7086773739,GDP_low
12_NZ,New Zealand,2055,APERC GDP projections,315457.9231656997,GDP_low
12_NZ,New Zealand,2056,APERC GDP projections,317772.58944870246,GDP_low
12_NZ,New Zealand,2057,APERC GDP projections,319996.4016141623,GDP_low
12_NZ,New Zealand,2058,APERC GDP projections,322192.1128214061,GDP_low
12_NZ,New Zealand,2059,APERC GDP projections,324365.3132795599,GDP_low
12_NZ,New Zealand,2060,APERC GDP projections,326494.181138757,GDP_low
12_NZ,New Zealand,2061,APERC GDP projections,328569.50946773874,GDP_low
12_NZ,New Zealand,2062,APERC GDP projections,330548.9235804163,GDP_low
12_NZ,New Zealand,2063,APERC GDP projections,332622.60298905405,GDP_low
12_NZ,New Zealand,2064,APERC GDP projections,334604.3428018207,GDP_low
12_NZ,New Zealand,2065,APERC GDP projections,336636.2815556706,GDP_low
12_NZ,New Zealand,2066,APERC GDP projections,338684.19817577937,GDP_low
12_NZ,New Zealand,2067,APERC GDP projections,340715.38503578736,GDP_low
12_NZ,New Zealand,2068,APERC GDP projections,342683.1664581964,GDP_low
12_NZ,New Zealand,2069,APERC GDP projections,344610.6783299656,GDP_low
12_NZ,New Zealand,2070,APERC GDP projections,346517.51549780305,GDP_low
12_NZ,New Zealand,2071,APERC GDP projections,348396.11200080987,GDP_low
12_NZ,New Zealand,2072,APERC GDP projections,350245.38347546465,GDP_low
12_NZ,New Zealand,2073,APERC GDP projections,352254.63912843534,GDP_low
12_NZ,New Zealand,2074,APERC GDP projections,354152.12856988737,GDP_low
12_NZ,New Zealand,2075,APERC GDP projections,356040.6000276891,GDP_low
12_NZ,New Zealand,2076,APERC GDP projections,357896.1907270216,GDP_low
12_NZ,New Zealand,2077,APERC GDP projections,359751.30113935407,GDP_low
12_NZ,New Zealand,2078,APERC GDP projections,361636.8701530483,GDP_low
12_NZ,New Zealand,2079,APERC GDP projections,363445.5259626416,GDP_low
12_NZ,New Zealand,2080,APERC GDP projections,365223.8482308451,GDP_low
12_NZ,New Zealand,2081,APERC GDP projections,366939.02938270976,GDP_low
12_NZ,New Zealand,2082,APERC GDP projections,368695.69671419926,GDP_low
12_NZ,New Zealand,2083,APERC GDP projections,370367.6010680699,GDP_low
12_NZ,New Zealand,2084,APERC GDP projections,371977.57752959937,GDP_low
12_NZ,New Zealand,2085,APERC GDP projections,373612.9947412304,GDP_low
12_NZ,New Zealand,2086,APERC GDP projections,375253.8379352904,GDP_low
12_NZ,New Zealand,2087,APERC GDP projections,376904.8995416806,GDP_low
12_NZ,New Zealand,2088,APERC GDP projections,378556.7846399646,GDP_low
12_NZ,New Zealand,2089,APERC GDP projections,380306.2373238494,GDP_low
12_NZ,New Zealand,2090,APERC GDP projections,381930.5008970151,GDP_low
12_NZ,New Zealand,2091,APERC GDP projections,383645.7551889188,GDP_low
12_NZ,New Zealand,2092,APERC GDP projections,385324.6757460082,GDP_low
12_NZ,New Zealand,2093,APERC GDP projections,387060.6468230495,GDP_low
12_NZ,New Zealand,2094,APERC GDP projections,388662.42042997846,GDP_low
12_NZ,New Zealand,2095,APERC GDP projections,390320.29803456616,GDP_low
12_NZ,New Zealand,2096,APERC GDP projections,391931.9257199288,GDP_low
12_NZ,New Zealand,2097,APERC GDP projections,393493.17880419176,GDP_low
12_NZ,New Zealand,2098,APERC GDP projections,395019.0950438701,GDP_low
12_NZ,New Zealand,2099,APERC GDP projections,396477.1976489933,GDP_low
12_NZ,New Zealand,2100,APERC GDP projections,397908.46143736655,GDP_low
12_NZ,New Zealand,1990,APERC GDP projections,,GDP_high
12_NZ,New Zealand,1991,APERC GDP projections,,GDP_high
12_NZ,New Zealand,1992,APERC GDP projections,,GDP_high
12_NZ,New Zealand,1993,APERC GDP projections,,GDP_high
12_NZ,New Zealand,1994,APERC GDP projections,,GDP_high
12_NZ,New Zealand,1995,APERC GDP projections,,GDP_high
12_NZ,New Zealand,1996,APERC GDP projections,,GDP_high
12_NZ,New Zealand,1997,APERC GDP projections,,GDP_high
12_NZ,New Zealand,1998,APERC GDP projections,,GDP_high
12_NZ,New Zealand,1999,APERC GDP projections,,GDP_high
12_NZ,New Zealand,2000,APERC GDP projections,,GDP_high
12_NZ,New Zealand,2001,APERC GDP projections,,GDP_high
12_NZ,New Zealand,2002,APERC GDP projections,,GDP_high
12_NZ,New Zealand,2003,APERC GDP projections,,GDP_high
12_NZ,New Zealand,2004,APERC GDP projections,,GDP_high
12_NZ,New Zealand,2005,APERC GDP projections,,GDP_high
12_NZ,New Zealand,2006,APERC GDP projections,,GDP_high
12_NZ,New Zealand,2007,APERC GDP projections,,GDP_high
12_NZ,New Zealand,2008,APERC GDP projections,,GDP_high
12_NZ,New Zealand,2009,APERC GDP projections,,GDP_high
12_NZ,New Zealand,2010,APERC GDP projections,,GDP_high
12_NZ,New Zealand,2011,APERC GDP projections,,GDP_high
12_NZ,New Zealand,2012,APERC GDP projections,,GDP_high
12_NZ,New Zealand,2013,APERC GDP projections,,GDP_high
12_NZ,New Zealand,2014,APERC GDP projections,,GDP_high
12_NZ,New Zealand,2015,APERC GDP projections,,GDP_high
12_NZ,New Zealand,2016,APERC GDP projections,,GDP_high
12_NZ,New Zealand,2017,APERC GDP projections,,GDP_high
12_NZ,New Zealand,2018,APERC GDP projections,,GDP_high
12_NZ,New Zealand,2019,APERC GDP projections,,GDP_high
12_NZ,New Zealand,2020,APERC GDP projections,,GDP_high
12_NZ,New Zealand,2021,APERC GDP projections,,GDP_high
12_NZ,New Zealand,2022,APERC GDP projections,,GDP_high
12_NZ,New Zealand,2023,APERC GDP projections,,GDP_high
12_NZ,New Zealand,2024,APERC GDP projections,,GDP_high
12_NZ,New Zealand,2025,APERC GDP projections,,GDP_high
12_NZ,New Zealand,2026,APERC GDP projections,259802.41274113447,GDP_high
12_NZ,New Zealand,2027,APERC GDP projections,262510.92325580324,GDP_high
12_NZ,New Zealand,2028,APERC GDP projections,264963.1412318717,GDP_high
12_NZ,New Zealand,2029,APERC GDP projections,267141.3398376261,GDP_high
12_NZ,New Zealand,2030,APERC GDP projections,269457.8828109156,GDP_high
12_NZ,New Zealand,2031,APERC GDP projections,272400.90973926376,GDP_high
12_NZ,New Zealand,2032,APERC GDP projections,274844.7372034084,GDP_high
12_NZ,New Zealand,2033,APERC GDP projections,276869.0962066527,GDP_high
12_NZ,New Zealand,2034,APERC GDP projections,279007.7864201121,GDP_high
12_NZ,New Zealand,2035,APERC GDP projections,281542.9010681218,GDP_high
12_NZ,New Zealand,2036,APERC GDP projections,284271.5421372878,GDP_high
12_NZ,New Zealand,2037,APERC GDP projections,286980.79733496904,GDP_high
12_NZ,New Zealand,2038,APERC GDP projections,289706.3162210875,GDP_high
12_NZ,New Zealand,2039,APERC GDP projections,292495.0277807215,GDP_high
12_NZ,New Zealand,2040,APERC GDP projections,295327.397412328,GDP_high
12_NZ,New Zealand,2041,APERC GDP projections,298228.85036803654,GDP_high
12_NZ,New Zealand,2042,APERC GDP projections,301172.6026194659,GDP_high
12_NZ,New Zealand,2043,APERC GDP projections,304148.397739462,GDP_high
12_NZ,New Zealand,2044,APERC GDP projections,307186.39437832334,GDP_high
12_NZ,New Zealand,2045,APERC GDP projections,310295.7209073908,GDP_high
12_NZ,New Zealand,2046,APERC GDP projections,313467.95589077217,GDP_high
12_NZ,New Zealand,2047,APERC GDP projections,316658.74251359183,GDP_high
12_NZ,New Zealand,2048,APERC GDP projections,319903.0485248773,GDP_high
12_NZ,New Zealand,2049,APERC GDP projections,323234.7980776321,GDP_high
12_NZ,New Zealand,2050,APERC GDP projections,326594.02563039865,GDP_high
12_NZ,New Zealand,2051,APERC GDP projections,330135.33143738145,GDP_high
12_NZ,New Zealand,2052,APERC GDP projections,333807.49728338287,GDP_high
12_NZ,New Zealand,2053,APERC GDP projections,337497.1900427888,GDP_high
12_NZ,New Zealand,2054,APERC GDP projections,341353.8103210834,GDP_high
12_NZ,New Zealand,2055,APERC GDP projections,345331.15946794534,GDP_high
12_NZ,New Zealand,2056,APERC GDP projections,349350.9074085282,GDP_high
12_NZ,New Zealand,2057,APERC GDP projections,353356.3920842646,GDP_high
12_NZ,New Zealand,2058,APERC GDP projections,357409.97643841954,GDP_high
12_NZ,New Zealand,2059,APERC GDP projections,361518.2542712364,GDP_high
12_NZ,New Zealand,2060,APERC GDP projections,365663.1759459585,GDP_high
