economy_code,economy,year,variable,value,population
13_PNG,Papua New Guinea,1990,APERC GDP projections,,GDP_low
13_PNG,Papua New Guinea,1991,APERC GDP projections,,GDP_low
13_PNG,Papua New Guinea,1992,APERC GDP projections,,GDP_low
13_PNG,Papua New Guinea,1993,APERC GDP projections,,GDP_low
13_PNG,Papua New Guinea,1994,APERC GDP projections,,GDP_low
13_PNG,Papua New Guinea,1995,APERC GDP projections,,GDP_low
13_PNG,Papua New Guinea,1996,APERC GDP projections,,GDP_low
13_PNG,Papua New Guinea,1997,APERC GDP projections,,GDP_low
13_PNG,Papua New Guinea,1998,APERC GDP projections,,GDP_low
13_PNG,Papua New Guinea,1999,APERC GDP projections,,GDP_low
13_PNG,Papua New Guinea,2000,APERC GDP projections,,GDP_low
13_PNG,Papua New Guinea,2001,APERC GDP projections,,GDP_low
13_PNG,Papua New Guinea,2002,APERC GDP projections,,GDP_low
13_PNG,Papua New Guinea,2003,APERC GDP projections,,GDP_low
13_PNG,Papua New Guinea,2004,APERC GDP projections,,GDP_low
13_PNG,Papua New Guinea,2005,APERC GDP projections,,GDP_low
13_PNG,Papua New Guinea,2006,APERC GDP projections,,GDP_low
13_PNG,Papua New Guinea,2007,APERC GDP projections,,GDP_low
13_PNG,Papua New Guinea,2008,APERC GDP projections,,GDP_low
13_PNG,Papua New Guinea,2009,APERC GDP projections,,GDP_low
13_PNG,Papua New Guinea,2010,APERC GDP projections,,GDP_low
13_PNG,Papua New Guinea,2011,APERC GDP projections,,GDP_low
13_PNG,Papua New Guinea,2012,APERC GDP projections,,GDP_low
13_PNG,Papua New Guinea,2013,APERC GDP projections,,GDP_low
13_PNG,Papua New Guinea,2014,APERC GDP projections,,GDP_low
13_PNG,Papua New Guinea,2015,APERC GDP projections,,GDP_low
13_PNG,Papua New Guinea,2016,APERC GDP projections,,GDP_low
13_PNG,Papua New Guinea,2017,APERC GDP projections,,GDP_low
13_PNG,Papua New Guinea,2018,APERC GDP projections,,GDP_low
13_PNG,Papua New Guinea,2019,APERC GDP projections,,GDP_low
13_PNG,Papua New Guinea,2020,APERC GDP projections,,GDP_low
13_PNG,Papua New Guinea,2021,APERC GDP projections,,GDP_low
13_PNG,Papua New Guinea,2022,APERC GDP projections,,GDP_low
13_PNG,Papua New Guinea,2023,APERC GDP projections,,GDP_low
13_PNG,Papua New Guinea,2024,APERC GDP projections,,GDP_low
13_PNG,Papua New Guinea,2025,APERC GDP projections,,GDP_low
13_PNG,Papua New Guinea,2026,APERC GDP projections,50819.03922446948,GDP_low
13_PNG,Papua New Guinea,2027,APERC GDP projections,54010.10696781863,GDP_low
13_PNG,Papua New Guinea,2028,APERC GDP projections,57576.18216202826,GDP_low
