economy_code,economy,year,variable,value,population
14_PE,Peru,1990,APERC GDP projections,,GDP_low
14_PE,Peru,1991,APERC GDP projections,,GDP_low
14_PE,Peru,1992,APERC GDP projections,,GDP_low
14_PE,Peru,1993,APERC GDP projections,,GDP_low
14_PE,Peru,1994,APERC GDP projections,,GDP_low
14_PE,Peru,1995,APERC GDP projections,,GDP_low
14_PE,Peru,1996,APERC GDP projections,,GDP_low
14_PE,Peru,1997,APERC GDP projections,,GDP_low
14_PE,Peru,1998,APERC GDP projections,,GDP_low
14_PE,Peru,1999,APERC GDP projections,,GDP_low
14_PE,Peru,2000,APERC GDP projections,,GDP_low
14_PE,Peru,2001,APERC GDP projections,,GDP_low
14_PE,Peru,2002,APERC GDP projections,,GDP_low
14_PE,Peru,2003,APERC GDP projections,,GDP_low
14_PE,Peru,2004,APERC GDP projections,,GDP_low
14_PE,Peru,2005,APERC GDP projections,,GDP_low
14_PE,Peru,2006,APERC GDP projections,,GDP_low
14_PE,Peru,2007,APERC GDP projections,,GDP_low
14_PE,Peru,2008,APERC GDP projections,,GDP_low
14_PE,Peru,2009,APERC GDP projections,,GDP_low
14_PE,Peru,2010,APERC GDP projections,,GDP_low
14_PE,Peru,2011,APERC GDP projections,,GDP_low
14_PE,Peru,2012,APERC GDP projections,,GDP_low
14_PE,Peru,2013,APERC GDP projections,,GDP_low
14_PE,Peru,2014,APERC GDP projections,,GDP_low
14_PE,Peru,2015,APERC GDP projections,,GDP_low
14_PE,Peru,2016,APERC GDP projections,,GDP_low
14_PE,Peru,2017,APERC GDP projections,,GDP_low
14_PE,Peru,2018,APERC GDP projections,,GDP_low
14_PE,Peru,2019,APERC GDP projections,,GDP_low
14_PE,Peru,2020,APERC GDP projections,,GDP_low
14_PE,Peru,2021,APERC GDP projections,,GDP_low
14_PE,Peru,2022,APERC GDP projections,,GDP_low
14_PE,Peru,2023,APERC GDP projections,,GDP_low
14_PE,Peru,2024,APERC GDP projections,,GDP_low
14_PE,Peru,2025,APERC GDP projections,,GDP_low
14_PE,Peru,2026,APERC GDP projections,565273.1049463622,GDP_low
14_PE,Peru,2027,APERC GDP projections,574766.549397691,GDP_low
14_PE,Peru,2028,APERC GDP projections,593698.8597351683,GDP_low
14_PE,Peru,2029,APERC GDP projections,605063.9484368924,GDP_low
14_PE,Peru,2030,APERC GDP projections,615659.8227927095,GDP_low
14_PE,Peru,2031,APERC GDP projections,626016.0439993255,GDP_low
14_PE,Peru,2032,APERC GDP projections,637721.9248874167,GDP_low
14_PE,Peru,2033,APERC GDP projections,648415.6790649127,GDP_low
14_PE,Peru,2034,APERC GDP projections,659468.60762456,GDP_low
14_PE,Peru,2035,APERC GDP projections,670588.6570775437,GDP_low
14_PE,Peru,2036,APERC GDP projections,680549.6675762183,GDP_low
14_PE,Peru,2037,APERC GDP projections,690434.1662192302,GDP_low
14_PE,Peru,2038,APERC GDP projections,700271.1749978312,GDP_low
14_PE,Peru,2039,APERC GDP projections,710095.5615795333,GDP_low
14_PE,Peru,2040,APERC GDP projections,719690.8341424388,GDP_low
14_PE,Peru,2041,APERC GDP projections,729179.5641642916,GDP_low
14_PE,Peru,2042,APERC GDP projections,738490.1651847693,GDP_low
14_PE,Peru,2043,APERC GDP projections,747528.4561013385,GDP_low
14_PE,Peru,2044,APERC GDP projections,756430.1497452981,GDP_low
14_PE,Peru,2045,APERC GDP projections,765204.4364734734,GDP_low
14_PE,Peru,2046,APERC GDP projections,773812.4936943775,GDP_low
14_PE,Peru,2047,APERC GDP projections,782241.5498831744,GDP_low
14_PE,Peru,2048,APERC GDP projections,790490.601658325,GDP_low
14_PE,Peru,2049,APERC GDP projections,798550.0586314793,GDP_low
14_PE,Peru,2050,APERC GDP projections,806435.1597794639,GDP_low
14_PE,Peru,2051,APERC GDP projections,814162.6510369997,GDP_low
14_PE,Peru,2052,APERC GDP projections,821715.7111545792,GDP_low
14_PE,Peru,2053,APERC GDP projections,829093.7045183087,GDP_low
14_PE,Peru,2054,APERC GDP projections,836302.4856706595,GDP_low
14_PE,Peru,2055,APERC GDP projections,843323.2979819238,GDP_low
14_PE,Peru,2056,APERC GDP projections,850162.4453717867,GDP_low
14_PE,Peru,2057,APERC GDP projections,856808.5470267688,GDP_low
14_PE,Peru,2058,APERC GDP projections,863273.9415395714,GDP_low
14_PE,Peru,2059,APERC GDP projections,869541.5668334232,GDP_low
14_PE,Peru,2060,APERC GDP projections,875621.0274581101,GDP_low
14_PE,Peru,2061,APERC GDP projections,881516.6329860609,GDP_low
14_PE,Peru,2062,APERC GDP projections,887225.3096924163,GDP_low
14_PE,Peru,2063,APERC GDP projections,892743.3639365096,GDP_low
14_PE,Peru,2064,APERC GDP projections,898080.4644191536,GDP_low
14_PE,Peru,2065,APERC GDP projections,903229.8043330428,GDP_low
14_PE,Peru,2066,APERC GDP projections,908211.0242171536,GDP_low
14_PE,Peru,2067,APERC GDP projections,913021.03819596,GDP_low
14_PE,Peru,2068,APERC GDP projections,917666.2684766356,GDP_low
14_PE,Peru,2069,APERC GDP projections,922144.1261195664,GDP_low
14_PE,Peru,2070,APERC GDP projections,926454.729568704,GDP_low
14_PE,Peru,2071,APERC GDP projections,930605.6811318804,GDP_low
14_PE,Peru,2072,APERC GDP projections,934608.7103088804,GDP_low
14_PE,Peru,2073,APERC GDP projections,938461.0363742072,GDP_low
14_PE,Peru,2074,APERC GDP projections,942166.6146835184,GDP_low
14_PE,Peru,2075,APERC GDP projections,945771.2335352828,GDP_low
14_PE,Peru,2076,APERC GDP projections,949302.0069499892,GDP_low
14_PE,Peru,2077,APERC GDP projections,952751.8124826167,GDP_low
14_PE,Peru,2078,APERC GDP projections,956122.3461884488,GDP_low
14_PE,Peru,2079,APERC GDP projections,959405.9039629992,GDP_low
14_PE,Peru,2080,APERC GDP projections,962558.8013107744,GDP_low
14_PE,Peru,2081,APERC GDP projections,965561.6245880688,GDP_low
14_PE,Peru,2082,APERC GDP projections,968426.0531849664,GDP_low
14_PE,Peru,2083,APERC GDP projections,971140.1642511112,GDP_low
14_PE,Peru,2084,APERC GDP projections,973719.115470252,GDP_low
14_PE,Peru,2085,APERC GDP projections,976129.5961327668,GDP_low
14_PE,Peru,2086,APERC GDP projections,978380.2043676336,GDP_low
14_PE,Peru,2087,APERC GDP projections,980471.059707568,GDP_low
14_PE,Peru,2088,APERC GDP projections,982391.0216171036,GDP_low
14_PE,Peru,2089,APERC GDP projections,984144.358573521,GDP_low
14_PE,Peru,2090,APERC GDP projections,985748.1486485966,GDP_low
14_PE,Peru,2091,APERC GDP projections,987177.0708982756,GDP_low
14_PE,Peru,2092,APERC GDP projections,988437.8016031802,GDP_low
14_PE,Peru,2093,APERC GDP projections,989524.3911368318,GDP_low
14_PE,Peru,2094,APERC GDP projections,990417.6538361952,GDP_low
14_PE,Peru,2095,APERC GDP projections,991168.8833701086,GDP_low
14_PE,Peru,2096,APERC GDP projections,991727.2724399224,GDP_low
14_PE,Peru,2097,APERC GDP projections,992110.1885384532,GDP_low
14_PE,Peru,2098,APERC GDP projections,992316.9981824884,GDP_low
14_PE,Peru,2099,APERC GDP projections,992361.4506955463,GDP_low
14_PE,Peru,2100,APERC GDP projections,992224.552314188,GDP_low
14_PE,Peru,1990,APERC GDP projections,,GDP_high
14_PE,Peru,1991,APERC GDP projections,,GDP_high
14_PE,Peru,1992,APERC GDP projections,,GDP_high
14_PE,Peru,1993,APERC GDP projections,,GDP_high
14_PE,Peru,1994,APERC GDP projections,,GDP_high
14_PE,Peru,1995,APERC GDP projections,,GDP_high
14_PE,Peru,1996,APERC GDP projections,,GDP_high
14_PE,Peru,1997,APERC GDP projections,,GDP_high
14_PE,Peru,1998,APERC GDP projections,,GDP_high
14_PE,Peru,1999,APERC GDP projections,,GDP_high
14_PE,Peru,2000,APERC GDP projections,,GDP_high
14_PE,Peru,2001,APERC GDP projections,,GDP_high
14_PE,Peru,2002,APERC GDP projections,,GDP_high
14_PE,Peru,2003,APERC GDP projections,,GDP_high
14_PE,Peru,2004,APERC GDP projections,,GDP_high
14_PE,Peru,2005,APERC GDP projections,,GDP_high
14_PE,Peru,2006,APERC GDP projections,,GDP_high
14_PE,Peru,2007,APERC GDP projections,,GDP_high
14_PE,Peru,2008,APERC GDP projections,,GDP_high
14_PE,Peru,2009,APERC GDP projections,,GDP_high
14_PE,Peru,2010,APERC GDP projections,,GDP_high
14_PE,Peru,2011,APERC GDP projections,,GDP_high
14_PE,Peru,2012,APERC GDP projections,,GDP_high
14_PE,Peru,2013,APERC GDP projections,,GDP_high
14_PE,Peru,2014,APERC GDP projections,,GDP_high
14_PE,Peru,2015,APERC GDP projections,,GDP_high
14_PE,Peru,2016,APERC GDP projections,,GDP_high
14_PE,Peru,2017,APERC GDP projections,,GDP_high
14_PE,Peru,2018,APERC GDP projections,,GDP_high
14_PE,Peru,2019,APERC GDP projections,,GDP_high
14_PE,Peru,2020,APERC GDP projections,,GDP_high
14_PE,Peru,2021,APERC GDP projections,,GDP_high
14_PE,Peru,2022,APERC GDP projections,,GDP_high
14_PE,Peru,2023,APERC GDP projections,,GDP_high
14_PE,Peru,2024,APERC GDP projections,,GDP_high
14_PE,Peru,2025,APERC GDP projections,,GDP_high
14_PE,Peru,2026,APERC GDP projections,566395.8767216352,GDP_high
14_PE,Peru,2027,APERC GDP projections,577003.0050669207,GDP_high
14_PE,Peru,2028,APERC GDP projections,597094.7269767199,GDP_high
14_PE,Peru,2029,APERC GDP projections,609567.5837925195,GDP_high
14_PE,Peru,2030,APERC GDP projections,622096.794852865,GDP_high
14_PE,Peru,2031,APERC GDP projections,636906.820966937,GDP_high
14_PE,Peru,2032,APERC GDP projections,650939.9586575617,GDP_high
14_PE,Peru,2033,APERC GDP projections,664195.4989200193,GDP_high
14_PE,Peru,2034,APERC GDP projections,677915.2660793673,GDP_high
14_PE,Peru,2035,APERC GDP projections,692427.1897150885,GDP_high
14_PE,Peru,2036,APERC GDP projections,705882.0002051101,GDP_high
14_PE,Peru,2037,APERC GDP projections,719412.5734049436,GDP_high
14_PE,Peru,2038,APERC GDP projections,733076.6524293809,GDP_high
14_PE,Peru,2039,APERC GDP projections,746518.2111465603,GDP_high
14_PE,Peru,2040,APERC GDP projections,759838.2521824337,GDP_high
14_PE,Peru,2041,APERC GDP projections,773146.47310786,GDP_high
14_PE,Peru,2042,APERC GDP projections,786371.5977897798,GDP_high
14_PE,Peru,2043,APERC GDP projections,799415.4105471253,GDP_high
14_PE,Peru,2044,APERC GDP projections,812420.29208275,GDP_high
14_PE,Peru,2045,APERC GDP projections,825386.5180421284,GDP_high
14_PE,Peru,2046,APERC GDP projections,838261.6123582596,GDP_high
14_PE,Peru,2047,APERC GDP projections,851079.8367092904,GDP_high
14_PE,Peru,2048,APERC GDP projections,863844.9130443379,GDP_high
14_PE,Peru,2049,APERC GDP projections,876553.6166037117,GDP_high
14_PE,Peru,2050,APERC GDP projections,889227.841819777,GDP_high
14_PE,Peru,2051,APERC GDP projections,901893.4656155822,GDP_high
14_PE,Peru,2052,APERC GDP projections,914543.9672748474,GDP_high
14_PE,Peru,2053,APERC GDP projections,927190.208533716,GDP_high
14_PE,Peru,2054,APERC GDP projections,939852.8073696736,GDP_high
14_PE,Peru,2055,APERC GDP projections,952520.0553292836,GDP_high
14_PE,Peru,2056,APERC GDP projections,965451.3663486398,GDP_high
14_PE,Peru,2057,APERC GDP projections,978657.608723818,GDP_high
14_PE,Peru,2058,APERC GDP projections,992157.6608871322,GDP_high
14_PE,Peru,2059,APERC GDP projections,1005941.2569073468,GDP_high
14_PE,Peru,2060,APERC GDP projections,1020025.8765081794,GDP_high
14_PE,Peru,2061,APERC GDP projections,1034420.3814502812,GDP_high
14_PE,Peru,2062,APERC GDP projections,1049121.3065085665,GDP_high
14_PE,Peru,2063,APERC GDP projections,1064125.614031525,GDP_high
14_PE,Peru,2064,APERC GDP projections,1079441.9033486217,GDP_high
14_PE,Peru,2065,APERC GDP projections,1095057.3348921218,GDP_high
14_PE,Peru,2066,APERC GDP projections,1110983.2845713678,GDP_high
14_PE,Peru,2067,APERC GDP projections,1127216.4391354371,GDP_high
14_PE,Peru,2068,APERC GDP projections,1143753.196992632,GDP_high
14_PE,Peru,2069,APERC GDP projections,1160588.9643916043,GDP_high
14_PE,Peru,2070,APERC GDP projections,1177720.2504019267,GDP_high
14_PE,Peru,2071,APERC GDP projections,1195098.52200527,GDP_high
14_PE,Peru,2072,APERC GDP projections,1212733.0837489422,GDP_high
14_PE,Peru,2073,APERC GDP projections,1230617.0916657082,GDP_high
14_PE,Peru,2074,APERC GDP projections,1248752.6796879624,GDP_high
14_PE,Peru,2075,APERC GDP projections,1267130.159999455,GDP_high
14_PE,Peru,2076,APERC GDP projections,1285764.1637168403,GDP_high
14_PE,Peru,2077,APERC GDP projections,1304655.9062186936,GDP_high
14_PE,Peru,2078,APERC GDP projections,1323818.0636960843,GDP_high
14_PE,Peru,2079,APERC GDP projections,1343251.8963336102,GDP_high
14_PE,Peru,2080,APERC GDP projections,1362970.3276092657,GDP_high
14_PE,Peru,2081,APERC GDP projections,1382963.0899807238,GDP_high
14_PE,Peru,2082,APERC GDP projections,1403258.6942761494,GDP_high
14_PE,Peru,2083,APERC GDP projections,1423857.080530976,GDP_high
14_PE,Peru,2084,APERC GDP projections,1444786.6661919137,GDP_high
14_PE,Peru,2085,APERC GDP projections,1466034.9461800682,GDP_high
14_PE,Peru,2086,APERC GDP projections,1487622.4062381445,GDP_high
14_PE,Peru,2087,APERC GDP projections,1509563.3886027408,GDP_high
14_PE,Peru,2088,APERC GDP projections,1531856.1389509004,GDP_high
