economy_code,economy,year,variable,value,population
16_RUS,Russia,1990,APERC GDP projections,,GDP_low
16_RUS,Russia,1991,APERC GDP projections,,GDP_low
16_RUS,Russia,1992,APERC GDP projections,,GDP_low
16_RUS,Russia,1993,APERC GDP projections,,GDP_low
16_RUS,Russia,1994,APERC GDP projections,,GDP_low
16_RUS,Russia,1995,APERC GDP projections,,GDP_low
16_RUS,Russia,1996,APERC GDP projections,,GDP_low
16_RUS,Russia,1997,APERC GDP projections,,GDP_low
16_RUS,Russia,1998,APERC GDP projections,,GDP_low
16_RUS,Russia,1999,APERC GDP projections,,GDP_low
16_RUS,Russia,2000,APERC GDP projections,,GDP_low
16_RUS,Russia,2001,APERC GDP projections,,GDP_low
16_RUS,Russia,2002,APERC GDP projections,,GDP_low
16_RUS,Russia,2003,APERC GDP projections,,GDP_low
16_RUS,Russia,2004,APERC GDP projections,,GDP_low
16_RUS,Russia,2005,APERC GDP projections,,GDP_low
16_RUS,Russia,2006,APERC GDP projections,,GDP_low
16_RUS,Russia,2007,APERC GDP projections,,GDP_low
16_RUS,Russia,2008,APERC GDP projections,,GDP_low
16_RUS,Russia,2009,APERC GDP projections,,GDP_low
16_RUS,Russia,2010,APERC GDP projections,,GDP_low
16_RUS,Russia,2011,APERC GDP projections,,GDP_low
16_RUS,Russia,2012,APERC GDP projections,,GDP_low
16_RUS,Russia,2013,APERC GDP projections,,GDP_low
16_RUS,Russia,2014,APERC GDP projections,,GDP_low
16_RUS,Russia,2015,APERC GDP projections,,GDP_low
16_RUS,Russia,2016,APERC GDP projections,,GDP_low
16_RUS,Russia,2017,APERC GDP projections,,GDP_low
16_RUS,Russia,2018,APERC GDP projections,,GDP_low
16_RUS,Russia,2019,APERC GDP projections,,GDP_low
16_RUS,Russia,2020,APERC GDP projections,,GDP_low
16_RUS,Russia,2021,APERC GDP projections,,GDP_low
16_RUS,Russia,2022,APERC GDP projections,,GDP_low
16_RUS,Russia,2023,APERC GDP projections,,GDP_low
16_RUS,Russia,2024,APERC GDP projections,,GDP_low
16_RUS,Russia,2025,APERC GDP projections,,GDP_low
16_RUS,Russia,2026,APERC GDP projections,6261898.934264341,GDP_low
16_RUS,Russia,2027,APERC GDP projections,6365777.4591706265,GDP_low
16_RUS,Russia,2028,APERC GDP projections,6471179.363279107,GDP_low
16_RUS,Russia,2029,APERC GDP projections,6572289.1803029645,GDP_low
16_RUS,Russia,2030,APERC GDP projections,6668239.091332108,GDP_low
16_RUS,Russia,2031,APERC GDP projections,6792952.779699355,GDP_low
16_RUS,Russia,2032,APERC GDP projections,6891353.647032161,GDP_low
16_RUS,Russia,2033,APERC GDP projections,7010791.366522567,GDP_low
16_RUS,Russia,2034,APERC GDP projections,7121105.372767483,GDP_low
16_RUS,Russia,2035,APERC GDP projections,7218909.1921246275,GDP_low
16_RUS,Russia,2036,APERC GDP projections,7320377.0276255375,GDP_low
16_RUS,Russia,2037,APERC GDP projections,7423415.34139746,GDP_low
16_RUS,Russia,2038,APERC GDP projections,7526900.361256741,GDP_low
16_RUS,Russia,2039,APERC GDP projections,7631115.214706405,GDP_low
16_RUS,Russia,2040,APERC GDP projections,7736106.653821374,GDP_low
16_RUS,Russia,2041,APERC GDP projections,7843070.857565981,GDP_low
16_RUS,Russia,2042,APERC GDP projections,7947947.74569991,GDP_low
16_RUS,Russia,2043,APERC GDP projections,8054030.832270561,GDP_low
16_RUS,Russia,2044,APERC GDP projections,8158013.730498227,GDP_low
16_RUS,Russia,2045,APERC GDP projections,8261755.601236895,GDP_low
16_RUS,Russia,2046,APERC GDP projections,8366157.180978118,GDP_low
16_RUS,Russia,2047,APERC GDP projections,8470726.143525979,GDP_low
16_RUS,Russia,2048,APERC GDP projections,8573891.76890687,GDP_low
16_RUS,Russia,2049,APERC GDP projections,8675908.987002594,GDP_low
16_RUS,Russia,2050,APERC GDP projections,8776716.511636222,GDP_low
16_RUS,Russia,2051,APERC GDP projections,8875751.077087855,GDP_low
16_RUS,Russia,2052,APERC GDP projections,8972855.14188516,GDP_low
16_RUS,Russia,2053,APERC GDP projections,9068824.163466323,GDP_low
16_RUS,Russia,2054,APERC GDP projections,9161157.280321049,GDP_low
16_RUS,Russia,2055,APERC GDP projections,9251998.02436892,GDP_low
16_RUS,Russia,2056,APERC GDP projections,9340430.72298554,GDP_low
16_RUS,Russia,2057,APERC GDP projections,9427514.283489252,GDP_low
16_RUS,Russia,2058,APERC GDP projections,9512958.92172359,GDP_low
16_RUS,Russia,2059,APERC GDP projections,9595261.531240668,GDP_low
16_RUS,Russia,2060,APERC GDP projections,9675716.53757742,GDP_low
16_RUS,Russia,2061,APERC GDP projections,9755502.830227897,GDP_low
16_RUS,Russia,2062,APERC GDP projections,9831879.652148282,GDP_low
16_RUS,Russia,2063,APERC GDP projections,9906821.186590243,GDP_low
16_RUS,Russia,2064,APERC GDP projections,9978466.244316218,GDP_low
16_RUS,Russia,2065,APERC GDP projections,10050208.735851573,GDP_low
16_RUS,Russia,2066,APERC GDP projections,10121764.104650447,GDP_low
16_RUS,Russia,2067,APERC GDP projections,10194078.985189512,GDP_low
16_RUS,Russia,2068,APERC GDP projections,10267385.44688802,GDP_low
16_RUS,Russia,2069,APERC GDP projections,10340614.314144732,GDP_low
16_RUS,Russia,2070,APERC GDP projections,10412876.435805142,GDP_low
16_RUS,Russia,2071,APERC GDP projections,10485669.84667104,GDP_low
16_RUS,Russia,2072,APERC GDP projections,10557838.856125137,GDP_low
16_RUS,Russia,2073,APERC GDP projections,10632903.135434536,GDP_low
16_RUS,Russia,2074,APERC GDP projections,10708473.02796532,GDP_low
16_RUS,Russia,2075,APERC GDP projections,10785062.640378091,GDP_low
16_RUS,Russia,2076,APERC GDP projections,10862619.234453345,GDP_low
16_RUS,Russia,2077,APERC GDP projections,10942262.13554598,GDP_low
16_RUS,Russia,2078,APERC GDP projections,11021804.80119909,GDP_low
16_RUS,Russia,2079,APERC GDP projections,11102738.597547095,GDP_low
16_RUS,Russia,2080,APERC GDP projections,11185362.336033806,GDP_low
16_RUS,Russia,2081,APERC GDP projections,11270008.156772109,GDP_low
16_RUS,Russia,2082,APERC GDP projections,11356108.288921472,GDP_low
16_RUS,Russia,2083,APERC GDP projections,11442806.329829924,GDP_low
16_RUS,Russia,2084,APERC GDP projections,11530736.091432672,GDP_low
16_RUS,Russia,2085,APERC GDP projections,11619325.390381197,GDP_low
16_RUS,Russia,2086,APERC GDP projections,11708450.397357604,GDP_low
16_RUS,Russia,2087,APERC GDP projections,11798748.42904237,GDP_low
16_RUS,Russia,2088,APERC GDP projections,11891106.217909984,GDP_low
16_RUS,Russia,2089,APERC GDP projections,11983854.788718028,GDP_low
16_RUS,Russia,2090,APERC GDP projections,12076963.400338745,GDP_low
16_RUS,Russia,2091,APERC GDP projections,12170253.394354545,GDP_low
16_RUS,Russia,2092,APERC GDP projections,12264457.249980088,GDP_low
16_RUS,Russia,2093,APERC GDP projections,12356871.49434885,GDP_low
16_RUS,Russia,2094,APERC GDP projections,12451139.853855142,GDP_low
16_RUS,Russia,2095,APERC GDP projections,12545830.658858256,GDP_low
16_RUS,Russia,2096,APERC GDP projections,12639362.72094428,GDP_low
16_RUS,Russia,2097,APERC GDP projections,12731066.965898512,GDP_low
16_RUS,Russia,2098,APERC GDP projections,12823775.145671476,GDP_low
16_RUS,Russia,2099,APERC GDP projections,12914513.834217554,GDP_low
16_RUS,Russia,2100,APERC GDP projections,13005013.587867543,GDP_low
16_RUS,Russia,1990,APERC GDP projections,,GDP_high
16_RUS,Russia,1991,APERC GDP projections,,GDP_high
16_RUS,Russia,1992,APERC GDP projections,,GDP_high
16_RUS,Russia,1993,APERC GDP projections,,GDP_high
16_RUS,Russia,1994,APERC GDP projections,,GDP_high
16_RUS,Russia,1995,APERC GDP projections,,GDP_high
16_RUS,Russia,1996,APERC GDP projections,,GDP_high
16_RUS,Russia,1997,APERC GDP projections,,GDP_high
16_RUS,Russia,1998,APERC GDP projections,,GDP_high
16_RUS,Russia,1999,APERC GDP projections,,GDP_high
16_RUS,Russia,2000,APERC GDP projections,,GDP_high
16_RUS,Russia,2001,APERC GDP projections,,GDP_high
16_RUS,Russia,2002,APERC GDP projections,,GDP_high
16_RUS,Russia,2003,APERC GDP projections,,GDP_high
16_RUS,Russia,2004,APERC GDP projections,,GDP_high
16_RUS,Russia,2005,APERC GDP projections,,GDP_high
16_RUS,Russia,2006,APERC GDP projections,,GDP_high
16_RUS,Russia,2007,APERC GDP projections,,GDP_high
16_RUS,Russia,2008,APERC GDP projections,,GDP_high
16_RUS,Russia,2009,APERC GDP projections,,GDP_high
16_RUS,Russia,2010,APERC GDP projections,,GDP_high
16_RUS,Russia,2011,APERC GDP projections,,GDP_high
16_RUS,Russia,2012,APERC GDP projections,,GDP_high
16_RUS,Russia,2013,APERC GDP projections,,GDP_high
16_RUS,Russia,2014,APERC GDP projections,,GDP_high
16_RUS,Russia,2015,APERC GDP projections,,GDP_high
16_RUS,Russia,2016,APERC GDP projections,,GDP_high
16_RUS,Russia,2017,APERC GDP projections,,GDP_high
16_RUS,Russia,2018,APERC GDP projections,,GDP_high
16_RUS,Russia,2019,APERC GDP projections,,GDP_high
16_RUS,Russia,2020,APERC GDP projections,,GDP_high
16_RUS,Russia,2021,APERC GDP projections,,GDP_high
16_RUS,Russia,2022,APERC GDP projections,,GDP_high
16_RUS,Russia,2023,APERC GDP projections,,GDP_high
16_RUS,Russia,2024,APERC GDP projections,,GDP_high
16_RUS,Russia,2025,APERC GDP projections,,GDP_high
16_RUS,Russia,2026,APERC GDP projections,6271895.997348721,GDP_high
16_RUS,Russia,2027,APERC GDP projections,6385722.073492466,GDP_high
16_RUS,Russia,2028,APERC GDP projections,6501212.245513375,GDP_high
16_RUS,Russia,2029,APERC GDP projections,6612545.856602885,GDP_high
16_RUS,Russia,2030,APERC GDP projections,6725669.882970209,GDP_high
16_RUS,Russia,2031,APERC GDP projections,6868353.033676882,GDP_high
16_RUS,Russia,2032,APERC GDP projections,6985041.46718934,GDP_high
16_RUS,Russia,2033,APERC GDP projections,7123693.545259885,GDP_high
16_RUS,Russia,2034,APERC GDP projections,7253793.932149395,GDP_high
16_RUS,Russia,2035,APERC GDP projections,7377039.732371909,GDP_high
16_RUS,Russia,2036,APERC GDP projections,7506346.048611425,GDP_high
16_RUS,Russia,2037,APERC GDP projections,7638575.027313644,GDP_high
16_RUS,Russia,2038,APERC GDP projections,7772585.7232248625,GDP_high
16_RUS,Russia,2039,APERC GDP projections,7908606.633409714,GDP_high
16_RUS,Russia,2040,APERC GDP projections,8046674.945255809,GDP_high
16_RUS,Russia,2041,APERC GDP projections,8187909.323824776,GDP_high
