economy_code,economy,year,variable,value,population
17_SGP,Singapore,1990,APERC GDP projections,,GDP_low
17_SGP,Singapore,1991,APERC GDP projections,,GDP_low
17_SGP,Singapore,1992,APERC GDP projections,,GDP_low
17_SGP,Singapore,1993,APERC GDP projections,,GDP_low
17_SGP,Singapore,1994,APERC GDP projections,,GDP_low
17_SGP,Singapore,1995,APERC GDP projections,,GDP_low
17_SGP,Singapore,1996,APERC GDP projections,,GDP_low
17_SGP,Singapore,1997,APERC GDP projections,,GDP_low
17_SGP,Singapore,1998,APERC GDP projections,,GDP_low
17_SGP,Singapore,1999,APERC GDP projections,,GDP_low
17_SGP,Singapore,2000,APERC GDP projections,,GDP_low
17_SGP,Singapore,2001,APERC GDP projections,,GDP_low
17_SGP,Singapore,2002,APERC GDP projections,,GDP_low
17_SGP,Singapore,2003,APERC GDP projections,,GDP_low
17_SGP,Singapore,2004,APERC GDP projections,,GDP_low
17_SGP,Singapore,2005,APERC GDP projections,,GDP_low
17_SGP,Singapore,2006,APERC GDP projections,,GDP_low
17_SGP,Singapore,2007,APERC GDP projections,,GDP_low
17_SGP,Singapore,2008,APERC GDP projections,,GDP_low
17_SGP,Singapore,2009,APERC GDP projections,,GDP_low
17_SGP,Singapore,2010,APERC GDP projections,,GDP_low
17_SGP,Singapore,2011,APERC GDP projections,,GDP_low
17_SGP,Singapore,2012,APERC GDP projections,,GDP_low
17_SGP,Singapore,2013,APERC GDP projections,,GDP_low
17_SGP,Singapore,2014,APERC GDP projections,,GDP_low
17_SGP,Singapore,2015,APERC GDP projections,,GDP_low
17_SGP,Singapore,2016,APERC GDP projections,,GDP_low
17_SGP,Singapore,2017,APERC GDP projections,,GDP_low
17_SGP,Singapore,2018,APERC GDP projections,,GDP_low
17_SGP,Singapore,2019,APERC GDP projections,,GDP_low
17_SGP,Singapore,2020,APERC GDP projections,,GDP_low
17_SGP,Singapore,2021,APERC GDP projections,,GDP_low
17_SGP,Singapore,2022,APERC GDP projections,,GDP_low
17_SGP,Singapore,2023,APERC GDP projections,,GDP_low
17_SGP,Singapore,2024,APERC GDP projections,,GDP_low
17_SGP,Singapore,2025,APERC GDP projections,,GDP_low
17_SGP,Singapore,2026,APERC GDP projections,884450.469009844,GDP_low
17_SGP,Singapore,2027,APERC GDP projections,916176.0377537766,GDP_low
17_SGP,Singapore,2028,APERC GDP projections,947880.1724033912,GDP_low
17_SGP,Singapore,2029,APERC GDP projections,979566.4844215056,GDP_low
17_SGP,Singapore,2030,APERC GDP projections,1012353.4804235474,GDP_low
17_SGP,Singapore,2031,APERC GDP projections,1051696.5204262603,GDP_low
17_SGP,Singapore,2032,APERC GDP projections,1083774.5932522244,GDP_low
17_SGP,Singapore,2033,APERC GDP projections,1114540.804448573,GDP_low
17_SGP,Singapore,2034,APERC GDP projections,1149840.6321764349,GDP_low
17_SGP,Singapore,2035,APERC GDP projections,1183978.7646239437,GDP_low
17_SGP,Singapore,2036,APERC GDP projections,1217363.6426682717,GDP_low
17_SGP,Singapore,2037,APERC GDP projections,1251346.228547379,GDP_low
17_SGP,Singapore,2038,APERC GDP projections,1286381.5938476445,GDP_low
17_SGP,Singapore,2039,APERC GDP projections,1322278.3721998548,GDP_low
17_SGP,Singapore,2040,APERC GDP projections,1358584.6983989126,GDP_low
17_SGP,Singapore,2041,APERC GDP projections,1395075.7501029724,GDP_low
17_SGP,Singapore,2042,APERC GDP projections,1430933.6694210868,GDP_low
17_SGP,Singapore,2043,APERC GDP projections,1467447.3515803637,GDP_low
