economy_code,economy,year,variable,value,population
20_USA,United States of America,1990,APERC GDP projections,,GDP_low
20_USA,United States of America,1991,APERC GDP projections,,GDP_low
20_USA,United States of America,1992,APERC GDP projections,,GDP_low
20_USA,United States of America,1993,APERC GDP projections,,GDP_low
20_USA,United States of America,1994,APERC GDP projections,,GDP_low
20_USA,United States of America,1995,APERC GDP projections,,GDP_low
20_USA,United States of America,1996,APERC GDP projections,,GDP_low
20_USA,United States of America,1997,APERC GDP projections,,GDP_low
20_USA,United States of America,1998,APERC GDP projections,,GDP_low
20_USA,United States of America,1999,APERC GDP projections,,GDP_low
20_USA,United States of America,2000,APERC GDP projections,,GDP_low
20_USA,United States of America,2001,APERC GDP projections,,GDP_low
20_USA,United States of America,2002,APERC GDP projections,,GDP_low
20_USA,United States of America,2003,APERC GDP projections,,GDP_low
20_USA,United States of America,2004,APERC GDP projections,,GDP_low
20_USA,United States of America,2005,APERC GDP projections,,GDP_low
20_USA,United States of America,2006,APERC GDP projections,,GDP_low
20_USA,United States of America,2007,APERC GDP projections,,GDP_low
20_USA,United States of America,2008,APERC GDP projections,,GDP_low
20_USA,United States of America,2009,APERC GDP projections,,GDP_low
20_USA,United States of America,2010,APERC GDP projections,,GDP_low
20_USA,United States of America,2011,APERC GDP projections,,GDP_low
20_USA,United States of America,2012,APERC GDP projections,,GDP_low
20_USA,United States of America,2013,APERC GDP projections,,GDP_low
20_USA,United States of America,2014,APERC GDP projections,,GDP_low
20_USA,United States of America,2015,APERC GDP projections,,GDP_low
20_USA,United States of America,2016,APERC GDP projections,,GDP_low
20_USA,United States of America,2017,APERC GDP projections,,GDP_low
20_USA,United States of America,2018,APERC GDP projections,,GDP_low
20_USA,United States of America,2019,APERC GDP projections,,GDP_low
20_USA,United States of America,2020,APERC GDP projections,,GDP_low
20_USA,United States of America,2021,APERC GDP projections,,GDP_low
20_USA,United States of America,2022,APERC GDP projections,,GDP_low
20_USA,United States of America,2023,APERC GDP projections,,GDP_low
20_USA,United States of America,2024,APERC GDP projections,,GDP_low
20_USA,United States of America,2025,APERC GDP projections,,GDP_low
20_USA,United States of America,2026,APERC GDP projections,26874860.9760918,GDP_low
20_USA,United States of America,2027,APERC GDP projections,27468932.119950067,GDP_low
20_USA,United States of America,2028,APERC GDP projections,28064725.06590275,GDP_low
20_USA,United States of America,2029,APERC GDP projections,28651196.453556668,GDP_low
20_USA,United States of America,2030,APERC GDP projections,29215064.364390217,GDP_low
20_USA,United States of America,2031,APERC GDP projections,29905559.554994173,GDP_low
20_USA,United States of America,2032,APERC GDP projections,30489587.702272147,GDP_low
20_USA,United States of America,2033,APERC GDP projections,31060745.878186427,GDP_low
20_USA,United States of America,2034,APERC GDP projections,31609816.443367843,GDP_low
20_USA,United States of America,2035,APERC GDP projections,32148306.220764905,GDP_low
20_USA,United States of America,2036,APERC GDP projections,32685785.93048684,GDP_low
20_USA,United States of America,2037,APERC GDP projections,33219657.149239022,GDP_low
20_USA,United States of America,2038,APERC GDP projections,33748189.941937424,GDP_low
20_USA,United States of America,2039,APERC GDP projections,34270798.30718645,GDP_low
20_USA,United States of America,2040,APERC GDP projections,34785695.853422806,GDP_low
20_USA,United States of America,2041,APERC GDP projections,35294515.11797642,GDP_low
20_USA,United States of America,2042,APERC GDP projections,35781113.49693482,GDP_low
20_USA,United States of America,2043,APERC GDP projections,36258643.20357537,GDP_low
20_USA,United States of America,2044,APERC GDP projections,36723287.95174734,GDP_low
20_USA,United States of America,2045,APERC GDP projections,37177498.490752734,GDP_low
20_USA,United States of America,2046,APERC GDP projections,37622213.21216354,GDP_low
20_USA,United States of America,2047,APERC GDP projections,38055197.9095846,GDP_low
20_USA,United States of America,2048,APERC GDP projections,38478476.99310789,GDP_low
20_USA,United States of America,2049,APERC GDP projections,38888397.72362916,GDP_low
20_USA,United States of America,2050,APERC GDP projections,39286899.51989392,GDP_low
20_USA,United States of America,2051,APERC GDP projections,39673046.75664465,GDP_low
20_USA,United States of America,2052,APERC GDP projections,40056272.75919713,GDP_low
20_USA,United States of America,2053,APERC GDP projections,40434583.947931714,GDP_low
20_USA,United States of America,2054,APERC GDP projections,40810320.63765661,GDP_low
20_USA,United States of America,2055,APERC GDP projections,41179299.6361084,GDP_low
