economy_code,economy,year,variable,value,population
21_VN,Viet Nam,1990,APERC GDP projections,,GDP_low
21_VN,Viet Nam,1991,APERC GDP projections,,GDP_low
21_VN,Viet Nam,1992,APERC GDP projections,,GDP_low
21_VN,Viet Nam,1993,APERC GDP projections,,GDP_low
21_VN,Viet Nam,1994,APERC GDP projections,,GDP_low
21_VN,Viet Nam,1995,APERC GDP projections,,GDP_low
21_VN,Viet Nam,1996,APERC GDP projections,,GDP_low
21_VN,Viet Nam,1997,APERC GDP projections,,GDP_low
21_VN,Viet Nam,1998,APERC GDP projections,,GDP_low
21_VN,Viet Nam,1999,APERC GDP projections,,GDP_low
21_VN,Viet Nam,2000,APERC GDP projections,,GDP_low
21_VN,Viet Nam,2001,APERC GDP projections,,GDP_low
21_VN,Viet Nam,2002,APERC GDP projections,,GDP_low
21_VN,Viet Nam,2003,APERC GDP projections,,GDP_low
21_VN,Viet Nam,2004,APERC GDP projections,,GDP_low
21_VN,Viet Nam,2005,APERC GDP projections,,GDP_low
21_VN,Viet Nam,2006,APERC GDP projections,,GDP_low
21_VN,Viet Nam,2007,APERC GDP projections,,GDP_low
21_VN,Viet Nam,2008,APERC GDP projections,,GDP_low
21_VN,Viet Nam,2009,APERC GDP projections,,GDP_low
21_VN,Viet Nam,2010,APERC GDP projections,,GDP_low
21_VN,Viet Nam,2011,APERC GDP projections,,GDP_low
21_VN,Viet Nam,2012,APERC GDP projections,,GDP_low
21_VN,Viet Nam,2013,APERC GDP projections,,GDP_low
21_VN,Viet Nam,2014,APERC GDP projections,,GDP_low
21_VN,Viet Nam,2015,APERC GDP projections,,GDP_low
21_VN,Viet Nam,2016,APERC GDP projections,,GDP_low
21_VN,Viet Nam,2017,APERC GDP projections,,GDP_low
21_VN,Viet Nam,2018,APERC GDP projections,,GDP_low
21_VN,Viet Nam,2019,APERC GDP projections,,GDP_low
21_VN,Viet Nam,2020,APERC GDP projections,,GDP_low
21_VN,Viet Nam,2021,APERC GDP projections,,GDP_low
21_VN,Viet Nam,2022,APERC GDP projections,,GDP_low
21_VN,Viet Nam,2023,APERC GDP projections,,GDP_low
21_VN,Viet Nam,2024,APERC GDP projections,,GDP_low
21_VN,Viet Nam,2025,APERC GDP projections,,GDP_low
21_VN,Viet Nam,2026,APERC GDP projections,1662118.518194887,GDP_low
21_VN,Viet Nam,2027,APERC GDP projections,1768926.0774327728,GDP_low
21_VN,Viet Nam,2028,APERC GDP projections,1875096.7029609992,GDP_low
21_VN,Viet Nam,2029,APERC GDP projections,1990606.0812661208,GDP_low
21_VN,Viet Nam,2030,APERC GDP projections,2107138.793928956,GDP_low
21_VN,Viet Nam,2031,APERC GDP projections,2222438.1452086032,GDP_low
21_VN,Viet Nam,2032,APERC GDP projections,2343063.148410807,GDP_low
21_VN,Viet Nam,2033,APERC GDP projections,2466381.892058377,GDP_low
21_VN,Viet Nam,2034,APERC GDP projections,2593226.7732199025,GDP_low
21_VN,Viet Nam,2035,APERC GDP projections,2721148.9632344428,GDP_low
21_VN,Viet Nam,2036,APERC GDP projections,2850992.7481034463,GDP_low
21_VN,Viet Nam,2037,APERC GDP projections,2983590.9740602365,GDP_low
21_VN,Viet Nam,2038,APERC GDP projections,3120840.2747718305,GDP_low
21_VN,Viet Nam,2039,APERC GDP projections,3262598.735585065,GDP_low
21_VN,Viet Nam,2040,APERC GDP projections,3408694.1835113373,GDP_low
21_VN,Viet Nam,2041,APERC GDP projections,3559004.3882218776,GDP_low
21_VN,Viet Nam,2042,APERC GDP projections,3713877.3727648263,GDP_low
21_VN,Viet Nam,2043,APERC GDP projections,3872852.141407692,GDP_low
21_VN,Viet Nam,2044,APERC GDP projections,4035733.3744842648,GDP_low
21_VN,Viet Nam,2045,APERC GDP projections,4202351.287429649,GDP_low
21_VN,Viet Nam,2046,APERC GDP projections,4372809.863076795,GDP_low
21_VN,Viet Nam,2047,APERC GDP projections,4546609.926649055,GDP_low
21_VN,Viet Nam,2048,APERC GDP projections,4723178.295011624,GDP_low
21_VN,Viet Nam,2049,APERC GDP projections,4902084.639143882,GDP_low
21_VN,Viet Nam,2050,APERC GDP projections,5083156.556725457,GDP_low
21_VN,Viet Nam,2051,APERC GDP projections,5266372.465153714,GDP_low
21_VN,Viet Nam,2052,APERC GDP projections,5450921.142917703,GDP_low
21_VN,Viet Nam,2053,APERC GDP projections,5636972.275233487,GDP_low
21_VN,Viet Nam,2054,APERC GDP projections,5824316.591345062,GDP_low
21_VN,Viet Nam,2055,APERC GDP projections,6012489.349637041,GDP_low
21_VN,Viet Nam,2056,APERC GDP projections,6201325.977461318,GDP_low
21_VN,Viet Nam,2057,APERC GDP projections,6390784.038146195,GDP_low
21_VN,Viet Nam,2058,APERC GDP projections,6580136.235801338,GDP_low
21_VN,Viet Nam,2059,APERC GDP projections,6769005.982548555,GDP_low
21_VN,Viet Nam,2060,APERC GDP projections,6957462.553521672,GDP_low
