economy_code,economy,year,variable,value
01_AUS,Australia,1990,Population,17004.135
01_AUS,Australia,1991,Population,17248.461
01_AUS,Australia,1992,Population,17457.924
01_AUS,Australia,1993,Population,17640.653
01_AUS,Australia,1994,Population,17805.169
01_AUS,Australia,1995,Population,17989.698
01_AUS,Australia,1996,Population,18200.991
01_AUS,Australia,1997,Population,18409.624
01_AUS,Australia,1998,Population,18600.201
01_AUS,Australia,1999,Population,18803.233
01_AUS,Australia,2000,Population,19016.729
01_AUS,Australia,2001,Population,19248.213
01_AUS,Australia,2002,Population,19482.653
01_AUS,Australia,2003,Population,19708.057
01_AUS,Australia,2004,Population,19930.852
01_AUS,Australia,2005,Population,20162.502
01_AUS,Australia,2006,Population,20426.478
01_AUS,Australia,2007,Population,20754.641
01_AUS,Australia,2008,Population,21154.456
01_AUS,Australia,2009,Population,21586.721
01_AUS,Australia,2010,Population,21979.301
01_AUS,Australia,2011,Population,22303.86
01_AUS,Australia,2012,Population,22655.69
01_AUS,Australia,2013,Population,23049.598
01_AUS,Australia,2014,Population,23422.943
01_AUS,Australia,2015,Population,23768.258
01_AUS,Australia,2016,Population,24127.746
01_AUS,Australia,2017,Population,24532.18
01_AUS,Australia,2018,Population,24929.897
01_AUS,Australia,2019,Population,25309.514
01_AUS,Australia,2020,Population,25655.914
01_AUS,Australia,2021,Population,25831.668
01_AUS,Australia,2022,Population,26081.167
01_AUS,Australia,2023,Population,26320.802
01_AUS,Australia,2024,Population,26581.446
01_AUS,Australia,2025,Population,26891.409
01_AUS,Australia,2026,Population,27195.833
01_AUS,Australia,2027,Population,27489.98
01_AUS,Australia,2028,Population,27782.232
01_AUS,Australia,2029,Population,28070.74
01_AUS,Australia,2030,Population,28376.272
01_AUS,Australia,2031,Population,28680.099
01_AUS,Australia,2032,Population,28979.695
01_AUS,Australia,2033,Population,29273.025
01_AUS,Australia,2034,Population,29563.779
01_AUS,Australia,2035,Population,29871.096
01_AUS,Australia,2036,Population,30180.418
01_AUS,Australia,2037,Population,30489.504
01_AUS,Australia,2038,Population,30791.517
01_AUS,Australia,2039,Population,31099.05
01_AUS,Australia,2040,Population,31400.818
01_AUS,Australia,2041,Population,31707.457
01_AUS,Australia,2042,Population,32018.661
01_AUS,Australia,2043,Population,32333.708
01_AUS,Australia,2044,Population,32646.626
01_AUS,Australia,2045,Population,32959.911
01_AUS,Australia,2046,Population,33277.527
01_AUS,Australia,2047,Population,33602.152
01_AUS,Australia,2048,Population,33915.487
01_AUS,Australia,2049,Population,34242.747
01_AUS,Australia,2050,Population,34560.236
01_AUS,Australia,2051,Population,34880.54
01_AUS,Australia,2052,Population,35202.118
01_AUS,Australia,2053,Population,35522.34
01_AUS,Australia,2054,Population,35847.251
01_AUS,Australia,2055,Population,36180.222
01_AUS,Australia,2056,Population,36519.705
01_AUS,Australia,2057,Population,36859.268
01_AUS,Australia,2058,Population,37205.237
01_AUS,Australia,2059,Population,37564.374
01_AUS,Australia,2060,Population,37918.153
01_AUS,Australia,2061,Population,38277.338
01_AUS,Australia,2062,Population,38646.329
01_AUS,Australia,2063,Population,39021.506
01_AUS,Australia,2064,Population,39404.423
01_AUS,Australia,2065,Population,39781.341
01_AUS,Australia,2066,Population,40169.046
01_AUS,Australia,2067,Population,40569.588
01_AUS,Australia,2068,Population,40975.319
01_AUS,Australia,2069,Population,41385.911
01_AUS,Australia,2070,Population,41798.472
01_AUS,Australia,2071,Population,42208.991
01_AUS,Australia,2072,Population,42615.673
01_AUS,Australia,2073,Population,43026.162
01_AUS,Australia,2074,Population,43441.914
01_AUS,Australia,2075,Population,43863.696
01_AUS,Australia,2076,Population,44286.359
01_AUS,Australia,2077,Population,44709.813
01_AUS,Australia,2078,Population,45141.559
01_AUS,Australia,2079,Population,45574.464
01_AUS,Australia,2080,Population,46009.331
01_AUS,Australia,2081,Population,46446.674
01_AUS,Australia,2082,Population,46897.006
01_AUS,Australia,2083,Population,47343.81
01_AUS,Australia,2084,Population,47801.764
01_AUS,Australia,2085,Population,48252.029
01_AUS,Australia,2086,Population,48708.463
01_AUS,Australia,2087,Population,49176.361
01_AUS,Australia,2088,Population,49656.367
01_AUS,Australia,2089,Population,50153.774
01_AUS,Australia,2090,Population,50648.844
01_AUS,Australia,2091,Population,51157.15
01_AUS,Australia,2092,Population,51671.923
01_AUS,Australia,2093,Population,52188.062
01_AUS,Australia,2094,Population,52707.183
01_AUS,Australia,2095,Population,53218.946
01_AUS,Australia,2096,Population,53742.202
01_AUS,Australia,2097,Population,54278.88
01_AUS,Australia,2098,Population,54825.705
01_AUS,Australia,2099,Population,55363.527
01_AUS,Australia,2100,Population,55899.711
01_AUS,Australia,1990,Labour efficiency,12.147905529296125
01_AUS,Australia,1991,Labour efficiency,11.821306167093887
01_AUS,Australia,1992,Labour efficiency,11.87888488519565
01_AUS,Australia,1993,Labour efficiency,12.3665232879977
01_AUS,Australia,1994,Labour efficiency,12.837008394353541
01_AUS,Australia,1995,Labour efficiency,13.309678789067211
01_AUS,Australia,1996,Labour efficiency,13.772434002648183
01_AUS,Australia,1997,Labour efficiency,14.304291550449708
01_AUS,Australia,1998,Labour efficiency,15.017419737467103
01_AUS,Australia,1999,Labour efficiency,15.683455108904564
01_AUS,Australia,2000,Labour efficiency,16.093558620828155
01_AUS,Australia,2001,Labour efficiency,16.37290360824898
01_AUS,Australia,2002,Labour efficiency,16.823460566690567
01_AUS,Australia,2003,Labour efficiency,17.258573664881563
01_AUS,Australia,2004,Labour efficiency,17.78202997926111
01_AUS,Australia,2005,Labour efficiency,18.061823596878718
01_AUS,Australia,2006,Labour efficiency,18.378383847054614
01_AUS,Australia,2007,Labour efficiency,18.784431815470914
01_AUS,Australia,2008,Labour efficiency,18.93154971990272
01_AUS,Australia,2009,Labour efficiency,18.812419341998016
01_AUS,Australia,2010,Labour efficiency,18.8131989921576
01_AUS,Australia,2011,Labour efficiency,19.04029168402632
01_AUS,Australia,2012,Labour efficiency,19.388434928891407
01_AUS,Australia,2013,Labour efficiency,19.511140511001003
01_AUS,Australia,2014,Labour efficiency,19.64856238875188
01_AUS,Australia,2015,Labour efficiency,19.848967018318724
01_AUS,Australia,2016,Labour efficiency,20.11380561556084
01_AUS,Australia,2017,Labour efficiency,20.316461557051316
01_AUS,Australia,2018,Labour efficiency,20.57988054651488
01_AUS,Australia,2019,Labour efficiency,20.446751874538123
01_AUS,Australia,2020,Labour efficiency,20.163960067423126
01_AUS,Australia,2021,Labour efficiency,20.698075087072123
01_AUS,Australia,2022,Labour efficiency,21.540735317169336
01_AUS,Australia,2023,Labour efficiency,21.980568399153906
01_AUS,Australia,2024,Labour efficiency,22.063960959073977
01_AUS,Australia,2025,Labour efficiency,22.104158319265572
01_AUS,Australia,2026,Labour efficiency,22.390008131649733
01_AUS,Australia,2027,Labour efficiency,22.67863488758141
01_AUS,Australia,2028,Labour efficiency,22.977367256245802
01_AUS,Australia,2029,Labour efficiency,23.28050941727123
01_AUS,Australia,2030,Labour efficiency,23.587650955978454
01_AUS,Australia,2031,Labour efficiency,23.914614572325
01_AUS,Australia,2032,Labour efficiency,24.24611044186683
01_AUS,Australia,2033,Labour efficiency,24.583468686635644
01_AUS,Australia,2034,Labour efficiency,24.909529962201297
01_AUS,Australia,2035,Labour efficiency,25.239915930786424
01_AUS,Australia,2036,Labour efficiency,25.574683952682214
01_AUS,Australia,2037,Labour efficiency,25.913892148974437
01_AUS,Australia,2038,Labour efficiency,26.257599411634192
01_AUS,Australia,2039,Labour efficiency,26.605865413742503
01_AUS,Australia,2040,Labour efficiency,26.958750619850505
01_AUS,Australia,2041,Labour efficiency,27.31631629647707
01_AUS,Australia,2042,Labour efficiency,27.67862452274565
01_AUS,Australia,2043,Labour efficiency,28.045738201162216
01_AUS,Australia,2044,Labour efficiency,28.41772106853612
01_AUS,Australia,2045,Labour efficiency,28.794637707045847
01_AUS,Australia,2046,Labour efficiency,29.176553555451502
01_AUS,Australia,2047,Labour efficiency,29.56353492045602
01_AUS,Australia,2048,Labour efficiency,29.955648988217092
01_AUS,Australia,2049,Labour efficiency,30.35296383601174
01_AUS,Australia,2050,Labour efficiency,30.755548444055616
01_AUS,Australia,2051,Labour efficiency,31.163472707479098
01_AUS,Australia,2052,Labour efficiency,31.576807448462173
01_AUS,Australia,2053,Labour efficiency,31.99562442853032
01_AUS,Australia,2054,Labour efficiency,32.41999636101345
01_AUS,Australia,2055,Labour efficiency,32.84999692367012
01_AUS,Australia,2056,Labour efficiency,33.285700771479135
01_AUS,Australia,2057,Labour efficiency,33.727183549600895
01_AUS,Australia,2058,Labour efficiency,34.17452190651056
01_AUS,Australia,2059,Labour efficiency,34.62779350730548
01_AUS,Australia,2060,Labour efficiency,35.087077047189105
01_AUS,Australia,2061,Labour efficiency,35.55245226513369
01_AUS,Australia,2062,Labour efficiency,36.0239999577243
01_AUS,Australia,2063,Labour efficiency,36.501801993186376
01_AUS,Australia,2064,Labour efficiency,36.98594132559936
01_AUS,Australia,2065,Labour efficiency,37.47650200929887
01_AUS,Australia,2066,Labour efficiency,37.97356921346985
01_AUS,Australia,2067,Labour efficiency,38.47722923693333
01_AUS,Australia,2068,Labour efficiency,38.987569523129274
01_AUS,Australia,2069,Labour efficiency,39.504678675298145
01_AUS,Australia,2070,Labour efficiency,40.02864647186387
01_AUS,Australia,2071,Labour efficiency,40.559563882020804
01_AUS,Australia,2072,Labour efficiency,41.09752308152741
01_AUS,Australia,2073,Labour efficiency,41.6426174687095
01_AUS,Australia,2074,Labour efficiency,42.19494168067563
01_AUS,Australia,2075,Labour efficiency,42.754591609747635
01_AUS,Australia,2076,Labour efficiency,43.32166442010907
01_AUS,Australia,2077,Labour efficiency,43.89625856467448
01_AUS,Australia,2078,Labour efficiency,44.47847380218238
01_AUS,Australia,2079,Labour efficiency,45.06841121451497
01_AUS,Australia,2080,Labour efficiency,45.666173224247586
01_AUS,Australia,2081,Labour efficiency,46.271863612430884
01_AUS,Australia,2082,Labour efficiency,46.885587536608895
01_AUS,Australia,2083,Labour efficiency,47.507451549076045
01_AUS,Australia,2084,Labour efficiency,48.137563615376365
01_AUS,Australia,2085,Labour efficiency,48.77603313304802
01_AUS,Australia,2086,Labour efficiency,49.42297095061646
01_AUS,Australia,2087,Labour efficiency,50.078489386839536
01_AUS,Australia,2088,Labour efficiency,50.742702250207785
01_AUS,Australia,2089,Labour efficiency,51.41572485870345
01_AUS,Australia,2090,Labour efficiency,52.09767405982149
01_AUS,Australia,2091,Labour efficiency,52.78866825085621
01_AUS,Australia,2092,Labour efficiency,53.488827399456895
01_AUS,Australia,2093,Labour efficiency,54.198273064456124
01_AUS,Australia,2094,Labour efficiency,54.91712841697435
01_AUS,Australia,2095,Labour efficiency,55.64551826180434
01_AUS,Australia,2096,Labour efficiency,56.38356905907931
01_AUS,Australia,2097,Labour efficiency,57.13140894622843
01_AUS,Australia,2098,Labour efficiency,57.889167760223515
01_AUS,Australia,2099,Labour efficiency,58.6569770601208
01_AUS,Australia,2100,Labour efficiency,59.43497014990173
01_AUS,Australia,1990,Capital stock,3209897.8799290387
01_AUS,Australia,1991,Capital stock,3241658.658973061
01_AUS,Australia,1992,Capital stock,3194702.3399404967
01_AUS,Australia,1993,Capital stock,3269648.971523141
01_AUS,Australia,1994,Capital stock,3361182.7214058777
01_AUS,Australia,1995,Capital stock,3448704.642123038
01_AUS,Australia,1996,Capital stock,3539685.5882801856
01_AUS,Australia,1997,Capital stock,3618952.593968984
01_AUS,Australia,1998,Capital stock,3713698.16689125
01_AUS,Australia,1999,Capital stock,3870166.47047785
01_AUS,Australia,2000,Capital stock,4029636.3295536186
01_AUS,Australia,2001,Capital stock,4055167.2217895496
01_AUS,Australia,2002,Capital stock,4212083.822908463
01_AUS,Australia,2003,Capital stock,4299559.029608603
01_AUS,Australia,2004,Capital stock,4482319.629141826
01_AUS,Australia,2005,Capital stock,4650882.519740263
01_AUS,Australia,2006,Capital stock,4757938.92073421
01_AUS,Australia,2007,Capital stock,4933821.0109843705
01_AUS,Australia,2008,Capital stock,5179907.517135421
01_AUS,Australia,2009,Capital stock,5324474.609806161
01_AUS,Australia,2010,Capital stock,5473220.512650328
01_AUS,Australia,2011,Capital stock,5579192.6585253775
01_AUS,Australia,2012,Capital stock,5843307.971197058
01_AUS,Australia,2013,Capital stock,6022326.709007116
01_AUS,Australia,2014,Capital stock,6203059.684433638
01_AUS,Australia,2015,Capital stock,6305359.386441025
01_AUS,Australia,2016,Capital stock,6468601.789678548
01_AUS,Australia,2017,Capital stock,6577618.49395307
01_AUS,Australia,2018,Capital stock,6760298.377382127
01_AUS,Australia,2019,Capital stock,7045508.502159561
01_AUS,Australia,2020,Capital stock,7025525.094107329
01_AUS,Australia,2021,Capital stock,7027074.30576847
01_AUS,Australia,2022,Capital stock,7240002.559464331
01_AUS,Australia,2023,Capital stock,7565589.948001127
01_AUS,Australia,2024,Capital stock,7669496.345443953
01_AUS,Australia,2025,Capital stock,7773065.059257426
01_AUS,Australia,2026,Capital stock,7877665.581116392
01_AUS,Australia,2027,Capital stock,7984510.765826189
01_AUS,Australia,2028,Capital stock,8093521.183853062
01_AUS,Australia,2029,Capital stock,8204761.576644678
01_AUS,Australia,2030,Capital stock,8318222.259549335
01_AUS,Australia,2031,Capital stock,8434067.072546076
01_AUS,Australia,2032,Capital stock,8552463.527952002
01_AUS,Australia,2033,Capital stock,8673397.06986372
01_AUS,Australia,2034,Capital stock,8796848.306226164
01_AUS,Australia,2035,Capital stock,8922647.848316913
01_AUS,Australia,2036,Capital stock,9050964.291031588
01_AUS,Australia,2037,Capital stock,9181835.891945638
01_AUS,Australia,2038,Capital stock,9315280.811663952
01_AUS,Australia,2039,Capital stock,9451254.010534083
01_AUS,Australia,2040,Capital stock,9589827.835932937
01_AUS,Australia,2041,Capital stock,9730968.802833447
01_AUS,Australia,2042,Capital stock,9874744.599566601
01_AUS,Australia,2043,Capital stock,10021220.850042615
01_AUS,Australia,2044,Capital stock,10170457.000985676
01_AUS,Australia,2045,Capital stock,10322454.488701247
01_AUS,Australia,2046,Capital stock,10477239.57346238
01_AUS,Australia,2047,Capital stock,10634878.666479513
01_AUS,Australia,2048,Capital stock,10795466.222402718
01_AUS,Australia,2049,Capital stock,10958910.422756921
01_AUS,Australia,2050,Capital stock,11125379.243292136
01_AUS,Australia,2051,Capital stock,11294795.079987299
01_AUS,Australia,2052,Capital stock,11467212.255775074
01_AUS,Australia,2053,Capital stock,11642669.364144867
01_AUS,Australia,2054,Capital stock,11821177.13869515
01_AUS,Australia,2055,Capital stock,12002812.33329877
01_AUS,Australia,2056,Capital stock,12187689.853355926
01_AUS,Australia,2057,Capital stock,12375908.909090485
01_AUS,Australia,2058,Capital stock,12567497.718607131
