economy_code,economy,year,variable,value
05_PRC,China,1990,Population,1143536.292
05_PRC,China,1991,Population,1163629.156
05_PRC,China,1992,Population,1177947.9
05_PRC,China,1993,Population,1191200.574
05_PRC,China,1994,Population,1203416.576
05_PRC,China,1995,Population,1214589.617
05_PRC,China,1996,Population,1225678.238
05_PRC,China,1997,Population,1236211.386
05_PRC,China,1998,Population,1246067.858
05_PRC,China,1999,Population,1255626.395
05_PRC,China,2000,Population,1264726.915
05_PRC,China,2001,Population,1274435.436
05_PRC,China,2002,Population,1283014.689
05_PRC,China,2003,Population,1290718.988
05_PRC,China,2004,Population,1298315.664
05_PRC,China,2005,Population,1305884.967
05_PRC,China,2006,Population,1314169.304
05_PRC,China,2007,Population,1321938.768
05_PRC,China,2008,Population,1329688.395
05_PRC,China,2009,Population,1337953.637
05_PRC,China,2010,Population,1347091.795
05_PRC,China,2011,Population,1356031.233
05_PRC,China,2012,Population,1364470.096
05_PRC,China,2013,Population,1374571.633
05_PRC,China,2014,Population,1383444.448
05_PRC,China,2015,Population,1392459.496
05_PRC,China,2016,Population,1399808.851
05_PRC,China,2017,Population,1408296.413
05_PRC,China,2018,Population,1416413.041
05_PRC,China,2019,Population,1421604.871
05_PRC,China,2020,Population,1425435.844
05_PRC,China,2021,Population,1426776.342
05_PRC,China,2022,Population,1426098.192
05_PRC,China,2023,Population,1424260.946
05_PRC,China,2024,Population,1420908.919
05_PRC,China,2025,Population,1419898.607
05_PRC,China,2026,Population,1418741.996
05_PRC,China,2027,Population,1417731.154
05_PRC,China,2028,Population,1416392.317
05_PRC,China,2029,Population,1414698.11
05_PRC,China,2030,Population,1413871.679
05_PRC,China,2031,Population,1412759.782
05_PRC,China,2032,Population,1411324.471
05_PRC,China,2033,Population,1409612.163
05_PRC,China,2034,Population,1407615.844
05_PRC,China,2035,Population,1406167.158
05_PRC,China,2036,Population,1404499.466
05_PRC,China,2037,Population,1402604.013
05_PRC,China,2038,Population,1400496.185
05_PRC,China,2039,Population,1398207.618
05_PRC,China,2040,Population,1395628.832
05_PRC,China,2041,Population,1392781.36
05_PRC,China,2042,Population,1389621.23
05_PRC,China,2043,Population,1386161.425
05_PRC,China,2044,Population,1382407.706
05_PRC,China,2045,Population,1378320.875
05_PRC,China,2046,Population,1373816.446
05_PRC,China,2047,Population,1368862.179
05_PRC,China,2048,Population,1363499.383
05_PRC,China,2049,Population,1357653.969
05_PRC,China,2050,Population,1351321.167
05_PRC,China,2051,Population,1344537.887
05_PRC,China,2052,Population,1337245.523
05_PRC,China,2053,Population,1329455.992
05_PRC,China,2054,Population,1321265.678
05_PRC,China,2055,Population,1312669.511
05_PRC,China,2056,Population,1303707.942
05_PRC,China,2057,Population,1294431.675
05_PRC,China,2058,Population,1284934.998
05_PRC,China,2059,Population,1275237.801
05_PRC,China,2060,Population,1265445.005
05_PRC,China,2061,Population,1255625.323
05_PRC,China,2062,Population,1245887.131
05_PRC,China,2063,Population,1236264.514
05_PRC,China,2064,Population,1226836.011
05_PRC,China,2065,Population,1217559.924
05_PRC,China,2066,Population,1208513.149
05_PRC,China,2067,Population,1199665.671
05_PRC,China,2068,Population,1191016.276
05_PRC,China,2069,Population,1182593.239
05_PRC,China,2070,Population,1174347.878
05_PRC,China,2071,Population,1166287.765
05_PRC,China,2072,Population,1158362.265
05_PRC,China,2073,Population,1150525.481
05_PRC,China,2074,Population,1142750.756
05_PRC,China,2075,Population,1135028.203
05_PRC,China,2076,Population,1127304.548
05_PRC,China,2077,Population,1119560.133
05_PRC,China,2078,Population,1111784.283
05_PRC,China,2079,Population,1103952.722
05_PRC,China,2080,Population,1096043.949
05_PRC,China,2081,Population,1088091.648
05_PRC,China,2082,Population,1080120.915
05_PRC,China,2083,Population,1072195.815
05_PRC,China,2084,Population,1064298.459
05_PRC,China,2085,Population,1056423.861
05_PRC,China,2086,Population,1048669.695
05_PRC,China,2087,Population,1041056.888
05_PRC,China,2088,Population,1033583.376
05_PRC,China,2089,Population,1026262.032
05_PRC,China,2090,Population,1019118.427
05_PRC,China,2091,Population,1012184.473
05_PRC,China,2092,Population,1005437.638
05_PRC,China,2093,Population,998851.782
05_PRC,China,2094,Population,992428.976
05_PRC,China,2095,Population,986165.318
05_PRC,China,2096,Population,980045.543
05_PRC,China,2097,Population,974061.209
05_PRC,China,2098,Population,968212.011
05_PRC,China,2099,Population,962490.599
05_PRC,China,2100,Population,956896.597
05_PRC,China,1990,Labour efficiency,0.7769012201742964
05_PRC,China,1991,Labour efficiency,0.8511126892091129
05_PRC,China,1992,Labour efficiency,0.9927522031344542
05_PRC,China,1993,Labour efficiency,1.1315473967341545
05_PRC,China,1994,Labour efficiency,1.276641488716401
05_PRC,China,1995,Labour efficiency,1.4011103207670073
05_PRC,China,1996,Labour efficiency,1.5154633334930123
05_PRC,China,1997,Labour efficiency,1.6282916350188978
05_PRC,China,1998,Labour efficiency,1.7064513821272682
05_PRC,China,1999,Labour efficiency,1.7921522693716496
05_PRC,China,2000,Labour efficiency,1.9121230591865874
05_PRC,China,2001,Labour efficiency,2.027774911908837
05_PRC,China,2002,Labour efficiency,2.174419018332051
05_PRC,China,2003,Labour efficiency,2.3470877161292147
05_PRC,China,2004,Labour efficiency,2.5332341577294923
05_PRC,China,2005,Labour efficiency,2.7889835020274467
05_PRC,China,2006,Labour efficiency,3.1263976477971966
05_PRC,China,2007,Labour efficiency,3.585141480533362
05_PRC,China,2008,Labour efficiency,3.845502636712148
05_PRC,China,2009,Labour efficiency,4.060785368397456
05_PRC,China,2010,Labour efficiency,4.372637945062376
05_PRC,China,2011,Labour efficiency,4.655067742084999
05_PRC,China,2012,Labour efficiency,4.853392138827997
05_PRC,China,2013,Labour efficiency,5.061695832322401
05_PRC,China,2014,Labour efficiency,5.280596954425572
05_PRC,China,2015,Labour efficiency,5.491523515163691
05_PRC,China,2016,Labour efficiency,5.71277397829922
05_PRC,China,2017,Labour efficiency,5.964815268078022
05_PRC,China,2018,Labour efficiency,6.222404261632965
05_PRC,China,2019,Labour efficiency,6.448735394851562
05_PRC,China,2020,Labour efficiency,6.328131994709436
05_PRC,China,2021,Labour efficiency,6.886766835575523
05_PRC,China,2022,Labour efficiency,6.907224179306059
05_PRC,China,2023,Labour efficiency,7.202615405946342
05_PRC,China,2024,Labour efficiency,7.577576939337197
05_PRC,China,2025,Labour efficiency,7.959080042760699
05_PRC,China,2026,Labour efficiency,8.238988374761277
05_PRC,China,2027,Labour efficiency,8.524521438354517
05_PRC,China,2028,Labour efficiency,8.811883639019637
05_PRC,China,2029,Labour efficiency,9.100583869180532
05_PRC,China,2030,Labour efficiency,9.39545646634855
05_PRC,China,2031,Labour efficiency,9.747897329125108
05_PRC,China,2032,Labour efficiency,10.064072565329544
05_PRC,China,2033,Labour efficiency,10.420156498926376
05_PRC,China,2034,Labour efficiency,10.781145193637988
05_PRC,China,2035,Labour efficiency,11.135863534474453
05_PRC,China,2036,Labour efficiency,11.482826668203563
05_PRC,China,2037,Labour efficiency,11.835994286583535
05_PRC,China,2038,Labour efficiency,12.195407746183257
05_PRC,China,2039,Labour efficiency,12.561657148205256
05_PRC,China,2040,Labour efficiency,12.935475254362894
05_PRC,China,2041,Labour efficiency,13.31699904611569
05_PRC,China,2042,Labour efficiency,13.699098790317283
05_PRC,China,2043,Labour efficiency,14.087034966564142
05_PRC,China,2044,Labour efficiency,14.47600673776889
05_PRC,China,2045,Labour efficiency,14.865540344037944
05_PRC,China,2046,Labour efficiency,15.256647228253255
05_PRC,China,2047,Labour efficiency,15.650648115182708
05_PRC,China,2048,Labour efficiency,16.047106234534642
05_PRC,China,2049,Labour efficiency,16.445528568940553
05_PRC,China,2050,Labour efficiency,16.84528570444731
05_PRC,China,2051,Labour efficiency,17.24557824298724
05_PRC,China,2052,Labour efficiency,17.64549859054553
05_PRC,China,2053,Labour efficiency,18.04498284477294
05_PRC,China,2054,Labour efficiency,18.44326358161667
05_PRC,China,2055,Labour efficiency,18.840116519615833
05_PRC,China,2056,Labour efficiency,19.235351257463794
05_PRC,China,2057,Labour efficiency,19.62862248338551
05_PRC,China,2058,Labour efficiency,20.01937474896989
05_PRC,China,2059,Labour efficiency,20.407046376739597
05_PRC,China,2060,Labour efficiency,20.79107585582351
05_PRC,China,2061,Labour efficiency,21.170918967142285
05_PRC,China,2062,Labour efficiency,21.54607169357267
05_PRC,China,2063,Labour efficiency,21.91608748432183
05_PRC,China,2064,Labour efficiency,22.28047785913144
05_PRC,China,2065,Labour efficiency,22.63879524063185
05_PRC,China,2066,Labour efficiency,22.990570085472367
05_PRC,China,2067,Labour efficiency,23.33530466197442
05_PRC,China,2068,Labour efficiency,23.672489199197607
05_PRC,China,2069,Labour efficiency,24.001626108877495
05_PRC,China,2070,Labour efficiency,24.32223185715649
05_PRC,China,2071,Labour efficiency,24.633838250184812
05_PRC,China,2072,Labour efficiency,24.935991816149816
05_PRC,China,2073,Labour efficiency,25.228250453564137
05_PRC,China,2074,Labour efficiency,25.510177794854325
05_PRC,China,2075,Labour efficiency,25.781348688813974
05_PRC,China,2076,Labour efficiency,26.04134556496845
05_PRC,China,2077,Labour efficiency,26.30396442868556
05_PRC,China,2078,Labour efficiency,26.56923172189369
05_PRC,China,2079,Labour efficiency,26.837174153179838
05_PRC,China,2080,Labour efficiency,27.107818700478784
05_PRC,China,2081,Labour efficiency,27.38119261378939
05_PRC,China,2082,Labour efficiency,27.65732341791827
05_PRC,China,2083,Labour efficiency,27.936238915251142
05_PRC,China,2084,Labour efficiency,28.217967188552134
05_PRC,China,2085,Labour efficiency,28.502536603791306
05_PRC,China,2086,Labour efficiency,28.789975813000698
05_PRC,China,2087,Labour efficiency,29.080313757159175
05_PRC,China,2088,Labour efficiency,29.37357966910636
05_PRC,China,2089,Labour efficiency,29.669803076485966
05_PRC,China,2090,Labour efficiency,29.969013804718806
05_PRC,China,2091,Labour efficiency,30.27124198000577
05_PRC,China,2092,Labour efficiency,30.57651803236111
05_PRC,China,2093,Labour efficiency,30.884872698676304
05_PRC,China,2094,Labour efficiency,31.196337025814803
05_PRC,China,2095,Labour efficiency,31.51094237373802
05_PRC,China,2096,Labour efficiency,31.828720418662805
05_PRC,China,2097,Labour efficiency,32.14970315625081
05_PRC,China,2098,Labour efficiency,32.47392290482997
05_PRC,China,2099,Labour efficiency,32.80141230864849
05_PRC,China,2100,Labour efficiency,33.13220434116166
05_PRC,China,1990,Capital stock,5881131.695777828
05_PRC,China,1991,Capital stock,6251489.282325892
05_PRC,China,1992,Capital stock,6805006.761236318
05_PRC,China,1993,Capital stock,7618169.151187948
05_PRC,China,1994,Capital stock,8513344.411723861
05_PRC,China,1995,Capital stock,9482721.10422562
05_PRC,China,1996,Capital stock,10546806.606145872
05_PRC,China,1997,Capital stock,11675969.691169197
05_PRC,China,1998,Capital stock,13012700.830900216
05_PRC,China,1999,Capital stock,14401998.34824886
05_PRC,China,2000,Capital stock,15878782.48891689
05_PRC,China,2001,Capital stock,17554639.49340217
05_PRC,China,2002,Capital stock,19518702.635657266
05_PRC,China,2003,Capital stock,21947052.935137328
05_PRC,China,2004,Capital stock,24700241.72486389
05_PRC,China,2005,Capital stock,27796668.968137257
05_PRC,China,2006,Capital stock,31264206.535468075
05_PRC,China,2007,Capital stock,35132687.96802975
05_PRC,China,2008,Capital stock,39485790.73877977
05_PRC,China,2009,Capital stock,45135943.09830006
05_PRC,China,2010,Capital stock,51427373.775707856
05_PRC,China,2011,Capital stock,58112670.45732577
05_PRC,China,2012,Capital stock,65340036.14044487
05_PRC,China,2013,Capital stock,73169143.8092104
05_PRC,China,2014,Capital stock,81411031.00541034
05_PRC,China,2015,Capital stock,89993303.86197858
05_PRC,China,2016,Capital stock,99131179.78351502
05_PRC,China,2017,Capital stock,108768368.24839066
05_PRC,China,2018,Capital stock,119183493.51369429
05_PRC,China,2019,Capital stock,130170542.41921864
05_PRC,China,2020,Capital stock,141307875.07882336
05_PRC,China,2021,Capital stock,152659097.4962474
05_PRC,China,2022,Capital stock,164287022.8287328
05_PRC,China,2023,Capital stock,176371906.8749443
05_PRC,China,2024,Capital stock,185116961.8142822
05_PRC,China,2025,Capital stock,194298668.4559177
05_PRC,China,2026,Capital stock,202972071.59209907
05_PRC,China,2027,Capital stock,211126593.46641237
05_PRC,China,2028,Capital stock,218760514.57708558
05_PRC,China,2029,Capital stock,225879468.3511855
05_PRC,China,2030,Capital stock,232495026.68051717
05_PRC,China,2031,Capital stock,238623410.01416236
05_PRC,China,2032,Capital stock,244284340.37832928
05_PRC,China,2033,Capital stock,249500043.96696916
05_PRC,China,2034,Capital stock,254294401.41698846
05_PRC,China,2035,Capital stock,258692238.04536128
05_PRC,China,2036,Capital stock,262722876.13376454
05_PRC,China,2037,Capital stock,266671634.04581663
05_PRC,China,2038,Capital stock,270528997.3896727
05_PRC,China,2039,Capital stock,274285617.0684603
05_PRC,China,2040,Capital stock,277932924.5164734
05_PRC,China,2041,Capital stock,281462113.41691566
05_PRC,China,2042,Capital stock,284864624.5691555
05_PRC,China,2043,Capital stock,288125866.5119395
05_PRC,China,2044,Capital stock,291236041.8665702
05_PRC,China,2045,Capital stock,294181972.7657695
05_PRC,China,2046,Capital stock,296950437.6735448
05_PRC,China,2047,Capital stock,299528940.59896976
05_PRC,China,2048,Capital stock,301906268.48250914
05_PRC,China,2049,Capital stock,304071787.26751393
05_PRC,China,2050,Capital stock,306034733.75936633
05_PRC,China,2051,Capital stock,307812790.28731537
05_PRC,China,2052,Capital stock,309422338.5924703
05_PRC,China,2053,Capital stock,310878506.73991585
05_PRC,China,2054,Capital stock,312195225.6399455
05_PRC,China,2055,Capital stock,313385291.88984144
05_PRC,China,2056,Capital stock,314460434.31873244
05_PRC,China,2057,Capital stock,315431382.18228495
05_PRC,China,2058,Capital stock,316307933.4233393
05_PRC,China,2059,Capital stock,317099021.80113935
05_PRC,China,2060,Capital stock,317812782.0070227
05_PRC,China,2061,Capital stock,318456612.1389679
05_PRC,China,2062,Capital stock,319037233.1108045
05_PRC,China,2063,Capital stock,319560744.7326453
05_PRC,China,2064,Capital stock,320032678.32455987
05_PRC,China,2065,Capital stock,320458045.8220111
05_PRC,China,2066,Capital stock,320841385.4044961
05_PRC,China,2067,Capital stock,321186803.73271567
05_PRC,China,2068,Capital stock,321498014.91822565
05_PRC,China,2069,Capital stock,321778376.37604123
05_PRC,China,2070,Capital stock,322030921.7276681
05_PRC,China,2071,Capital stock,322258390.93162936
05_PRC,China,2072,Capital stock,322463257.82247204
05_PRC,China,2073,Capital stock,322647755.23886234
05_PRC,China,2074,Capital stock,322813897.91782343
05_PRC,China,2075,Capital stock,322963503.3263272
05_PRC,China,2076,Capital stock,323098210.5940215
05_PRC,China,2077,Capital stock,323219497.7024037
05_PRC,China,2078,Capital stock,323328697.07667226
05_PRC,China,2079,Capital stock,323427009.71712047
05_PRC,China,2080,Capital stock,323515517.99753153
05_PRC,China,2081,Capital stock,323595197.2487739
05_PRC,China,2082,Capital stock,323666926.2368107
05_PRC,China,2083,Capital stock,323731496.63572145
05_PRC,China,2084,Capital stock,323789621.5881493
05_PRC,China,2085,Capital stock,323841943.43786836
05_PRC,China,2086,Capital stock,323889040.711934
05_PRC,China,2087,Capital stock,323931434.423137
05_PRC,China,2088,Capital stock,323969593.7572266
05_PRC,China,2089,Capital stock,324003941.20358217
05_PRC,China,2090,Capital stock,324034857.18268496
05_PRC,China,2091,Capital stock,324062684.21883893
05_PRC,China,2092,Capital stock,324087730.7021015
05_PRC,China,2093,Capital stock,324110274.2792739
05_PRC,China,2094,Capital stock,324130564.9100493
05_PRC,China,2095,Capital stock,324148827.6209961
05_PRC,China,2096,Capital stock,324165264.9869378
05_PRC,China,2097,Capital stock,324180059.3664602
05_PRC,China,2098,Capital stock,324193374.9157029
05_PRC,China,2099,Capital stock,324205359.4022584
05_PRC,China,2100,Capital stock,324216145.8388868
05_PRC,China,1990,Savings,0.366228275584888
05_PRC,China,1991,Savings,0.384279725792786
05_PRC,China,1992,Savings,0.405262148478143
05_PRC,China,1993,Savings,0.415944567821618
05_PRC,China,1994,Savings,0.415641800595348
05_PRC,China,1995,Savings,0.393812636762869
05_PRC,China,1996,Savings,0.385813284832836
05_PRC,China,1997,Savings,0.39546934479875395
05_PRC,China,1998,Savings,0.381766453804451
05_PRC,China,1999,Savings,0.363928397912428
05_PRC,China,2000,Savings,0.355826474435708
05_PRC,China,2001,Savings,0.370775585847377
05_PRC,China,2002,Savings,0.38660921561611306
05_PRC,China,2003,Savings,0.42160922481485696
05_PRC,China,2004,Savings,0.453715794530289
05_PRC,China,2005,Savings,0.455417056569754
05_PRC,China,2006,Savings,0.47787541302403097
05_PRC,China,2007,Savings,0.497906549255041
05_PRC,China,2008,Savings,0.512655667529843
05_PRC,China,2009,Savings,0.498735875934712
05_PRC,China,2010,Savings,0.507951259924622
05_PRC,China,2011,Savings,0.48641062228444804
05_PRC,China,2012,Savings,0.481956233738576
05_PRC,China,2013,Savings,0.470363460228068
05_PRC,China,2014,Savings,0.47273623819705596
05_PRC,China,2015,Savings,0.45101605377673204
05_PRC,China,2016,Savings,0.438678663976574
05_PRC,China,2017,Savings,0.443202552812278
05_PRC,China,2018,Savings,0.437715764233009
05_PRC,China,2019,Savings,0.432925997301417
05_PRC,China,2020,Savings,0.43499863349429096
05_PRC,China,2021,Savings,0.44679938707538
05_PRC,China,2022,Savings,0.44833571056536203
05_PRC,China,2023,Savings,0.425717088559186
05_PRC,China,2024,Savings,0.427150109198495
05_PRC,China,2025,Savings,0.425150109198495
05_PRC,China,2026,Savings,0.425150109198495
