economy_code,economy,year,variable,value
07_INA,Indonesia,1990,Population,181869.93
07_INA,Indonesia,1991,Population,185132.265
07_INA,Indonesia,1992,Population,188424.211
07_INA,Indonesia,1993,Population,191663.277
07_INA,Indonesia,1994,Population,194947.058
07_INA,Indonesia,1995,Population,198236.597
07_INA,Indonesia,1996,Population,201539.517
07_INA,Indonesia,1997,Population,204869.178
07_INA,Indonesia,1998,Population,208203.012
07_INA,Indonesia,1999,Population,211450.565
07_INA,Indonesia,2000,Population,214558.771
07_INA,Indonesia,2001,Population,217596.809
07_INA,Indonesia,2002,Population,220598.994
07_INA,Indonesia,2003,Population,223577.996
07_INA,Indonesia,2004,Population,226518.019
07_INA,Indonesia,2005,Population,229335.279
07_INA,Indonesia,2006,Population,232408.021
07_INA,Indonesia,2007,Population,235495.283
07_INA,Indonesia,2008,Population,238629.392
07_INA,Indonesia,2009,Population,241686.415
07_INA,Indonesia,2010,Population,244753.641
07_INA,Indonesia,2011,Population,247857.003
07_INA,Indonesia,2012,Population,251083.061
07_INA,Indonesia,2013,Population,254313.989
07_INA,Indonesia,2014,Population,257390.944
07_INA,Indonesia,2015,Population,260363.854
07_INA,Indonesia,2016,Population,263234.644
07_INA,Indonesia,2017,Population,266020.192
07_INA,Indonesia,2018,Population,268673.124
07_INA,Indonesia,2019,Population,271230.569
07_INA,Indonesia,2020,Population,273748.193
07_INA,Indonesia,2021,Population,275881.538
07_INA,Indonesia,2022,Population,277634.568
07_INA,Indonesia,2023,Population,280026.489
07_INA,Indonesia,2024,Population,282353.644
07_INA,Indonesia,2025,Population,285142.703
07_INA,Indonesia,2026,Population,287861.639
07_INA,Indonesia,2027,Population,290516.949
07_INA,Indonesia,2028,Population,293107.266
07_INA,Indonesia,2029,Population,295627.199
07_INA,Indonesia,2030,Population,298401.416
07_INA,Indonesia,2031,Population,301119.696
07_INA,Indonesia,2032,Population,303791.112
07_INA,Indonesia,2033,Population,306413.105
07_INA,Indonesia,2034,Population,308991.627
07_INA,Indonesia,2035,Population,311733.837
07_INA,Indonesia,2036,Population,314419.013
07_INA,Indonesia,2037,Population,317049.944
07_INA,Indonesia,2038,Population,319627.347
07_INA,Indonesia,2039,Population,322140.366
07_INA,Indonesia,2040,Population,324589.833
07_INA,Indonesia,2041,Population,326967.749
07_INA,Indonesia,2042,Population,329274.783
07_INA,Indonesia,2043,Population,331506.062
07_INA,Indonesia,2044,Population,333664.941
07_INA,Indonesia,2045,Population,335747.074
07_INA,Indonesia,2046,Population,337754.242
07_INA,Indonesia,2047,Population,339689.779
07_INA,Indonesia,2048,Population,341566.191
07_INA,Indonesia,2049,Population,343400.684
07_INA,Indonesia,2050,Population,345186.684
07_INA,Indonesia,2051,Population,346933.72
07_INA,Indonesia,2052,Population,348646.807
07_INA,Indonesia,2053,Population,350339.12
07_INA,Indonesia,2054,Population,352021.956
07_INA,Indonesia,2055,Population,353697.051
07_INA,Indonesia,2056,Population,355371.139
07_INA,Indonesia,2057,Population,357051.371
07_INA,Indonesia,2058,Population,358731.795
07_INA,Indonesia,2059,Population,360425.531
07_INA,Indonesia,2060,Population,362127.066
07_INA,Indonesia,2061,Population,363844.491
07_INA,Indonesia,2062,Population,365571.713
07_INA,Indonesia,2063,Population,367312.638
07_INA,Indonesia,2064,Population,369066.822
07_INA,Indonesia,2065,Population,370826.092
07_INA,Indonesia,2066,Population,372588.688
07_INA,Indonesia,2067,Population,374345.111
07_INA,Indonesia,2068,Population,376090.764
07_INA,Indonesia,2069,Population,377825.369
07_INA,Indonesia,2070,Population,379546.241
07_INA,Indonesia,2071,Population,381254.242
07_INA,Indonesia,2072,Population,382944.948
07_INA,Indonesia,2073,Population,384613.923
07_INA,Indonesia,2074,Population,386259.11
07_INA,Indonesia,2075,Population,387889.224
07_INA,Indonesia,2076,Population,389494.311
07_INA,Indonesia,2077,Population,391091.84
07_INA,Indonesia,2078,Population,392665.914
07_INA,Indonesia,2079,Population,394229.68
07_INA,Indonesia,2080,Population,395785.329
07_INA,Indonesia,2081,Population,397344.828
07_INA,Indonesia,2082,Population,398906.102
07_INA,Indonesia,2083,Population,400468.934
07_INA,Indonesia,2084,Population,402036.757
07_INA,Indonesia,2085,Population,403616.447
07_INA,Indonesia,2086,Population,405209.405
07_INA,Indonesia,2087,Population,406813.954
07_INA,Indonesia,2088,Population,408432.152
07_INA,Indonesia,2089,Population,410071.096
07_INA,Indonesia,2090,Population,411726.553
07_INA,Indonesia,2091,Population,413392.733
07_INA,Indonesia,2092,Population,415072.329
07_INA,Indonesia,2093,Population,416760.856
07_INA,Indonesia,2094,Population,418459.33
07_INA,Indonesia,2095,Population,420169.471
07_INA,Indonesia,2096,Population,421889.49
07_INA,Indonesia,2097,Population,423606.421
07_INA,Indonesia,2098,Population,425321.559
07_INA,Indonesia,2099,Population,427037.528
07_INA,Indonesia,2100,Population,428747.751
07_INA,Indonesia,1990,Labour efficiency,1.913697554377949
07_INA,Indonesia,1991,Labour efficiency,1.9967415783734224
07_INA,Indonesia,1992,Labour efficiency,2.066693445229902
07_INA,Indonesia,1993,Labour efficiency,2.146443332833811
07_INA,Indonesia,1994,Labour efficiency,2.246478522392072
07_INA,Indonesia,1995,Labour efficiency,2.3665006421768187
07_INA,Indonesia,1996,Labour efficiency,2.4661518809169034
07_INA,Indonesia,1997,Labour efficiency,2.4542361415337135
07_INA,Indonesia,1998,Labour efficiency,1.8564590996868933
07_INA,Indonesia,1999,Labour efficiency,1.8189470313019203
07_INA,Indonesia,2000,Labour efficiency,1.896250548270814
07_INA,Indonesia,2001,Labour efficiency,1.9358867814339753
07_INA,Indonesia,2002,Labour efficiency,2.001655950672821
07_INA,Indonesia,2003,Labour efficiency,2.0809621893447576
07_INA,Indonesia,2004,Labour efficiency,2.1579840424010825
07_INA,Indonesia,2005,Labour efficiency,2.255086300660569
07_INA,Indonesia,2006,Labour efficiency,2.3508735129978806
07_INA,Indonesia,2007,Labour efficiency,2.4776027331914015
07_INA,Indonesia,2008,Labour efficiency,2.588093147791715
07_INA,Indonesia,2009,Labour efficiency,2.6513752343487393
07_INA,Indonesia,2010,Labour efficiency,2.7817004857856666
07_INA,Indonesia,2011,Labour efficiency,2.9114115086861663
07_INA,Indonesia,2012,Labour efficiency,3.0344623964231023
07_INA,Indonesia,2013,Labour efficiency,3.1429968917000113
07_INA,Indonesia,2014,Labour efficiency,3.2330449467539584
07_INA,Indonesia,2015,Labour efficiency,3.32240308121578
07_INA,Indonesia,2016,Labour efficiency,3.4275227075051284
07_INA,Indonesia,2017,Labour efficiency,3.538741096893193
07_INA,Indonesia,2018,Labour efficiency,3.6598336639956957
07_INA,Indonesia,2019,Labour efficiency,3.781514870877807
07_INA,Indonesia,2020,Labour efficiency,3.5024595278216606
07_INA,Indonesia,2021,Labour efficiency,3.576383417899451
07_INA,Indonesia,2022,Labour efficiency,3.754028398715013
07_INA,Indonesia,2023,Labour efficiency,3.916370430916699
07_INA,Indonesia,2024,Labour efficiency,4.07956157948699
07_INA,Indonesia,2025,Labour efficiency,4.246007609995841
07_INA,Indonesia,2026,Labour efficiency,4.408622629249189
07_INA,Indonesia,2027,Labour efficiency,4.592624189241745
07_INA,Indonesia,2028,Labour efficiency,4.777016938831233
07_INA,Indonesia,2029,Labour efficiency,4.96585604359543
07_INA,Indonesia,2030,Labour efficiency,5.1600364850126335
07_INA,Indonesia,2031,Labour efficiency,5.360058809949298
07_INA,Indonesia,2032,Labour efficiency,5.568333671593888
07_INA,Indonesia,2033,Labour efficiency,5.781494160243054
07_INA,Indonesia,2034,Labour efficiency,6.000653583382619
07_INA,Indonesia,2035,Labour efficiency,6.226172039409429
07_INA,Indonesia,2036,Labour efficiency,6.458272248931156
07_INA,Indonesia,2037,Labour efficiency,6.697105861277241
07_INA,Indonesia,2038,Labour efficiency,6.9422593212934265
07_INA,Indonesia,2039,Labour efficiency,7.194061240126018
07_INA,Indonesia,2040,Labour efficiency,7.452642101611497
07_INA,Indonesia,2041,Labour efficiency,7.718074835875235
07_INA,Indonesia,2042,Labour efficiency,7.990395356687217
07_INA,Indonesia,2043,Labour efficiency,8.269611456581085
07_INA,Indonesia,2044,Labour efficiency,8.555835795243766
07_INA,Indonesia,2045,Labour efficiency,8.849127459915238
07_INA,Indonesia,2046,Labour efficiency,9.149528206848597
07_INA,Indonesia,2047,Labour efficiency,9.457072544263347
07_INA,Indonesia,2048,Labour efficiency,9.771795103276867
07_INA,Indonesia,2049,Labour efficiency,10.093737527927688
07_INA,Indonesia,2050,Labour efficiency,10.422924484069934
07_INA,Indonesia,2051,Labour efficiency,10.759372767507296
07_INA,Indonesia,2052,Labour efficiency,11.103093680575281
07_INA,Indonesia,2053,Labour efficiency,11.454093502579383
07_INA,Indonesia,2054,Labour efficiency,11.812372280392463
07_INA,Indonesia,2055,Labour efficiency,12.177920676158976
07_INA,Indonesia,2056,Labour efficiency,12.550721885132143
07_INA,Indonesia,2057,Labour efficiency,12.930751792876821
07_INA,Indonesia,2058,Labour efficiency,13.317978594838682
07_INA,Indonesia,2059,Labour efficiency,13.71236221506632
07_INA,Indonesia,2060,Labour efficiency,14.113853881274869
07_INA,Indonesia,2061,Labour efficiency,14.527101039025045
07_INA,Indonesia,2062,Labour efficiency,14.952447883708722
07_INA,Indonesia,2063,Labour efficiency,15.390248688600725
07_INA,Indonesia,2064,Labour efficiency,15.840868099934614
07_INA,Indonesia,2065,Labour efficiency,16.30468144061815
07_INA,Indonesia,2066,Labour efficiency,16.78207502284141
07_INA,Indonesia,2067,Labour efficiency,17.27344646983793
07_INA,Indonesia,2068,Labour efficiency,17.77920504706684
07_INA,Indonesia,2069,Labour efficiency,18.299772003091913
07_INA,Indonesia,2070,Labour efficiency,18.835580920441345
07_INA,Indonesia,2071,Labour efficiency,19.387078076740565
07_INA,Indonesia,2072,Labour efficiency,19.95472281641886
07_INA,Indonesia,2073,Labour efficiency,20.538987933299385
07_INA,Indonesia,2074,Labour efficiency,21.140360064391228
07_INA,Indonesia,2075,Labour efficiency,21.759340095211545
07_INA,Indonesia,2076,Labour efficiency,22.396443576975336
07_INA,Indonesia,2077,Labour efficiency,23.052201156000326
07_INA,Indonesia,2078,Labour efficiency,23.72715901568464
07_INA,Indonesia,2079,Labour efficiency,24.421879331425394
07_INA,Indonesia,2080,Labour efficiency,25.13694073885706
07_INA,Indonesia,2081,Labour efficiency,25.87293881579967
07_INA,Indonesia,2082,Labour efficiency,26.630486578318212
07_INA,Indonesia,2083,Labour efficiency,27.41021499130644
07_INA,Indonesia,2084,Labour efficiency,28.212773494020333
07_INA,Indonesia,2085,Labour efficiency,29.038830540998934
07_INA,Indonesia,2086,Labour efficiency,29.8890741588231
07_INA,Indonesia,2087,Labour efficiency,30.7642125191759
07_INA,Indonesia,2088,Labour efficiency,31.66497452868194
07_INA,Indonesia,2089,Labour efficiency,32.59211043601695
07_INA,Indonesia,2090,Labour efficiency,33.546392456793214
07_INA,Indonesia,2091,Labour efficiency,34.52861541674138
07_INA,Indonesia,2092,Labour efficiency,35.539597413724366
07_INA,Indonesia,2093,Labour efficiency,36.58018049913466
07_INA,Indonesia,2094,Labour efficiency,37.65123137924271
07_INA,Indonesia,2095,Labour efficiency,38.75364213708038
07_INA,Indonesia,2096,Labour efficiency,39.888330975460875
07_INA,Indonesia,2097,Labour efficiency,41.05624298175398
07_INA,Indonesia,2098,Labour efficiency,42.258350915053484
07_INA,Indonesia,2099,Labour efficiency,43.49565601639254
07_INA,Indonesia,2100,Labour efficiency,44.76918884268179
07_INA,Indonesia,1990,Capital stock,3682547.7048673527
07_INA,Indonesia,1991,Capital stock,3976121.807950754
07_INA,Indonesia,1992,Capital stock,4304226.252227176
07_INA,Indonesia,1993,Capital stock,4639424.79086408
07_INA,Indonesia,1994,Capital stock,5065799.512216222
07_INA,Indonesia,1995,Capital stock,5566851.545315205
07_INA,Indonesia,1996,Capital stock,6161768.017442665
07_INA,Indonesia,1997,Capital stock,6792839.961708777
07_INA,Indonesia,1998,Capital stock,7089208.179697748
07_INA,Indonesia,1999,Capital stock,7283979.422469386
07_INA,Indonesia,2000,Capital stock,7549105.264116989
07_INA,Indonesia,2001,Capital stock,7836363.612223991
07_INA,Indonesia,2002,Capital stock,8150966.917034778
07_INA,Indonesia,2003,Capital stock,8469514.33507985
07_INA,Indonesia,2004,Capital stock,8891281.335622149
07_INA,Indonesia,2005,Capital stock,9383199.1693402
07_INA,Indonesia,2006,Capital stock,9879213.42877124
07_INA,Indonesia,2007,Capital stock,10440349.10815582
07_INA,Indonesia,2008,Capital stock,11093921.993587028
07_INA,Indonesia,2009,Capital stock,11753969.548240762
07_INA,Indonesia,2010,Capital stock,12481464.918710291
07_INA,Indonesia,2011,Capital stock,13285258.390321163
07_INA,Indonesia,2012,Capital stock,14175906.77924182
07_INA,Indonesia,2013,Capital stock,15102492.108224776
07_INA,Indonesia,2014,Capital stock,16064033.88175803
07_INA,Indonesia,2015,Capital stock,17072857.84752123
07_INA,Indonesia,2016,Capital stock,18121152.02709269
07_INA,Indonesia,2017,Capital stock,19240679.846609063
07_INA,Indonesia,2018,Capital stock,20446130.615479004
07_INA,Indonesia,2019,Capital stock,21692294.356784485
07_INA,Indonesia,2020,Capital stock,22780577.28407784
07_INA,Indonesia,2021,Capital stock,23898923.649487328
07_INA,Indonesia,2022,Capital stock,25050529.203822397
07_INA,Indonesia,2023,Capital stock,26249877.913754538
07_INA,Indonesia,2024,Capital stock,27570922.64703032
07_INA,Indonesia,2025,Capital stock,28979269.926197868
07_INA,Indonesia,2026,Capital stock,30400345.361949738
07_INA,Indonesia,2027,Capital stock,31831476.538703706
07_INA,Indonesia,2028,Capital stock,33270039.726618115
07_INA,Indonesia,2029,Capital stock,34713472.99553513
07_INA,Indonesia,2030,Capital stock,36159287.87656956
07_INA,Indonesia,2031,Capital stock,37605079.57381707
07_INA,Indonesia,2032,Capital stock,39048535.74827041
07_INA,Indonesia,2033,Capital stock,40487443.91283948
07_INA,Indonesia,2034,Capital stock,41919697.49143481
07_INA,Indonesia,2035,Capital stock,43343300.60651399
07_INA,Indonesia,2036,Capital stock,44756371.66846286
07_INA,Indonesia,2037,Capital stock,46157145.84687665
07_INA,Indonesia,2038,Capital stock,47543976.50842595
