economy_code,economy,year,variable,value
08_JPN,Japan,1990,Population,123164.512
08_JPN,Japan,1991,Population,123635.017
08_JPN,Japan,1992,Population,124144.724
08_JPN,Japan,1993,Population,124622.691
08_JPN,Japan,1994,Population,125057.225
08_JPN,Japan,1995,Population,125516.496
08_JPN,Japan,1996,Population,125828.834
08_JPN,Japan,1997,Population,126121.77
08_JPN,Japan,1998,Population,126410.088
08_JPN,Japan,1999,Population,126688.274
08_JPN,Japan,2000,Population,126914.854
08_JPN,Japan,2001,Population,127140.724
08_JPN,Japan,2002,Population,127379.572
08_JPN,Japan,2003,Population,127589.624
08_JPN,Japan,2004,Population,127752.879
08_JPN,Japan,2005,Population,127878.669
08_JPN,Japan,2006,Population,127947.992
08_JPN,Japan,2007,Population,128046.503
08_JPN,Japan,2008,Population,128128.861
08_JPN,Japan,2009,Population,128183.119
08_JPN,Japan,2010,Population,128201.82
08_JPN,Japan,2011,Population,128168.73
08_JPN,Japan,2012,Population,128024.135
08_JPN,Japan,2013,Population,127832.435
08_JPN,Japan,2014,Population,127614.856
08_JPN,Japan,2015,Population,127358.353
08_JPN,Japan,2016,Population,127193.392
08_JPN,Japan,2017,Population,127126.51
08_JPN,Japan,2018,Population,127002.87
08_JPN,Japan,2019,Population,126823.995
08_JPN,Japan,2020,Population,126574.852
08_JPN,Japan,2021,Population,126034.234
08_JPN,Japan,2022,Population,125324.442
08_JPN,Japan,2023,Population,124670.714
08_JPN,Japan,2024,Population,124071.179
08_JPN,Japan,2025,Population,123588.896
08_JPN,Japan,2026,Population,123078.461
08_JPN,Japan,2027,Population,122540.948
08_JPN,Japan,2028,Population,121988.95
08_JPN,Japan,2029,Population,121424.523
08_JPN,Japan,2030,Population,120944.317
08_JPN,Japan,2031,Population,120453.133
08_JPN,Japan,2032,Population,119956.365
08_JPN,Japan,2033,Population,119453.524
08_JPN,Japan,2034,Population,118949.895
08_JPN,Japan,2035,Population,118499.661
08_JPN,Japan,2036,Population,118047.212
08_JPN,Japan,2037,Population,117598.145
08_JPN,Japan,2038,Population,117151.474
08_JPN,Japan,2039,Population,116711.75
08_JPN,Japan,2040,Population,116274.57
08_JPN,Japan,2041,Population,115840.011
08_JPN,Japan,2042,Population,115402.241
08_JPN,Japan,2043,Population,114976.987
08_JPN,Japan,2044,Population,114556.271
08_JPN,Japan,2045,Population,114141.185
08_JPN,Japan,2046,Population,113726.195
08_JPN,Japan,2047,Population,113317.815
08_JPN,Japan,2048,Population,112914.679
08_JPN,Japan,2049,Population,112518.74
08_JPN,Japan,2050,Population,112123.199
08_JPN,Japan,2051,Population,111731.691
08_JPN,Japan,2052,Population,111341.172
08_JPN,Japan,2053,Population,110944.53
08_JPN,Japan,2054,Population,110553.761
08_JPN,Japan,2055,Population,110150.611
08_JPN,Japan,2056,Population,109755.109
08_JPN,Japan,2057,Population,109352.724
08_JPN,Japan,2058,Population,108955.226
08_JPN,Japan,2059,Population,108562.33
08_JPN,Japan,2060,Population,108164.614
08_JPN,Japan,2061,Population,107777.779
08_JPN,Japan,2062,Population,107401.638
08_JPN,Japan,2063,Population,107036.995
08_JPN,Japan,2064,Population,106685.703
08_JPN,Japan,2065,Population,106347.611
08_JPN,Japan,2066,Population,106017.068
08_JPN,Japan,2067,Population,105707.545
08_JPN,Japan,2068,Population,105419.724
08_JPN,Japan,2069,Population,105145.403
08_JPN,Japan,2070,Population,104895.893
08_JPN,Japan,2071,Population,104664.974
08_JPN,Japan,2072,Population,104468.992
08_JPN,Japan,2073,Population,104297.518
08_JPN,Japan,2074,Population,104149.369
08_JPN,Japan,2075,Population,104034.79
08_JPN,Japan,2076,Population,103948.753
08_JPN,Japan,2077,Population,103888.478
08_JPN,Japan,2078,Population,103849.438
08_JPN,Japan,2079,Population,103834.805
08_JPN,Japan,2080,Population,103841.469
08_JPN,Japan,2081,Population,103863.065
08_JPN,Japan,2082,Population,103904.159
08_JPN,Japan,2083,Population,103956.67
08_JPN,Japan,2084,Population,104023.609
08_JPN,Japan,2085,Population,104097.432
08_JPN,Japan,2086,Population,104180.517
08_JPN,Japan,2087,Population,104274.125
08_JPN,Japan,2088,Population,104379.628
08_JPN,Japan,2089,Population,104494.488
08_JPN,Japan,2090,Population,104615.603
08_JPN,Japan,2091,Population,104745.556
