economy_code,economy,year,variable,value
11_MEX,Mexico,1990,Population,82017.824
11_MEX,Mexico,1991,Population,83622.516
11_MEX,Mexico,1992,Population,85238.629
11_MEX,Mexico,1993,Population,86850.989
11_MEX,Mexico,1994,Population,88456.626
11_MEX,Mexico,1995,Population,90061.783
11_MEX,Mexico,1996,Population,91663.126
11_MEX,Mexico,1997,Population,93242.279
11_MEX,Mexico,1998,Population,94800.135
11_MEX,Mexico,1999,Population,96350.355
11_MEX,Mexico,2000,Population,97881.058
11_MEX,Mexico,2001,Population,99370.046
11_MEX,Mexico,2002,Population,100828.153
11_MEX,Mexico,2003,Population,102269.095
11_MEX,Mexico,2004,Population,103687.936
11_MEX,Mexico,2005,Population,105100.326
11_MEX,Mexico,2006,Population,106522.682
11_MEX,Mexico,2007,Population,107984.649
11_MEX,Mexico,2008,Population,109564.071
11_MEX,Mexico,2009,Population,111184.505
11_MEX,Mexico,2010,Population,112814.937
11_MEX,Mexico,2011,Population,114432.853
11_MEX,Mexico,2012,Population,116054.154
11_MEX,Mexico,2013,Population,117582.263
11_MEX,Mexico,2014,Population,119104.883
11_MEX,Mexico,2015,Population,120463.639
11_MEX,Mexico,2016,Population,121680.973
11_MEX,Mexico,2017,Population,122821.728
11_MEX,Mexico,2018,Population,123978.387
11_MEX,Mexico,2019,Population,125169.035
11_MEX,Mexico,2020,Population,126356.93
11_MEX,Mexico,2021,Population,127241.179
11_MEX,Mexico,2022,Population,128055.116
11_MEX,Mexico,2023,Population,129171.119
11_MEX,Mexico,2024,Population,130308.399
11_MEX,Mexico,2025,Population,131678.656
11_MEX,Mexico,2026,Population,133010.473
11_MEX,Mexico,2027,Population,134311.073
11_MEX,Mexico,2028,Population,135582.274
11_MEX,Mexico,2029,Population,136825.534
11_MEX,Mexico,2030,Population,138199.836
11_MEX,Mexico,2031,Population,139546.934
11_MEX,Mexico,2032,Population,140866.522
11_MEX,Mexico,2033,Population,142159.036
11_MEX,Mexico,2034,Population,143423.154
11_MEX,Mexico,2035,Population,144756.982
11_MEX,Mexico,2036,Population,146062.841
11_MEX,Mexico,2037,Population,147331.638
11_MEX,Mexico,2038,Population,148572.804
11_MEX,Mexico,2039,Population,149777.019
11_MEX,Mexico,2040,Population,150940.669
11_MEX,Mexico,2041,Population,152071.584
11_MEX,Mexico,2042,Population,153173.639
11_MEX,Mexico,2043,Population,154246.154
11_MEX,Mexico,2044,Population,155288.474
11_MEX,Mexico,2045,Population,156310.47
11_MEX,Mexico,2046,Population,157305.472
11_MEX,Mexico,2047,Population,158278.045
11_MEX,Mexico,2048,Population,159227.738
11_MEX,Mexico,2049,Population,160167.043
11_MEX,Mexico,2050,Population,161081.744
11_MEX,Mexico,2051,Population,161987.2
11_MEX,Mexico,2052,Population,162879.658
11_MEX,Mexico,2053,Population,163763.384
11_MEX,Mexico,2054,Population,164637.284
11_MEX,Mexico,2055,Population,165503.764
11_MEX,Mexico,2056,Population,166363.65
11_MEX,Mexico,2057,Population,167215.106
11_MEX,Mexico,2058,Population,168061.659
11_MEX,Mexico,2059,Population,168902.993
11_MEX,Mexico,2060,Population,169733.981
11_MEX,Mexico,2061,Population,170550.605
11_MEX,Mexico,2062,Population,171358.947
11_MEX,Mexico,2063,Population,172156.562
11_MEX,Mexico,2064,Population,172940.912
11_MEX,Mexico,2065,Population,173710.94
11_MEX,Mexico,2066,Population,174464.26
11_MEX,Mexico,2067,Population,175203.222
11_MEX,Mexico,2068,Population,175929.336
11_MEX,Mexico,2069,Population,176638.839
11_MEX,Mexico,2070,Population,177331.966
11_MEX,Mexico,2071,Population,178007.493
11_MEX,Mexico,2072,Population,178674.084
11_MEX,Mexico,2073,Population,179323.603
11_MEX,Mexico,2074,Population,179958.298
11_MEX,Mexico,2075,Population,180580.335
11_MEX,Mexico,2076,Population,181192.935
11_MEX,Mexico,2077,Population,181796.729
11_MEX,Mexico,2078,Population,182391.442
11_MEX,Mexico,2079,Population,182977.286
11_MEX,Mexico,2080,Population,183556.276
11_MEX,Mexico,2081,Population,184128.503
11_MEX,Mexico,2082,Population,184696.117
11_MEX,Mexico,2083,Population,185267.616
11_MEX,Mexico,2084,Population,185830.967
11_MEX,Mexico,2085,Population,186392.167
11_MEX,Mexico,2086,Population,186947.181
11_MEX,Mexico,2087,Population,187503.981
11_MEX,Mexico,2088,Population,188062.651
11_MEX,Mexico,2089,Population,188624.163
11_MEX,Mexico,2090,Population,189182.219
11_MEX,Mexico,2091,Population,189740.952
11_MEX,Mexico,2092,Population,190297.661
11_MEX,Mexico,2093,Population,190858.421
11_MEX,Mexico,2094,Population,191412.783
11_MEX,Mexico,2095,Population,191964.826
11_MEX,Mexico,2096,Population,192517.356
11_MEX,Mexico,2097,Population,193072.914
11_MEX,Mexico,2098,Population,193630.595
11_MEX,Mexico,2099,Population,194192.869
11_MEX,Mexico,2100,Population,194758.507
11_MEX,Mexico,1990,Labour efficiency,7.415275556241167
11_MEX,Mexico,1991,Labour efficiency,7.627614371522345
11_MEX,Mexico,1992,Labour efficiency,7.772283215963493
11_MEX,Mexico,1993,Labour efficiency,7.831066136287574
11_MEX,Mexico,1994,Labour efficiency,8.038211857115481
11_MEX,Mexico,1995,Labour efficiency,7.071411581770032
11_MEX,Mexico,1996,Labour efficiency,7.567137880578751
11_MEX,Mexico,1997,Labour efficiency,8.187488308382068
11_MEX,Mexico,1998,Labour efficiency,8.703273158152559
11_MEX,Mexico,1999,Labour efficiency,8.764627005411873
11_MEX,Mexico,2000,Labour efficiency,9.160533098194973
11_MEX,Mexico,2001,Labour efficiency,8.810850970000308
11_MEX,Mexico,2002,Labour efficiency,8.524240675120303
11_MEX,Mexico,2003,Labour efficiency,8.450672327766705
11_MEX,Mexico,2004,Labour efficiency,8.699577037065662
11_MEX,Mexico,2005,Labour efficiency,8.742992492791103
11_MEX,Mexico,2006,Labour efficiency,9.155615603348911
11_MEX,Mexico,2007,Labour efficiency,9.161647244123493
11_MEX,Mexico,2008,Labour efficiency,8.978917231474409
11_MEX,Mexico,2009,Labour efficiency,7.821670360468391
11_MEX,Mexico,2010,Labour efficiency,8.223021063312688
11_MEX,Mexico,2011,Labour efficiency,8.421240961505585
11_MEX,Mexico,2012,Labour efficiency,8.639554779356
11_MEX,Mexico,2013,Labour efficiency,8.51532178394703
11_MEX,Mexico,2014,Labour efficiency,8.626222647185692
11_MEX,Mexico,2015,Labour efficiency,8.771512385672821
11_MEX,Mexico,2016,Labour efficiency,8.802082999622485
11_MEX,Mexico,2017,Labour efficiency,8.86771823747295
11_MEX,Mexico,2018,Labour efficiency,8.956013713116405
11_MEX,Mexico,2019,Labour efficiency,8.719554804517305
11_MEX,Mexico,2020,Labour efficiency,7.4379377758542695
11_MEX,Mexico,2021,Labour efficiency,8.086043042670871
11_MEX,Mexico,2022,Labour efficiency,8.455635333506569
11_MEX,Mexico,2023,Labour efficiency,8.704029091632924
11_MEX,Mexico,2024,Labour efficiency,8.744592365235889
11_MEX,Mexico,2025,Labour efficiency,8.702201360212442
11_MEX,Mexico,2026,Labour efficiency,8.727912891230277
11_MEX,Mexico,2027,Labour efficiency,8.753237273360671
11_MEX,Mexico,2028,Labour efficiency,8.774647820784073
11_MEX,Mexico,2029,Labour efficiency,8.789520152751088
11_MEX,Mexico,2030,Labour efficiency,8.829113756487741
11_MEX,Mexico,2031,Labour efficiency,8.96731847742656
11_MEX,Mexico,2032,Labour efficiency,9.0794558426278
11_MEX,Mexico,2033,Labour efficiency,9.162849600055534
11_MEX,Mexico,2034,Labour efficiency,9.228508394573646
11_MEX,Mexico,2035,Labour efficiency,9.296949863560787
11_MEX,Mexico,2036,Labour efficiency,9.377300686695465
11_MEX,Mexico,2037,Labour efficiency,9.463679867715213
11_MEX,Mexico,2038,Labour efficiency,9.55682629473452
11_MEX,Mexico,2039,Labour efficiency,9.657958225442535
11_MEX,Mexico,2040,Labour efficiency,9.768743616382901
11_MEX,Mexico,2041,Labour efficiency,9.887604969271246
11_MEX,Mexico,2042,Labour efficiency,10.004465970118973
11_MEX,Mexico,2043,Labour efficiency,10.122021659830594
11_MEX,Mexico,2044,Labour efficiency,10.243555406899905
11_MEX,Mexico,2045,Labour efficiency,10.37150740443886
11_MEX,Mexico,2046,Labour efficiency,10.506320841223943
11_MEX,Mexico,2047,Labour efficiency,10.647462916442713
