economy_code,economy,year,variable,value
13_PNG,Papua New Guinea,1990,Population,3840.265
13_PNG,Papua New Guinea,1991,Population,3952.696
13_PNG,Papua New Guinea,1992,Population,4090.978
13_PNG,Papua New Guinea,1993,Population,4242.421
13_PNG,Papua New Guinea,1994,Population,4399.322
13_PNG,Papua New Guinea,1995,Population,4561.095
13_PNG,Papua New Guinea,1996,Population,4727.461
13_PNG,Papua New Guinea,1997,Population,4899.262
13_PNG,Papua New Guinea,1998,Population,5076.505
13_PNG,Papua New Guinea,1999,Population,5256.274
13_PNG,Papua New Guinea,2000,Population,5442.391
13_PNG,Papua New Guinea,2001,Population,5631.736
13_PNG,Papua New Guinea,2002,Population,5825.135
13_PNG,Papua New Guinea,2003,Population,6022.872
13_PNG,Papua New Guinea,2004,Population,6225.122
13_PNG,Papua New Guinea,2005,Population,6430.96
13_PNG,Papua New Guinea,2006,Population,6640.85
13_PNG,Papua New Guinea,2007,Population,6854.59
13_PNG,Papua New Guinea,2008,Population,7072.099
13_PNG,Papua New Guinea,2009,Population,7293.904
13_PNG,Papua New Guinea,2010,Population,7518.972
13_PNG,Papua New Guinea,2011,Population,7748.074
13_PNG,Papua New Guinea,2012,Population,7970.618
13_PNG,Papua New Guinea,2013,Population,8192.162
13_PNG,Papua New Guinea,2014,Population,8413.233
13_PNG,Papua New Guinea,2015,Population,8633.649
13_PNG,Papua New Guinea,2016,Population,8852.843
13_PNG,Papua New Guinea,2017,Population,9070.592
13_PNG,Papua New Guinea,2018,Population,9286.836
13_PNG,Papua New Guinea,2019,Population,9502.191
13_PNG,Papua New Guinea,2020,Population,9715.829
13_PNG,Papua New Guinea,2021,Population,9915.662
13_PNG,Papua New Guinea,2022,Population,10110.13
13_PNG,Papua New Guinea,2023,Population,10296.209
13_PNG,Papua New Guinea,2024,Population,10483.061
13_PNG,Papua New Guinea,2025,Population,10690.289
13_PNG,Papua New Guinea,2026,Population,10896.579
13_PNG,Papua New Guinea,2027,Population,11101.699
13_PNG,Papua New Guinea,2028,Population,11305.326
13_PNG,Papua New Guinea,2029,Population,11507.414
13_PNG,Papua New Guinea,2030,Population,11721.194
13_PNG,Papua New Guinea,2031,Population,11934.467
13_PNG,Papua New Guinea,2032,Population,12145.595
13_PNG,Papua New Guinea,2033,Population,12356.117
13_PNG,Papua New Guinea,2034,Population,12565.51
13_PNG,Papua New Guinea,2035,Population,12784.549
13_PNG,Papua New Guinea,2036,Population,13001.869
13_PNG,Papua New Guinea,2037,Population,13219.69
13_PNG,Papua New Guinea,2038,Population,13436.286
13_PNG,Papua New Guinea,2039,Population,13652.081
13_PNG,Papua New Guinea,2040,Population,13866.365
13_PNG,Papua New Guinea,2041,Population,14079.52
13_PNG,Papua New Guinea,2042,Population,14290.937
13_PNG,Papua New Guinea,2043,Population,14501.247
13_PNG,Papua New Guinea,2044,Population,14712.114
13_PNG,Papua New Guinea,2045,Population,14923.853
13_PNG,Papua New Guinea,2046,Population,15136.396
13_PNG,Papua New Guinea,2047,Population,15347.244
13_PNG,Papua New Guinea,2048,Population,15558.059
13_PNG,Papua New Guinea,2049,Population,15769.168
13_PNG,Papua New Guinea,2050,Population,15981.121
13_PNG,Papua New Guinea,2051,Population,16190.975
13_PNG,Papua New Guinea,2052,Population,16402.099
13_PNG,Papua New Guinea,2053,Population,16614.344
13_PNG,Papua New Guinea,2054,Population,16824.981
13_PNG,Papua New Guinea,2055,Population,17038.182
13_PNG,Papua New Guinea,2056,Population,17249.063
13_PNG,Papua New Guinea,2057,Population,17460.17
13_PNG,Papua New Guinea,2058,Population,17672.238
13_PNG,Papua New Guinea,2059,Population,17884.247
13_PNG,Papua New Guinea,2060,Population,18097.245
13_PNG,Papua New Guinea,2061,Population,18311.595
13_PNG,Papua New Guinea,2062,Population,18522.809
13_PNG,Papua New Guinea,2063,Population,18733.368
13_PNG,Papua New Guinea,2064,Population,18943.921
13_PNG,Papua New Guinea,2065,Population,19156.921
13_PNG,Papua New Guinea,2066,Population,19370.524
13_PNG,Papua New Guinea,2067,Population,19583.637
13_PNG,Papua New Guinea,2068,Population,19796.373
13_PNG,Papua New Guinea,2069,Population,20007.614
13_PNG,Papua New Guinea,2070,Population,20217.331
13_PNG,Papua New Guinea,2071,Population,20426.07
13_PNG,Papua New Guinea,2072,Population,20635.462
13_PNG,Papua New Guinea,2073,Population,20843.426
13_PNG,Papua New Guinea,2074,Population,21048.874
13_PNG,Papua New Guinea,2075,Population,21253.949
13_PNG,Papua New Guinea,2076,Population,21459.104
13_PNG,Papua New Guinea,2077,Population,21663.172
13_PNG,Papua New Guinea,2078,Population,21868.438
13_PNG,Papua New Guinea,2079,Population,22075.26
13_PNG,Papua New Guinea,2080,Population,22280.578
13_PNG,Papua New Guinea,2081,Population,22490.241
13_PNG,Papua New Guinea,2082,Population,22696.025
13_PNG,Papua New Guinea,2083,Population,22901.002
13_PNG,Papua New Guinea,2084,Population,23108.565
13_PNG,Papua New Guinea,2085,Population,23314.242
13_PNG,Papua New Guinea,2086,Population,23521.505
13_PNG,Papua New Guinea,2087,Population,23729.168
13_PNG,Papua New Guinea,2088,Population,23935.336
13_PNG,Papua New Guinea,2089,Population,24140.945
13_PNG,Papua New Guinea,2090,Population,24346.023
13_PNG,Papua New Guinea,2091,Population,24554.552
13_PNG,Papua New Guinea,2092,Population,24760.285
13_PNG,Papua New Guinea,2093,Population,24964.675
13_PNG,Papua New Guinea,2094,Population,25167.419
13_PNG,Papua New Guinea,2095,Population,25369.77
13_PNG,Papua New Guinea,2096,Population,25570.246
13_PNG,Papua New Guinea,2097,Population,25769.995
13_PNG,Papua New Guinea,2098,Population,25967.11
13_PNG,Papua New Guinea,2099,Population,26161.91
13_PNG,Papua New Guinea,2100,Population,26356.127
13_PNG,Papua New Guinea,1990,Labour efficiency,2.0227269267925605
13_PNG,Papua New Guinea,1991,Labour efficiency,2.152807109474712
13_PNG,Papua New Guinea,1992,Labour efficiency,2.3681048911336453
13_PNG,Papua New Guinea,1993,Labour efficiency,2.6992318544989073
13_PNG,Papua New Guinea,1994,Labour efficiency,2.757635227687717
13_PNG,Papua New Guinea,1995,Labour efficiency,2.5717219522554617
13_PNG,Papua New Guinea,1996,Labour efficiency,2.6731094042032613
13_PNG,Papua New Guinea,1997,Labour efficiency,2.4786635084020054
13_PNG,Papua New Guinea,1998,Labour efficiency,2.301960714690604
13_PNG,Papua New Guinea,1999,Labour efficiency,2.264484983451156
13_PNG,Papua New Guinea,2000,Labour efficiency,2.1324815964647876
13_PNG,Papua New Guinea,2001,Labour efficiency,2.0582857820253753
13_PNG,Papua New Guinea,2002,Labour efficiency,1.986787057922506
13_PNG,Papua New Guinea,2003,Labour efficiency,1.9631433251040153
13_PNG,Papua New Guinea,2004,Labour efficiency,1.9510471087635826
13_PNG,Papua New Guinea,2005,Labour efficiency,2.008427025993122
13_PNG,Papua New Guinea,2006,Labour efficiency,2.050169542457542
13_PNG,Papua New Guinea,2007,Labour efficiency,2.141469604336432
13_PNG,Papua New Guinea,2008,Labour efficiency,2.0694534106362297
13_PNG,Papua New Guinea,2009,Labour efficiency,2.1429740342753614
13_PNG,Papua New Guinea,2010,Labour efficiency,2.2893807519097704
13_PNG,Papua New Guinea,2011,Labour efficiency,2.24629243375624
13_PNG,Papua New Guinea,2012,Labour efficiency,2.285266410767473
13_PNG,Papua New Guinea,2013,Labour efficiency,2.3085113564491593
13_PNG,Papua New Guinea,2014,Labour efficiency,2.552295430967075
13_PNG,Papua New Guinea,2015,Labour efficiency,2.650748286415565
13_PNG,Papua New Guinea,2016,Labour efficiency,2.727028335262751
13_PNG,Papua New Guinea,2017,Labour efficiency,2.7556390824297607
13_PNG,Papua New Guinea,2018,Labour efficiency,2.683958016652987
13_PNG,Papua New Guinea,2019,Labour efficiency,2.740659243932614
13_PNG,Papua New Guinea,2020,Labour efficiency,2.595496120060385
13_PNG,Papua New Guinea,2021,Labour efficiency,2.5302025489689806
13_PNG,Papua New Guinea,2022,Labour efficiency,2.623155834551764
13_PNG,Papua New Guinea,2023,Labour efficiency,2.6738966080528432
13_PNG,Papua New Guinea,2024,Labour efficiency,2.7283434355636857
13_PNG,Papua New Guinea,2025,Labour efficiency,2.8262953731303613
13_PNG,Papua New Guinea,2026,Labour efficiency,2.9489611588167355
13_PNG,Papua New Guinea,2027,Labour efficiency,3.0990680464861766
13_PNG,Papua New Guinea,2028,Labour efficiency,3.280058627616838
13_PNG,Papua New Guinea,2029,Labour efficiency,3.496219790822153
13_PNG,Papua New Guinea,2030,Labour efficiency,3.7266263239378907
13_PNG,Papua New Guinea,2031,Labour efficiency,3.9722170198576294
13_PNG,Papua New Guinea,2032,Labour efficiency,4.233992539443458
13_PNG,Papua New Guinea,2033,Labour efficiency,4.513019488725059
13_PNG,Papua New Guinea,2034,Labour efficiency,4.810434764792809
13_PNG,Papua New Guinea,2035,Labour efficiency,5.12745018809224
13_PNG,Papua New Guinea,2036,Labour efficiency,5.465357439994204
13_PNG,Papua New Guinea,2037,Labour efficiency,5.825533325758882
13_PNG,Papua New Guinea,2038,Labour efficiency,6.209445384337632
13_PNG,Papua New Guinea,2039,Labour efficiency,6.618657867869829
13_PNG,Papua New Guinea,2040,Labour efficiency,7.054838115238225
13_PNG,Papua New Guinea,2041,Labour efficiency,7.51976334565189
13_PNG,Papua New Guinea,2042,Labour efficiency,8.015327899937256
13_PNG,Papua New Guinea,2043,Labour efficiency,8.543550959041934
13_PNG,Papua New Guinea,2044,Labour efficiency,9.106584771200405
13_PNG,Papua New Guinea,2045,Labour efficiency,9.706723421283229
13_PNG,Papua New Guinea,2046,Labour efficiency,10.346412178060525
13_PNG,Papua New Guinea,2047,Labour efficiency,11.028257457465227
13_PNG,Papua New Guinea,2048,Labour efficiency,11.755037442451474
13_PNG,Papua New Guinea,2049,Labour efficiency,12.529713402718844
13_PNG,Papua New Guinea,2050,Labour efficiency,13.355441760424688
13_PNG,Papua New Guinea,2051,Labour efficiency,14.23558695104641
13_PNG,Papua New Guinea,2052,Labour efficiency,15.173735131795349
13_PNG,Papua New Guinea,2053,Labour efficiency,16.173708793437285
13_PNG,Papua New Guinea,2054,Labour efficiency,17.23958233505553
13_PNG,Papua New Guinea,2055,Labour efficiency,18.375698665216056
13_PNG,Papua New Guinea,2056,Labour efficiency,19.58668689717624
13_PNG,Papua New Guinea,2057,Labour efficiency,20.877481210236457
13_PNG,Papua New Guinea,2058,Labour efficiency,22.253340954085218
13_PNG,Papua New Guinea,2059,Labour efficiency,23.719872078053122
13_PNG,Papua New Guinea,2060,Labour efficiency,25.28304997258928
13_PNG,Papua New Guinea,2061,Labour efficiency,26.94924381602793
13_PNG,Papua New Guinea,2062,Labour efficiency,28.72524252584634
13_PNG,Papua New Guinea,2063,Labour efficiency,30.618282420152482
13_PNG,Papua New Guinea,2064,Labour efficiency,32.63607670210949
13_PNG,Papua New Guinea,2065,Labour efficiency,34.7868468874313
13_PNG,Papua New Guinea,2066,Labour efficiency,37.07935630300104
13_PNG,Papua New Guinea,2067,Labour efficiency,39.52294579310248
13_PNG,Papua New Guinea,2068,Labour efficiency,42.12757177874985
13_PNG,Papua New Guinea,2069,Labour efficiency,44.90384682518897
13_PNG,Papua New Guinea,2070,Labour efficiency,47.86308288286227
13_PNG,Papua New Guinea,2071,Labour efficiency,51.01733737802324
13_PNG,Papua New Guinea,2072,Labour efficiency,54.37946234079685
13_PNG,Papua New Guinea,2073,Labour efficiency,57.96315677085855
13_PNG,Papua New Guinea,2074,Labour efficiency,61.7830224540961
13_PNG,Papua New Guinea,2075,Labour efficiency,65.85462345767962
13_PNG,Papua New Guinea,2076,Labour efficiency,70.19454954595287
13_PNG,Papua New Guinea,2077,Labour efficiency,74.8204837755342
13_PNG,Papua New Guinea,2078,Labour efficiency,79.75127454504394
13_PNG,Papua New Guinea,2079,Labour efficiency,85.00701239302516
13_PNG,Papua New Guinea,2080,Labour efficiency,90.60911185697154
13_PNG,Papua New Guinea,2081,Labour efficiency,96.5803987269974
13_PNG,Papua New Guinea,2082,Labour efficiency,102.94520304966564
13_PNG,Papua New Guinea,2083,Labour efficiency,109.72945826091808
13_PNG,Papua New Guinea,2084,Labour efficiency,116.96080685202622
13_PNG,Papua New Guinea,2085,Labour efficiency,124.66871299909877
13_PNG,Papua New Guinea,2086,Labour efficiency,132.88458261505576
13_PNG,Papua New Guinea,2087,Labour efficiency,141.64189131322172
13_PNG,Papua New Guinea,2088,Labour efficiency,150.97632080392637
13_PNG,Papua New Guinea,2089,Labour efficiency,160.9259042798617
13_PNG,Papua New Guinea,2090,Labour efficiency,171.53118138256892
13_PNG,Papua New Guinea,2091,Labour efficiency,182.83536338146743
13_PNG,Papua New Guinea,2092,Labour efficiency,194.88450923844852
13_PNG,Papua New Guinea,2093,Labour efficiency,207.72771327541034
13_PNG,Papua New Guinea,2094,Labour efficiency,221.41730520938665
13_PNG,Papua New Guinea,2095,Labour efficiency,236.00906337031375
13_PNG,Papua New Guinea,2096,Labour efficiency,251.56244197019268
13_PNG,Papua New Guinea,2097,Labour efficiency,268.1408133496565
13_PNG,Papua New Guinea,2098,Labour efficiency,285.81172618897784
13_PNG,Papua New Guinea,2099,Labour efficiency,304.6471807355987
13_PNG,Papua New Guinea,2100,Labour efficiency,324.7239221695995
13_PNG,Papua New Guinea,1990,Capital stock,24661.2513448114
13_PNG,Papua New Guinea,1991,Capital stock,27015.635784805
13_PNG,Papua New Guinea,1992,Capital stock,30757.054220591
13_PNG,Papua New Guinea,1993,Capital stock,36355.5411804592
13_PNG,Papua New Guinea,1994,Capital stock,38515.827086638
13_PNG,Papua New Guinea,1995,Capital stock,37240.0100428558
13_PNG,Papua New Guinea,1996,Capital stock,40120.0391347016
13_PNG,Papua New Guinea,1997,Capital stock,38553.5964765852
13_PNG,Papua New Guinea,1998,Capital stock,37100.4677758356
13_PNG,Papua New Guinea,1999,Capital stock,37788.8869874756
13_PNG,Papua New Guinea,2000,Capital stock,36846.1139663758
13_PNG,Papua New Guinea,2001,Capital stock,36801.4238285412
13_PNG,Papua New Guinea,2002,Capital stock,36742.9461698956
13_PNG,Papua New Guinea,2003,Capital stock,37538.101187348
13_PNG,Papua New Guinea,2004,Capital stock,38559.5788904836
13_PNG,Papua New Guinea,2005,Capital stock,41006.10547989
13_PNG,Papua New Guinea,2006,Capital stock,43224.5128602786
13_PNG,Papua New Guinea,2007,Capital stock,46602.5903334602
13_PNG,Papua New Guinea,2008,Capital stock,46464.4332980332
13_PNG,Papua New Guinea,2009,Capital stock,49624.2106020894
13_PNG,Papua New Guinea,2010,Capital stock,54650.3759815262
13_PNG,Papua New Guinea,2011,Capital stock,55255.65273740181
13_PNG,Papua New Guinea,2012,Capital stock,57828.9745694096
13_PNG,Papua New Guinea,2013,Capital stock,60040.901808726
13_PNG,Papua New Guinea,2014,Capital stock,68172.7038288728
13_PNG,Papua New Guinea,2015,Capital stock,72657.34720178861
13_PNG,Papua New Guinea,2016,Capital stock,76645.92542730161
13_PNG,Papua New Guinea,2017,Capital stock,79355.06059863139
13_PNG,Papua New Guinea,2018,Capital stock,79133.4597786784
13_PNG,Papua New Guinea,2019,Capital stock,82679.0459733528
13_PNG,Papua New Guinea,2020,Capital stock,80060.2433772316
13_PNG,Papua New Guinea,2021,Capital stock,79651.445681325
13_PNG,Papua New Guinea,2022,Capital stock,84197.1693378396
13_PNG,Papua New Guinea,2023,Capital stock,87405.4713926728
13_PNG,Papua New Guinea,2024,Capital stock,90803.7552554588
13_PNG,Papua New Guinea,2025,Capital stock,95923.1988088378
