economy_code,economy,year,variable,value
14_PE,Peru,1990,Population,21771.879
14_PE,Peru,1991,Population,22257.664
14_PE,Peru,1992,Population,22709.886
14_PE,Peru,1993,Population,23182.795
14_PE,Peru,1994,Population,23644.771
14_PE,Peru,1995,Population,24118.215
14_PE,Peru,1996,Population,24579.623
14_PE,Peru,1997,Population,25042.719
14_PE,Peru,1998,Population,25505.576
14_PE,Peru,1999,Population,25970.615
14_PE,Peru,2000,Population,26402.394
14_PE,Peru,2001,Population,26794.268
14_PE,Peru,2002,Population,27134.933
14_PE,Peru,2003,Population,27441.502
14_PE,Peru,2004,Population,27719.479
14_PE,Peru,2005,Population,27984.901
14_PE,Peru,2006,Population,28217.46
14_PE,Peru,2007,Population,28431.522
14_PE,Peru,2008,Population,28629.876
14_PE,Peru,2009,Population,28808.206
14_PE,Peru,2010,Population,28985.416
14_PE,Peru,2011,Population,29186.623
14_PE,Peru,2012,Population,29421.548
14_PE,Peru,2013,Population,29679.184
14_PE,Peru,2014,Population,29956.654
14_PE,Peru,2015,Population,30274.998
14_PE,Peru,2016,Population,30640.202
14_PE,Peru,2017,Population,31092.785
14_PE,Peru,2018,Population,31556.488
14_PE,Peru,2019,Population,32238.679
14_PE,Peru,2020,Population,32659.927
14_PE,Peru,2021,Population,33017.232
14_PE,Peru,2022,Population,33294.532
14_PE,Peru,2023,Population,33656.344
14_PE,Peru,2024,Population,34034.89
14_PE,Peru,2025,Population,34468.776
14_PE,Peru,2026,Population,34888.716
14_PE,Peru,2027,Population,35296.421
14_PE,Peru,2028,Population,35692.886
14_PE,Peru,2029,Population,36079.017
14_PE,Peru,2030,Population,36496.76
14_PE,Peru,2031,Population,36905.887
14_PE,Peru,2032,Population,37306.281
14_PE,Peru,2033,Population,37699.032
14_PE,Peru,2034,Population,38084.914
14_PE,Peru,2035,Population,38490.835
14_PE,Peru,2036,Population,38888.068
14_PE,Peru,2037,Population,39277.416
14_PE,Peru,2038,Population,39657.923
14_PE,Peru,2039,Population,40030.06
14_PE,Peru,2040,Population,40394.494
14_PE,Peru,2041,Population,40751.253
14_PE,Peru,2042,Population,41100.943
14_PE,Peru,2043,Population,41443.395
14_PE,Peru,2044,Population,41778.548
14_PE,Peru,2045,Population,42108.102
14_PE,Peru,2046,Population,42430.455
14_PE,Peru,2047,Population,42746.834
14_PE,Peru,2048,Population,43056.917
14_PE,Peru,2049,Population,43361.195
14_PE,Peru,2050,Population,43661.289
14_PE,Peru,2051,Population,43957.819
14_PE,Peru,2052,Population,44250.419
14_PE,Peru,2053,Population,44539.911
14_PE,Peru,2054,Population,44827.443
14_PE,Peru,2055,Population,45111.767
14_PE,Peru,2056,Population,45393.628
14_PE,Peru,2057,Population,45672.329
14_PE,Peru,2058,Population,45948.935
14_PE,Peru,2059,Population,46222.379
14_PE,Peru,2060,Population,46493.693
14_PE,Peru,2061,Population,46763.162
14_PE,Peru,2062,Population,47030.148
14_PE,Peru,2063,Population,47294.069
14_PE,Peru,2064,Population,47555.211
14_PE,Peru,2065,Population,47812.284
14_PE,Peru,2066,Population,48065.824
14_PE,Peru,2067,Population,48315.271
14_PE,Peru,2068,Population,48560.069
14_PE,Peru,2069,Population,48799.623
14_PE,Peru,2070,Population,49033.446
14_PE,Peru,2071,Population,49261.634
14_PE,Peru,2072,Population,49484.836
14_PE,Peru,2073,Population,49702.578
14_PE,Peru,2074,Population,49915.018
14_PE,Peru,2075,Population,50121.529
14_PE,Peru,2076,Population,50323.115
14_PE,Peru,2077,Population,50519.854
14_PE,Peru,2078,Population,50712.554
14_PE,Peru,2079,Population,50901.252
14_PE,Peru,2080,Population,51086.713
14_PE,Peru,2081,Population,51268.22
14_PE,Peru,2082,Population,51447.474
14_PE,Peru,2083,Population,51624.337
14_PE,Peru,2084,Population,51800.381
14_PE,Peru,2085,Population,51974.653
14_PE,Peru,2086,Population,52148.189
14_PE,Peru,2087,Population,52321.598
14_PE,Peru,2088,Population,52494.525
14_PE,Peru,2089,Population,52668.054
14_PE,Peru,2090,Population,52843.496
14_PE,Peru,2091,Population,53019.527
14_PE,Peru,2092,Population,53196.656
14_PE,Peru,2093,Population,53375.097
14_PE,Peru,2094,Population,53553.447
14_PE,Peru,2095,Population,53734.718
14_PE,Peru,2096,Population,53916.19
14_PE,Peru,2097,Population,54098.74
14_PE,Peru,2098,Population,54282.089
14_PE,Peru,2099,Population,54466.464
14_PE,Peru,2100,Population,54650.887
14_PE,Peru,1990,Labour efficiency,2.6777021172958455
14_PE,Peru,1991,Labour efficiency,2.691515193133131
14_PE,Peru,1992,Labour efficiency,2.582433223316061
14_PE,Peru,1993,Labour efficiency,2.7057426354395053
14_PE,Peru,1994,Labour efficiency,3.113887002156797
14_PE,Peru,1995,Labour efficiency,3.3033317581455983
14_PE,Peru,1996,Labour efficiency,3.2773249205439665
14_PE,Peru,1997,Labour efficiency,3.4288954345449296
14_PE,Peru,1998,Labour efficiency,3.2261364386454874
14_PE,Peru,1999,Labour efficiency,3.1628722440349613
14_PE,Peru,2000,Labour efficiency,3.1812682154985774
14_PE,Peru,2001,Labour efficiency,3.1134938257698934
14_PE,Peru,2002,Labour efficiency,3.302541870278566
14_PE,Peru,2003,Labour efficiency,3.429728712501769
14_PE,Peru,2004,Labour efficiency,3.602415623995589
14_PE,Peru,2005,Labour efficiency,3.8514956695161544
14_PE,Peru,2006,Labour efficiency,4.174898634856363
14_PE,Peru,2007,Labour efficiency,4.558714285684687
14_PE,Peru,2008,Labour efficiency,4.972575225688098
14_PE,Peru,2009,Labour efficiency,4.822862829361861
14_PE,Peru,2010,Labour efficiency,5.204048660032033
14_PE,Peru,2011,Labour efficiency,5.438573312942715
14_PE,Peru,2012,Labour efficiency,5.64058965786023
14_PE,Peru,2013,Labour efficiency,5.836622607365186
14_PE,Peru,2014,Labour efficiency,5.751637853066825
14_PE,Peru,2015,Labour efficiency,5.793418348683389
14_PE,Peru,2016,Labour efficiency,5.92676982641852
14_PE,Peru,2017,Labour efficiency,5.917890113994369
14_PE,Peru,2018,Labour efficiency,6.04406647072818
14_PE,Peru,2019,Labour efficiency,5.966423166004272
14_PE,Peru,2020,Labour efficiency,4.768830368350577
14_PE,Peru,2021,Labour efficiency,5.637187178300228
14_PE,Peru,2022,Labour efficiency,5.6828382013273
14_PE,Peru,2023,Labour efficiency,5.449035158007603
14_PE,Peru,2024,Labour efficiency,5.57784750294575
14_PE,Peru,2025,Labour efficiency,5.696577613642656
14_PE,Peru,2026,Labour efficiency,5.68233906649708
14_PE,Peru,2027,Labour efficiency,5.676535183199517
14_PE,Peru,2028,Labour efficiency,5.829275296380481
14_PE,Peru,2029,Labour efficiency,5.860393738147566
14_PE,Peru,2030,Labour efficiency,5.889367723735111
14_PE,Peru,2031,Labour efficiency,5.957258858332991
14_PE,Peru,2032,Labour efficiency,6.015625093049411
14_PE,Peru,2033,Labour efficiency,6.064690232221004
14_PE,Peru,2034,Labour efficiency,6.123387556228662
14_PE,Peru,2035,Labour efficiency,6.192012954972114
14_PE,Peru,2036,Labour efficiency,6.247519484234183
14_PE,Peru,2037,Labour efficiency,6.3067597209626065
14_PE,Peru,2038,Labour efficiency,6.370650418450671
14_PE,Peru,2039,Labour efficiency,6.433916747580347
14_PE,Peru,2040,Labour efficiency,6.497933987437692
14_PE,Peru,2041,Labour efficiency,6.564253228268416
14_PE,Peru,2042,Labour efficiency,6.631744157665612
14_PE,Peru,2043,Labour efficiency,6.699052178326714
14_PE,Peru,2044,Labour efficiency,6.768177535411755
14_PE,Peru,2045,Labour efficiency,6.838824948773754
14_PE,Peru,2046,Labour efficiency,6.910510371159155
14_PE,Peru,2047,Labour efficiency,6.983491382081826
14_PE,Peru,2048,Labour efficiency,7.057852602687819
14_PE,Peru,2049,Labour efficiency,7.1334512244158095
14_PE,Peru,2050,Labour efficiency,7.210297488637404
14_PE,Peru,2051,Labour efficiency,7.288613610463983
14_PE,Peru,2052,Labour efficiency,7.368345795620085
14_PE,Peru,2053,Labour efficiency,7.449477668316609
14_PE,Peru,2054,Labour efficiency,7.532065565242239
14_PE,Peru,2055,Labour efficiency,7.616134539587108
14_PE,Peru,2056,Labour efficiency,7.701700363874918
14_PE,Peru,2057,Labour efficiency,7.788803516215732
14_PE,Peru,2058,Labour efficiency,7.877489213352131
14_PE,Peru,2059,Labour efficiency,7.967775075552575
14_PE,Peru,2060,Labour efficiency,8.059689859081496
14_PE,Peru,2061,Labour efficiency,8.153269372535053
14_PE,Peru,2062,Labour efficiency,8.24854622452291
14_PE,Peru,2063,Labour efficiency,8.345554208951638
14_PE,Peru,2064,Labour efficiency,8.444329944518769
14_PE,Peru,2065,Labour efficiency,8.544909452072604
14_PE,Peru,2066,Labour efficiency,8.647327315470402
14_PE,Peru,2067,Labour efficiency,8.751620779315518
14_PE,Peru,2068,Labour efficiency,8.85782842321354
14_PE,Peru,2069,Labour efficiency,8.965989265350236
14_PE,Peru,2070,Labour efficiency,9.07614333338469
14_PE,Peru,2071,Labour efficiency,9.187650728792782
14_PE,Peru,2072,Labour efficiency,9.30052807824126
14_PE,Peru,2073,Labour efficiency,9.414792212668251
14_PE,Peru,2074,Labour efficiency,9.53046016979289
14_PE,Peru,2075,Labour efficiency,9.647549196655786
14_PE,Peru,2076,Labour efficiency,9.766076752190692
14_PE,Peru,2077,Labour efficiency,9.88606050982778
14_PE,Peru,2078,Labour efficiency,10.007518360128895
14_PE,Peru,2079,Labour efficiency,10.130468413455178
14_PE,Peru,2080,Labour efficiency,10.254929002667476
14_PE,Peru,2081,Labour efficiency,10.38091868585992
14_PE,Peru,2082,Labour efficiency,10.508456249127088
14_PE,Peru,2083,Labour efficiency,10.637560709365165
14_PE,Peru,2084,Labour efficiency,10.768251317107518
14_PE,Peru,2085,Labour efficiency,10.900547559395115
14_PE,Peru,2086,Labour efficiency,11.034469162682191
14_PE,Peru,2087,Labour efficiency,11.170036095777633
14_PE,Peru,2088,Labour efficiency,11.307268572822489
14_PE,Peru,2089,Labour efficiency,11.446187056304064
14_PE,Peru,2090,Labour efficiency,11.586812260107044
14_PE,Peru,2091,Labour efficiency,11.729165152602105
14_PE,Peru,2092,Labour efficiency,11.873266959772472
14_PE,Peru,2093,Labour efficiency,12.019139168378883
14_PE,Peru,2094,Labour efficiency,12.166803529163445
14_PE,Peru,2095,Labour efficiency,12.316282060092844
14_PE,Peru,2096,Labour efficiency,12.467597049641407
14_PE,Peru,2097,Labour efficiency,12.620771060114496
14_PE,Peru,2098,Labour efficiency,12.775826931012734
