economy_code,economy,year,variable,value
21_VN,Viet Nam,1990,Population,64808.586
21_VN,Viet Nam,1991,Population,66200.519
21_VN,Viet Nam,1992,Population,67583.031
21_VN,Viet Nam,1993,Population,68937.644
21_VN,Viet Nam,1994,Population,70235.124
21_VN,Viet Nam,1995,Population,71473.658
21_VN,Viet Nam,1996,Population,72626.222
21_VN,Viet Nam,1997,Population,73686.671
21_VN,Viet Nam,1998,Population,74767.106
21_VN,Viet Nam,1999,Population,75832.215
21_VN,Viet Nam,2000,Population,76742.689
21_VN,Viet Nam,2001,Population,77565.332
21_VN,Viet Nam,2002,Population,78373.39
21_VN,Viet Nam,2003,Population,79171.058
21_VN,Viet Nam,2004,Population,79956.496
21_VN,Viet Nam,2005,Population,80721.447
21_VN,Viet Nam,2006,Population,81455.179
21_VN,Viet Nam,2007,Population,82880.614
21_VN,Viet Nam,2008,Population,84386.137
21_VN,Viet Nam,2009,Population,85965.438
21_VN,Viet Nam,2010,Population,86954.597
21_VN,Viet Nam,2011,Population,87955.706
21_VN,Viet Nam,2012,Population,88980.922
21_VN,Viet Nam,2013,Population,90039.789
21_VN,Viet Nam,2014,Population,91106.419
21_VN,Viet Nam,2015,Population,92252.737
21_VN,Viet Nam,2016,Population,93393.771
21_VN,Viet Nam,2017,Population,94606.462
21_VN,Viet Nam,2018,Population,95747.492
21_VN,Viet Nam,2019,Population,96727.147
21_VN,Viet Nam,2020,Population,97620.404
21_VN,Viet Nam,2021,Population,98537.978
21_VN,Viet Nam,2022,Population,99332.219
21_VN,Viet Nam,2023,Population,100029.091
21_VN,Viet Nam,2024,Population,100675.292
21_VN,Viet Nam,2025,Population,101476.526
21_VN,Viet Nam,2026,Population,102247.543
21_VN,Viet Nam,2027,Population,102980.954
21_VN,Viet Nam,2028,Population,103691.424
21_VN,Viet Nam,2029,Population,104380.174
21_VN,Viet Nam,2030,Population,105146.541
21_VN,Viet Nam,2031,Population,105914.837
21_VN,Viet Nam,2032,Population,106662.291
21_VN,Viet Nam,2033,Population,107402.374
21_VN,Viet Nam,2034,Population,108126.996
21_VN,Viet Nam,2035,Population,108923.344
21_VN,Viet Nam,2036,Population,109709.975
21_VN,Viet Nam,2037,Population,110477.326
21_VN,Viet Nam,2038,Population,111239.444
21_VN,Viet Nam,2039,Population,111981.906
21_VN,Viet Nam,2040,Population,112705.18
21_VN,Viet Nam,2041,Population,113397.032
21_VN,Viet Nam,2042,Population,114069.855
21_VN,Viet Nam,2043,Population,114709.76
21_VN,Viet Nam,2044,Population,115313.181
21_VN,Viet Nam,2045,Population,115880.18
21_VN,Viet Nam,2046,Population,116420.895
21_VN,Viet Nam,2047,Population,116923.18
21_VN,Viet Nam,2048,Population,117396.581
21_VN,Viet Nam,2049,Population,117836.534
21_VN,Viet Nam,2050,Population,118248.681
21_VN,Viet Nam,2051,Population,118643.564
21_VN,Viet Nam,2052,Population,119006.145
21_VN,Viet Nam,2053,Population,119354.208
21_VN,Viet Nam,2054,Population,119692.624
21_VN,Viet Nam,2055,Population,120018.637
21_VN,Viet Nam,2056,Population,120338.989
21_VN,Viet Nam,2057,Population,120662.668
21_VN,Viet Nam,2058,Population,120979.489
21_VN,Viet Nam,2059,Population,121290.267
21_VN,Viet Nam,2060,Population,121606.167
21_VN,Viet Nam,2061,Population,121932.422
21_VN,Viet Nam,2062,Population,122257.469
21_VN,Viet Nam,2063,Population,122579.941
21_VN,Viet Nam,2064,Population,122904.954
21_VN,Viet Nam,2065,Population,123233.626
21_VN,Viet Nam,2066,Population,123557.404
21_VN,Viet Nam,2067,Population,123872.783
21_VN,Viet Nam,2068,Population,124187.022
21_VN,Viet Nam,2069,Population,124503.712
21_VN,Viet Nam,2070,Population,124817.187
21_VN,Viet Nam,2071,Population,125116.413
21_VN,Viet Nam,2072,Population,125413.672
21_VN,Viet Nam,2073,Population,125695.816
21_VN,Viet Nam,2074,Population,125971.843
21_VN,Viet Nam,2075,Population,126247.099
21_VN,Viet Nam,2076,Population,126517.038
21_VN,Viet Nam,2077,Population,126786.577
21_VN,Viet Nam,2078,Population,127044.298
21_VN,Viet Nam,2079,Population,127307.704
21_VN,Viet Nam,2080,Population,127566.092
21_VN,Viet Nam,2081,Population,127831.0
21_VN,Viet Nam,2082,Population,128099.202
21_VN,Viet Nam,2083,Population,128374.713
21_VN,Viet Nam,2084,Population,128665.812
21_VN,Viet Nam,2085,Population,128974.261
21_VN,Viet Nam,2086,Population,129294.465
21_VN,Viet Nam,2087,Population,129622.473
21_VN,Viet Nam,2088,Population,129960.331
21_VN,Viet Nam,2089,Population,130316.338
21_VN,Viet Nam,2090,Population,130680.563
21_VN,Viet Nam,2091,Population,131052.737
21_VN,Viet Nam,2092,Population,131438.916
21_VN,Viet Nam,2093,Population,131836.872
21_VN,Viet Nam,2094,Population,132240.338
21_VN,Viet Nam,2095,Population,132653.306
21_VN,Viet Nam,2096,Population,133068.889
21_VN,Viet Nam,2097,Population,133478.093
21_VN,Viet Nam,2098,Population,133891.503
21_VN,Viet Nam,2099,Population,134293.468
21_VN,Viet Nam,2100,Population,134693.978
21_VN,Viet Nam,1990,Labour efficiency,2.198865383970826
21_VN,Viet Nam,1991,Labour efficiency,2.2864485193769886
21_VN,Viet Nam,1992,Labour efficiency,2.417456439778074
21_VN,Viet Nam,1993,Labour efficiency,2.4855433921098418
21_VN,Viet Nam,1994,Labour efficiency,2.5574158520572894
21_VN,Viet Nam,1995,Labour efficiency,2.6627352610681903
21_VN,Viet Nam,1996,Labour efficiency,2.7710881957078413
21_VN,Viet Nam,1997,Labour efficiency,2.850570145060609
21_VN,Viet Nam,1998,Labour efficiency,2.832832774873485
21_VN,Viet Nam,1999,Labour efficiency,2.8068698009829345
21_VN,Viet Nam,2000,Labour efficiency,2.885372958647633
21_VN,Viet Nam,2001,Labour efficiency,2.9622876894546333
21_VN,Viet Nam,2002,Labour efficiency,3.049212470865904
21_VN,Viet Nam,2003,Labour efficiency,3.1629033770607253
21_VN,Viet Nam,2004,Labour efficiency,3.3129235275670315
21_VN,Viet Nam,2005,Labour efficiency,3.471680006647928
21_VN,Viet Nam,2006,Labour efficiency,3.717325199967523
21_VN,Viet Nam,2007,Labour efficiency,3.8787762272262287
21_VN,Viet Nam,2008,Labour efficiency,3.970275712081259
21_VN,Viet Nam,2009,Labour efficiency,4.042755305504496
21_VN,Viet Nam,2010,Labour efficiency,4.189753218826232
21_VN,Viet Nam,2011,Labour efficiency,4.2902387889680575
21_VN,Viet Nam,2012,Labour efficiency,4.358341215823176
21_VN,Viet Nam,2013,Labour efficiency,4.438347440055447
21_VN,Viet Nam,2014,Labour efficiency,4.577471553893715
21_VN,Viet Nam,2015,Labour efficiency,4.75300655709245
21_VN,Viet Nam,2016,Labour efficiency,4.909304902585506
21_VN,Viet Nam,2017,Labour efficiency,5.081796868713342
21_VN,Viet Nam,2018,Labour efficiency,5.3146226710335505
21_VN,Viet Nam,2019,Labour efficiency,5.5670420987073275
21_VN,Viet Nam,2020,Labour efficiency,5.458557403831117
21_VN,Viet Nam,2021,Labour efficiency,5.347255913224388
21_VN,Viet Nam,2022,Labour efficiency,5.758251231468897
21_VN,Viet Nam,2023,Labour efficiency,5.901721727068023
21_VN,Viet Nam,2024,Labour efficiency,6.276628653887175
21_VN,Viet Nam,2025,Labour efficiency,6.726408068792209
