year,economy_code,economy,labour,efficiency
1990,01_AUS,Australia,17004.135,12.147905529296125
1991,01_AUS,Australia,17248.461,11.821306167093887
1992,01_AUS,Australia,17457.924,11.87888488519565
1993,01_AUS,Australia,17640.653,12.3665232879977
1994,01_AUS,Australia,17805.169,12.837008394353541
1995,01_AUS,Australia,17989.698,13.309678789067211
1996,01_AUS,Australia,18200.991,13.772434002648183
1997,01_AUS,Australia,18409.624,14.304291550449708
1998,01_AUS,Australia,18600.201,15.017419737467103
1999,01_AUS,Australia,18803.233,15.683455108904564
2000,01_AUS,Australia,19016.729,16.093558620828155
2001,01_AUS,Australia,19248.213,16.37290360824898
2002,01_AUS,Australia,19482.653,16.823460566690567
2003,01_AUS,Australia,19708.057,17.258573664881563
2004,01_AUS,Australia,19930.852,17.78202997926111
2005,01_AUS,Australia,20162.502,18.061823596878718
2006,01_AUS,Australia,20426.478,18.378383847054614
2007,01_AUS,Australia,20754.641,18.784431815470914
2008,01_AUS,Australia,21154.456,18.93154971990272
2009,01_AUS,Australia,21586.721,18.812419341998016
2010,01_AUS,Australia,21979.301,18.8131989921576
2011,01_AUS,Australia,22303.86,19.04029168402632
2012,01_AUS,Australia,22655.69,19.388434928891407
2013,01_AUS,Australia,23049.598,19.511140511001003
2014,01_AUS,Australia,23422.943,19.64856238875188
2015,01_AUS,Australia,23768.258,19.848967018318724
2016,01_AUS,Australia,24127.746,20.11380561556084
2017,01_AUS,Australia,24532.18,20.316461557051316
2018,01_AUS,Australia,24929.897,20.57988054651488
2019,01_AUS,Australia,25309.514,20.446751874538123
2020,01_AUS,Australia,25655.914,20.163960067423126
2021,01_AUS,Australia,25831.668,20.698075087072123
2022,01_AUS,Australia,26081.167,21.540735317169336
2023,01_AUS,Australia,26320.802,21.980568399153906
2024,01_AUS,Australia,26581.446,22.063960959073977
2025,01_AUS,Australia,26891.409,22.104158319265572
2026,01_AUS,Australia,27195.833,22.390008131649733
2027,01_AUS,Australia,27489.98,22.67863488758141
2028,01_AUS,Australia,27782.232,22.977367256245802
2029,01_AUS,Australia,28070.74,23.28050941727123
2030,01_AUS,Australia,28376.272,23.587650955978454
2031,01_AUS,Australia,28680.099,23.914614572325
2032,01_AUS,Australia,28979.695,24.24611044186683
2033,01_AUS,Australia,29273.025,24.583468686635644
2034,01_AUS,Australia,29563.779,24.909529962201297
2035,01_AUS,Australia,29871.096,25.239915930786424
2036,01_AUS,Australia,30180.418,25.574683952682214
2037,01_AUS,Australia,30489.504,25.913892148974437
2038,01_AUS,Australia,30791.517,26.257599411634192
2039,01_AUS,Australia,31099.05,26.605865413742503
2040,01_AUS,Australia,31400.818,26.958750619850505
2041,01_AUS,Australia,31707.457,27.31631629647707
2042,01_AUS,Australia,32018.661,27.67862452274565
