year,economy_code,economy,labour,efficiency
1990,02_BD,Brunei Darussalam,251.663,51.49955444794638
1991,02_BD,Brunei Darussalam,258.922,51.11563831662681
1992,02_BD,Brunei Darussalam,266.271,47.95440524386286
1993,02_BD,Brunei Darussalam,273.408,44.46776506369906
1994,02_BD,Brunei Darussalam,280.535,43.287868520063526
1995,02_BD,Brunei Darussalam,287.648,42.552499824290805
1996,02_BD,Brunei Darussalam,294.743,38.88472404779899
1997,02_BD,Brunei Darussalam,301.808,38.70527630504805
1998,02_BD,Brunei Darussalam,308.875,34.420753087743826
1999,02_BD,Brunei Darussalam,315.896,35.46827078733657
2000,02_BD,Brunei Darussalam,322.927,36.70231555208264
2001,02_BD,Brunei Darussalam,329.921,37.08609698493559
2002,02_BD,Brunei Darussalam,336.769,38.12618882421259
2003,02_BD,Brunei Darussalam,343.429,39.2743062369245
2004,02_BD,Brunei Darussalam,349.845,38.477783969277695
2005,02_BD,Brunei Darussalam,355.976,37.651289046501574
2006,02_BD,Brunei Darussalam,361.855,39.37686151497424
2007,02_BD,Brunei Darussalam,367.47,36.70996745230156
2008,02_BD,Brunei Darussalam,374.275,33.45127936710738
2009,02_BD,Brunei Darussalam,381.311,31.191709525598778
2010,02_BD,Brunei Darussalam,388.594,31.453206568716954
2011,02_BD,Brunei Darussalam,396.07,31.74655755830188
2012,02_BD,Brunei Darussalam,402.707,30.235975382705
2013,02_BD,Brunei Darussalam,408.406,27.3449114729343
2014,02_BD,Brunei Darussalam,413.998,25.30219122967436
2015,02_BD,Brunei Darussalam,419.503,24.209054925550156
2016,02_BD,Brunei Darussalam,424.92,22.53176621906665
2017,02_BD,Brunei Darussalam,430.208,22.301840449061984
2018,02_BD,Brunei Darussalam,435.336,21.367756514770438
2019,02_BD,Brunei Darussalam,440.283,21.918611360534946
2020,02_BD,Brunei Darussalam,445.077,21.66126041923138
2021,02_BD,Brunei Darussalam,449.73,20.62486346996215
2022,02_BD,Brunei Darussalam,453.711,19.678986758685237
2023,02_BD,Brunei Darussalam,457.028,19.722441250563005
2024,02_BD,Brunei Darussalam,460.869,20.35066349095485
2025,02_BD,Brunei Darussalam,465.459,20.284897485880514
2026,02_BD,Brunei Darussalam,469.851,20.07037682325416
2027,02_BD,Brunei Darussalam,474.102,20.007730415103552
2028,02_BD,Brunei Darussalam,478.356,20.116304249339862
2029,02_BD,Brunei Darussalam,482.383,20.23841584139514
2030,02_BD,Brunei Darussalam,486.713,20.25690772050012
2031,02_BD,Brunei Darussalam,491.022,20.292210854751616
2032,02_BD,Brunei Darussalam,495.165,20.377568047020038
2033,02_BD,Brunei Darussalam,498.989,20.493148584810488
2034,02_BD,Brunei Darussalam,502.809,20.610390310199246
2035,02_BD,Brunei Darussalam,506.892,20.726863104936434
2036,02_BD,Brunei Darussalam,510.908,20.863632672669855
2037,02_BD,Brunei Darussalam,514.712,21.021567046080804
2038,02_BD,Brunei Darussalam,518.482,21.194837908317062
2039,02_BD,Brunei Darussalam,522.405,21.38043356075111
2040,02_BD,Brunei Darussalam,526.026,21.58063499755865
2041,02_BD,Brunei Darussalam,529.485,21.798735127440942
2042,02_BD,Brunei Darussalam,532.952,22.03433180495834
2043,02_BD,Brunei Darussalam,536.238,22.286744084255716
2044,02_BD,Brunei Darussalam,539.406,22.556368778471654
2045,02_BD,Brunei Darussalam,542.465,22.84432909137726
2046,02_BD,Brunei Darussalam,545.632,23.151511072727605
2047,02_BD,Brunei Darussalam,548.544,23.46282365337412
2048,02_BD,Brunei Darussalam,551.384,23.778322376452735
2049,02_BD,Brunei Darussalam,554.148,24.09806353197404
2050,02_BD,Brunei Darussalam,556.827,24.42210416686633
2051,02_BD,Brunei Darussalam,559.398,24.750502095153667
2052,02_BD,Brunei Darussalam,561.877,25.083315908270855
2053,02_BD,Brunei Darussalam,564.121,25.42060498551706
2054,02_BD,Brunei Darussalam,566.282,25.762429504650036
2055,02_BD,Brunei Darussalam,568.484,26.10885045262281
2056,02_BD,Brunei Darussalam,570.58,26.45992963646471
2057,02_BD,Brunei Darussalam,572.723,26.815729694308732
2058,02_BD,Brunei Darussalam,574.758,27.176314106567187
2059,02_BD,Brunei Darussalam,576.781,27.541747207257618
2060,02_BD,Brunei Darussalam,578.854,27.912094195481014
2061,02_BD,Brunei Darussalam,580.95,28.287421147054374
2062,02_BD,Brunei Darussalam,583.047,28.66779502629969
2063,02_BD,Brunei Darussalam,585.218,29.05328369799144
2064,02_BD,Brunei Darussalam,587.254,29.443955939464765
2065,02_BD,Brunei Darussalam,589.218,29.839881452886427
2066,02_BD,Brunei Darussalam,591.087,30.241130877690804
