year,economy_code,economy,labour,efficiency
1990,03_CDA,Canada,27593.691,16.162924091620617
1991,03_CDA,Canada,27985.194,15.088975388181655
1992,03_CDA,Canada,28329.121,14.875241726627804
1993,03_CDA,Canada,28670.998,15.12083300258307
1994,03_CDA,Canada,28990.276,15.818154275728336
1995,03_CDA,Canada,29304.487,16.110327696605335
1996,03_CDA,Canada,29613.776,16.131861713402238
1997,03_CDA,Canada,29920.635,16.788883694132334
1998,03_CDA,Canada,30197.543,17.390317245508072
1999,03_CDA,Canada,30462.396,18.38573734995643
2000,03_CDA,Canada,30736.515,19.43428351461086
2001,03_CDA,Canada,31047.091,19.456642665646847
2002,03_CDA,Canada,31380.063,19.846906070734672
2003,03_CDA,Canada,31691.092,19.85247521607421
2004,03_CDA,Canada,31981.872,20.25055399014253
2005,03_CDA,Canada,32283.483,20.64619619484011
2006,03_CDA,Canada,32596.863,20.83427736446425
2007,03_CDA,Canada,32921.479,20.83491967831812
2008,03_CDA,Canada,33262.864,20.49384285838229
2009,03_CDA,Canada,33635.306,18.981210237500196
2010,03_CDA,Canada,34017.435,19.358390176348863
2011,03_CDA,Canada,34376.362,19.75880248555158
2012,03_CDA,Canada,34734.543,19.70443769382827
2013,03_CDA,Canada,35110.489,19.840001621598223
2014,03_CDA,Canada,35476.376,20.165071135674314
2015,03_CDA,Canada,35792.151,19.85466982898912
2016,03_CDA,Canada,36132.317,19.714813529262603
2017,03_CDA,Canada,36574.369,20.157279708200427
2018,03_CDA,Canada,37042.624,20.49636488237586
2019,03_CDA,Canada,37547.386,20.551943173772575
2020,03_CDA,Canada,38018.483,18.37598764893015
2021,03_CDA,Canada,38325.321,19.669915424146293
2022,03_CDA,Canada,38582.793,20.671515191955127
2023,03_CDA,Canada,39059.725,20.724684651577938
2024,03_CDA,Canada,39538.484,20.892683108366718
2025,03_CDA,Canada,40013.37,21.004497519792707
2026,03_CDA,Canada,40441.604,21.186021797430524
2027,03_CDA,Canada,40830.908,21.40234757567341
2028,03_CDA,Canada,41206.937,21.594701664623145
2029,03_CDA,Canada,41574.424,21.77186628346469
2030,03_CDA,Canada,41967.277,21.962442487527824
2031,03_CDA,Canada,42353.453,22.318590876095918
2032,03_CDA,Canada,42734.26,22.680514654844394
2033,03_CDA,Canada,43101.189,22.937395339878126
2034,03_CDA,Canada,43448.637,23.2172647259752
2035,03_CDA,Canada,43827.74,23.51005696178687
2036,03_CDA,Canada,44183.725,23.8236078356049
2037,03_CDA,Canada,44543.971,24.15252501851205
2038,03_CDA,Canada,44899.157,24.485983348753315
2039,03_CDA,Canada,45248.8,24.824045523020082
2040,03_CDA,Canada,45585.587,25.166775103616512
2041,03_CDA,Canada,45913.185,25.514236530410486
2042,03_CDA,Canada,46239.451,25.86649513294957
2043,03_CDA,Canada,46562.818,26.223617142744242
2044,03_CDA,Canada,46880.121,26.585669705720715
2045,03_CDA,Canada,47195.318,26.952720894845683
2046,03_CDA,Canada,47512.909,27.324839722925372
2047,03_CDA,Canada,47814.082,27.702096155581298
2048,03_CDA,Canada,48113.167,28.084561124405173
2049,03_CDA,Canada,48413.884,28.47230654029543
2050,03_CDA,Canada,48699.055,28.865405306977888
2051,03_CDA,Canada,48997.075,29.263931334713067
2052,03_CDA,Canada,49295.659,29.66795955419277
2053,03_CDA,Canada,49603.29,30.077565930628516
2054,03_CDA,Canada,49902.613,30.492827478034492
2055,03_CDA,Canada,50207.961,30.91382227370769
2056,03_CDA,Canada,50521.77,31.340629472907967
2057,03_CDA,Canada,50846.246,31.773329323740782
2058,03_CDA,Canada,51183.163,32.21200318224542
2059,03_CDA,Canada,51540.211,32.65673352769149
2060,03_CDA,Canada,51903.915,33.10760397808669
2061,03_CDA,Canada,52271.376,33.56469930589859
2062,03_CDA,Canada,52653.935,34.02810545399352
2063,03_CDA,Canada,53051.8,34.497909551795516
2064,03_CDA,Canada,53455.404,34.97419993166837
2065,03_CDA,Canada,53864.141,35.45706614552383
2066,03_CDA,Canada,54278.82,35.94659898165911
2067,03_CDA,Canada,54699.818,36.44289048182685
2068,03_CDA,Canada,55134.655,36.946033958540816
2069,03_CDA,Canada,55560.379,37.45612401262043
2070,03_CDA,Canada,55989.244,37.973256550977595
2071,03_CDA,Canada,56419.33,38.49752880464907
2072,03_CDA,Canada,56854.005,39.02903934707782
2073,03_CDA,Canada,57288.093,39.56788811264671
2074,03_CDA,Canada,57716.54,40.114176415468194
2075,03_CDA,Canada,58148.216,40.668006968433275
2076,03_CDA,Canada,58588.426,41.22948390252359
2077,03_CDA,Canada,59032.891,41.798712786390055
2078,03_CDA,Canada,59463.244,42.37580064620184
2079,03_CDA,Canada,59906.552,42.96085598576938
2080,03_CDA,Canada,60342.227,43.55398880694521
2081,03_CDA,Canada,60779.585,44.155310630306495
2082,03_CDA,Canada,61229.368,44.76493451612303
2083,03_CDA,Canada,61664.06,45.38297508561482
2084,03_CDA,Canada,62115.022,46.009548542503104
2085,03_CDA,Canada,62561.493,46.644772694858936
2086,03_CDA,Canada,63005.921,47.288766977253395
2087,03_CDA,Canada,63458.315,47.94165247321362
2088,03_CDA,Canada,63909.104,48.603551937988904
2089,03_CDA,Canada,64394.784,49.27458982163105
2090,03_CDA,Canada,64858.156,49.95489229239344
2091,03_CDA,Canada,65323.406,50.644587260453136
2092,03_CDA,Canada,65813.865,51.34380440196048
2093,03_CDA,Canada,66303.773,52.05267518342077
2094,03_CDA,Canada,66808.952,52.7713328864125
2095,03_CDA,Canada,67319.465,53.49991263264696
2096,03_CDA,Canada,67840.523,54.238551409373706
2097,03_CDA,Canada,68371.476,54.98738809513688
2098,03_CDA,Canada,68929.116,55.74656348588707
2099,03_CDA,Canada,69488.017,56.51622032145373
2100,03_CDA,Canada,70046.147,57.29650331238303
