year,economy_code,economy,labour,efficiency
1990,05_PRC,China,1143536.292,0.7769012201742964
1991,05_PRC,China,1163629.156,0.8511126892091129
1992,05_PRC,China,1177947.9,0.9927522031344542
1993,05_PRC,China,1191200.574,1.1315473967341545
1994,05_PRC,China,1203416.576,1.276641488716401
1995,05_PRC,China,1214589.617,1.4011103207670073
1996,05_PRC,China,1225678.238,1.5154633334930123
1997,05_PRC,China,1236211.386,1.6282916350188978
1998,05_PRC,China,1246067.858,1.7064513821272682
1999,05_PRC,China,1255626.395,1.7921522693716496
2000,05_PRC,China,1264726.915,1.9121230591865874
2001,05_PRC,China,1274435.436,2.027774911908837
2002,05_PRC,China,1283014.689,2.174419018332051
2003,05_PRC,China,1290718.988,2.3470877161292147
2004,05_PRC,China,1298315.664,2.5332341577294923
2005,05_PRC,China,1305884.967,2.7889835020274467
2006,05_PRC,China,1314169.304,3.1263976477971966
2007,05_PRC,China,1321938.768,3.585141480533362
2008,05_PRC,China,1329688.395,3.845502636712148
2009,05_PRC,China,1337953.637,4.060785368397456
2010,05_PRC,China,1347091.795,4.372637945062376
2011,05_PRC,China,1356031.233,4.655067742084999
2012,05_PRC,China,1364470.096,4.853392138827997
2013,05_PRC,China,1374571.633,5.061695832322401
2014,05_PRC,China,1383444.448,5.280596954425572
2015,05_PRC,China,1392459.496,5.491523515163691
2016,05_PRC,China,1399808.851,5.71277397829922
2017,05_PRC,China,1408296.413,5.964815268078022
2018,05_PRC,China,1416413.041,6.222404261632965
2019,05_PRC,China,1421604.871,6.448735394851562
2020,05_PRC,China,1425435.844,6.328131994709436
2021,05_PRC,China,1426776.342,6.886766835575523
2022,05_PRC,China,1426098.192,6.907224179306059
2023,05_PRC,China,1424260.946,7.202615405946342
2024,05_PRC,China,1420908.919,7.577576939337197
2025,05_PRC,China,1419898.607,7.959080042760699
2026,05_PRC,China,1418741.996,8.238988374761277
2027,05_PRC,China,1417731.154,8.524521438354517
2028,05_PRC,China,1416392.317,8.811883639019637
2029,05_PRC,China,1414698.11,9.100583869180532
2030,05_PRC,China,1413871.679,9.39545646634855
2031,05_PRC,China,1412759.782,9.747897329125108
2032,05_PRC,China,1411324.471,10.064072565329544
2033,05_PRC,China,1409612.163,10.420156498926376
2034,05_PRC,China,1407615.844,10.781145193637988
2035,05_PRC,China,1406167.158,11.135863534474453
2036,05_PRC,China,1404499.466,11.482826668203563
2037,05_PRC,China,1402604.013,11.835994286583535
2038,05_PRC,China,1400496.185,12.195407746183257
2039,05_PRC,China,1398207.618,12.561657148205256
2040,05_PRC,China,1395628.832,12.935475254362894
2041,05_PRC,China,1392781.36,13.31699904611569
2042,05_PRC,China,1389621.23,13.699098790317283
2043,05_PRC,China,1386161.425,14.087034966564142
2044,05_PRC,China,1382407.706,14.47600673776889
2045,05_PRC,China,1378320.875,14.865540344037944
2046,05_PRC,China,1373816.446,15.256647228253255
2047,05_PRC,China,1368862.179,15.650648115182708
2048,05_PRC,China,1363499.383,16.047106234534642
2049,05_PRC,China,1357653.969,16.445528568940553
2050,05_PRC,China,1351321.167,16.84528570444731
2051,05_PRC,China,1344537.887,17.24557824298724
2052,05_PRC,China,1337245.523,17.64549859054553
2053,05_PRC,China,1329455.992,18.04498284477294
2054,05_PRC,China,1321265.678,18.44326358161667
2055,05_PRC,China,1312669.511,18.840116519615833
2056,05_PRC,China,1303707.942,19.235351257463794
2057,05_PRC,China,1294431.675,19.62862248338551
2058,05_PRC,China,1284934.998,20.01937474896989
2059,05_PRC,China,1275237.801,20.407046376739597
2060,05_PRC,China,1265445.005,20.79107585582351
2061,05_PRC,China,1255625.323,21.170918967142285
2062,05_PRC,China,1245887.131,21.54607169357267
2063,05_PRC,China,1236264.514,21.91608748432183
2064,05_PRC,China,1226836.011,22.28047785913144
2065,05_PRC,China,1217559.924,22.63879524063185
2066,05_PRC,China,1208513.149,22.990570085472367
2067,05_PRC,China,1199665.671,23.33530466197442
2068,05_PRC,China,1191016.276,23.672489199197607
2069,05_PRC,China,1182593.239,24.001626108877495
2070,05_PRC,China,1174347.878,24.32223185715649
2071,05_PRC,China,1166287.765,24.633838250184812
2072,05_PRC,China,1158362.265,24.935991816149816
2073,05_PRC,China,1150525.481,25.228250453564137
2074,05_PRC,China,1142750.756,25.510177794854325
2075,05_PRC,China,1135028.203,25.781348688813974
2076,05_PRC,China,1127304.548,26.04134556496845
2077,05_PRC,China,1119560.133,26.30396442868556
2078,05_PRC,China,1111784.283,26.56923172189369
2079,05_PRC,China,1103952.722,26.837174153179838
2080,05_PRC,China,1096043.949,27.107818700478784
2081,05_PRC,China,1088091.648,27.38119261378939
2082,05_PRC,China,1080120.915,27.65732341791827
2083,05_PRC,China,1072195.815,27.936238915251142
2084,05_PRC,China,1064298.459,28.217967188552134
2085,05_PRC,China,1056423.861,28.502536603791306
2086,05_PRC,China,1048669.695,28.789975813000698
2087,05_PRC,China,1041056.888,29.080313757159175
2088,05_PRC,China,1033583.376,29.37357966910636
2089,05_PRC,China,1026262.032,29.669803076485966
2090,05_PRC,China,1019118.427,29.969013804718806
2091,05_PRC,China,1012184.473,30.27124198000577
2092,05_PRC,China,1005437.638,30.57651803236111
2093,05_PRC,China,998851.782,30.884872698676304
2094,05_PRC,China,992428.976,31.196337025814803
2095,05_PRC,China,986165.318,31.51094237373802
2096,05_PRC,China,980045.543,31.828720418662805
2097,05_PRC,China,974061.209,32.14970315625081
2098,05_PRC,China,968212.011,32.47392290482997
2099,05_PRC,China,962490.599,32.80141230864849
2100,05_PRC,China,956896.597,33.13220434116166
