year,economy_code,economy,labour,efficiency
1990,06_HKC,"Hong Kong, China",5552.387,10.720547554362522
1991,06_HKC,"Hong Kong, China",5568.807,11.238481909994587
1992,06_HKC,"Hong Kong, China",5687.381,11.656169663138176
1993,06_HKC,"Hong Kong, China",5831.732,12.07542215065811
1994,06_HKC,"Hong Kong, China",5973.294,12.43811160528966
1995,06_HKC,"Hong Kong, China",6111.229,12.10129878814454
1996,06_HKC,"Hong Kong, China",6242.978,12.140900285821683
1997,06_HKC,"Hong Kong, China",6361.95,12.341359339985255
1998,06_HKC,"Hong Kong, China",6471.397,10.571856024407259
1999,06_HKC,"Hong Kong, China",6571.272,10.59467779843178
2000,06_HKC,"Hong Kong, China",6661.777,11.51675624794391
2001,06_HKC,"Hong Kong, China",6747.551,11.195203671865666
2002,06_HKC,"Hong Kong, China",6800.926,11.188534983780858
2003,06_HKC,"Hong Kong, China",6841.891,11.472194051084118
2004,06_HKC,"Hong Kong, China",6875.922,12.865885105104372
2005,06_HKC,"Hong Kong, China",6900.405,14.158129602687678
2006,06_HKC,"Hong Kong, China",6916.567,15.498032428802556
2007,06_HKC,"Hong Kong, China",6945.613,16.8094163378514
2008,06_HKC,"Hong Kong, China",6997.077,16.986672501311347
2009,06_HKC,"Hong Kong, China",7044.3,15.960123440190014
2010,06_HKC,"Hong Kong, China",7084.633,17.410531362113755
2011,06_HKC,"Hong Kong, China",7118.601,18.39832147294492
2012,06_HKC,"Hong Kong, China",7167.338,18.44440321179902
2013,06_HKC,"Hong Kong, China",7234.784,18.938491486267594
2014,06_HKC,"Hong Kong, China",7293.886,19.3906223418976
2015,06_HKC,"Hong Kong, China",7345.115,19.79342041637266
2016,06_HKC,"Hong Kong, China",7387.704,20.17047899431057
2017,06_HKC,"Hong Kong, China",7428.315,21.094083379119358
2018,06_HKC,"Hong Kong, China",7461.468,21.74373950428037
2019,06_HKC,"Hong Kong, China",7480.919,20.944025365811896
2020,06_HKC,"Hong Kong, China",7490.707,18.620643227099343
2021,06_HKC,"Hong Kong, China",7489.764,20.55028953757696
2022,06_HKC,"Hong Kong, China",7479.439,19.257659417288085
2023,06_HKC,"Hong Kong, China",7452.391,20.235374138168662
2024,06_HKC,"Hong Kong, China",7433.078,20.821395720947507
2025,06_HKC,"Hong Kong, China",7410.564,21.613036473108767
2026,06_HKC,"Hong Kong, China",7422.467,21.886236498132817
2027,06_HKC,"Hong Kong, China",7401.591,22.14886264701685
2028,06_HKC,"Hong Kong, China",7400.22,22.339798522164795
2029,06_HKC,"Hong Kong, China",7365.023,22.482836389793547
2030,06_HKC,"Hong Kong, China",7352.688,22.723875217763673
2031,06_HKC,"Hong Kong, China",7331.03,23.15304763676562
2032,06_HKC,"Hong Kong, China",7302.85,23.590325581936273
2033,06_HKC,"Hong Kong, China",7282.01,24.028889380444568
2034,06_HKC,"Hong Kong, China",7256.929,24.398283062011327
2035,06_HKC,"Hong Kong, China",7241.856,24.740204580111076
2036,06_HKC,"Hong Kong, China",7191.931,25.086917842131598
2037,06_HKC,"Hong Kong, China",7154.798,25.43849000035371
2038,06_HKC,"Hong Kong, China",7140.75,25.79498914814125
2039,06_HKC,"Hong Kong, China",7090.896,26.156484333129566
2040,06_HKC,"Hong Kong, China",7075.691,26.503131986760415
2041,06_HKC,"Hong Kong, China",7027.941,26.861083829761625
2042,06_HKC,"Hong Kong, China",6978.47,27.223870177679913
2043,06_HKC,"Hong Kong, China",6918.388,27.59155632543763
2044,06_HKC,"Hong Kong, China",6875.521,27.964208449831677
2045,06_HKC,"Hong Kong, China",6826.382,28.341893621444136
2046,06_HKC,"Hong Kong, China",6770.07,28.724679816713742
2047,06_HKC,"Hong Kong, China",6710.126,29.1126359301704
2048,06_HKC,"Hong Kong, China",6624.675,29.505831786834943
2049,06_HKC,"Hong Kong, China",6560.907,29.904338154786373
2050,06_HKC,"Hong Kong, China",6485.722,30.30822675789881
2051,06_HKC,"Hong Kong, China",6416.799,30.717570288750487
2052,06_HKC,"Hong Kong, China",6338.139,31.132442421707083
2053,06_HKC,"Hong Kong, China",6262.968,31.55291782618177
2054,06_HKC,"Hong Kong, China",6190.519,31.979072180074343
2055,06_HKC,"Hong Kong, China",6117.601,32.410982183391866
2056,06_HKC,"Hong Kong, China",6040.703,32.848725572053254
2057,06_HKC,"Hong Kong, China",5961.22,33.29238113188035
2058,06_HKC,"Hong Kong, China",5880.727,33.742028712777895
2059,06_HKC,"Hong Kong, China",5799.273,34.19774924310511
2060,06_HKC,"Hong Kong, China",5723.476,34.65962474424126
2061,06_HKC,"Hong Kong, China",5648.062,35.12773834534807
2062,06_HKC,"Hong Kong, China",5570.461,35.6021742983314
2063,06_HKC,"Hong Kong, China",5505.946,36.08301799300508
2064,06_HKC,"Hong Kong, China",5442.569,36.57035597245952
2065,06_HKC,"Hong Kong, China",5369.492,37.064275948637864
2066,06_HKC,"Hong Kong, China",5295.354,37.564866818122574
2067,06_HKC,"Hong Kong, China",5223.656,38.072218678135165
2068,06_HKC,"Hong Kong, China",5147.634,38.586422842752064
2069,06_HKC,"Hong Kong, China",5074.791,39.107571859339494
2070,06_HKC,"Hong Kong, China",5006.463,39.6357595252103
2071,06_HKC,"Hong Kong, China",4932.31,40.17108090450574
2072,06_HKC,"Hong Kong, China",4861.608,40.713632345305335
2073,06_HKC,"Hong Kong, China",4786.884,41.26351149696771
2074,06_HKC,"Hong Kong, China",4711.254,41.82081732770574
2075,06_HKC,"Hong Kong, China",4637.427,42.385650142399015
2076,06_HKC,"Hong Kong, China",4563.215,42.95811160064687
2077,06_HKC,"Hong Kong, China",4490.282,43.53830473506528
2078,06_HKC,"Hong Kong, China",4408.777,44.126333969830824
2079,06_HKC,"Hong Kong, China",4343.011,44.72230513947516
2080,06_HKC,"Hong Kong, China",4272.013,45.3263255079333
2081,06_HKC,"Hong Kong, China",4202.637,45.938503787849136
2082,06_HKC,"Hong Kong, China",4139.92,46.558950160141784
2083,06_HKC,"Hong Kong, China",4077.746,47.18777629383608
2084,06_HKC,"Hong Kong, China",4011.355,47.825095366161015
