year,economy_code,economy,labour,efficiency
1990,07_INA,Indonesia,181869.93,1.913697554377949
1991,07_INA,Indonesia,185132.265,1.9967415783734224
1992,07_INA,Indonesia,188424.211,2.066693445229902
1993,07_INA,Indonesia,191663.277,2.146443332833811
1994,07_INA,Indonesia,194947.058,2.246478522392072
1995,07_INA,Indonesia,198236.597,2.3665006421768187
1996,07_INA,Indonesia,201539.517,2.4661518809169034
1997,07_INA,Indonesia,204869.178,2.4542361415337135
1998,07_INA,Indonesia,208203.012,1.8564590996868933
1999,07_INA,Indonesia,211450.565,1.8189470313019203
2000,07_INA,Indonesia,214558.771,1.896250548270814
2001,07_INA,Indonesia,217596.809,1.9358867814339753
2002,07_INA,Indonesia,220598.994,2.001655950672821
2003,07_INA,Indonesia,223577.996,2.0809621893447576
2004,07_INA,Indonesia,226518.019,2.1579840424010825
2005,07_INA,Indonesia,229335.279,2.255086300660569
2006,07_INA,Indonesia,232408.021,2.3508735129978806
2007,07_INA,Indonesia,235495.283,2.4776027331914015
2008,07_INA,Indonesia,238629.392,2.588093147791715
2009,07_INA,Indonesia,241686.415,2.6513752343487393
2010,07_INA,Indonesia,244753.641,2.7817004857856666
2011,07_INA,Indonesia,247857.003,2.9114115086861663
2012,07_INA,Indonesia,251083.061,3.0344623964231023
2013,07_INA,Indonesia,254313.989,3.1429968917000113
2014,07_INA,Indonesia,257390.944,3.2330449467539584
2015,07_INA,Indonesia,260363.854,3.32240308121578
2016,07_INA,Indonesia,263234.644,3.4275227075051284
2017,07_INA,Indonesia,266020.192,3.538741096893193
2018,07_INA,Indonesia,268673.124,3.6598336639956957
2019,07_INA,Indonesia,271230.569,3.781514870877807
2020,07_INA,Indonesia,273748.193,3.5024595278216606
2021,07_INA,Indonesia,275881.538,3.576383417899451
2022,07_INA,Indonesia,277634.568,3.754028398715013
2023,07_INA,Indonesia,280026.489,3.916370430916699
2024,07_INA,Indonesia,282353.644,4.07956157948699
2025,07_INA,Indonesia,285142.703,4.246007609995841
2026,07_INA,Indonesia,287861.639,4.408622629249189
2027,07_INA,Indonesia,290516.949,4.592624189241745
2028,07_INA,Indonesia,293107.266,4.777016938831233
2029,07_INA,Indonesia,295627.199,4.96585604359543
2030,07_INA,Indonesia,298401.416,5.1600364850126335
2031,07_INA,Indonesia,301119.696,5.360058809949298
2032,07_INA,Indonesia,303791.112,5.568333671593888
2033,07_INA,Indonesia,306413.105,5.781494160243054
2034,07_INA,Indonesia,308991.627,6.000653583382619
2035,07_INA,Indonesia,311733.837,6.226172039409429
2036,07_INA,Indonesia,314419.013,6.458272248931156
2037,07_INA,Indonesia,317049.944,6.697105861277241
2038,07_INA,Indonesia,319627.347,6.9422593212934265
2039,07_INA,Indonesia,322140.366,7.194061240126018
2040,07_INA,Indonesia,324589.833,7.452642101611497
2041,07_INA,Indonesia,326967.749,7.718074835875235
2042,07_INA,Indonesia,329274.783,7.990395356687217
2043,07_INA,Indonesia,331506.062,8.269611456581085
2044,07_INA,Indonesia,333664.941,8.555835795243766
2045,07_INA,Indonesia,335747.074,8.849127459915238
2046,07_INA,Indonesia,337754.242,9.149528206848597
2047,07_INA,Indonesia,339689.779,9.457072544263347
2048,07_INA,Indonesia,341566.191,9.771795103276867
2049,07_INA,Indonesia,343400.684,10.093737527927688
2050,07_INA,Indonesia,345186.684,10.422924484069934
2051,07_INA,Indonesia,346933.72,10.759372767507296
2052,07_INA,Indonesia,348646.807,11.103093680575281
2053,07_INA,Indonesia,350339.12,11.454093502579383
2054,07_INA,Indonesia,352021.956,11.812372280392463
2055,07_INA,Indonesia,353697.051,12.177920676158976
2056,07_INA,Indonesia,355371.139,12.550721885132143
2057,07_INA,Indonesia,357051.371,12.930751792876821
2058,07_INA,Indonesia,358731.795,13.317978594838682
2059,07_INA,Indonesia,360425.531,13.71236221506632
2060,07_INA,Indonesia,362127.066,14.113853881274869
2061,07_INA,Indonesia,363844.491,14.527101039025045
2062,07_INA,Indonesia,365571.713,14.952447883708722
2063,07_INA,Indonesia,367312.638,15.390248688600725
2064,07_INA,Indonesia,369066.822,15.840868099934614
2065,07_INA,Indonesia,370826.092,16.30468144061815
2066,07_INA,Indonesia,372588.688,16.78207502284141
2067,07_INA,Indonesia,374345.111,17.27344646983793
2068,07_INA,Indonesia,376090.764,17.77920504706684
2069,07_INA,Indonesia,377825.369,18.299772003091913
2070,07_INA,Indonesia,379546.241,18.835580920441345
2071,07_INA,Indonesia,381254.242,19.387078076740565
2072,07_INA,Indonesia,382944.948,19.95472281641886
2073,07_INA,Indonesia,384613.923,20.538987933299385
2074,07_INA,Indonesia,386259.11,21.140360064391228
2075,07_INA,Indonesia,387889.224,21.759340095211545
2076,07_INA,Indonesia,389494.311,22.396443576975336
2077,07_INA,Indonesia,391091.84,23.052201156000326
2078,07_INA,Indonesia,392665.914,23.72715901568464
2079,07_INA,Indonesia,394229.68,24.421879331425394
