year,economy_code,economy,labour,efficiency
1990,08_JPN,Japan,123164.512,13.875875647011444
1991,08_JPN,Japan,123635.017,14.136349082434801
1992,08_JPN,Japan,124144.724,13.865564283086746
1993,08_JPN,Japan,124622.691,13.354876588684142
1994,08_JPN,Japan,125057.225,13.230300400004268
1995,08_JPN,Japan,125516.496,13.417329457355187
1996,08_JPN,Japan,125828.834,13.74580535088453
1997,08_JPN,Japan,126121.77,13.700292253794506
1998,08_JPN,Japan,126410.088,13.082033611611367
1999,08_JPN,Japan,126688.274,12.775741814096163
2000,08_JPN,Japan,126914.854,13.177625569561148
2001,08_JPN,Japan,127140.724,13.056310207769432
2002,08_JPN,Japan,127379.572,12.917831093281166
2003,08_JPN,Japan,127589.624,13.089786712615393
2004,08_JPN,Japan,127752.879,13.428757753287167
2005,08_JPN,Japan,127878.669,13.704105556120387
2006,08_JPN,Japan,127947.992,13.917268749614141
2007,08_JPN,Japan,128046.503,14.186311805220752
2008,08_JPN,Japan,128128.861,13.826851870766255
2009,08_JPN,Japan,128183.119,12.486807335736408
2010,08_JPN,Japan,128201.82,13.341446281649981
2011,08_JPN,Japan,128168.73,13.298988757028978
2012,08_JPN,Japan,128024.135,13.624573210770707
2013,08_JPN,Japan,127832.435,14.052405937478962
2014,08_JPN,Japan,127614.856,14.172802789561956
2015,08_JPN,Japan,127358.353,14.539413822427237
2016,08_JPN,Japan,127193.392,14.6653323057055
2017,08_JPN,Japan,127126.51,15.001733019449103
2018,08_JPN,Japan,127002.87,15.13073175806159
2019,08_JPN,Japan,126823.995,14.991889729987037
2020,08_JPN,Japan,126574.852,13.929748219823447
2021,08_JPN,Japan,126034.234,14.683621456423355
2022,08_JPN,Japan,125324.442,15.011477950696491
2023,08_JPN,Japan,124670.714,15.316293653709636
2024,08_JPN,Japan,124071.179,15.35335513594631
2025,08_JPN,Japan,123588.896,15.597166484334743
2026,08_JPN,Japan,123078.461,15.74569357360944
2027,08_JPN,Japan,122540.948,15.896992642120466
2028,08_JPN,Japan,121988.95,16.02855550441341
2029,08_JPN,Japan,121424.523,16.16068951215088
2030,08_JPN,Japan,120944.317,16.322064424303004
2031,08_JPN,Japan,120453.133,16.55169928400293
2032,08_JPN,Japan,119956.365,16.784564872820113
2033,08_JPN,Japan,119453.524,17.006759118828395
2034,08_JPN,Japan,118949.895,17.21987524987046
2035,08_JPN,Japan,118499.661,17.453073903280966
2036,08_JPN,Japan,118047.212,17.685350812438383
2037,08_JPN,Japan,117598.145,17.927414611069135
2038,08_JPN,Japan,117151.474,18.17279159716385
2039,08_JPN,Japan,116711.75,18.421527119144034
2040,08_JPN,Japan,116274.57,18.673667146126324
2041,08_JPN,Japan,115840.011,18.929258276418096
2042,08_JPN,Japan,115402.241,19.188347746129363
2043,08_JPN,Japan,114976.987,19.450983437902533
2044,08_JPN,Japan,114556.271,19.717213889761656
2045,08_JPN,Japan,114141.185,19.9870883040828
