year,economy_code,economy,labour,efficiency
1990,09_ROK,Korea,43825.75,6.431932344114609
1991,09_ROK,Korea,44337.104,6.917545561557524
1992,09_ROK,Korea,44541.196,7.074908613340976
1993,09_ROK,Korea,44766.194,7.332354366722935
1994,09_ROK,Korea,45009.253,7.859177266784043
1995,09_ROK,Korea,45252.428,8.466169838588938
1996,09_ROK,Korea,45484.423,8.911929139860177
1997,09_ROK,Korea,45792.976,9.220680495228287
1998,09_ROK,Korea,46090.097,8.124608191841336
1999,09_ROK,Korea,46371.658,9.328187260191688
2000,09_ROK,Korea,46629.108,10.273363482325836
2001,09_ROK,Korea,46904.214,10.591044600457693
2002,09_ROK,Korea,47182.722,11.439799965553346
2003,09_ROK,Korea,47415.519,11.492036260564158
2004,09_ROK,Korea,47612.802,11.969920893427823
2005,09_ROK,Korea,47781.349,12.344086561654972
2006,09_ROK,Korea,47921.939,12.931462704114248
2007,09_ROK,Korea,48091.096,13.675312696665554
2008,09_ROK,Korea,48265.141,13.873096417268517
2009,09_ROK,Korea,48447.845,13.610506077825097
2010,09_ROK,Korea,48645.528,14.719728135388316
2011,09_ROK,Korea,48893.137,15.127405209830362
2012,09_ROK,Korea,49362.15,15.240349819650477
2013,09_ROK,Korea,49837.009,15.556345931910853
2014,09_ROK,Korea,50305.32,15.865131542143697
2015,09_ROK,Korea,50772.791,16.092571202750396
2016,09_ROK,Korea,51195.032,16.376772463900835
2017,09_ROK,Korea,51400.646,16.752683474969334
2018,09_ROK,Korea,51571.895,17.14585868183668
2019,09_ROK,Korea,51709.893,17.37303030259625
2020,09_ROK,Korea,51825.799,16.760341467072493
2021,09_ROK,Korea,51891.164,17.64060334650651
2022,09_ROK,Korea,51805.631,18.094459648252638
2023,09_ROK,Korea,51759.392,18.200082059129983
2024,09_ROK,Korea,51738.086,18.572385960853694
2025,09_ROK,Korea,51779.054,18.744570708093555
2026,09_ROK,Korea,51800.774,18.99927063182199
2027,09_ROK,Korea,51809.354,19.24969400339081
2028,09_ROK,Korea,51800.924,19.50341812614336
2029,09_ROK,Korea,51781.038,19.76048650623606
2030,09_ROK,Korea,51791.454,20.02094322326622
2031,09_ROK,Korea,51784.926,20.341525723553666
2032,09_ROK,Korea,51760.975,20.667241505442508
2033,09_ROK,Korea,51716.101,20.99817276487287
2034,09_ROK,Korea,51645.841,21.334403013935656
2035,09_ROK,Korea,51582.154,21.676017101947227
2036,09_ROK,Korea,51496.209,22.023101236861528
2037,09_ROK,Korea,51388.781,22.375743007025083
2038,09_ROK,Korea,51258.265,22.670271673905052
2039,09_ROK,Korea,51106.778,22.968636762094274
2040,09_ROK,Korea,50937.5,23.270883611107806
2041,09_ROK,Korea,50754.342,23.57705755996482
2042,09_ROK,Korea,50552.015,23.88725982543092
2043,09_ROK,Korea,50341.656,24.201543407883058
2044,09_ROK,Korea,50117.328,24.51996200502172
2045,09_ROK,Korea,49875.191,24.842570021045574
2046,09_ROK,Korea,49619.303,25.169422575946832
2047,09_ROK,Korea,49350.934,25.500575514928926
2048,09_ROK,Korea,49057.107,25.83608541794806
2049,09_ROK,Korea,48743.857,26.17600960938033
2050,09_ROK,Korea,48406.346,26.520406167816024
2051,09_ROK,Korea,48050.263,26.86933393598278
2052,09_ROK,Korea,47670.251,27.2228525307993
2053,09_ROK,Korea,47268.258,27.581022353561362
2054,09_ROK,Korea,46856.475,27.943904600261813
2055,09_ROK,Korea,46439.306,28.31156127204638
2056,09_ROK,Korea,46011.161,28.684055185807015
2057,09_ROK,Korea,45575.724,29.061449984914645
2058,09_ROK,Korea,45132.688,29.443810150093107
2059,09_ROK,Korea,44688.328,29.831201010436168
2060,09_ROK,Korea,44252.916,30.223688754569483
2061,09_ROK,Korea,43822.288,30.621340441959422
2062,09_ROK,Korea,43407.866,31.02422401437068
2063,09_ROK,Korea,42996.816,31.43240830747464
2064,09_ROK,Korea,42598.592,31.845963062610444
2065,09_ROK,Korea,42209.868,32.26495893870086
2066,09_ROK,Korea,41832.319,32.68946752432483
2067,09_ROK,Korea,41465.304,33.11956134994898
2068,09_ROK,Korea,41105.543,33.555313900319945
2069,09_ROK,Korea,40755.908,33.9967996270198
2070,09_ROK,Korea,40405.543,34.444093961186674
2071,09_ROK,Korea,40062.375,34.89727332640273
2072,09_ROK,Korea,39726.733,35.3564151517517
2073,09_ROK,Korea,39398.052,35.8215978850482
2074,09_ROK,Korea,39077.744,36.292901006241166
2075,09_ROK,Korea,38762.266,36.77040504099357
2076,09_ROK,Korea,38453.672,37.25419157444085
2077,09_ROK,Korea,38149.62,37.74434326513032
2078,09_ROK,Korea,37850.175,38.24094385914401
2079,09_ROK,Korea,37556.201,38.74407820440732
2080,09_ROK,Korea,37266.896,39.25383226518593
2081,09_ROK,Korea,36979.562,39.77029313677338
2082,09_ROK,Korea,36692.431,40.29354906037204
2083,09_ROK,Korea,36410.967,40.823689438169694
2084,09_ROK,Korea,36131.132,41.36080484861464
2085,09_ROK,Korea,35856.041,41.90498706189167
2086,09_ROK,Korea,35581.078,42.456329055601664
2087,09_ROK,Korea,35309.647,43.01492503064756
2088,09_ROK,Korea,35040.08,43.58087042732925
2089,09_ROK,Korea,34776.323,44.15426194165027
2090,09_ROK,Korea,34517.348,44.73519754183904
2091,09_ROK,Korea,34265.535,45.32377648508749
2092,09_ROK,Korea,34022.167,45.92009933450986
2093,09_ROK,Korea,33788.466,46.52426797632466
2094,09_ROK,Korea,33566.643,47.13638563726273
2095,09_ROK,Korea,33357.74,47.75655690220425
2096,09_ROK,Korea,33160.875,48.384887732047915
2097,09_ROK,Korea,32979.915,49.02148548181506
2098,09_ROK,Korea,32811.931,49.66645891899215
2099,09_ROK,Korea,32654.73,50.31991824211446
2100,09_ROK,Korea,32510.442,50.98197509959435
