year,economy_code,economy,labour,efficiency
1990,10_MAS,Malaysia,17573.4,5.691918912340883
1991,10_MAS,Malaysia,18092.942,6.009409951391662
1992,10_MAS,Malaysia,18591.985,6.2982570158947855
1993,10_MAS,Malaysia,19077.16,6.673764044202932
1994,10_MAS,Malaysia,19568.169,6.977686517658419
1995,10_MAS,Malaysia,20072.723,7.291699559441603
1996,10_MAS,Malaysia,20588.474,7.686440226413542
1997,10_MAS,Malaysia,21111.7,7.806931873421512
1998,10_MAS,Malaysia,21638.737,6.575577387016245
1999,10_MAS,Malaysia,22174.688,6.979883715275163
2000,10_MAS,Malaysia,22696.373,7.62281304069453
2001,10_MAS,Malaysia,23239.259,7.30822315493223
2002,10_MAS,Malaysia,23813.818,7.588281193710132
2003,10_MAS,Malaysia,24391.135,7.928687406909887
2004,10_MAS,Malaysia,24968.069,8.41936461940784
2005,10_MAS,Malaysia,25545.476,8.722369071929952
2006,10_MAS,Malaysia,26126.667,9.073636035256406
2007,10_MAS,Malaysia,26709.151,9.515976384250925
2008,10_MAS,Malaysia,27287.626,9.777327123994423
2009,10_MAS,Malaysia,27852.492,9.092948844855929
2010,10_MAS,Malaysia,28397.063,9.73823161907694
2011,10_MAS,Malaysia,28914.49,10.093024056593315
2012,10_MAS,Malaysia,29409.588,10.405947746574029
2013,10_MAS,Malaysia,29916.074,10.581883272615682
2014,10_MAS,Malaysia,30432.455,10.997455608940605
2015,10_MAS,Malaysia,30959.818,11.280072807247562
2016,10_MAS,Malaysia,31505.777,11.469961793396697
2017,10_MAS,Malaysia,32073.594,11.907434680003785
2018,10_MAS,Malaysia,32637.695,12.210300239414602
2019,10_MAS,Malaysia,33184.239,12.499842673885603
2020,10_MAS,Malaysia,33696.952,10.988028307203823
2021,10_MAS,Malaysia,34082.165,11.272145854531669
2022,10_MAS,Malaysia,34482.632,12.601088303899664
2023,10_MAS,Malaysia,34908.354,12.949847698500122
2024,10_MAS,Malaysia,35344.242,13.443137293698515
2025,10_MAS,Malaysia,35842.013,13.941966500790564
2026,10_MAS,Malaysia,36326.965,14.45930556703318
2027,10_MAS,Malaysia,36800.129,14.791981842584383
2028,10_MAS,Malaysia,37271.624,15.132312255037357
2029,10_MAS,Malaysia,37741.305,15.480472908959866
2030,10_MAS,Malaysia,38245.837,15.836643960691832
2031,10_MAS,Malaysia,38752.822,16.40005893145139
2032,10_MAS,Malaysia,39255.915,16.999458620070662
2033,10_MAS,Malaysia,39753.174,17.482479188997846
2034,10_MAS,Malaysia,40235.129,17.980512622761015
2035,10_MAS,Malaysia,40744.53,18.47546401746398
2036,10_MAS,Malaysia,41251.636,18.966341409092042
2037,10_MAS,Malaysia,41752.152,19.450275297989474
2038,10_MAS,Malaysia,42246.827,19.95143438962033
2039,10_MAS,Malaysia,42739.596,20.471009848184174
2040,10_MAS,Malaysia,43218.341,21.010327506670276
2041,10_MAS,Malaysia,43694.362,21.57086628155684
2042,10_MAS,Malaysia,44164.127,22.12716718644426
2043,10_MAS,Malaysia,44634.202,22.674007784228717
2044,10_MAS,Malaysia,45094.806,23.22597259205102
2045,10_MAS,Malaysia,45537.331,23.78174915096904
2046,10_MAS,Malaysia,45968.409,24.342268258190305
2047,10_MAS,Malaysia,46392.841,24.90869608164675
2048,10_MAS,Malaysia,46806.212,25.482709563775646
2049,10_MAS,Malaysia,47200.874,26.069951015629886
2050,10_MAS,Malaysia,47582.971,26.670725271831827
2051,10_MAS,Malaysia,47962.876,27.28534419182691
2052,10_MAS,Malaysia,48328.68,27.914126821768598
2053,10_MAS,Malaysia,48689.062,28.557399560133945
2054,10_MAS,Malaysia,49043.53,29.215496327155684
2055,10_MAS,Malaysia,49385.987,29.888758738158852
2056,10_MAS,Malaysia,49716.285,30.57753628089191
2057,10_MAS,Malaysia,50046.803,31.282186496944373
2058,10_MAS,Malaysia,50373.988,32.0030751673452
2059,10_MAS,Malaysia,50700.008,32.74057650243822
2060,10_MAS,Malaysia,51029.923,33.49507333613317
2061,10_MAS,Malaysia,51353.109,34.2669573246332
2062,10_MAS,Malaysia,51676.182,35.05662914974203
2063,10_MAS,Malaysia,51991.721,35.86449872685618
2064,10_MAS,Malaysia,52302.801,36.69098541775041
2065,10_MAS,Malaysia,52618.449,37.53651824826665
2066,10_MAS,Malaysia,52924.105,38.40153613101959
2067,10_MAS,Malaysia,53225.39,39.28648809323439
2068,10_MAS,Malaysia,53523.161,40.19183350983486
2069,10_MAS,Malaysia,53817.136,41.11804234190312
2070,10_MAS,Malaysia,54113.332,42.06559538063444
2071,10_MAS,Malaysia,54404.592,43.034984496913985
2072,10_MAS,Malaysia,54693.089,44.02671289664496
2073,10_MAS,Malaysia,54973.485,45.04129538196074
2074,10_MAS,Malaysia,55242.097,46.07925861845651
2075,10_MAS,Malaysia,55508.99,47.141141408579244
2076,10_MAS,Malaysia,55767.979,48.227494971317824
2077,10_MAS,Malaysia,56026.773,49.33888322833854
2078,10_MAS,Malaysia,56266.348,50.475883096714526
2079,10_MAS,Malaysia,56498.878,51.63908478840102
2080,10_MAS,Malaysia,56725.035,52.829092116611996
2081,10_MAS,Malaysia,56937.801,54.04652280925707
2082,10_MAS,Malaysia,57153.317,55.29200882960156
2083,10_MAS,Malaysia,57363.169,56.566196704316006
2084,10_MAS,Malaysia,57567.529,57.869747859085486
2085,10_MAS,Malaysia,57775.082,59.203338961953
2086,10_MAS,Malaysia,57983.048,60.56766227457505
2087,10_MAS,Malaysia,58185.52,61.96342601157182
2088,10_MAS,Malaysia,58390.821,63.39135470815847
2089,10_MAS,Malaysia,58598.451,64.85218959624838
2090,10_MAS,Malaysia,58810.546,66.34668898922364
2091,10_MAS,Malaysia,59024.842,67.87562867557232
2092,10_MAS,Malaysia,59244.609,69.43980232159713
2093,10_MAS,Malaysia,59467.538,71.04002188340436
2094,10_MAS,Malaysia,59691.807,72.67711802838693
2095,10_MAS,Malaysia,59923.726,74.35194056642038
2096,10_MAS,Malaysia,60158.219,76.06535889099574
2097,10_MAS,Malaysia,60395.628,77.81826243051808
2098,10_MAS,Malaysia,60639.87,79.61156111000516
2099,10_MAS,Malaysia,60891.169,81.44618582342575
2100,10_MAS,Malaysia,61144.352,83.32308891692286
