year,economy_code,economy,labour,efficiency
1990,11_MEX,Mexico,82017.824,7.415275556241167
1991,11_MEX,Mexico,83622.516,7.627614371522345
1992,11_MEX,Mexico,85238.629,7.772283215963493
1993,11_MEX,Mexico,86850.989,7.831066136287574
1994,11_MEX,Mexico,88456.626,8.038211857115481
1995,11_MEX,Mexico,90061.783,7.071411581770032
1996,11_MEX,Mexico,91663.126,7.567137880578751
1997,11_MEX,Mexico,93242.279,8.187488308382068
1998,11_MEX,Mexico,94800.135,8.703273158152559
1999,11_MEX,Mexico,96350.355,8.764627005411873
2000,11_MEX,Mexico,97881.058,9.160533098194973
2001,11_MEX,Mexico,99370.046,8.810850970000308
2002,11_MEX,Mexico,100828.153,8.524240675120303
2003,11_MEX,Mexico,102269.095,8.450672327766705
2004,11_MEX,Mexico,103687.936,8.699577037065662
2005,11_MEX,Mexico,105100.326,8.742992492791103
2006,11_MEX,Mexico,106522.682,9.155615603348911
2007,11_MEX,Mexico,107984.649,9.161647244123493
2008,11_MEX,Mexico,109564.071,8.978917231474409
2009,11_MEX,Mexico,111184.505,7.821670360468391
2010,11_MEX,Mexico,112814.937,8.223021063312688
2011,11_MEX,Mexico,114432.853,8.421240961505585
2012,11_MEX,Mexico,116054.154,8.639554779356
2013,11_MEX,Mexico,117582.263,8.51532178394703
2014,11_MEX,Mexico,119104.883,8.626222647185692
2015,11_MEX,Mexico,120463.639,8.771512385672821
2016,11_MEX,Mexico,121680.973,8.802082999622485
2017,11_MEX,Mexico,122821.728,8.86771823747295
2018,11_MEX,Mexico,123978.387,8.956013713116405
2019,11_MEX,Mexico,125169.035,8.719554804517305
2020,11_MEX,Mexico,126356.93,7.4379377758542695
2021,11_MEX,Mexico,127241.179,8.086043042670871
2022,11_MEX,Mexico,128055.116,8.455635333506569
2023,11_MEX,Mexico,129171.119,8.704029091632924
2024,11_MEX,Mexico,130308.399,8.744592365235889
2025,11_MEX,Mexico,131678.656,8.702201360212442
2026,11_MEX,Mexico,133010.473,8.727912891230277
2027,11_MEX,Mexico,134311.073,8.753237273360671
2028,11_MEX,Mexico,135582.274,8.774647820784073
2029,11_MEX,Mexico,136825.534,8.789520152751088
2030,11_MEX,Mexico,138199.836,8.829113756487741
2031,11_MEX,Mexico,139546.934,8.96731847742656
2032,11_MEX,Mexico,140866.522,9.0794558426278
2033,11_MEX,Mexico,142159.036,9.162849600055534
2034,11_MEX,Mexico,143423.154,9.228508394573646
2035,11_MEX,Mexico,144756.982,9.296949863560787
2036,11_MEX,Mexico,146062.841,9.377300686695465
2037,11_MEX,Mexico,147331.638,9.463679867715213
2038,11_MEX,Mexico,148572.804,9.55682629473452
2039,11_MEX,Mexico,149777.019,9.657958225442535
2040,11_MEX,Mexico,150940.669,9.768743616382901
2041,11_MEX,Mexico,152071.584,9.887604969271246
2042,11_MEX,Mexico,153173.639,10.004465970118973
2043,11_MEX,Mexico,154246.154,10.122021659830594
2044,11_MEX,Mexico,155288.474,10.243555406899905
2045,11_MEX,Mexico,156310.47,10.37150740443886
2046,11_MEX,Mexico,157305.472,10.506320841223943
2047,11_MEX,Mexico,158278.045,10.647462916442713
2048,11_MEX,Mexico,159227.738,10.794996984045044
2049,11_MEX,Mexico,160167.043,10.944575322782585
2050,11_MEX,Mexico,161081.744,11.096226258617888
2051,11_MEX,Mexico,161987.2,11.24997851000555
2052,11_MEX,Mexico,162879.658,11.405861193330683
