year,economy_code,economy,labour,efficiency
1990,12_NZ,New Zealand,3345.088,14.853441502863976
1991,12_NZ,New Zealand,3448.869,13.983690941799065
1992,12_NZ,New Zealand,3512.982,13.874089938016034
1993,12_NZ,New Zealand,3551.507,14.99626959303421
1994,12_NZ,New Zealand,3595.712,15.847010499001358
1995,12_NZ,New Zealand,3646.349,16.419545845957543
1996,12_NZ,New Zealand,3702.508,16.74705327218091
1997,12_NZ,New Zealand,3756.249,16.844188260361154
1998,12_NZ,New Zealand,3797.651,16.64377484239677
1999,12_NZ,New Zealand,3825.091,17.637662949403197
2000,12_NZ,New Zealand,3846.018,17.9752260791493
2001,12_NZ,New Zealand,3869.13,18.556551541129625
2002,12_NZ,New Zealand,3914.395,19.403040960094412
2003,12_NZ,New Zealand,3987.842,20.01353296136714
2004,12_NZ,New Zealand,4057.331,20.337795128608164
2005,12_NZ,New Zealand,4110.49,20.610057565796414
2006,12_NZ,New Zealand,4159.523,20.747891531536826
2007,12_NZ,New Zealand,4204.357,21.150552252482306
2008,12_NZ,New Zealand,4242.174,20.114907694434873
2009,12_NZ,New Zealand,4281.474,19.91388808725112
2010,12_NZ,New Zealand,4327.134,19.82904375761275
2011,12_NZ,New Zealand,4368.407,20.095067286563577
2012,12_NZ,New Zealand,4396.994,20.43340513767816
2013,12_NZ,New Zealand,4426.359,20.704953534301666
2014,12_NZ,New Zealand,4481.343,21.29874441887115
2015,12_NZ,New Zealand,4564.623,21.84668041369963
2016,12_NZ,New Zealand,4663.435,22.300286534139133
2017,12_NZ,New Zealand,4766.105,22.702466496436774
2018,12_NZ,New Zealand,4859.398,23.086642202355076
2019,12_NZ,New Zealand,4942.296,23.111747840186027
2020,12_NZ,New Zealand,5036.509,22.207051617734635
2021,12_NZ,New Zealand,5103.281,23.042051351024245
2022,12_NZ,New Zealand,5112.112,23.667479829476434
2023,12_NZ,New Zealand,5151.357,23.569074052846094
2024,12_NZ,New Zealand,5194.315,23.171096706985246
2025,12_NZ,New Zealand,5242.452,23.06460380651726
2026,12_NZ,New Zealand,5287.952,23.241664639620222
2027,12_NZ,New Zealand,5331.27,23.38966968977482
2028,12_NZ,New Zealand,5372.309,23.51132933475877
2029,12_NZ,New Zealand,5410.671,23.606064683735205
2030,12_NZ,New Zealand,5452.454,23.708126413025262
2031,12_NZ,New Zealand,5491.893,23.913683822085382
2032,12_NZ,New Zealand,5530.325,24.05184042635125
2033,12_NZ,New Zealand,5566.682,24.139406970996568
2034,12_NZ,New Zealand,5602.826,24.246117655800237
2035,12_NZ,New Zealand,5640.493,24.40495926854874
2036,12_NZ,New Zealand,5678.329,24.59204607478799
2037,12_NZ,New Zealand,5715.404,24.780540516122425
2038,12_NZ,New Zealand,5752.143,24.97369318691352
2039,12_NZ,New Zealand,5789.317,25.174827329877424
2040,12_NZ,New Zealand,5825.396,25.387712963407576
2041,12_NZ,New Zealand,5861.081,25.612890929723797
2042,12_NZ,New Zealand,5897.718,25.8405764106635
2043,12_NZ,New Zealand,5933.233,26.078327963011716
2044,12_NZ,New Zealand,5967.102,26.332766454717266
2045,12_NZ,New Zealand,5999.664,26.603738859195218
2046,12_NZ,New Zealand,6031.513,26.88744704359035
2047,12_NZ,New Zealand,6061.608,27.18224238691702
2048,12_NZ,New Zealand,6090.837,27.489237839130187
2049,12_NZ,New Zealand,6120.09,27.809320184629318
2050,12_NZ,New Zealand,6147.352,28.143113294354976
2051,12_NZ,New Zealand,6177.425,28.490894225132454
