year,economy_code,economy,labour,efficiency
1990,13_PNG,Papua New Guinea,3840.265,2.0227269267925605
1991,13_PNG,Papua New Guinea,3952.696,2.152807109474712
1992,13_PNG,Papua New Guinea,4090.978,2.3681048911336453
1993,13_PNG,Papua New Guinea,4242.421,2.6992318544989073
1994,13_PNG,Papua New Guinea,4399.322,2.757635227687717
1995,13_PNG,Papua New Guinea,4561.095,2.5717219522554617
1996,13_PNG,Papua New Guinea,4727.461,2.6731094042032613
1997,13_PNG,Papua New Guinea,4899.262,2.4786635084020054
1998,13_PNG,Papua New Guinea,5076.505,2.301960714690604
1999,13_PNG,Papua New Guinea,5256.274,2.264484983451156
2000,13_PNG,Papua New Guinea,5442.391,2.1324815964647876
2001,13_PNG,Papua New Guinea,5631.736,2.0582857820253753
2002,13_PNG,Papua New Guinea,5825.135,1.986787057922506
2003,13_PNG,Papua New Guinea,6022.872,1.9631433251040153
2004,13_PNG,Papua New Guinea,6225.122,1.9510471087635826
2005,13_PNG,Papua New Guinea,6430.96,2.008427025993122
2006,13_PNG,Papua New Guinea,6640.85,2.050169542457542
2007,13_PNG,Papua New Guinea,6854.59,2.141469604336432
2008,13_PNG,Papua New Guinea,7072.099,2.0694534106362297
2009,13_PNG,Papua New Guinea,7293.904,2.1429740342753614
2010,13_PNG,Papua New Guinea,7518.972,2.2893807519097704
2011,13_PNG,Papua New Guinea,7748.074,2.24629243375624
2012,13_PNG,Papua New Guinea,7970.618,2.285266410767473
2013,13_PNG,Papua New Guinea,8192.162,2.3085113564491593
2014,13_PNG,Papua New Guinea,8413.233,2.552295430967075
2015,13_PNG,Papua New Guinea,8633.649,2.650748286415565
2016,13_PNG,Papua New Guinea,8852.843,2.727028335262751
2017,13_PNG,Papua New Guinea,9070.592,2.7556390824297607
2018,13_PNG,Papua New Guinea,9286.836,2.683958016652987
2019,13_PNG,Papua New Guinea,9502.191,2.740659243932614
2020,13_PNG,Papua New Guinea,9715.829,2.595496120060385
2021,13_PNG,Papua New Guinea,9915.662,2.5302025489689806
2022,13_PNG,Papua New Guinea,10110.13,2.623155834551764
2023,13_PNG,Papua New Guinea,10296.209,2.6738966080528432
2024,13_PNG,Papua New Guinea,10483.061,2.7283434355636857
2025,13_PNG,Papua New Guinea,10690.289,2.8262953731303613
2026,13_PNG,Papua New Guinea,10896.579,2.9489611588167355
2027,13_PNG,Papua New Guinea,11101.699,3.0990680464861766
2028,13_PNG,Papua New Guinea,11305.326,3.280058627616838
2029,13_PNG,Papua New Guinea,11507.414,3.496219790822153
2030,13_PNG,Papua New Guinea,11721.194,3.7266263239378907
2031,13_PNG,Papua New Guinea,11934.467,3.9722170198576294
2032,13_PNG,Papua New Guinea,12145.595,4.233992539443458
2033,13_PNG,Papua New Guinea,12356.117,4.513019488725059
2034,13_PNG,Papua New Guinea,12565.51,4.810434764792809
2035,13_PNG,Papua New Guinea,12784.549,5.12745018809224
2036,13_PNG,Papua New Guinea,13001.869,5.465357439994204
2037,13_PNG,Papua New Guinea,13219.69,5.825533325758882
2038,13_PNG,Papua New Guinea,13436.286,6.209445384337632
2039,13_PNG,Papua New Guinea,13652.081,6.618657867869829
2040,13_PNG,Papua New Guinea,13866.365,7.054838115238225
2041,13_PNG,Papua New Guinea,14079.52,7.51976334565189
2042,13_PNG,Papua New Guinea,14290.937,8.015327899937256
2043,13_PNG,Papua New Guinea,14501.247,8.543550959041934
2044,13_PNG,Papua New Guinea,14712.114,9.106584771200405
2045,13_PNG,Papua New Guinea,14923.853,9.706723421283229
2046,13_PNG,Papua New Guinea,15136.396,10.346412178060525
2047,13_PNG,Papua New Guinea,15347.244,11.028257457465227
2048,13_PNG,Papua New Guinea,15558.059,11.755037442451474
2049,13_PNG,Papua New Guinea,15769.168,12.529713402718844
2050,13_PNG,Papua New Guinea,15981.121,13.355441760424688
2051,13_PNG,Papua New Guinea,16190.975,14.23558695104641
2052,13_PNG,Papua New Guinea,16402.099,15.173735131795349
2053,13_PNG,Papua New Guinea,16614.344,16.173708793437285
2054,13_PNG,Papua New Guinea,16824.981,17.23958233505553
2055,13_PNG,Papua New Guinea,17038.182,18.375698665216056
2056,13_PNG,Papua New Guinea,17249.063,19.58668689717624
2057,13_PNG,Papua New Guinea,17460.17,20.877481210236457
2058,13_PNG,Papua New Guinea,17672.238,22.253340954085218
2059,13_PNG,Papua New Guinea,17884.247,23.719872078053122
2060,13_PNG,Papua New Guinea,18097.245,25.28304997258928
2061,13_PNG,Papua New Guinea,18311.595,26.94924381602793
2062,13_PNG,Papua New Guinea,18522.809,28.72524252584634
2063,13_PNG,Papua New Guinea,18733.368,30.618282420152482
2064,13_PNG,Papua New Guinea,18943.921,32.63607670210949
2065,13_PNG,Papua New Guinea,19156.921,34.7868468874313
2066,13_PNG,Papua New Guinea,19370.524,37.07935630300104
2067,13_PNG,Papua New Guinea,19583.637,39.52294579310248
2068,13_PNG,Papua New Guinea,19796.373,42.12757177874985
2069,13_PNG,Papua New Guinea,20007.614,44.90384682518897
2070,13_PNG,Papua New Guinea,20217.331,47.86308288286227
2071,13_PNG,Papua New Guinea,20426.07,51.01733737802324
2072,13_PNG,Papua New Guinea,20635.462,54.37946234079685
2073,13_PNG,Papua New Guinea,20843.426,57.96315677085855
2074,13_PNG,Papua New Guinea,21048.874,61.7830224540961
2075,13_PNG,Papua New Guinea,21253.949,65.85462345767962
2076,13_PNG,Papua New Guinea,21459.104,70.19454954595287
2077,13_PNG,Papua New Guinea,21663.172,74.8204837755342
2078,13_PNG,Papua New Guinea,21868.438,79.75127454504394
2079,13_PNG,Papua New Guinea,22075.26,85.00701239302516
2080,13_PNG,Papua New Guinea,22280.578,90.60911185697154
2081,13_PNG,Papua New Guinea,22490.241,96.5803987269974
2082,13_PNG,Papua New Guinea,22696.025,102.94520304966564
2083,13_PNG,Papua New Guinea,22901.002,109.72945826091808
2084,13_PNG,Papua New Guinea,23108.565,116.96080685202622
2085,13_PNG,Papua New Guinea,23314.242,124.66871299909877
2086,13_PNG,Papua New Guinea,23521.505,132.88458261505576
2087,13_PNG,Papua New Guinea,23729.168,141.64189131322172
2088,13_PNG,Papua New Guinea,23935.336,150.97632080392637
2089,13_PNG,Papua New Guinea,24140.945,160.9259042798617
2090,13_PNG,Papua New Guinea,24346.023,171.53118138256892
2091,13_PNG,Papua New Guinea,24554.552,182.83536338146743
2092,13_PNG,Papua New Guinea,24760.285,194.88450923844852
2093,13_PNG,Papua New Guinea,24964.675,207.72771327541034
2094,13_PNG,Papua New Guinea,25167.419,221.41730520938665
2095,13_PNG,Papua New Guinea,25369.77,236.00906337031375
2096,13_PNG,Papua New Guinea,25570.246,251.56244197019268
2097,13_PNG,Papua New Guinea,25769.995,268.1408133496565
2098,13_PNG,Papua New Guinea,25967.11,285.81172618897784
2099,13_PNG,Papua New Guinea,26161.91,304.6471807355987
2100,13_PNG,Papua New Guinea,26356.127,324.7239221695995
