year,economy_code,economy,labour,efficiency
1990,14_PE,Peru,21771.879,2.6777021172958455
1991,14_PE,Peru,22257.664,2.691515193133131
1992,14_PE,Peru,22709.886,2.582433223316061
1993,14_PE,Peru,23182.795,2.7057426354395053
1994,14_PE,Peru,23644.771,3.113887002156797
1995,14_PE,Peru,24118.215,3.3033317581455983
1996,14_PE,Peru,24579.623,3.2773249205439665
1997,14_PE,Peru,25042.719,3.4288954345449296
1998,14_PE,Peru,25505.576,3.2261364386454874
1999,14_PE,Peru,25970.615,3.1628722440349613
2000,14_PE,Peru,26402.394,3.1812682154985774
2001,14_PE,Peru,26794.268,3.1134938257698934
2002,14_PE,Peru,27134.933,3.302541870278566
2003,14_PE,Peru,27441.502,3.429728712501769
2004,14_PE,Peru,27719.479,3.602415623995589
2005,14_PE,Peru,27984.901,3.8514956695161544
2006,14_PE,Peru,28217.46,4.174898634856363
2007,14_PE,Peru,28431.522,4.558714285684687
2008,14_PE,Peru,28629.876,4.972575225688098
2009,14_PE,Peru,28808.206,4.822862829361861
2010,14_PE,Peru,28985.416,5.204048660032033
2011,14_PE,Peru,29186.623,5.438573312942715
2012,14_PE,Peru,29421.548,5.64058965786023
2013,14_PE,Peru,29679.184,5.836622607365186
2014,14_PE,Peru,29956.654,5.751637853066825
2015,14_PE,Peru,30274.998,5.793418348683389
2016,14_PE,Peru,30640.202,5.92676982641852
2017,14_PE,Peru,31092.785,5.917890113994369
2018,14_PE,Peru,31556.488,6.04406647072818
2019,14_PE,Peru,32238.679,5.966423166004272
2020,14_PE,Peru,32659.927,4.768830368350577
2021,14_PE,Peru,33017.232,5.637187178300228
2022,14_PE,Peru,33294.532,5.6828382013273
2023,14_PE,Peru,33656.344,5.449035158007603
2024,14_PE,Peru,34034.89,5.57784750294575
2025,14_PE,Peru,34468.776,5.696577613642656
2026,14_PE,Peru,34888.716,5.68233906649708
2027,14_PE,Peru,35296.421,5.676535183199517
2028,14_PE,Peru,35692.886,5.829275296380481
2029,14_PE,Peru,36079.017,5.860393738147566
2030,14_PE,Peru,36496.76,5.889367723735111
2031,14_PE,Peru,36905.887,5.957258858332991
2032,14_PE,Peru,37306.281,6.015625093049411
2033,14_PE,Peru,37699.032,6.064690232221004
2034,14_PE,Peru,38084.914,6.123387556228662
2035,14_PE,Peru,38490.835,6.192012954972114
2036,14_PE,Peru,38888.068,6.247519484234183
2037,14_PE,Peru,39277.416,6.3067597209626065
2038,14_PE,Peru,39657.923,6.370650418450671
2039,14_PE,Peru,40030.06,6.433916747580347
2040,14_PE,Peru,40394.494,6.497933987437692
2041,14_PE,Peru,40751.253,6.564253228268416
2042,14_PE,Peru,41100.943,6.631744157665612
2043,14_PE,Peru,41443.395,6.699052178326714
2044,14_PE,Peru,41778.548,6.768177535411755
2045,14_PE,Peru,42108.102,6.838824948773754
2046,14_PE,Peru,42430.455,6.910510371159155
2047,14_PE,Peru,42746.834,6.983491382081826
2048,14_PE,Peru,43056.917,7.057852602687819
2049,14_PE,Peru,43361.195,7.1334512244158095
2050,14_PE,Peru,43661.289,7.210297488637404
2051,14_PE,Peru,43957.819,7.288613610463983
2052,14_PE,Peru,44250.419,7.368345795620085
2053,14_PE,Peru,44539.911,7.449477668316609
2054,14_PE,Peru,44827.443,7.532065565242239
2055,14_PE,Peru,45111.767,7.616134539587108
2056,14_PE,Peru,45393.628,7.701700363874918
2057,14_PE,Peru,45672.329,7.788803516215732
2058,14_PE,Peru,45948.935,7.877489213352131
2059,14_PE,Peru,46222.379,7.967775075552575
2060,14_PE,Peru,46493.693,8.059689859081496
2061,14_PE,Peru,46763.162,8.153269372535053
2062,14_PE,Peru,47030.148,8.24854622452291
2063,14_PE,Peru,47294.069,8.345554208951638
2064,14_PE,Peru,47555.211,8.444329944518769
2065,14_PE,Peru,47812.284,8.544909452072604
2066,14_PE,Peru,48065.824,8.647327315470402
2067,14_PE,Peru,48315.271,8.751620779315518
2068,14_PE,Peru,48560.069,8.85782842321354
2069,14_PE,Peru,48799.623,8.965989265350236
2070,14_PE,Peru,49033.446,9.07614333338469
2071,14_PE,Peru,49261.634,9.187650728792782
2072,14_PE,Peru,49484.836,9.30052807824126
2073,14_PE,Peru,49702.578,9.414792212668251
2074,14_PE,Peru,49915.018,9.53046016979289
2075,14_PE,Peru,50121.529,9.647549196655786
2076,14_PE,Peru,50323.115,9.766076752190692
2077,14_PE,Peru,50519.854,9.88606050982778
2078,14_PE,Peru,50712.554,10.007518360128895
2079,14_PE,Peru,50901.252,10.130468413455178
2080,14_PE,Peru,51086.713,10.254929002667476
2081,14_PE,Peru,51268.22,10.38091868585992
2082,14_PE,Peru,51447.474,10.508456249127088
2083,14_PE,Peru,51624.337,10.637560709365165
2084,14_PE,Peru,51800.381,10.768251317107518
2085,14_PE,Peru,51974.653,10.900547559395115
2086,14_PE,Peru,52148.189,11.034469162682191
2087,14_PE,Peru,52321.598,11.170036095777633
2088,14_PE,Peru,52494.525,11.307268572822489
2089,14_PE,Peru,52668.054,11.446187056304064
2090,14_PE,Peru,52843.496,11.586812260107044
2091,14_PE,Peru,53019.527,11.729165152602105
2092,14_PE,Peru,53196.656,11.873266959772472
2093,14_PE,Peru,53375.097,12.019139168378883
2094,14_PE,Peru,53553.447,12.166803529163445
2095,14_PE,Peru,53734.718,12.316282060092844
2096,14_PE,Peru,53916.19,12.467597049641407
2097,14_PE,Peru,54098.74,12.620771060114496
2098,14_PE,Peru,54282.089,12.775826931012734
2099,14_PE,Peru,54466.464,12.932787782437556
2100,14_PE,Peru,54650.887,13.091677018538615
