year,economy_code,economy,labour,efficiency
1990,15_PHL,Philippines,62011.501,2.115185678628539
1991,15_PHL,Philippines,63697.832,2.002038691236315
1992,15_PHL,Philippines,65066.665,1.929861654860975
1993,15_PHL,Philippines,66785.586,1.8994827381663706
1994,15_PHL,Philippines,68275.657,1.9417565882387773
1995,15_PHL,Philippines,69762.925,1.992644091671946
1996,15_PHL,Philippines,71329.566,2.0754381881704402
1997,15_PHL,Philippines,73050.919,2.126599596468749
1998,15_PHL,Philippines,74766.701,2.0099772967297636
1999,15_PHL,Philippines,76815.347,2.026969998273575
2000,15_PHL,Philippines,78691.166,2.0734493700489334
2001,15_PHL,Philippines,80559.628,2.087208385093721
2002,15_PHL,Philippines,82243.348,2.1282291542891674
2003,15_PHL,Philippines,83894.429,2.20657064335539
2004,15_PHL,Philippines,85569.241,2.341043228858938
2005,15_PHL,Philippines,87219.768,2.42912303923638
2006,15_PHL,Philippines,88812.155,2.5361276445445724
2007,15_PHL,Philippines,90205.817,2.6944474897278146
2008,15_PHL,Philippines,91944.551,2.7497368059849507
2009,15_PHL,Philippines,93453.638,2.6886816177538106
2010,15_PHL,Philippines,95314.862,2.852827907416426
2011,15_PHL,Philippines,97359.388,2.8813866685228406
2012,15_PHL,Philippines,99137.841,3.0500121854011355
2013,15_PHL,Philippines,101213.184,3.200704196009995
2014,15_PHL,Philippines,102939.488,3.346312766145312
2015,15_PHL,Philippines,104594.772,3.486394658683663
2016,15_PHL,Philippines,106031.211,3.6553063600365925
2017,15_PHL,Philippines,107440.227,3.8187692961248767
2018,15_PHL,Philippines,108799.16,3.9463127527507402
2019,15_PHL,Philippines,110131.413,4.083217247266899
2020,15_PHL,Philippines,111477.954,3.326815675550987
2021,15_PHL,Philippines,112684.574,3.5045353459799164
2022,15_PHL,Philippines,113517.326,3.800948497317
2023,15_PHL,Philippines,114411.351,3.9819828405338704
2024,15_PHL,Philippines,115371.047,4.174526591391474
2025,15_PHL,Philippines,116555.088,4.314031561174869
2026,15_PHL,Philippines,117737.303,4.536118634586456
2027,15_PHL,Philippines,118914.177,4.767878606268803
2028,15_PHL,Philippines,120089.995,4.979546593001494
2029,15_PHL,Philippines,121262.964,5.1973905773762015
2030,15_PHL,Philippines,122574.764,5.419976929561266
2031,15_PHL,Philippines,123880.724,5.662294557098563
2032,15_PHL,Philippines,125171.036,5.907776847590444
2033,15_PHL,Philippines,126455.284,6.154758537374383
2034,15_PHL,Philippines,127731.104,6.408879414849449
2035,15_PHL,Philippines,129097.281,6.6703403807640855
2036,15_PHL,Philippines,130445.33,6.939760080639996
2037,15_PHL,Philippines,131776.036,7.214069288598258
2038,15_PHL,Philippines,133080.52,7.49370000334845
2039,15_PHL,Philippines,134354.292,7.7796070461266895
2040,15_PHL,Philippines,135587.721,8.071543652997033
2041,15_PHL,Philippines,136788.893,8.369155367771238
2042,15_PHL,Philippines,137953.607,8.671850368850818
2043,15_PHL,Philippines,139082.9,8.979667017407952
2044,15_PHL,Philippines,140175.685,9.292544823056682
2045,15_PHL,Philippines,141231.51,9.61017241152737
2046,15_PHL,Philippines,142248.454,9.932227638745127
2047,15_PHL,Philippines,143225.288,10.258401466588229
2048,15_PHL,Philippines,144157.165,10.588458874163246
2049,15_PHL,Philippines,145046.908,10.922101277187403
2050,15_PHL,Philippines,145904.096,11.258976272942066
2051,15_PHL,Philippines,146721.94,11.598726322792333
2052,15_PHL,Philippines,147511.66,11.940990016843584
2053,15_PHL,Philippines,148264.112,12.285397874887764
2054,15_PHL,Philippines,148997.325,12.631552659621661
2055,15_PHL,Philippines,149714.233,12.979038297669575
2056,15_PHL,Philippines,150412.148,13.327428387622211
2057,15_PHL,Philippines,151092.63,13.676284994838142
2058,15_PHL,Philippines,151773.652,14.02515689759055
2059,15_PHL,Philippines,152451.632,14.373578454421656
2060,15_PHL,Philippines,153118.581,14.721072845022231
2061,15_PHL,Philippines,153785.173,15.0671539164029
2062,15_PHL,Philippines,154451.691,15.41132644613879
2063,15_PHL,Philippines,155115.705,15.753086747200264
2064,15_PHL,Philippines,155782.987,16.091923810778237
2065,15_PHL,Philippines,156448.42,16.42732095412089
2066,15_PHL,Philippines,157104.482,16.758757076271444
2067,15_PHL,Philippines,157763.841,17.08570776135915
2068,15_PHL,Philippines,158406.856,17.407646558630063
2069,15_PHL,Philippines,159042.269,17.724046397833515
2070,15_PHL,Philippines,159662.075,18.034381046310287
2071,15_PHL,Philippines,160261.725,18.338126503344704
2072,15_PHL,Philippines,160844.975,18.634762407437055
2073,15_PHL,Philippines,161401.605,18.92377349330427
2074,15_PHL,Philippines,161935.98,19.204651069463083
2075,15_PHL,Philippines,162441.111,19.476894490763343
2076,15_PHL,Philippines,162926.737,19.740012615888887
2077,15_PHL,Philippines,163383.826,20.006685268036303
2078,15_PHL,Philippines,163805.219,20.276960466179364
2079,15_PHL,Philippines,164208.774,20.550886877991886
2080,15_PHL,Philippines,164595.564,20.828513828611182
2081,15_PHL,Philippines,164955.306,21.109891309519888
2082,15_PHL,Philippines,165301.746,21.395069987547796
2083,15_PHL,Philippines,165629.308,21.68410121399527
2084,15_PHL,Philippines,165947.273,21.977037033879938
2085,15_PHL,Philippines,166249.439,22.27393019530829
2086,15_PHL,Philippines,166538.513,22.574834158973857
2087,15_PHL,Philippines,166824.122,22.87980310778375
2088,15_PHL,Philippines,167109.914,23.1888919566152
2089,15_PHL,Philippines,167398.475,23.502156362203934
2090,15_PHL,Philippines,167690.993,23.819652733166105
2091,15_PHL,Philippines,167988.596,24.141438240155654
2092,15_PHL,Philippines,168287.605,24.46757082615884
2093,15_PHL,Philippines,168596.883,24.798109216927884
2094,15_PHL,Philippines,168915.288,25.133112931555534
2095,15_PHL,Philippines,169244.57,25.472642293192504
2096,15_PHL,Philippines,169576.938,25.81675843990968
2097,15_PHL,Philippines,169916.757,26.165523335707086
2098,15_PHL,Philippines,170269.001,26.518999781671553
2099,15_PHL,Philippines,170628.862,26.877251427285138
2100,15_PHL,Philippines,170993.888,27.240342781886298
