year,economy_code,economy,labour,efficiency
1990,16_RUS,Russia,148642.381,6.93634024195128
1991,16_RUS,Russia,149316.7,6.170686348147189
1992,16_RUS,Russia,149580.166,4.727995955998494
1993,16_RUS,Russia,148251.816,4.120137314838132
1994,16_RUS,Russia,148019.032,3.3272954736839995
1995,16_RUS,Russia,148382.441,3.123448114440166
1996,16_RUS,Russia,148200.365,2.9709580746260036
1997,16_RUS,Russia,147968.8,3.0792840544599365
1998,16_RUS,Russia,147738.741,2.849958369622767
1999,16_RUS,Russia,147532.321,3.199378267661619
2000,16_RUS,Russia,146951.628,3.7973959011830454
2001,16_RUS,Russia,146483.937,4.164135249993898
2002,16_RUS,Russia,145750.631,4.544012800646346
2003,16_RUS,Russia,146128.369,5.111614311666723
2004,16_RUS,Russia,145460.09,5.768315883912832
2005,16_RUS,Russia,144900.103,6.412568258486525
2006,16_RUS,Russia,144295.666,7.30939251849383
2007,16_RUS,Russia,143910.23,8.329352756393801
2008,16_RUS,Russia,143809.297,8.982781457917831
2009,16_RUS,Russia,143814.384,7.806651971301712
2010,16_RUS,Russia,143923.88,8.345855429359721
2011,16_RUS,Russia,143945.051,8.869277390895366
2012,16_RUS,Russia,144142.446,9.384533489938546
2013,16_RUS,Russia,144439.612,9.567197400298152
2014,16_RUS,Russia,144768.583,9.6031424233235
2015,16_RUS,Russia,145082.693,9.241929948648473
2016,16_RUS,Russia,145532.538,9.212102641440035
2017,16_RUS,Russia,146024.816,9.419416998942099
2018,16_RUS,Russia,146348.782,9.797893560888403
2019,16_RUS,Russia,146511.509,10.102132271866793
2020,16_RUS,Russia,146554.625,9.626742226190318
2021,16_RUS,Russia,146187.972,10.573837270091898
2022,16_RUS,Russia,145484.378,10.325985839683895
2023,16_RUS,Russia,145675.42,10.89271534520154
2024,16_RUS,Russia,145205.581,11.465799921154288
2025,16_RUS,Russia,144652.348,11.62488360888857
2026,16_RUS,Russia,143987.474,11.880354930578628
2027,16_RUS,Russia,143862.799,12.171383368804209
2028,16_RUS,Russia,143695.491,12.471965614338915
2029,16_RUS,Russia,143519.613,12.76065858197798
2030,16_RUS,Russia,143450.643,13.045947888291398
2031,16_RUS,Russia,143374.523,13.428174267315738
2032,16_RUS,Russia,143273.214,13.728833168988134
2033,16_RUS,Russia,143201.867,14.099143414002098
2034,16_RUS,Russia,143148.625,14.440090492510386
2035,16_RUS,Russia,143194.969,14.748229770507393
2036,16_RUS,Russia,143262.865,15.073953332612804
2037,16_RUS,Russia,143349.782,15.407035539460201
2038,16_RUS,Russia,143453.597,15.743779911316729
2039,16_RUS,Russia,143587.072,16.08341424170628
2040,16_RUS,Russia,143732.916,16.427842638043206
2041,16_RUS,Russia,143914.312,16.77809981771014
2042,16_RUS,Russia,144105.823,17.12244003806348
2043,16_RUS,Russia,144319.091,17.4706505297799
2044,16_RUS,Russia,144524.711,17.81434769673012
2045,16_RUS,Russia,144749.223,18.15677336972559
2046,16_RUS,Russia,144988.797,18.501936876919682
2047,16_RUS,Russia,145242.661,18.847971871726916
2048,16_RUS,Russia,145479.424,19.19408181360811
2049,16_RUS,Russia,145711.796,19.539842414684756
2050,16_RUS,Russia,145943.983,19.8848779006277
2051,16_RUS,Russia,146169.606,20.228535130631673
2052,16_RUS,Russia,146392.374,20.569962050323493
2053,16_RUS,Russia,146629.506,20.90965457107953
2054,16_RUS,Russia,146830.239,21.24696407968671
2055,16_RUS,Russia,147042.542,21.582191279658023
2056,16_RUS,Russia,147246.785,21.915274127557396
2057,16_RUS,Russia,147470.27,22.24565852976936
2058,16_RUS,Russia,147711.359,22.572954918758285
2059,16_RUS,Russia,147943.164,22.896826672952944
2060,16_RUS,Russia,148196.884,23.21695097268007
2061,16_RUS,Russia,148499.094,23.533014379179452
2062,16_RUS,Russia,148796.764,23.84474656344279
2063,16_RUS,Russia,149131.866,24.160608136025864
2064,16_RUS,Russia,149469.953,24.480653797241175
2065,16_RUS,Russia,149835.718,24.804938971993813
2066,16_RUS,Russia,150222.891,25.133519819379845
2067,16_RUS,Russia,150646.012,25.46645324241183
2068,16_RUS,Russia,151108.163,25.803796897873195
2069,16_RUS,Russia,151587.967,26.145609206303103
2070,16_RUS,Russia,152069.077,26.491949362113637
2071,16_RUS,Russia,152575.576,26.842877343840957
2072,16_RUS,Russia,153085.342,27.19845392453228
2073,16_RUS,Russia,153656.192,27.558740682270447
2074,16_RUS,Russia,154245.998,27.923800010837883
2075,16_RUS,Russia,154860.92,28.29369513052185
2076,16_RUS,Russia,155495.869,28.66849009906281
2077,16_RUS,Russia,156167.81,29.048249822747827
2078,16_RUS,Russia,156841.8,29.433040067650914
2079,16_RUS,Russia,157538.391,29.822927471022275
2080,16_RUS,Russia,158261.616,30.217979552828425
2081,16_RUS,Russia,159016.096,30.618264727445165
2082,16_RUS,Russia,159791.816,31.023852315505458
2083,16_RUS,Russia,160575.883,31.434812555904248
2084,16_RUS,Russia,161377.519,31.85121661796229
2085,16_RUS,Russia,162188.304,32.27313661375113
2086,16_RUS,Russia,163007.278,32.70064561058133
2087,16_RUS,Russia,163844.683,33.133817643656144
2088,16_RUS,Russia,164713.029,33.57272772889276
2089,16_RUS,Russia,165590.386,34.017451875913444
2090,16_RUS,Russia,166476.696,34.468067101208746
2091,16_RUS,Russia,167371.612,34.92465144147505
2092,16_RUS,Russia,168284.499,35.38728396712884
2093,16_RUS,Russia,169182.375,35.856044795999956
2094,16_RUS,Russia,170110.195,36.331015107206255
2095,16_RUS,Russia,171052.392,36.81227715521205
2096,16_RUS,Russia,171990.124,37.29991428407279
2097,16_RUS,Russia,172916.97,37.79401094186843
2098,16_RUS,Russia,173866.277,38.294652695327976
2099,16_RUS,Russia,174803.882,38.80192624464779
2100,16_RUS,Russia,175748.02,39.31591943850614
