year,economy_code,economy,labour,efficiency
1990,18_CT,Chinese Taipei,20508.591,6.477921609589137
1991,18_CT,Chinese Taipei,20681.221,6.912180610035507
1992,18_CT,Chinese Taipei,20882.279,7.347213325768267
1993,18_CT,Chinese Taipei,21081.897,7.640580338829587
1994,18_CT,Chinese Taipei,21267.467,8.04370190226443
1995,18_CT,Chinese Taipei,21446.813,8.365490633500121
1996,18_CT,Chinese Taipei,21622.177,8.707090220149349
1997,18_CT,Chinese Taipei,21796.376,9.038798202434085
1998,18_CT,Chinese Taipei,21974.281,9.128152879849798
1999,18_CT,Chinese Taipei,22124.171,9.649963312384077
2000,18_CT,Chinese Taipei,22283.391,10.144401524314024
2001,18_CT,Chinese Taipei,22382.348,9.622551961035324
2002,18_CT,Chinese Taipei,22510.167,10.22335754932733
2003,18_CT,Chinese Taipei,22623.636,10.674886124858713
2004,18_CT,Chinese Taipei,22704.613,11.593272242801172
2005,18_CT,Chinese Taipei,22786.249,12.310679513720949
2006,18_CT,Chinese Taipei,22863.614,13.180041411169784
2007,18_CT,Chinese Taipei,22965.654,14.354432115882988
2008,18_CT,Chinese Taipei,23048.194,14.31804135796309
2009,18_CT,Chinese Taipei,23124.284,13.798024512712528
2010,18_CT,Chinese Taipei,23204.438,15.949041021388595
2011,18_CT,Chinese Taipei,23243.66,16.70656541650815
2012,18_CT,Chinese Taipei,23302.493,17.107046379290317
2013,18_CT,Chinese Taipei,23389.429,17.53180307420036
2014,18_CT,Chinese Taipei,23444.32,18.63884918307103
2015,18_CT,Chinese Taipei,23501.311,18.803725442863865
2016,18_CT,Chinese Taipei,23557.197,19.17768883910245
2017,18_CT,Chinese Taipei,23615.088,20.020460874193187
2018,18_CT,Chinese Taipei,23650.808,20.68674836101162
2019,18_CT,Chinese Taipei,23667.802,21.373195265827928
2020,18_CT,Chinese Taipei,23680.473,22.183097515240586
2021,18_CT,Chinese Taipei,23646.445,24.16864706252221
2022,18_CT,Chinese Taipei,23470.22,24.817275613176495
2023,18_CT,Chinese Taipei,23370.002,24.987410569654003
2024,18_CT,Chinese Taipei,23264.288,26.42329399138531
2025,18_CT,Chinese Taipei,23200.806,28.794506414699967
2026,18_CT,Chinese Taipei,23135.416,30.371449171182086
2027,18_CT,Chinese Taipei,23069.569,31.362861076890365
2028,18_CT,Chinese Taipei,22999.659,32.22860092469732
2029,18_CT,Chinese Taipei,22929.064,33.09458232081638
2030,18_CT,Chinese Taipei,22875.795,33.9748439250207
2031,18_CT,Chinese Taipei,22817.409,34.78628760649955
2032,18_CT,Chinese Taipei,22753.047,36.0499381739367
2033,18_CT,Chinese Taipei,22684.621,37.39369826862127
2034,18_CT,Chinese Taipei,22611.464,38.90129657221431
2035,18_CT,Chinese Taipei,22542.16,40.40297110022978
2036,18_CT,Chinese Taipei,22467.882,41.756003643643545
2037,18_CT,Chinese Taipei,22387.738,43.06550305008341
2038,18_CT,Chinese Taipei,22299.453,44.41054771033265
2039,18_CT,Chinese Taipei,22206.572,45.8137161053237
2040,18_CT,Chinese Taipei,22106.883,47.28286705421741
2041,18_CT,Chinese Taipei,22001.335,48.82499231702907
2042,18_CT,Chinese Taipei,21889.255,50.46004400741263
2043,18_CT,Chinese Taipei,21771.046,52.13552923250884
2044,18_CT,Chinese Taipei,21648.001,53.845424445267405
2045,18_CT,Chinese Taipei,21521.588,55.570908677882365
2046,18_CT,Chinese Taipei,21387.649,57.315248282734885
2047,18_CT,Chinese Taipei,21253.159,59.10231123712635
2048,18_CT,Chinese Taipei,21111.781,60.94402300917472
2049,18_CT,Chinese Taipei,20968.801,62.8426917330452
2050,18_CT,Chinese Taipei,20819.745,64.79774029582894
2051,18_CT,Chinese Taipei,20668.971,66.8074049299329
2052,18_CT,Chinese Taipei,20516.784,68.868705897383
2053,18_CT,Chinese Taipei,20362.078,70.97546956681673
2054,18_CT,Chinese Taipei,20203.973,73.12813410292556
2055,18_CT,Chinese Taipei,20042.29,75.32804450418699
2056,18_CT,Chinese Taipei,19878.704,77.57935395015278
2057,18_CT,Chinese Taipei,19716.379,79.88628982926535
2058,18_CT,Chinese Taipei,19550.097,82.25029767064855
2059,18_CT,Chinese Taipei,19383.447,84.67135442010283
2060,18_CT,Chinese Taipei,19214.336,87.14911992732482
2061,18_CT,Chinese Taipei,19044.222,89.68329777807863
2062,18_CT,Chinese Taipei,18873.567,92.2738053146233
2063,18_CT,Chinese Taipei,18704.518,94.92096817741758
2064,18_CT,Chinese Taipei,18539.119,97.62601080856471
