year,economy_code,economy,labour,efficiency
1990,19_THA,Thailand,54281.477,4.07240156805612
1991,19_THA,Thailand,55195.181,4.229601933623473
1992,19_THA,Thailand,56079.687,4.42359648116706
1993,19_THA,Thailand,56977.982,4.625070280770346
1994,19_THA,Thailand,57838.415,4.808749680896744
1995,19_THA,Thailand,58683.293,5.009284463219378
1996,19_THA,Thailand,59513.172,5.0480001262180805
1997,19_THA,Thailand,60326.956,4.567653283432106
1998,19_THA,Thailand,61122.213,3.9349265284016783
1999,19_THA,Thailand,61923.048,4.1685354407811825
2000,19_THA,Thailand,62675.039,4.398806419745567
2001,19_THA,Thailand,63340.591,4.565345693214591
2002,19_THA,Thailand,63961.692,4.942280225703376
2003,19_THA,Thailand,64571.181,5.40806993459854
2004,19_THA,Thailand,65165.152,5.800445733459498
2005,19_THA,Thailand,65738.942,5.983053297658498
2006,19_THA,Thailand,66295.897,6.2647175943721285
2007,19_THA,Thailand,66839.477,6.622975940124741
2008,19_THA,Thailand,67365.312,6.603941332887756
2009,19_THA,Thailand,67874.349,6.383479811934794
2010,19_THA,Thailand,68367.811,7.006735852818775
2011,19_THA,Thailand,68791.084,6.909686478329742
2012,19_THA,Thailand,69223.332,7.520378080586148
2013,19_THA,Thailand,69648.864,7.6458865518547094
2014,19_THA,Thailand,70041.365,7.586205056729905
2015,19_THA,Thailand,70391.368,7.785172319836693
2016,19_THA,Thailand,70690.223,8.03994606729358
2017,19_THA,Thailand,71029.46,8.40324386507999
2018,19_THA,Thailand,71290.914,8.794523958180017
2019,19_THA,Thailand,71461.243,8.910955852127666
2020,19_THA,Thailand,71583.299,7.894444090193033
2021,19_THA,Thailand,71699.668,7.961317026023743
2022,19_THA,Thailand,71754.996,8.166852327101633
2023,19_THA,Thailand,71715.662,8.33022638435493
2024,19_THA,Thailand,71689.208,8.579015999147252
2025,19_THA,Thailand,71766.808,8.779053384585895
2026,19_THA,Thailand,71831.725,8.902938955387398
2027,19_THA,Thailand,71882.916,9.012000791736524
2028,19_THA,Thailand,71923.402,9.092716266978544
2029,19_THA,Thailand,71953.267,9.139960107274973
2030,19_THA,Thailand,72042.421,9.180097830567036
2031,19_THA,Thailand,72118.609,9.329164612112795
2032,19_THA,Thailand,72184.556,9.480651945788882
2033,19_THA,Thailand,72235.921,9.632881664096491
2034,19_THA,Thailand,72273.366,9.783752993697663
2035,19_THA,Thailand,72341.959,9.923090669401764
2036,19_THA,Thailand,72390.694,10.055407240060816
2037,19_THA,Thailand,72427.031,10.188706555131429
2038,19_THA,Thailand,72446.783,10.32479832853969
2039,19_THA,Thailand,72449.222,10.467251505601514
2040,19_THA,Thailand,72436.105,10.620673435247324
2041,19_THA,Thailand,72406.554,10.787247167893067
2042,19_THA,Thailand,72354.377,10.955835681349306
2043,19_THA,Thailand,72288.391,11.126391182550236
2044,19_THA,Thailand,72205.461,11.299057361920351
2045,19_THA,Thailand,72109.375,11.474240936151128
2046,19_THA,Thailand,71996.353,11.653589252821156
2047,19_THA,Thailand,71868.134,11.838416898594279
2048,19_THA,Thailand,71727.02,12.029258267190185
2049,19_THA,Thailand,71572.899,12.226500255452278
2050,19_THA,Thailand,71402.667,12.430154873887863
2051,19_THA,Thailand,71223.66,12.63968713175491
2052,19_THA,Thailand,71033.891,12.854233879066378
2053,19_THA,Thailand,70832.811,13.072422354713533
2054,19_THA,Thailand,70630.402,13.294314373594233
2055,19_THA,Thailand,70420.102,13.519972799855827
