year,economy_code,economy,labour,efficiency
1990,20_USA,United States of America,251834.166,18.869074108739756
1991,20_USA,United States of America,254912.608,18.356506643730366
1992,20_USA,United States of America,258030.237,18.941335634338916
1993,20_USA,United States of America,261181.802,19.285572384930223
1994,20_USA,United States of America,264084.66,20.041064077585848
1995,20_USA,United States of America,266864.96,20.378678710620616
1996,20_USA,United States of America,269546.629,21.065995173323117
1997,20_USA,United States of America,272174.763,21.994593467557692
1998,20_USA,United States of America,274761.262,22.939344821363157
1999,20_USA,United States of America,277477.403,24.003037834425186
2000,20_USA,United States of America,280093.565,24.838106737837684
2001,20_USA,United States of America,282874.696,24.493657799975857
2002,20_USA,United States of America,285684.581,24.522909370201123
2003,20_USA,United States of America,288484.095,24.98498260751269
2004,20_USA,United States of America,291332.104,25.857458071097685
2005,20_USA,United States of America,294240.403,26.574489286375687
2006,20_USA,United States of America,297192.924,27.027397664224857
2007,20_USA,United States of America,300267.495,27.195834963828585
2008,20_USA,United States of America,303420.956,26.61668267146161
2009,20_USA,United States of America,306519.709,25.06072440574562
2010,20_USA,United States of America,309527.2,25.766430781005738
2011,20_USA,United States of America,312598.38,25.981555167011642
2012,20_USA,United States of America,315611.776,26.475180270427938
2013,20_USA,United States of America,318618.933,26.894059323701523
2014,20_USA,United States of America,321602.585,27.47490821778462
2015,20_USA,United States of America,324628.169,28.246254178579697
2016,20_USA,United States of America,327624.824,28.518488014451403
2017,20_USA,United States of America,330734.029,29.072441215080637
2018,20_USA,United States of America,333675.29,29.877942180875248
2019,20_USA,United States of America,336437.705,30.541035351687107
2020,20_USA,United States of America,339142.428,28.927093985769027
2021,20_USA,United States of America,339729.889,31.504190517877102
2022,20_USA,United States of America,340592.993,32.38815319107535
2023,20_USA,United States of America,342475.098,33.41807628058771
2024,20_USA,United States of America,344479.572,34.151619530826196
2025,20_USA,United States of America,346934.402,34.642894312462346
2026,20_USA,United States of America,349300.318,35.30596008770097
2027,20_USA,United States of America,351577.725,36.01526520455915
2028,20_USA,United States of America,353812.396,36.74121862674126
2029,20_USA,United States of America,356058.523,37.454065862922405
2030,20_USA,United States of America,358578.265,38.17028811270059
2031,20_USA,United States of America,361076.349,39.17490921966642
2032,20_USA,United States of America,363548.035,39.96007083137199
2033,20_USA,United States of America,366000.86,40.72893657080184
2034,20_USA,United States of America,368432.106,41.461446397436
2035,20_USA,United States of America,371090.862,42.19068889397112
2036,20_USA,United States of America,373712.276,42.94627274095757
2037,20_USA,United States of America,376308.439,43.710100455139006
2038,20_USA,United States of America,378886.612,44.477440007854106
2039,20_USA,United States of America,381448.067,45.24667899458615
2040,20_USA,United States of America,383946.363,46.01968941718175
2041,20_USA,United States of America,386408.488,46.79652591091304
2042,20_USA,United States of America,388827.71,47.54230490541731
2043,20_USA,United States of America,391246.223,48.28044904318737
2044,20_USA,United States of America,393594.504,49.0121184136135
2045,20_USA,United States of America,395889.801,49.74100338478194
2046,20_USA,United States of America,398150.686,50.467213742226534
2047,20_USA,United States of America,400359.969,51.18732730802326
2048,20_USA,United States of America,402563.431,51.89971498302069
2049,20_USA,United States of America,404718.214,52.603136376230665
2050,20_USA,United States of America,406868.424,53.296409771117624
2051,20_USA,United States of America,409017.95,53.998820035650915
2052,20_USA,United States of America,411182.678,54.710487587529464
2053,20_USA,United States of America,413343.718,55.43153443147518
2054,20_USA,United States of America,415544.967,56.162084180148845
2055,20_USA,United States of America,417735.927,56.90226207534165
2056,20_USA,United States of America,419959.979,57.65219500944603
2057,20_USA,United States of America,422259.081,58.41201154720943
2058,20_USA,United States of America,424670.867,59.18184194777483
2059,20_USA,United States of America,427187.68,59.96181818701171
2060,20_USA,United States of America,429754.615,60.75207398014133
2061,20_USA,United States of America,432381.011,61.55274480466022
2062,20_USA,United States of America,435127.894,62.363967923565724
2063,20_USA,United States of America,437957.892,63.18588240888771
2064,20_USA,United States of America,440864.44,64.01862916553037
2065,20_USA,United States of America,443816.209,64.86235095542827
2066,20_USA,United States of America,446853.482,65.7171924220207
2067,20_USA,United States of America,449972.802,66.58330011504869
2068,20_USA,United States of America,453163.622,67.46082251567867
2069,20_USA,United States of America,456381.171,68.34991006195744
2070,20_USA,United States of America,459660.336,69.25071517460246
2071,20_USA,United States of America,462925.158,70.16339228313205
2072,20_USA,United States of America,466247.205,71.08809785234013
2073,20_USA,United States of America,469526.986,72.02499040911964
2074,20_USA,United States of America,472829.721,72.97423056963967
2075,20_USA,United States of America,476114.288,73.9359810668807
2076,20_USA,United States of America,479460.07,74.91040677853266
2077,20_USA,United States of America,482765.672,75.89767475526081
2078,20_USA,United States of America,486048.366,76.89795424934401
2079,20_USA,United States of America,489334.234,77.91141674369052
2080,20_USA,United States of America,492584.967,78.93823598123616
2081,20_USA,United States of America,495826.71,79.97858799472993
2082,20_USA,United States of America,499173.831,81.0326511369122
2083,20_USA,United States of America,502471.486,82.10060611109054
2084,20_USA,United States of America,505787.781,83.1826360021187
2085,20_USA,United States of America,509123.274,84.27892630778368
2086,20_USA,United States of America,512435.384,85.38966497060657
2087,20_USA,United States of America,515839.067,86.51504241006248
2088,20_USA,United States of America,519289.072,87.65525155522506
2089,20_USA,United States of America,522834.366,88.81048787784137
2090,20_USA,United States of America,526402.871,89.98094942584251
2091,20_USA,United States of America,530002.32,91.16683685729599
2092,20_USA,United States of America,533679.175,92.36835347480555
2093,20_USA,United States of America,537413.613,93.58570526036434
2094,20_USA,United States of America,541180.882,94.81910091066742
2095,20_USA,United States of America,545015.43,96.0687518728897
2096,20_USA,United States of America,548878.835,97.33487238093541
2097,20_USA,United States of America,552738.651,98.61767949216521
2098,20_USA,United States of America,556655.115,99.91739312460749
2099,20_USA,United States of America,560556.448,101.23423609465996
2100,20_USA,United States of America,564504.207,102.56843415528826
