year,economy_code,economy,labour,efficiency
1990,21_VN,Viet Nam,64808.586,2.198865383970826
1991,21_VN,Viet Nam,66200.519,2.2864485193769886
1992,21_VN,Viet Nam,67583.031,2.417456439778074
1993,21_VN,Viet Nam,68937.644,2.4855433921098418
1994,21_VN,Viet Nam,70235.124,2.5574158520572894
1995,21_VN,Viet Nam,71473.658,2.6627352610681903
1996,21_VN,Viet Nam,72626.222,2.7710881957078413
1997,21_VN,Viet Nam,73686.671,2.850570145060609
1998,21_VN,Viet Nam,74767.106,2.832832774873485
1999,21_VN,Viet Nam,75832.215,2.8068698009829345
2000,21_VN,Viet Nam,76742.689,2.885372958647633
2001,21_VN,Viet Nam,77565.332,2.9622876894546333
2002,21_VN,Viet Nam,78373.39,3.049212470865904
2003,21_VN,Viet Nam,79171.058,3.1629033770607253
2004,21_VN,Viet Nam,79956.496,3.3129235275670315
2005,21_VN,Viet Nam,80721.447,3.471680006647928
2006,21_VN,Viet Nam,81455.179,3.717325199967523
2007,21_VN,Viet Nam,82880.614,3.8787762272262287
2008,21_VN,Viet Nam,84386.137,3.970275712081259
2009,21_VN,Viet Nam,85965.438,4.042755305504496
2010,21_VN,Viet Nam,86954.597,4.189753218826232
2011,21_VN,Viet Nam,87955.706,4.2902387889680575
2012,21_VN,Viet Nam,88980.922,4.358341215823176
2013,21_VN,Viet Nam,90039.789,4.438347440055447
2014,21_VN,Viet Nam,91106.419,4.577471553893715
2015,21_VN,Viet Nam,92252.737,4.75300655709245
2016,21_VN,Viet Nam,93393.771,4.909304902585506
2017,21_VN,Viet Nam,94606.462,5.081796868713342
2018,21_VN,Viet Nam,95747.492,5.3146226710335505
2019,21_VN,Viet Nam,96727.147,5.5670420987073275
2020,21_VN,Viet Nam,97620.404,5.458557403831117
2021,21_VN,Viet Nam,98537.978,5.347255913224388
2022,21_VN,Viet Nam,99332.219,5.758251231468897
2023,21_VN,Viet Nam,100029.091,5.901721727068023
2024,21_VN,Viet Nam,100675.292,6.276628653887175
2025,21_VN,Viet Nam,101476.526,6.726408068792209
2026,21_VN,Viet Nam,102247.543,7.005985493864528
2027,21_VN,Viet Nam,102980.954,7.383993676358242
2028,21_VN,Viet Nam,103691.424,7.748569833496887
2029,21_VN,Viet Nam,104380.174,8.16904974379244
2030,21_VN,Viet Nam,105146.541,8.59721890035714
2031,21_VN,Viet Nam,105914.837,9.014737841324724
2032,21_VN,Viet Nam,106662.291,9.465154467441968
2033,21_VN,Viet Nam,107402.374,9.930521668644268
2034,21_VN,Viet Nam,108126.996,10.418357197288216
2035,21_VN,Viet Nam,108923.344,10.919446212598501
2036,21_VN,Viet Nam,109709.975,11.435208471211501
2037,21_VN,Viet Nam,110477.326,11.97228775881047
2038,21_VN,Viet Nam,111239.444,12.527415201886907
2039,21_VN,Viet Nam,111981.906,13.101270629072268
2040,21_VN,Viet Nam,112705.18,13.692722094373726
2041,21_VN,Viet Nam,113397.032,14.30278979367067
2042,21_VN,Viet Nam,114069.855,14.932374499271942
2043,21_VN,Viet Nam,114709.76,15.580865805289267
2044,21_VN,Viet Nam,115313.181,16.24836123234272
2045,21_VN,Viet Nam,115880.18,16.93481004187776
2046,21_VN,Viet Nam,116420.895,17.640446309803135
2047,21_VN,Viet Nam,116923.18,18.36530155858255
2048,21_VN,Viet Nam,117396.581,19.10918755320351
2049,21_VN,Viet Nam,117836.534,19.872031198520986
2050,21_VN,Viet Nam,118248.681,20.653720664677568
2051,21_VN,Viet Nam,118643.564,21.454133782881133
2052,21_VN,Viet Nam,119006.145,22.273063213571305
2053,21_VN,Viet Nam,119354.208,23.11024754133065
2054,21_VN,Viet Nam,119692.624,23.965413755502425
2055,21_VN,Viet Nam,120018.637,24.838245371057482
2056,21_VN,Viet Nam,120338.989,25.72838177851916
2057,21_VN,Viet Nam,120662.668,26.635410353193922
2058,21_VN,Viet Nam,120979.489,27.55887534789191
2059,21_VN,Viet Nam,121290.267,28.498281068726293
2060,21_VN,Viet Nam,121606.167,29.453085270074226
2061,21_VN,Viet Nam,121932.422,30.42269889741286
2062,21_VN,Viet Nam,122257.469,31.40648591763172
2063,21_VN,Viet Nam,122579.941,32.40376502479299
2064,21_VN,Viet Nam,122904.954,33.41380954738269
2065,21_VN,Viet Nam,123233.626,34.43584655490701
2066,21_VN,Viet Nam,123557.404,35.46905735553313
2067,21_VN,Viet Nam,123872.783,36.512578156827644
2068,21_VN,Viet Nam,124187.022,37.56550090518301
2069,21_VN,Viet Nam,124503.712,38.626873895162646
2070,21_VN,Viet Nam,124817.187,39.69570253006799
2071,21_VN,Viet Nam,125116.413,40.77095045771029
2072,21_VN,Viet Nam,125413.672,41.85154083319903
2073,21_VN,Viet Nam,125695.816,42.936357698841455
2074,21_VN,Viet Nam,125971.843,44.024247465553536
2075,21_VN,Viet Nam,126247.099,45.114020572785925
2076,21_VN,Viet Nam,126517.038,46.20445333075784
2077,21_VN,Viet Nam,126786.577,47.29428989744946
2078,21_VN,Viet Nam,127044.298,48.38224439067411
2079,21_VN,Viet Nam,127307.704,49.46700313789649
2080,21_VN,Viet Nam,127566.092,50.54722707058067
2081,21_VN,Viet Nam,127831.0,51.6215542535154
2082,21_VN,Viet Nam,128099.202,52.68860253673779
2083,21_VN,Viet Nam,128374.713,53.74697232599048
2084,21_VN,Viet Nam,128665.812,54.79524946670585
2085,21_VN,Viet Nam,128974.261,55.8320082348452
2086,21_VN,Viet Nam,129294.465,56.855814424991095
2087,21_VN,Viet Nam,129622.473,57.86522852625728
2088,21_VN,Viet Nam,129960.331,58.85880897740456
2089,21_VN,Viet Nam,130316.338,59.83511549166709
2090,21_VN,Viet Nam,130680.563,60.7927124409428
2091,21_VN,Viet Nam,131052.737,61.730172288348534
2092,21_VN,Viet Nam,131438.916,62.64607905800499
2093,21_VN,Viet Nam,131836.872,63.53903183071144
