economy_code,economy,year,variable,value
01_AUS,Australia,1990,Population,17004.135
01_AUS,Australia,1991,Population,17248.461
01_AUS,Australia,1992,Population,17457.924
01_AUS,Australia,1993,Population,17640.653
01_AUS,Australia,1994,Population,17805.169
01_AUS,Australia,1995,Population,17989.698
01_AUS,Australia,1996,Population,18200.991
01_AUS,Australia,1997,Population,18409.624
01_AUS,Australia,1998,Population,18600.201
01_AUS,Australia,1999,Population,18803.233
01_AUS,Australia,2000,Population,19016.729
01_AUS,Australia,2001,Population,19248.213
01_AUS,Australia,2002,Population,19482.653
01_AUS,Australia,2003,Population,19708.057
01_AUS,Australia,2004,Population,19930.852
01_AUS,Australia,2005,Population,20162.502
01_AUS,Australia,2006,Population,20426.478
01_AUS,Australia,2007,Population,20754.641
01_AUS,Australia,2008,Population,21154.456
01_AUS,Australia,2009,Population,21586.721
01_AUS,Australia,2010,Population,21979.301
01_AUS,Australia,2011,Population,22303.86
01_AUS,Australia,2012,Population,22655.69
01_AUS,Australia,2013,Population,23049.598
01_AUS,Australia,2014,Population,23422.943
01_AUS,Australia,2015,Population,23768.258
01_AUS,Australia,2016,Population,24127.746
01_AUS,Australia,2017,Population,24532.18
01_AUS,Australia,2018,Population,24929.897
01_AUS,Australia,2019,Population,25309.514
01_AUS,Australia,2020,Population,25655.914
01_AUS,Australia,2021,Population,25831.668
01_AUS,Australia,2022,Population,26081.167
01_AUS,Australia,2023,Population,26320.802
01_AUS,Australia,2024,Population,26581.446
01_AUS,Australia,2025,Population,26798.519
01_AUS,Australia,2026,Population,27010.34
01_AUS,Australia,2027,Population,27212.229
01_AUS,Australia,2028,Population,27412.646
01_AUS,Australia,2029,Population,27609.736
01_AUS,Australia,2030,Population,27769.555
01_AUS,Australia,2031,Population,27928.287
01_AUS,Australia,2032,Population,28083.167
01_AUS,Australia,2033,Population,28231.874
01_AUS,Australia,2034,Population,28377.807
01_AUS,Australia,2035,Population,28503.384
01_AUS,Australia,2036,Population,28629.925
01_AUS,Australia,2037,Population,28754.824
01_AUS,Australia,2038,Population,28870.995
01_AUS,Australia,2039,Population,28990.972
01_AUS,Australia,2040,Population,29103.32
01_AUS,Australia,2041,Population,29218.759
01_AUS,Australia,2042,Population,29336.903
01_AUS,Australia,2043,Population,29456.975
01_AUS,Australia,2044,Population,29572.894
01_AUS,Australia,2045,Population,29687.106
01_AUS,Australia,2046,Population,29803.45
01_AUS,Australia,2047,Population,29924.442
01_AUS,Australia,2048,Population,30031.52
01_AUS,Australia,2049,Population,30149.744
01_AUS,Australia,2050,Population,30254.789
01_AUS,Australia,2051,Population,30358.745
01_AUS,Australia,2052,Population,30459.302
01_AUS,Australia,2053,Population,30552.951
01_AUS,Australia,2054,Population,30644.898
01_AUS,Australia,2055,Population,30737.673
01_AUS,Australia,2056,Population,30828.904
01_AUS,Australia,2057,Population,30911.686
01_AUS,Australia,2058,Population,30992.07
01_AUS,Australia,2059,Population,31076.575
01_AUS,Australia,2060,Population,31146.584
01_AUS,Australia,2061,Population,31213.157
01_AUS,Australia,2062,Population,31280.839
01_AUS,Australia,2063,Population,31346.325
01_AUS,Australia,2064,Population,31411.661
01_AUS,Australia,2065,Population,31463.207
01_AUS,Australia,2066,Population,31518.782
01_AUS,Australia,2067,Population,31580.607
01_AUS,Australia,2068,Population,31641.467
01_AUS,Australia,2069,Population,31701.627
01_AUS,Australia,2070,Population,31758.106
01_AUS,Australia,2071,Population,31807.817
01_AUS,Australia,2072,Population,31848.994
01_AUS,Australia,2073,Population,31889.635
01_AUS,Australia,2074,Population,31931.506
01_AUS,Australia,2075,Population,31975.525
01_AUS,Australia,2076,Population,32016.381
01_AUS,Australia,2077,Population,32054.355
01_AUS,Australia,2078,Population,32096.789
01_AUS,Australia,2079,Population,32136.249
01_AUS,Australia,2080,Population,32173.09
01_AUS,Australia,2081,Population,32207.977
01_AUS,Australia,2082,Population,32251.246
01_AUS,Australia,2083,Population,32285.971
01_AUS,Australia,2084,Population,32326.441
01_AUS,Australia,2085,Population,32353.347
01_AUS,Australia,2086,Population,32380.624
01_AUS,Australia,2087,Population,32413.371
01_AUS,Australia,2088,Population,32451.534
01_AUS,Australia,2089,Population,32500.269
01_AUS,Australia,2090,Population,32539.355
01_AUS,Australia,2091,Population,32584.188
01_AUS,Australia,2092,Population,32628.56
01_AUS,Australia,2093,Population,32666.855
01_AUS,Australia,2094,Population,32700.812
01_AUS,Australia,2095,Population,32720.098
01_AUS,Australia,2096,Population,32744.328
01_AUS,Australia,2097,Population,32775.451
01_AUS,Australia,2098,Population,32810.083
01_AUS,Australia,2099,Population,32829.525
01_AUS,Australia,2100,Population,32841.736
01_AUS,Australia,1990,Labour efficiency,12.147905529296125
01_AUS,Australia,1991,Labour efficiency,11.821306167093887
01_AUS,Australia,1992,Labour efficiency,11.87888488519565
01_AUS,Australia,1993,Labour efficiency,12.3665232879977
01_AUS,Australia,1994,Labour efficiency,12.837008394353541
01_AUS,Australia,1995,Labour efficiency,13.309678789067211
01_AUS,Australia,1996,Labour efficiency,13.772434002648183
01_AUS,Australia,1997,Labour efficiency,14.304291550449708
01_AUS,Australia,1998,Labour efficiency,15.017419737467103
01_AUS,Australia,1999,Labour efficiency,15.683455108904564
01_AUS,Australia,2000,Labour efficiency,16.093558620828155
01_AUS,Australia,2001,Labour efficiency,16.37290360824898
01_AUS,Australia,2002,Labour efficiency,16.823460566690567
01_AUS,Australia,2003,Labour efficiency,17.258573664881563
01_AUS,Australia,2004,Labour efficiency,17.78202997926111
01_AUS,Australia,2005,Labour efficiency,18.061823596878718
01_AUS,Australia,2006,Labour efficiency,18.378383847054614
01_AUS,Australia,2007,Labour efficiency,18.784431815470914
01_AUS,Australia,2008,Labour efficiency,18.93154971990272
01_AUS,Australia,2009,Labour efficiency,18.812419341998016
01_AUS,Australia,2010,Labour efficiency,18.8131989921576
01_AUS,Australia,2011,Labour efficiency,19.04029168402632
01_AUS,Australia,2012,Labour efficiency,19.388434928891407
01_AUS,Australia,2013,Labour efficiency,19.511140511001003
01_AUS,Australia,2014,Labour efficiency,19.64856238875188
01_AUS,Australia,2015,Labour efficiency,19.848967018318724
01_AUS,Australia,2016,Labour efficiency,20.11380561556084
01_AUS,Australia,2017,Labour efficiency,20.316461557051316
01_AUS,Australia,2018,Labour efficiency,20.57988054651488
01_AUS,Australia,2019,Labour efficiency,20.446751874538123
01_AUS,Australia,2020,Labour efficiency,20.163960067423126
01_AUS,Australia,2021,Labour efficiency,20.698075087072123
01_AUS,Australia,2022,Labour efficiency,21.540735317169336
01_AUS,Australia,2023,Labour efficiency,21.980568399153906
01_AUS,Australia,2024,Labour efficiency,22.063960959073977
01_AUS,Australia,2025,Labour efficiency,22.180776555753813
01_AUS,Australia,2026,Labour efficiency,22.47531957960513
01_AUS,Australia,2027,Labour efficiency,22.77363121163996
01_AUS,Australia,2028,Labour efficiency,23.08318390616249
01_AUS,Australia,2029,Labour efficiency,23.398391082967695
01_AUS,Australia,2030,Labour efficiency,23.717902499808133
01_AUS,Australia,2031,Labour efficiency,24.059826416742087
01_AUS,Australia,2032,Labour efficiency,24.377633817804757
01_AUS,Australia,2033,Labour efficiency,24.6996391520703
01_AUS,Australia,2034,Labour efficiency,25.03895760757614
01_AUS,Australia,2035,Labour efficiency,25.382937548763532
01_AUS,Australia,2036,Labour efficiency,25.731643014143813
01_AUS,Australia,2037,Labour efficiency,26.085138921975936
01_AUS,Australia,2038,Labour efficiency,26.443491082352267
01_AUS,Australia,2039,Labour efficiency,26.806766209450394
01_AUS,Australia,2040,Labour efficiency,27.175031933953274
01_AUS,Australia,2041,Labour efficiency,27.548356815639977
01_AUS,Australia,2042,Labour efficiency,27.926810356149424
01_AUS,Australia,2043,Labour efficiency,28.310463011919452
01_AUS,Australia,2044,Labour efficiency,28.699386207303647
01_AUS,Australia,2045,Labour efficiency,29.09365234786836
01_AUS,Australia,2046,Labour efficiency,29.493334833872417
01_AUS,Australia,2047,Labour efficiency,29.898508073931975
01_AUS,Australia,2048,Labour efficiency,30.309247498873134
01_AUS,Australia,2049,Labour efficiency,30.725629575774846
01_AUS,Australia,2050,Labour efficiency,31.147731822204733
01_AUS,Australia,2051,Labour efficiency,31.575632820650483
01_AUS,Australia,2052,Labour efficiency,32.0094122331495
01_AUS,Australia,2053,Labour efficiency,32.44915081611951
01_AUS,Australia,2054,Labour efficiency,32.89493043539297
01_AUS,Australia,2055,Labour efficiency,33.34683408145794
01_AUS,Australia,2056,Labour efficiency,33.80494588490838
01_AUS,Australia,2057,Labour efficiency,34.269351132106664
01_AUS,Australia,2058,Labour efficiency,34.740136281061325
01_AUS,Australia,2059,Labour efficiency,35.217388977522845
01_AUS,Australia,2060,Labour efficiency,35.70119807130063
01_AUS,Australia,2061,Labour efficiency,36.191653632804105
01_AUS,Australia,2062,Labour efficiency,36.68884696981106
01_AUS,Australia,2063,Labour efficiency,37.19287064446636
01_AUS,Australia,2064,Labour efficiency,37.70381849051419
01_AUS,Australia,2065,Labour efficiency,38.22178563076698
01_AUS,Australia,2066,Labour efficiency,38.746868494814414
01_AUS,Australia,2067,Labour efficiency,39.2791648369756
01_AUS,Australia,2068,Labour efficiency,39.818773754497975
01_AUS,Australia,2069,Labour efficiency,40.36579570600613
01_AUS,Australia,2070,Labour efficiency,40.920332530204156
01_AUS,Australia,2071,Labour efficiency,41.48248746483487
01_AUS,Australia,2072,Labour efficiency,42.052365165899516
01_AUS,Australia,2073,Labour efficiency,42.63007172714151
01_AUS,Australia,2074,Labour efficiency,43.21571469979783
01_AUS,Australia,2075,Labour efficiency,43.80940311262176
01_AUS,Australia,2076,Labour efficiency,44.411247492180706
01_AUS,Australia,2077,Labour efficiency,45.02135988343284
01_AUS,Australia,2078,Labour efficiency,45.639853870586435
01_AUS,Australia,2079,Labour efficiency,46.266844598245775
01_AUS,Australia,2080,Labour efficiency,46.90244879284752
01_AUS,Australia,2081,Labour efficiency,47.546784784391626
01_AUS,Australia,2082,Labour efficiency,48.19997252847072
01_AUS,Australia,2083,Labour efficiency,48.862133628602166
01_AUS,Australia,2084,Labour efficiency,49.53339135886692
01_AUS,Australia,2085,Labour efficiency,50.21387068685938
01_AUS,Australia,2086,Labour efficiency,50.9036982969525
01_AUS,Australia,2087,Labour efficiency,51.603002613882545
01_AUS,Australia,2088,Labour efficiency,52.31191382665784
01_AUS,Australia,2089,Labour efficiency,53.03056391279598
01_AUS,Australia,2090,Labour efficiency,53.75908666289394
01_AUS,Australia,2091,Labour efficiency,54.497617705535866
01_AUS,Australia,2092,Labour efficiency,55.246294532542876
01_AUS,Australia,2093,Labour efficiency,56.00525652456987
01_AUS,Australia,2094,Labour efficiency,56.77464497705391
01_AUS,Australia,2095,Labour efficiency,57.55460312651908
01_AUS,Australia,2096,Labour efficiency,58.34527617724279
01_AUS,Australia,2097,Labour efficiency,59.14681132828828
01_AUS,Australia,2098,Labour efficiency,59.95935780090863
01_AUS,Australia,2099,Labour efficiency,60.78306686632714
01_AUS,Australia,2100,Labour efficiency,61.61809187389943
01_AUS,Australia,1990,Capital stock,3209897.8799290387
01_AUS,Australia,1991,Capital stock,3241658.658973061
01_AUS,Australia,1992,Capital stock,3194702.3399404967
01_AUS,Australia,1993,Capital stock,3269648.971523141
01_AUS,Australia,1994,Capital stock,3361182.7214058777
01_AUS,Australia,1995,Capital stock,3448704.642123038
01_AUS,Australia,1996,Capital stock,3539685.5882801856
01_AUS,Australia,1997,Capital stock,3618952.593968984
01_AUS,Australia,1998,Capital stock,3713698.16689125
01_AUS,Australia,1999,Capital stock,3870166.47047785
01_AUS,Australia,2000,Capital stock,4029636.3295536186
01_AUS,Australia,2001,Capital stock,4055167.2217895496
01_AUS,Australia,2002,Capital stock,4212083.822908463
01_AUS,Australia,2003,Capital stock,4299559.029608603
01_AUS,Australia,2004,Capital stock,4482319.629141826
01_AUS,Australia,2005,Capital stock,4650882.519740263
01_AUS,Australia,2006,Capital stock,4757938.92073421
01_AUS,Australia,2007,Capital stock,4933821.0109843705
01_AUS,Australia,2008,Capital stock,5179907.517135421
01_AUS,Australia,2009,Capital stock,5324474.609806161
01_AUS,Australia,2010,Capital stock,5473220.512650328
01_AUS,Australia,2011,Capital stock,5579192.6585253775
01_AUS,Australia,2012,Capital stock,5843307.971197058
01_AUS,Australia,2013,Capital stock,6022326.709007116
01_AUS,Australia,2014,Capital stock,6203059.684433638
01_AUS,Australia,2015,Capital stock,6305359.386441025
01_AUS,Australia,2016,Capital stock,6468601.789678548
01_AUS,Australia,2017,Capital stock,6577618.49395307
01_AUS,Australia,2018,Capital stock,6760298.377382127
01_AUS,Australia,2019,Capital stock,7045508.502159561
01_AUS,Australia,2020,Capital stock,7025525.094107329
01_AUS,Australia,2021,Capital stock,7027074.30576847
01_AUS,Australia,2022,Capital stock,7240002.559464331
01_AUS,Australia,2023,Capital stock,7565589.948001127
01_AUS,Australia,2024,Capital stock,7669496.345443953
01_AUS,Australia,2025,Capital stock,7773065.059257426
01_AUS,Australia,2026,Capital stock,7877665.581116392
01_AUS,Australia,2027,Capital stock,7983825.992963904
01_AUS,Australia,2028,Capital stock,8091476.030283014
01_AUS,Australia,2029,Capital stock,8200691.168935409
01_AUS,Australia,2030,Capital stock,8311473.543907683
01_AUS,Australia,2031,Capital stock,8423515.665372215
01_AUS,Australia,2032,Capital stock,8537006.795740556
01_AUS,Australia,2033,Capital stock,8651633.370981444
01_AUS,Australia,2034,Capital stock,8767352.666328067
01_AUS,Australia,2035,Capital stock,8884286.749712538
01_AUS,Australia,2036,Capital stock,9002263.376941297
01_AUS,Australia,2037,Capital stock,9121305.519086566
01_AUS,Australia,2038,Capital stock,9241412.057081776
01_AUS,Australia,2039,Capital stock,9362514.338085905
01_AUS,Australia,2040,Capital stock,9484663.319444336
01_AUS,Australia,2041,Capital stock,9607799.36329009
01_AUS,Australia,2042,Capital stock,9731967.60344987
01_AUS,Australia,2043,Capital stock,9857210.184156364
01_AUS,Australia,2044,Capital stock,9983562.185410177
01_AUS,Australia,2045,Capital stock,10110997.148783296
01_AUS,Australia,2046,Capital stock,10239513.473438116
01_AUS,Australia,2047,Capital stock,10369149.74214649
01_AUS,Australia,2048,Capital stock,10499971.874918178
01_AUS,Australia,2049,Capital stock,10631848.044688726
01_AUS,Australia,2050,Capital stock,10764915.865432136
01_AUS,Australia,2051,Capital stock,10899048.494034994
01_AUS,Australia,2052,Capital stock,11034251.133021519
01_AUS,Australia,2053,Capital stock,11170503.159269406
01_AUS,Australia,2054,Capital stock,11307743.752855673
01_AUS,Australia,2055,Capital stock,11445970.97262092
01_AUS,Australia,2056,Capital stock,11585212.32976193
01_AUS,Australia,2057,Capital stock,11725467.897455432
01_AUS,Australia,2058,Capital stock,11866655.499017777
