economy_code,economy,year,variable,value
03_CDA,Canada,1990,Population,27593.691
03_CDA,Canada,1991,Population,27985.194
03_CDA,Canada,1992,Population,28329.121
03_CDA,Canada,1993,Population,28670.998
03_CDA,Canada,1994,Population,28990.276
03_CDA,Canada,1995,Population,29304.487
03_CDA,Canada,1996,Population,29613.776
03_CDA,Canada,1997,Population,29920.635
03_CDA,Canada,1998,Population,30197.543
03_CDA,Canada,1999,Population,30462.396
03_CDA,Canada,2000,Population,30736.515
03_CDA,Canada,2001,Population,31047.091
03_CDA,Canada,2002,Population,31380.063
03_CDA,Canada,2003,Population,31691.092
03_CDA,Canada,2004,Population,31981.872
03_CDA,Canada,2005,Population,32283.483
03_CDA,Canada,2006,Population,32596.863
03_CDA,Canada,2007,Population,32921.479
03_CDA,Canada,2008,Population,33262.864
03_CDA,Canada,2009,Population,33635.306
03_CDA,Canada,2010,Population,34017.435
03_CDA,Canada,2011,Population,34376.362
03_CDA,Canada,2012,Population,34734.543
03_CDA,Canada,2013,Population,35110.489
03_CDA,Canada,2014,Population,35476.376
03_CDA,Canada,2015,Population,35792.151
03_CDA,Canada,2016,Population,36132.317
03_CDA,Canada,2017,Population,36574.369
03_CDA,Canada,2018,Population,37042.624
03_CDA,Canada,2019,Population,37547.386
03_CDA,Canada,2020,Population,38018.483
03_CDA,Canada,2021,Population,38325.321
03_CDA,Canada,2022,Population,38582.793
03_CDA,Canada,2023,Population,39059.725
03_CDA,Canada,2024,Population,39538.484
03_CDA,Canada,2025,Population,39879.397
03_CDA,Canada,2026,Population,40172.613
03_CDA,Canada,2027,Population,40426.085
03_CDA,Canada,2028,Population,40665.711
03_CDA,Canada,2029,Population,40896.31
03_CDA,Canada,2030,Population,41069.64
03_CDA,Canada,2031,Population,41236.01
03_CDA,Canada,2032,Population,41396.736
03_CDA,Canada,2033,Population,41543.345
03_CDA,Canada,2034,Population,41670.313
03_CDA,Canada,2035,Population,41773.987
03_CDA,Canada,2036,Population,41854.313
03_CDA,Canada,2037,Population,41938.761
03_CDA,Canada,2038,Population,42017.786
03_CDA,Canada,2039,Population,42090.838
03_CDA,Canada,2040,Population,42150.573
03_CDA,Canada,2041,Population,42200.76
03_CDA,Canada,2042,Population,42249.271
03_CDA,Canada,2043,Population,42294.462
03_CDA,Canada,2044,Population,42333.061
03_CDA,Canada,2045,Population,42368.924
03_CDA,Canada,2046,Population,42406.358
03_CDA,Canada,2047,Population,42426.343
03_CDA,Canada,2048,Population,42443.152
03_CDA,Canada,2049,Population,42460.183
03_CDA,Canada,2050,Population,42459.628
03_CDA,Canada,2051,Population,42469.21
03_CDA,Canada,2052,Population,42475.39
03_CDA,Canada,2053,Population,42485.304
03_CDA,Canada,2054,Population,42480.239
03_CDA,Canada,2055,Population,42473.264
03_CDA,Canada,2056,Population,42465.575
03_CDA,Canada,2057,Population,42458.442
03_CDA,Canada,2058,Population,42452.83
03_CDA,Canada,2059,Population,42455.808
03_CDA,Canada,2060,Population,42453.567
03_CDA,Canada,2061,Population,42443.146
03_CDA,Canada,2062,Population,42436.29
03_CDA,Canada,2063,Population,42433.257
03_CDA,Canada,2064,Population,42424.984
03_CDA,Canada,2065,Population,42411.797
03_CDA,Canada,2066,Population,42395.277
03_CDA,Canada,2067,Population,42376.781
03_CDA,Canada,2068,Population,42364.651
03_CDA,Canada,2069,Population,42336.863
03_CDA,Canada,2070,Population,42306.513
03_CDA,Canada,2071,Population,42272.288
03_CDA,Canada,2072,Population,42238.291
03_CDA,Canada,2073,Population,42199.996
03_CDA,Canada,2074,Population,42152.875
03_CDA,Canada,2075,Population,42106.11
03_CDA,Canada,2076,Population,42065.603
03_CDA,Canada,2077,Population,42027.233
03_CDA,Canada,2078,Population,41972.421
03_CDA,Canada,2079,Population,41928.164
03_CDA,Canada,2080,Population,41873.688
03_CDA,Canada,2081,Population,41818.026
03_CDA,Canada,2082,Population,41771.59
03_CDA,Canada,2083,Population,41706.357
03_CDA,Canada,2084,Population,41653.471
03_CDA,Canada,2085,Population,41591.489
03_CDA,Canada,2086,Population,41522.239
03_CDA,Canada,2087,Population,41455.137
03_CDA,Canada,2088,Population,41380.415
03_CDA,Canada,2089,Population,41333.834
03_CDA,Canada,2090,Population,41257.448
03_CDA,Canada,2091,Population,41175.042
03_CDA,Canada,2092,Population,41110.179
03_CDA,Canada,2093,Population,41036.097
03_CDA,Canada,2094,Population,40968.745
03_CDA,Canada,2095,Population,40898.755
03_CDA,Canada,2096,Population,40831.197
03_CDA,Canada,2097,Population,40765.402
03_CDA,Canada,2098,Population,40718.306
03_CDA,Canada,2099,Population,40665.131
03_CDA,Canada,2100,Population,40604.295
03_CDA,Canada,1990,Labour efficiency,16.162924091620617
03_CDA,Canada,1991,Labour efficiency,15.088975388181655
03_CDA,Canada,1992,Labour efficiency,14.875241726627804
03_CDA,Canada,1993,Labour efficiency,15.12083300258307
03_CDA,Canada,1994,Labour efficiency,15.818154275728336
03_CDA,Canada,1995,Labour efficiency,16.110327696605335
03_CDA,Canada,1996,Labour efficiency,16.131861713402238
03_CDA,Canada,1997,Labour efficiency,16.788883694132334
03_CDA,Canada,1998,Labour efficiency,17.390317245508072
03_CDA,Canada,1999,Labour efficiency,18.38573734995643
03_CDA,Canada,2000,Labour efficiency,19.43428351461086
03_CDA,Canada,2001,Labour efficiency,19.456642665646847
03_CDA,Canada,2002,Labour efficiency,19.846906070734672
03_CDA,Canada,2003,Labour efficiency,19.85247521607421
03_CDA,Canada,2004,Labour efficiency,20.25055399014253
03_CDA,Canada,2005,Labour efficiency,20.64619619484011
03_CDA,Canada,2006,Labour efficiency,20.83427736446425
03_CDA,Canada,2007,Labour efficiency,20.83491967831812
03_CDA,Canada,2008,Labour efficiency,20.49384285838229
03_CDA,Canada,2009,Labour efficiency,18.981210237500196
03_CDA,Canada,2010,Labour efficiency,19.358390176348863
03_CDA,Canada,2011,Labour efficiency,19.75880248555158
03_CDA,Canada,2012,Labour efficiency,19.70443769382827
03_CDA,Canada,2013,Labour efficiency,19.840001621598223
03_CDA,Canada,2014,Labour efficiency,20.165071135674314
03_CDA,Canada,2015,Labour efficiency,19.85466982898912
03_CDA,Canada,2016,Labour efficiency,19.714813529262603
03_CDA,Canada,2017,Labour efficiency,20.157279708200427
03_CDA,Canada,2018,Labour efficiency,20.49636488237586
03_CDA,Canada,2019,Labour efficiency,20.551943173772575
03_CDA,Canada,2020,Labour efficiency,18.37598764893015
03_CDA,Canada,2021,Labour efficiency,19.669915424146293
03_CDA,Canada,2022,Labour efficiency,20.671515191955127
03_CDA,Canada,2023,Labour efficiency,20.724684651577938
03_CDA,Canada,2024,Labour efficiency,20.892683108366718
03_CDA,Canada,2025,Labour efficiency,21.075061163125106
03_CDA,Canada,2026,Labour efficiency,21.264313224529072
03_CDA,Canada,2027,Labour efficiency,21.48933848711947
03_CDA,Canada,2028,Labour efficiency,21.691256444533142
03_CDA,Canada,2029,Labour efficiency,21.878964215015667
03_CDA,Canada,2030,Labour efficiency,22.081296811166844
