economy_code,economy,year,variable,value
06_HKC,"Hong Kong, China",1990,Population,5552.387
06_HKC,"Hong Kong, China",1991,Population,5568.807
06_HKC,"Hong Kong, China",1992,Population,5687.381
06_HKC,"Hong Kong, China",1993,Population,5831.732
06_HKC,"Hong Kong, China",1994,Population,5973.294
06_HKC,"Hong Kong, China",1995,Population,6111.229
06_HKC,"Hong Kong, China",1996,Population,6242.978
06_HKC,"Hong Kong, China",1997,Population,6361.95
06_HKC,"Hong Kong, China",1998,Population,6471.397
06_HKC,"Hong Kong, China",1999,Population,6571.272
06_HKC,"Hong Kong, China",2000,Population,6661.777
06_HKC,"Hong Kong, China",2001,Population,6747.551
06_HKC,"Hong Kong, China",2002,Population,6800.926
06_HKC,"Hong Kong, China",2003,Population,6841.891
06_HKC,"Hong Kong, China",2004,Population,6875.922
06_HKC,"Hong Kong, China",2005,Population,6900.405
06_HKC,"Hong Kong, China",2006,Population,6916.567
06_HKC,"Hong Kong, China",2007,Population,6945.613
06_HKC,"Hong Kong, China",2008,Population,6997.077
06_HKC,"Hong Kong, China",2009,Population,7044.3
06_HKC,"Hong Kong, China",2010,Population,7084.633
06_HKC,"Hong Kong, China",2011,Population,7118.601
06_HKC,"Hong Kong, China",2012,Population,7167.338
06_HKC,"Hong Kong, China",2013,Population,7234.784
06_HKC,"Hong Kong, China",2014,Population,7293.886
06_HKC,"Hong Kong, China",2015,Population,7345.115
06_HKC,"Hong Kong, China",2016,Population,7387.704
06_HKC,"Hong Kong, China",2017,Population,7428.315
06_HKC,"Hong Kong, China",2018,Population,7461.468
06_HKC,"Hong Kong, China",2019,Population,7480.919
06_HKC,"Hong Kong, China",2020,Population,7490.707
06_HKC,"Hong Kong, China",2021,Population,7489.764
06_HKC,"Hong Kong, China",2022,Population,7479.439
06_HKC,"Hong Kong, China",2023,Population,7452.391
06_HKC,"Hong Kong, China",2024,Population,7433.078
06_HKC,"Hong Kong, China",2025,Population,7382.918
06_HKC,"Hong Kong, China",2026,Population,7368.356
06_HKC,"Hong Kong, China",2027,Population,7321.993
06_HKC,"Hong Kong, China",2028,Population,7296.356
06_HKC,"Hong Kong, China",2029,Population,7238.004
06_HKC,"Hong Kong, China",2030,Population,7190.751
06_HKC,"Hong Kong, China",2031,Population,7136.113
06_HKC,"Hong Kong, China",2032,Population,7076.904
06_HKC,"Hong Kong, China",2033,Population,7026.922
06_HKC,"Hong Kong, China",2034,Population,6974.354
06_HKC,"Hong Kong, China",2035,Population,6926.799
06_HKC,"Hong Kong, China",2036,Population,6845.917
06_HKC,"Hong Kong, China",2037,Population,6779.519
06_HKC,"Hong Kong, China",2038,Population,6737.443
06_HKC,"Hong Kong, China",2039,Population,6660.184
06_HKC,"Hong Kong, China",2040,Population,6618.408
06_HKC,"Hong Kong, China",2041,Population,6544.227
06_HKC,"Hong Kong, China",2042,Population,6468.712
06_HKC,"Hong Kong, China",2043,Population,6382.869
06_HKC,"Hong Kong, China",2044,Population,6314.592
06_HKC,"Hong Kong, China",2045,Population,6240.117
06_HKC,"Hong Kong, China",2046,Population,6158.606
06_HKC,"Hong Kong, China",2047,Population,6073.713
06_HKC,"Hong Kong, China",2048,Population,5963.695
06_HKC,"Hong Kong, China",2049,Population,5876.129
06_HKC,"Hong Kong, China",2050,Population,5777.639
06_HKC,"Hong Kong, China",2051,Population,5686.019
06_HKC,"Hong Kong, China",2052,Population,5585.065
06_HKC,"Hong Kong, China",2053,Population,5488.01
06_HKC,"Hong Kong, China",2054,Population,5393.833
06_HKC,"Hong Kong, China",2055,Population,5299.114
06_HKC,"Hong Kong, China",2056,Population,5200.149
06_HKC,"Hong Kong, China",2057,Population,5098.251
06_HKC,"Hong Kong, China",2058,Population,4994.906
06_HKC,"Hong Kong, China",2059,Population,4890.127
06_HKC,"Hong Kong, China",2060,Population,4790.511
06_HKC,"Hong Kong, China",2061,Population,4690.769
06_HKC,"Hong Kong, China",2062,Population,4588.399
06_HKC,"Hong Kong, China",2063,Population,4498.829
06_HKC,"Hong Kong, China",2064,Population,4410.045
06_HKC,"Hong Kong, China",2065,Population,4311.326
06_HKC,"Hong Kong, China",2066,Population,4211.541
06_HKC,"Hong Kong, China",2067,Population,4114.331
06_HKC,"Hong Kong, China",2068,Population,4013.039
06_HKC,"Hong Kong, China",2069,Population,3915.271
06_HKC,"Hong Kong, China",2070,Population,3822.391
06_HKC,"Hong Kong, China",2071,Population,3723.977
06_HKC,"Hong Kong, China",2072,Population,3629.453
06_HKC,"Hong Kong, China",2073,Population,3531.202
06_HKC,"Hong Kong, China",2074,Population,3432.4
06_HKC,"Hong Kong, China",2075,Population,3335.764
06_HKC,"Hong Kong, China",2076,Population,3239.006
06_HKC,"Hong Kong, China",2077,Population,3143.822
06_HKC,"Hong Kong, China",2078,Population,3040.361
06_HKC,"Hong Kong, China",2079,Population,2953.013
06_HKC,"Hong Kong, China",2080,Population,2860.636
06_HKC,"Hong Kong, China",2081,Population,2770.122
06_HKC,"Hong Kong, China",2082,Population,2686.53
06_HKC,"Hong Kong, China",2083,Population,2603.594
06_HKC,"Hong Kong, China",2084,Population,2516.609
