economy_code,economy,year,variable,value
08_JPN,Japan,1990,Population,123164.512
08_JPN,Japan,1991,Population,123635.017
08_JPN,Japan,1992,Population,124144.724
08_JPN,Japan,1993,Population,124622.691
08_JPN,Japan,1994,Population,125057.225
08_JPN,Japan,1995,Population,125516.496
08_JPN,Japan,1996,Population,125828.834
08_JPN,Japan,1997,Population,126121.77
08_JPN,Japan,1998,Population,126410.088
08_JPN,Japan,1999,Population,126688.274
08_JPN,Japan,2000,Population,126914.854
08_JPN,Japan,2001,Population,127140.724
08_JPN,Japan,2002,Population,127379.572
08_JPN,Japan,2003,Population,127589.624
08_JPN,Japan,2004,Population,127752.879
08_JPN,Japan,2005,Population,127878.669
08_JPN,Japan,2006,Population,127947.992
08_JPN,Japan,2007,Population,128046.503
08_JPN,Japan,2008,Population,128128.861
08_JPN,Japan,2009,Population,128183.119
08_JPN,Japan,2010,Population,128201.82
08_JPN,Japan,2011,Population,128168.73
08_JPN,Japan,2012,Population,128024.135
08_JPN,Japan,2013,Population,127832.435
08_JPN,Japan,2014,Population,127614.856
08_JPN,Japan,2015,Population,127358.353
08_JPN,Japan,2016,Population,127193.392
08_JPN,Japan,2017,Population,127126.51
08_JPN,Japan,2018,Population,127002.87
08_JPN,Japan,2019,Population,126823.995
08_JPN,Japan,2020,Population,126574.852
08_JPN,Japan,2021,Population,126034.234
08_JPN,Japan,2022,Population,125324.442
08_JPN,Japan,2023,Population,124670.714
08_JPN,Japan,2024,Population,124071.179
08_JPN,Japan,2025,Population,123280.884
08_JPN,Japan,2026,Population,122465.539
08_JPN,Japan,2027,Population,121625.626
08_JPN,Japan,2028,Population,120773.229
08_JPN,Japan,2029,Population,119909.88
08_JPN,Japan,2030,Population,118952.837
08_JPN,Japan,2031,Population,117985.739
08_JPN,Japan,2032,Population,117013.409
08_JPN,Japan,2033,Population,116034.844
08_JPN,Japan,2034,Population,115054.961
08_JPN,Japan,2035,Population,114007.831
08_JPN,Japan,2036,Population,112957.357
08_JPN,Japan,2037,Population,111909.164
08_JPN,Japan,2038,Population,110862.385
08_JPN,Japan,2039,Population,109821.879
08_JPN,Japan,2040,Population,108783.659
08_JPN,Japan,2041,Population,107748.355
08_JPN,Japan,2042,Population,106710.862
08_JPN,Japan,2043,Population,105687.779
08_JPN,Japan,2044,Population,104671.873
08_JPN,Japan,2045,Population,103665.087
08_JPN,Japan,2046,Population,102662.551
08_JPN,Japan,2047,Population,101671.343
08_JPN,Japan,2048,Population,100690.28
08_JPN,Japan,2049,Population,99721.228
08_JPN,Japan,2050,Population,98756.739
08_JPN,Japan,2051,Population,97799.297
08_JPN,Japan,2052,Population,96844.103
08_JPN,Japan,2053,Population,95881.705
08_JPN,Japan,2054,Population,94921.724
08_JPN,Japan,2055,Population,93942.975
08_JPN,Japan,2056,Population,92962.683
08_JPN,Japan,2057,Population,91963.89
08_JPN,Japan,2058,Population,90955.779
08_JPN,Japan,2059,Population,89935.849
08_JPN,Japan,2060,Population,88892.976
08_JPN,Japan,2061,Population,87841.766
08_JPN,Japan,2062,Population,86781.084
08_JPN,Japan,2063,Population,85711.425
08_JPN,Japan,2064,Population,84634.458
08_JPN,Japan,2065,Population,83550.628
08_JPN,Japan,2066,Population,82455.103
08_JPN,Japan,2067,Population,81363.054
08_JPN,Japan,2068,Population,80276.611
08_JPN,Japan,2069,Population,79188.661
08_JPN,Japan,2070,Population,78113.235
08_JPN,Japan,2071,Population,77046.024
08_JPN,Japan,2072,Population,76005.806
08_JPN,Japan,2073,Population,74984.271
08_JPN,Japan,2074,Population,73981.353
08_JPN,Japan,2075,Population,73009.183
08_JPN,Japan,2076,Population,72064.37
08_JPN,Japan,2077,Population,71145.652
08_JPN,Japan,2078,Population,70249.986
08_JPN,Japan,2079,Population,69380.724
08_JPN,Japan,2080,Population,68536.023
08_JPN,Japan,2081,Population,67709.99
08_JPN,Japan,2082,Population,66907.333
08_JPN,Japan,2083,Population,66118.997
08_JPN,Japan,2084,Population,65348.037
08_JPN,Japan,2085,Population,64586.851
08_JPN,Japan,2086,Population,63836.068
08_JPN,Japan,2087,Population,63096.187
08_JPN,Japan,2088,Population,62367.855
08_JPN,Japan,2089,Population,61646.729
08_JPN,Japan,2090,Population,60928.43
08_JPN,Japan,2091,Population,60213.865
