economy_code,economy,year,variable,value
10_MAS,Malaysia,1990,Population,17573.4
10_MAS,Malaysia,1991,Population,18092.942
10_MAS,Malaysia,1992,Population,18591.985
10_MAS,Malaysia,1993,Population,19077.16
10_MAS,Malaysia,1994,Population,19568.169
10_MAS,Malaysia,1995,Population,20072.723
10_MAS,Malaysia,1996,Population,20588.474
10_MAS,Malaysia,1997,Population,21111.7
10_MAS,Malaysia,1998,Population,21638.737
10_MAS,Malaysia,1999,Population,22174.688
10_MAS,Malaysia,2000,Population,22696.373
10_MAS,Malaysia,2001,Population,23239.259
10_MAS,Malaysia,2002,Population,23813.818
10_MAS,Malaysia,2003,Population,24391.135
10_MAS,Malaysia,2004,Population,24968.069
10_MAS,Malaysia,2005,Population,25545.476
10_MAS,Malaysia,2006,Population,26126.667
10_MAS,Malaysia,2007,Population,26709.151
10_MAS,Malaysia,2008,Population,27287.626
10_MAS,Malaysia,2009,Population,27852.492
10_MAS,Malaysia,2010,Population,28397.063
10_MAS,Malaysia,2011,Population,28914.49
10_MAS,Malaysia,2012,Population,29409.588
10_MAS,Malaysia,2013,Population,29916.074
10_MAS,Malaysia,2014,Population,30432.455
10_MAS,Malaysia,2015,Population,30959.818
10_MAS,Malaysia,2016,Population,31505.777
10_MAS,Malaysia,2017,Population,32073.594
10_MAS,Malaysia,2018,Population,32637.695
10_MAS,Malaysia,2019,Population,33184.239
10_MAS,Malaysia,2020,Population,33696.952
10_MAS,Malaysia,2021,Population,34082.165
10_MAS,Malaysia,2022,Population,34482.632
10_MAS,Malaysia,2023,Population,34908.354
10_MAS,Malaysia,2024,Population,35344.242
10_MAS,Malaysia,2025,Population,35700.197
10_MAS,Malaysia,2026,Population,36042.176
10_MAS,Malaysia,2027,Population,36371.186
10_MAS,Malaysia,2028,Population,36697.407
10_MAS,Malaysia,2029,Population,37020.739
10_MAS,Malaysia,2030,Population,37289.305
10_MAS,Malaysia,2031,Population,37559.004
10_MAS,Malaysia,2032,Population,37823.523
10_MAS,Malaysia,2033,Population,38081.052
10_MAS,Malaysia,2034,Population,38322.272
10_MAS,Malaysia,2035,Population,38529.606
10_MAS,Malaysia,2036,Population,38733.727
10_MAS,Malaysia,2037,Population,38930.31
10_MAS,Malaysia,2038,Population,39120.095
10_MAS,Malaysia,2039,Population,39307.004
10_MAS,Malaysia,2040,Population,39478.907
10_MAS,Malaysia,2041,Population,39647.37
10_MAS,Malaysia,2042,Population,39809.167
10_MAS,Malaysia,2043,Population,39971.461
10_MAS,Malaysia,2044,Population,40125.047
10_MAS,Malaysia,2045,Population,40261.908
10_MAS,Malaysia,2046,Population,40388.943
10_MAS,Malaysia,2047,Population,40510.532
10_MAS,Malaysia,2048,Population,40621.301
10_MAS,Malaysia,2049,Population,40712.406
10_MAS,Malaysia,2050,Population,40788.784
10_MAS,Malaysia,2051,Population,40859.513
10_MAS,Malaysia,2052,Population,40911.207
10_MAS,Malaysia,2053,Population,40951.29
10_MAS,Malaysia,2054,Population,40978.16
10_MAS,Malaysia,2055,Population,40984.814
10_MAS,Malaysia,2056,Population,40970.391
10_MAS,Malaysia,2057,Population,40946.545
10_MAS,Malaysia,2058,Population,40908.816
10_MAS,Malaysia,2059,Population,40858.675
10_MAS,Malaysia,2060,Population,40800.584
10_MAS,Malaysia,2061,Population,40723.637
10_MAS,Malaysia,2062,Population,40634.515
10_MAS,Malaysia,2063,Population,40526.01
10_MAS,Malaysia,2064,Population,40401.945
10_MAS,Malaysia,2065,Population,40272.206
10_MAS,Malaysia,2066,Population,40123.489
10_MAS,Malaysia,2067,Population,39962.585
10_MAS,Malaysia,2068,Population,39791.299
10_MAS,Malaysia,2069,Population,39610.583
10_MAS,Malaysia,2070,Population,39427.694
10_MAS,Malaysia,2071,Population,39236.071
10_MAS,Malaysia,2072,Population,39038.805
10_MAS,Malaysia,2073,Population,38831.652
10_MAS,Malaysia,2074,Population,38611.573
10_MAS,Malaysia,2075,Population,38388.689
10_MAS,Malaysia,2076,Population,38157.136
10_MAS,Malaysia,2077,Population,37925.312
10_MAS,Malaysia,2078,Population,37673.9
10_MAS,Malaysia,2079,Population,37415.036
10_MAS,Malaysia,2080,Population,37149.326
10_MAS,Malaysia,2081,Population,36868.952
10_MAS,Malaysia,2082,Population,36590.274
10_MAS,Malaysia,2083,Population,36304.354
10_MAS,Malaysia,2084,Population,36010.847
10_MAS,Malaysia,2085,Population,35717.737
10_MAS,Malaysia,2086,Population,35421.466
10_MAS,Malaysia,2087,Population,35115.687
10_MAS,Malaysia,2088,Population,34808.271
10_MAS,Malaysia,2089,Population,34497.84
10_MAS,Malaysia,2090,Population,34186.236
10_MAS,Malaysia,2091,Population,33871.329
10_MAS,Malaysia,2092,Population,33556.017
10_MAS,Malaysia,2093,Population,33237.891
10_MAS,Malaysia,2094,Population,32914.928
10_MAS,Malaysia,2095,Population,32593.89
10_MAS,Malaysia,2096,Population,32269.733
10_MAS,Malaysia,2097,Population,31943.902
10_MAS,Malaysia,2098,Population,31620.781
10_MAS,Malaysia,2099,Population,31301.029
10_MAS,Malaysia,2100,Population,30979.968
10_MAS,Malaysia,1990,Labour efficiency,5.691918912340883
10_MAS,Malaysia,1991,Labour efficiency,6.009409951391662
10_MAS,Malaysia,1992,Labour efficiency,6.2982570158947855
10_MAS,Malaysia,1993,Labour efficiency,6.673764044202932
10_MAS,Malaysia,1994,Labour efficiency,6.977686517658419
10_MAS,Malaysia,1995,Labour efficiency,7.291699559441603
10_MAS,Malaysia,1996,Labour efficiency,7.686440226413542
10_MAS,Malaysia,1997,Labour efficiency,7.806931873421512
10_MAS,Malaysia,1998,Labour efficiency,6.575577387016245
10_MAS,Malaysia,1999,Labour efficiency,6.979883715275163
10_MAS,Malaysia,2000,Labour efficiency,7.62281304069453
10_MAS,Malaysia,2001,Labour efficiency,7.30822315493223
10_MAS,Malaysia,2002,Labour efficiency,7.588281193710132
10_MAS,Malaysia,2003,Labour efficiency,7.928687406909887
10_MAS,Malaysia,2004,Labour efficiency,8.41936461940784
10_MAS,Malaysia,2005,Labour efficiency,8.722369071929952
10_MAS,Malaysia,2006,Labour efficiency,9.073636035256406
10_MAS,Malaysia,2007,Labour efficiency,9.515976384250925
10_MAS,Malaysia,2008,Labour efficiency,9.777327123994423
10_MAS,Malaysia,2009,Labour efficiency,9.092948844855929
10_MAS,Malaysia,2010,Labour efficiency,9.73823161907694
10_MAS,Malaysia,2011,Labour efficiency,10.093024056593315
10_MAS,Malaysia,2012,Labour efficiency,10.405947746574029
10_MAS,Malaysia,2013,Labour efficiency,10.581883272615682
10_MAS,Malaysia,2014,Labour efficiency,10.997455608940605
10_MAS,Malaysia,2015,Labour efficiency,11.280072807247562
10_MAS,Malaysia,2016,Labour efficiency,11.469961793396697
10_MAS,Malaysia,2017,Labour efficiency,11.907434680003785
10_MAS,Malaysia,2018,Labour efficiency,12.210300239414602
10_MAS,Malaysia,2019,Labour efficiency,12.499842673885603
10_MAS,Malaysia,2020,Labour efficiency,10.988028307203823
10_MAS,Malaysia,2021,Labour efficiency,11.272145854531669
10_MAS,Malaysia,2022,Labour efficiency,12.601088303899664
10_MAS,Malaysia,2023,Labour efficiency,12.949847698500122
10_MAS,Malaysia,2024,Labour efficiency,13.443137293698515
