economy_code,economy,year,variable,value
13_PNG,Papua New Guinea,1990,Population,3840.265
13_PNG,Papua New Guinea,1991,Population,3952.696
13_PNG,Papua New Guinea,1992,Population,4090.978
13_PNG,Papua New Guinea,1993,Population,4242.421
13_PNG,Papua New Guinea,1994,Population,4399.322
13_PNG,Papua New Guinea,1995,Population,4561.095
13_PNG,Papua New Guinea,1996,Population,4727.461
13_PNG,Papua New Guinea,1997,Population,4899.262
13_PNG,Papua New Guinea,1998,Population,5076.505
13_PNG,Papua New Guinea,1999,Population,5256.274
13_PNG,Papua New Guinea,2000,Population,5442.391
13_PNG,Papua New Guinea,2001,Population,5631.736
13_PNG,Papua New Guinea,2002,Population,5825.135
13_PNG,Papua New Guinea,2003,Population,6022.872
13_PNG,Papua New Guinea,2004,Population,6225.122
13_PNG,Papua New Guinea,2005,Population,6430.96
13_PNG,Papua New Guinea,2006,Population,6640.85
13_PNG,Papua New Guinea,2007,Population,6854.59
13_PNG,Papua New Guinea,2008,Population,7072.099
13_PNG,Papua New Guinea,2009,Population,7293.904
13_PNG,Papua New Guinea,2010,Population,7518.972
13_PNG,Papua New Guinea,2011,Population,7748.074
13_PNG,Papua New Guinea,2012,Population,7970.618
13_PNG,Papua New Guinea,2013,Population,8192.162
13_PNG,Papua New Guinea,2014,Population,8413.233
13_PNG,Papua New Guinea,2015,Population,8633.649
13_PNG,Papua New Guinea,2016,Population,8852.843
13_PNG,Papua New Guinea,2017,Population,9070.592
13_PNG,Papua New Guinea,2018,Population,9286.836
13_PNG,Papua New Guinea,2019,Population,9502.191
13_PNG,Papua New Guinea,2020,Population,9715.829
13_PNG,Papua New Guinea,2021,Population,9915.662
13_PNG,Papua New Guinea,2022,Population,10110.13
13_PNG,Papua New Guinea,2023,Population,10296.209
13_PNG,Papua New Guinea,2024,Population,10483.061
13_PNG,Papua New Guinea,2025,Population,10649.594
13_PNG,Papua New Guinea,2026,Population,10814.807
13_PNG,Papua New Guinea,2027,Population,10978.311
13_PNG,Papua New Guinea,2028,Population,11139.762
13_PNG,Papua New Guinea,2029,Population,11299.1
13_PNG,Papua New Guinea,2030,Population,11443.4
13_PNG,Papua New Guinea,2031,Population,11586.302
13_PNG,Papua New Guinea,2032,Population,11726.064
13_PNG,Papua New Guinea,2033,Population,11864.221
13_PNG,Papua New Guinea,2034,Population,12000.233
13_PNG,Papua New Guinea,2035,Population,12126.184
13_PNG,Papua New Guinea,2036,Population,12249.179
13_PNG,Papua New Guinea,2037,Population,12371.393
13_PNG,Papua New Guinea,2038,Population,12491.084
13_PNG,Papua New Guinea,2039,Population,12608.676
13_PNG,Papua New Guinea,2040,Population,12723.399
13_PNG,Papua New Guinea,2041,Population,12835.51
13_PNG,Papua New Guinea,2042,Population,12944.169
13_PNG,Papua New Guinea,2043,Population,13049.713
13_PNG,Papua New Guinea,2044,Population,13153.413
13_PNG,Papua New Guinea,2045,Population,13255.204
13_PNG,Papua New Guinea,2046,Population,13354.678
13_PNG,Papua New Guinea,2047,Population,13449.026
13_PNG,Papua New Guinea,2048,Population,13539.568
13_PNG,Papua New Guinea,2049,Population,13626.348
13_PNG,Papua New Guinea,2050,Population,13709.69
13_PNG,Papua New Guinea,2051,Population,13786.466
13_PNG,Papua New Guinea,2052,Population,13859.885
13_PNG,Papua New Guinea,2053,Population,13929.611
13_PNG,Papua New Guinea,2054,Population,13992.807
13_PNG,Papua New Guinea,2055,Population,14053.539
13_PNG,Papua New Guinea,2056,Population,14106.923
13_PNG,Papua New Guinea,2057,Population,14155.53
13_PNG,Papua New Guinea,2058,Population,14200.13
13_PNG,Papua New Guinea,2059,Population,14239.744
13_PNG,Papua New Guinea,2060,Population,14275.482
13_PNG,Papua New Guinea,2061,Population,14307.899
13_PNG,Papua New Guinea,2062,Population,14332.653
13_PNG,Papua New Guinea,2063,Population,14352.395
13_PNG,Papua New Guinea,2064,Population,14367.985
13_PNG,Papua New Guinea,2065,Population,14381.965
13_PNG,Papua New Guinea,2066,Population,14392.799
13_PNG,Papua New Guinea,2067,Population,14399.524
13_PNG,Papua New Guinea,2068,Population,14402.519
13_PNG,Papua New Guinea,2069,Population,14400.695
13_PNG,Papua New Guinea,2070,Population,14394.087
13_PNG,Papua New Guinea,2071,Population,14383.431
13_PNG,Papua New Guinea,2072,Population,14370.437
13_PNG,Papua New Guinea,2073,Population,14353.033
13_PNG,Papua New Guinea,2074,Population,14330.386
13_PNG,Papua New Guinea,2075,Population,14304.447
13_PNG,Papua New Guinea,2076,Population,14275.804
13_PNG,Papua New Guinea,2077,Population,14243.032
13_PNG,Papua New Guinea,2078,Population,14208.428
13_PNG,Papua New Guinea,2079,Population,14172.334
13_PNG,Papua New Guinea,2080,Population,14131.71
13_PNG,Papua New Guinea,2081,Population,14092.523
13_PNG,Papua New Guinea,2082,Population,14046.334
13_PNG,Papua New Guinea,2083,Population,13996.136
13_PNG,Papua New Guinea,2084,Population,13945.498
13_PNG,Papua New Guinea,2085,Population,13889.859
13_PNG,Papua New Guinea,2086,Population,13832.85
13_PNG,Papua New Guinea,2087,Population,13773.27
13_PNG,Papua New Guinea,2088,Population,13709.435
13_PNG,Papua New Guinea,2089,Population,13642.452
13_PNG,Papua New Guinea,2090,Population,13572.753
13_PNG,Papua New Guinea,2091,Population,13504.376
13_PNG,Papua New Guinea,2092,Population,13431.288
13_PNG,Papua New Guinea,2093,Population,13354.833
13_PNG,Papua New Guinea,2094,Population,13275.063
13_PNG,Papua New Guinea,2095,Population,13193.425
13_PNG,Papua New Guinea,2096,Population,13108.578
13_PNG,Papua New Guinea,2097,Population,13021.765
13_PNG,Papua New Guinea,2098,Population,12931.745
13_PNG,Papua New Guinea,2099,Population,12838.736
13_PNG,Papua New Guinea,2100,Population,12744.779
13_PNG,Papua New Guinea,1990,Labour efficiency,2.0227269267925605
13_PNG,Papua New Guinea,1991,Labour efficiency,2.152807109474712
13_PNG,Papua New Guinea,1992,Labour efficiency,2.3681048911336453
13_PNG,Papua New Guinea,1993,Labour efficiency,2.6992318544989073
13_PNG,Papua New Guinea,1994,Labour efficiency,2.757635227687717
13_PNG,Papua New Guinea,1995,Labour efficiency,2.5717219522554617
13_PNG,Papua New Guinea,1996,Labour efficiency,2.6731094042032613
13_PNG,Papua New Guinea,1997,Labour efficiency,2.4786635084020054
13_PNG,Papua New Guinea,1998,Labour efficiency,2.301960714690604
13_PNG,Papua New Guinea,1999,Labour efficiency,2.264484983451156
13_PNG,Papua New Guinea,2000,Labour efficiency,2.1324815964647876
13_PNG,Papua New Guinea,2001,Labour efficiency,2.0582857820253753
13_PNG,Papua New Guinea,2002,Labour efficiency,1.986787057922506
13_PNG,Papua New Guinea,2003,Labour efficiency,1.9631433251040153
13_PNG,Papua New Guinea,2004,Labour efficiency,1.9510471087635826
13_PNG,Papua New Guinea,2005,Labour efficiency,2.008427025993122
13_PNG,Papua New Guinea,2006,Labour efficiency,2.050169542457542
13_PNG,Papua New Guinea,2007,Labour efficiency,2.141469604336432
13_PNG,Papua New Guinea,2008,Labour efficiency,2.0694534106362297
13_PNG,Papua New Guinea,2009,Labour efficiency,2.1429740342753614
13_PNG,Papua New Guinea,2010,Labour efficiency,2.2893807519097704
13_PNG,Papua New Guinea,2011,Labour efficiency,2.24629243375624
13_PNG,Papua New Guinea,2012,Labour efficiency,2.285266410767473
13_PNG,Papua New Guinea,2013,Labour efficiency,2.3085113564491593
13_PNG,Papua New Guinea,2014,Labour efficiency,2.552295430967075
13_PNG,Papua New Guinea,2015,Labour efficiency,2.650748286415565
13_PNG,Papua New Guinea,2016,Labour efficiency,2.727028335262751
13_PNG,Papua New Guinea,2017,Labour efficiency,2.7556390824297607
13_PNG,Papua New Guinea,2018,Labour efficiency,2.683958016652987
13_PNG,Papua New Guinea,2019,Labour efficiency,2.740659243932614
13_PNG,Papua New Guinea,2020,Labour efficiency,2.595496120060385
13_PNG,Papua New Guinea,2021,Labour efficiency,2.5302025489689806
13_PNG,Papua New Guinea,2022,Labour efficiency,2.623155834551764
13_PNG,Papua New Guinea,2023,Labour efficiency,2.6738966080528432
13_PNG,Papua New Guinea,2024,Labour efficiency,2.7283434355636857
13_PNG,Papua New Guinea,2025,Labour efficiency,2.837095417733896
13_PNG,Papua New Guinea,2026,Labour efficiency,2.971460478029782
13_PNG,Papua New Guinea,2027,Labour efficiency,3.134475031647858
13_PNG,Papua New Guinea,2028,Labour efficiency,3.329941139130982
13_PNG,Papua New Guinea,2029,Labour efficiency,3.5375965283243898
13_PNG,Papua New Guinea,2030,Labour efficiency,3.7582013237863774
13_PNG,Papua New Guinea,2031,Labour efficiency,3.992563051501992
13_PNG,Papua New Guinea,2032,Labour efficiency,4.241539594839701
13_PNG,Papua New Guinea,2033,Labour efficiency,4.50604233484175
13_PNG,Papua New Guinea,2034,Labour efficiency,4.787039486343271
13_PNG,Papua New Guinea,2035,Labour efficiency,5.085559642132043
13_PNG,Papua New Guinea,2036,Labour efficiency,5.402695538122328
13_PNG,Papua New Guinea,2037,Labour efficiency,5.7396080533252425
13_PNG,Papua New Guinea,2038,Labour efficiency,6.097530459257592
13_PNG,Papua New Guinea,2039,Labour efficiency,6.477772934344173
13_PNG,Papua New Guinea,2040,Labour efficiency,6.881727359838553
13_PNG,Papua New Guinea,2041,Labour efficiency,7.310872414817853
13_PNG,Papua New Guinea,2042,Labour efficiency,7.766778988901784
13_PNG,Papua New Guinea,2043,Labour efficiency,8.251115932509284
13_PNG,Papua New Guinea,2044,Labour efficiency,8.7656561657016
13_PNG,Papua New Guinea,2045,Labour efficiency,9.312283167973295
13_PNG,Papua New Guinea,2046,Labour efficiency,9.892997872747134
13_PNG,Papua New Guinea,2047,Labour efficiency,10.509925991810219
13_PNG,Papua New Guinea,2048,Labour efficiency,11.165325796502508
13_PNG,Papua New Guinea,2049,Labour efficiency,11.861596384140881
13_PNG,Papua New Guinea,2050,Labour efficiency,12.601286459938045
13_PNG,Papua New Guinea,2051,Labour efficiency,13.387103666562586
13_PNG,Papua New Guinea,2052,Labour efficiency,14.221924495491118
13_PNG,Papua New Guinea,2053,Labour efficiency,15.108804816433121
13_PNG,Papua New Guinea,2054,Labour efficiency,16.050991063371537
13_PNG,Papua New Guinea,2055,Labour efficiency,17.051932118165723
13_PNG,Papua New Guinea,2056,Labour efficiency,18.115291935216828
13_PNG,Papua New Guinea,2057,Labour efficiency,19.244962953408265
13_PNG,Papua New Guinea,2058,Labour efficiency,20.445080344415853
13_PNG,Papua New Guinea,2059,Labour efficiency,21.720037149543682
13_PNG,Papua New Guinea,2060,Labour efficiency,23.074500360494255
13_PNG,Papua New Guinea,2061,Labour efficiency,24.513428002936703
13_PNG,Papua New Guinea,2062,Labour efficiency,26.042087285407632
13_PNG,Papua New Guinea,2063,Labour efficiency,27.666073879978875
13_PNG,Papua New Guinea,2064,Labour efficiency,29.391332405269164
13_PNG,Papua New Guinea,2065,Labour efficiency,31.22417818677801
13_PNG,Papua New Guinea,2066,Labour efficiency,33.17132037419571
13_PNG,Papua New Guinea,2067,Labour efficiency,35.23988650031061
13_PNG,Papua New Guinea,2068,Labour efficiency,37.437448571411736
13_PNG,Papua New Guinea,2069,Labour efficiency,39.77205078469095
13_PNG,Papua New Guinea,2070,Labour efficiency,42.2522389741045
13_PNG,Papua New Guinea,2071,Labour efficiency,44.88709189248079
13_PNG,Papua New Guinea,2072,Labour efficiency,47.6862544443828
13_PNG,Papua New Guinea,2073,Labour efficiency,50.65997299137441
13_PNG,Papua New Guinea,2074,Labour efficiency,53.819132858925926
13_PNG,Papua New Guinea,2075,Labour efficiency,57.175298182253094
13_PNG,Papua New Guinea,2076,Labour efficiency,60.740754236945804
13_PNG,Papua New Guinea,2077,Labour efficiency,64.52855240933805
13_PNG,Papua New Guinea,2078,Labour efficiency,68.55255797123372
13_PNG,Papua New Guinea,2079,Labour efficiency,72.82750083386799
13_PNG,Papua New Guinea,2080,Labour efficiency,77.36902946688963
13_PNG,Papua New Guinea,2081,Labour efficiency,82.19376817973546
13_PNG,Papua New Guinea,2082,Labour efficiency,87.31937797507554
13_PNG,Papua New Guinea,2083,Labour efficiency,92.76462119708414
13_PNG,Papua New Guinea,2084,Labour efficiency,98.5494302111818
13_PNG,Papua New Guinea,2085,Labour efficiency,104.69498036665155
13_PNG,Papua New Guinea,2086,Labour efficiency,111.22376750920952
13_PNG,Papua New Guinea,2087,Labour efficiency,118.15969032726552
13_PNG,Papua New Guinea,2088,Labour efficiency,125.52813783330286
13_PNG,Papua New Guinea,2089,Labour efficiency,133.35608230060382
13_PNG,Papua New Guinea,2090,Labour efficiency,141.67217799551656
13_PNG,Papua New Guinea,2091,Labour efficiency,150.50686606667395
13_PNG,Papua New Guinea,2092,Labour efficiency,159.89248597511218
13_PNG,Papua New Guinea,2093,Labour efficiency,169.8633938731804
13_PNG,Papua New Guinea,2094,Labour efficiency,180.4560883655682
13_PNG,Papua New Guinea,2095,Labour efficiency,191.7093441128008
13_PNG,Papua New Guinea,2096,Labour efficiency,203.66435376625842
13_PNG,Papua New Guinea,2097,Labour efficiency,216.36487875427463
13_PNG,Papua New Guinea,2098,Labour efficiency,229.8574094712676
13_PNG,Papua New Guinea,2099,Labour efficiency,244.19133545627795
13_PNG,Papua New Guinea,2100,Labour efficiency,259.41912618385356
13_PNG,Papua New Guinea,1990,Capital stock,24661.2513448114
13_PNG,Papua New Guinea,1991,Capital stock,27015.635784805
13_PNG,Papua New Guinea,1992,Capital stock,30757.054220591
13_PNG,Papua New Guinea,1993,Capital stock,36355.5411804592
13_PNG,Papua New Guinea,1994,Capital stock,38515.827086638
13_PNG,Papua New Guinea,1995,Capital stock,37240.0100428558
13_PNG,Papua New Guinea,1996,Capital stock,40120.0391347016
13_PNG,Papua New Guinea,1997,Capital stock,38553.5964765852
13_PNG,Papua New Guinea,1998,Capital stock,37100.4677758356
13_PNG,Papua New Guinea,1999,Capital stock,37788.8869874756
13_PNG,Papua New Guinea,2000,Capital stock,36846.1139663758
13_PNG,Papua New Guinea,2001,Capital stock,36801.4238285412
13_PNG,Papua New Guinea,2002,Capital stock,36742.9461698956
13_PNG,Papua New Guinea,2003,Capital stock,37538.101187348
13_PNG,Papua New Guinea,2004,Capital stock,38559.5788904836
13_PNG,Papua New Guinea,2005,Capital stock,41006.10547989
13_PNG,Papua New Guinea,2006,Capital stock,43224.5128602786
13_PNG,Papua New Guinea,2007,Capital stock,46602.5903334602
13_PNG,Papua New Guinea,2008,Capital stock,46464.4332980332
13_PNG,Papua New Guinea,2009,Capital stock,49624.2106020894
13_PNG,Papua New Guinea,2010,Capital stock,54650.3759815262
13_PNG,Papua New Guinea,2011,Capital stock,55255.65273740181
13_PNG,Papua New Guinea,2012,Capital stock,57828.9745694096
13_PNG,Papua New Guinea,2013,Capital stock,60040.901808726
13_PNG,Papua New Guinea,2014,Capital stock,68172.7038288728
13_PNG,Papua New Guinea,2015,Capital stock,72657.34720178861
13_PNG,Papua New Guinea,2016,Capital stock,76645.92542730161
13_PNG,Papua New Guinea,2017,Capital stock,79355.06059863139
13_PNG,Papua New Guinea,2018,Capital stock,79133.4597786784
13_PNG,Papua New Guinea,2019,Capital stock,82679.0459733528
13_PNG,Papua New Guinea,2020,Capital stock,80060.2433772316
13_PNG,Papua New Guinea,2021,Capital stock,79651.445681325
13_PNG,Papua New Guinea,2022,Capital stock,84197.1693378396
13_PNG,Papua New Guinea,2023,Capital stock,87405.4713926728
13_PNG,Papua New Guinea,2024,Capital stock,90803.7552554588
13_PNG,Papua New Guinea,2025,Capital stock,95923.1988088378
