economy_code,economy,year,variable,value
14_PE,Peru,1990,Population,21771.879
14_PE,Peru,1991,Population,22257.664
14_PE,Peru,1992,Population,22709.886
14_PE,Peru,1993,Population,23182.795
14_PE,Peru,1994,Population,23644.771
14_PE,Peru,1995,Population,24118.215
14_PE,Peru,1996,Population,24579.623
14_PE,Peru,1997,Population,25042.719
14_PE,Peru,1998,Population,25505.576
14_PE,Peru,1999,Population,25970.615
14_PE,Peru,2000,Population,26402.394
14_PE,Peru,2001,Population,26794.268
14_PE,Peru,2002,Population,27134.933
14_PE,Peru,2003,Population,27441.502
14_PE,Peru,2004,Population,27719.479
14_PE,Peru,2005,Population,27984.901
14_PE,Peru,2006,Population,28217.46
14_PE,Peru,2007,Population,28431.522
14_PE,Peru,2008,Population,28629.876
14_PE,Peru,2009,Population,28808.206
14_PE,Peru,2010,Population,28985.416
14_PE,Peru,2011,Population,29186.623
14_PE,Peru,2012,Population,29421.548
14_PE,Peru,2013,Population,29679.184
14_PE,Peru,2014,Population,29956.654
14_PE,Peru,2015,Population,30274.998
14_PE,Peru,2016,Population,30640.202
14_PE,Peru,2017,Population,31092.785
14_PE,Peru,2018,Population,31556.488
14_PE,Peru,2019,Population,32238.679
14_PE,Peru,2020,Population,32659.927
14_PE,Peru,2021,Population,33017.232
14_PE,Peru,2022,Population,33294.532
14_PE,Peru,2023,Population,33656.344
14_PE,Peru,2024,Population,34034.89
14_PE,Peru,2025,Population,34332.836
14_PE,Peru,2026,Population,34616.336
14_PE,Peru,2027,Population,34887.122
14_PE,Peru,2028,Population,35146.313
14_PE,Peru,2029,Population,35394.94
14_PE,Peru,2030,Population,35592.146
14_PE,Peru,2031,Population,35780.819
14_PE,Peru,2032,Population,35960.931
14_PE,Peru,2033,Population,36133.709
14_PE,Peru,2034,Population,36299.997
14_PE,Peru,2035,Population,36431.664
14_PE,Peru,2036,Population,36555.39
14_PE,Peru,2037,Population,36671.984
14_PE,Peru,2038,Population,36780.43
14_PE,Peru,2039,Population,36881.082
14_PE,Peru,2040,Population,36974.305
14_PE,Peru,2041,Population,37059.617
14_PE,Peru,2042,Population,37136.987
14_PE,Peru,2043,Population,37205.618
14_PE,Peru,2044,Population,37264.912
14_PE,Peru,2045,Population,37316.124
14_PE,Peru,2046,Population,37357.179
14_PE,Peru,2047,Population,37388.702
14_PE,Peru,2048,Population,37409.722
14_PE,Peru,2049,Population,37420.068
14_PE,Peru,2050,Population,37420.713
14_PE,Peru,2051,Population,37411.663
14_PE,Peru,2052,Population,37391.875
14_PE,Peru,2053,Population,37361.524
14_PE,Peru,2054,Population,37321.135
14_PE,Peru,2055,Population,37269.18
14_PE,Peru,2056,Population,37206.124
14_PE,Peru,2057,Population,37131.054
14_PE,Peru,2058,Population,37044.806
14_PE,Peru,2059,Population,36946.268
14_PE,Peru,2060,Population,36836.219
14_PE,Peru,2061,Population,36715.02
14_PE,Peru,2062,Population,36582.505
14_PE,Peru,2063,Population,36438.497
14_PE,Peru,2064,Population,36283.739
14_PE,Peru,2065,Population,36117.872
14_PE,Peru,2066,Population,35942.323
14_PE,Peru,2067,Population,35756.984
14_PE,Peru,2068,Population,35562.376
14_PE,Peru,2069,Population,35358.437
14_PE,Peru,2070,Population,35145.296
14_PE,Peru,2071,Population,34923.561
14_PE,Peru,2072,Population,34694.086
14_PE,Peru,2073,Population,34456.815
14_PE,Peru,2074,Population,34212.115
14_PE,Peru,2075,Population,33959.586
14_PE,Peru,2076,Population,33700.138
14_PE,Peru,2077,Population,33433.744
14_PE,Peru,2078,Population,33160.902
14_PE,Peru,2079,Population,32881.554
14_PE,Peru,2080,Population,32596.043
14_PE,Peru,2081,Population,32303.738
14_PE,Peru,2082,Population,32005.774
14_PE,Peru,2083,Population,31701.937
14_PE,Peru,2084,Population,31393.493
14_PE,Peru,2085,Population,31079.06
14_PE,Peru,2086,Population,30759.556
14_PE,Peru,2087,Population,30435.408
14_PE,Peru,2088,Population,30106.448
14_PE,Peru,2089,Population,29773.306
14_PE,Peru,2090,Population,29437.215
14_PE,Peru,2091,Population,29097.247
14_PE,Peru,2092,Population,28754.098
14_PE,Peru,2093,Population,28407.819
14_PE,Peru,2094,Population,28057.84
14_PE,Peru,2095,Population,27706.923
14_PE,Peru,2096,Population,27352.947
14_PE,Peru,2097,Population,26997.04
14_PE,Peru,2098,Population,26639.451
14_PE,Peru,2099,Population,26281.052
14_PE,Peru,2100,Population,25921.232
14_PE,Peru,1990,Labour efficiency,2.6777021172958455
14_PE,Peru,1991,Labour efficiency,2.691515193133131
14_PE,Peru,1992,Labour efficiency,2.582433223316061
14_PE,Peru,1993,Labour efficiency,2.7057426354395053
14_PE,Peru,1994,Labour efficiency,3.113887002156797
14_PE,Peru,1995,Labour efficiency,3.3033317581455983
14_PE,Peru,1996,Labour efficiency,3.2773249205439665
14_PE,Peru,1997,Labour efficiency,3.4288954345449296
14_PE,Peru,1998,Labour efficiency,3.2261364386454874
14_PE,Peru,1999,Labour efficiency,3.1628722440349613
14_PE,Peru,2000,Labour efficiency,3.1812682154985774
14_PE,Peru,2001,Labour efficiency,3.1134938257698934
14_PE,Peru,2002,Labour efficiency,3.302541870278566
14_PE,Peru,2003,Labour efficiency,3.429728712501769
14_PE,Peru,2004,Labour efficiency,3.602415623995589
14_PE,Peru,2005,Labour efficiency,3.8514956695161544
14_PE,Peru,2006,Labour efficiency,4.174898634856363
14_PE,Peru,2007,Labour efficiency,4.558714285684687
14_PE,Peru,2008,Labour efficiency,4.972575225688098
14_PE,Peru,2009,Labour efficiency,4.822862829361861
14_PE,Peru,2010,Labour efficiency,5.204048660032033
14_PE,Peru,2011,Labour efficiency,5.438573312942715
14_PE,Peru,2012,Labour efficiency,5.64058965786023
14_PE,Peru,2013,Labour efficiency,5.836622607365186
14_PE,Peru,2014,Labour efficiency,5.751637853066825
14_PE,Peru,2015,Labour efficiency,5.793418348683389
14_PE,Peru,2016,Labour efficiency,5.92676982641852
14_PE,Peru,2017,Labour efficiency,5.917890113994369
14_PE,Peru,2018,Labour efficiency,6.04406647072818
14_PE,Peru,2019,Labour efficiency,5.966423166004272
14_PE,Peru,2020,Labour efficiency,4.768830368350577
14_PE,Peru,2021,Labour efficiency,5.637187178300228
14_PE,Peru,2022,Labour efficiency,5.6828382013273
14_PE,Peru,2023,Labour efficiency,5.449035158007603
14_PE,Peru,2024,Labour efficiency,5.57784750294575
14_PE,Peru,2025,Labour efficiency,5.719133069323583
14_PE,Peru,2026,Labour efficiency,5.7081419707336005
14_PE,Peru,2027,Labour efficiency,5.706080277061028
14_PE,Peru,2028,Labour efficiency,5.863920720663446
14_PE,Peru,2029,Labour efficiency,5.9002806201029845
14_PE,Peru,2030,Labour efficiency,5.9352665087424255
14_PE,Peru,2031,Labour efficiency,5.970459847244458
14_PE,Peru,2032,Labour efficiency,6.030904986154429
14_PE,Peru,2033,Labour efficiency,6.078861456796262
14_PE,Peru,2034,Labour efficiency,6.135773586953227
14_PE,Peru,2035,Labour efficiency,6.201741560787388
14_PE,Peru,2036,Labour efficiency,6.253436765553279
14_PE,Peru,2037,Labour efficiency,6.307470163113304
14_PE,Peru,2038,Labour efficiency,6.3644132908075575
14_PE,Peru,2039,Labour efficiency,6.424687527016848
14_PE,Peru,2040,Labour efficiency,6.484932777880719
14_PE,Peru,2041,Labour efficiency,6.547063439811998
14_PE,Peru,2042,Labour efficiency,6.609993696248562
14_PE,Peru,2043,Labour efficiency,6.672452930197271
14_PE,Peru,2044,Labour efficiency,6.736563863352326
14_PE,Peru,2045,Labour efficiency,6.802222083397138
14_PE,Peru,2046,Labour efficiency,6.86921859688321
14_PE,Peru,2047,Labour efficiency,6.937246598323318
14_PE,Peru,2048,Labour efficiency,7.0064697464797385
14_PE,Peru,2049,Labour efficiency,7.076781707723777
14_PE,Peru,2050,Labour efficiency,7.1482272218423395
14_PE,Peru,2051,Labour efficiency,7.221054275015759
14_PE,Peru,2052,Labour efficiency,7.2952214373423665
14_PE,Peru,2053,Labour efficiency,7.370696900413591
14_PE,Peru,2054,Labour efficiency,7.447476192137017
14_PE,Peru,2055,Labour efficiency,7.525601626755982
14_PE,Peru,2056,Labour efficiency,7.605096747764379
14_PE,Peru,2057,Labour efficiency,7.686005240858369
14_PE,Peru,2058,Labour efficiency,7.768370663177171
14_PE,Peru,2059,Labour efficiency,7.852204868229962
14_PE,Peru,2060,Labour efficiency,7.937527966545126
14_PE,Peru,2061,Labour efficiency,8.024368131669634
14_PE,Peru,2062,Labour efficiency,8.112758619491355
14_PE,Peru,2063,Labour efficiency,8.202731288326262
14_PE,Peru,2064,Labour efficiency,8.294319299773406
14_PE,Peru,2065,Labour efficiency,8.387554185133698
14_PE,Peru,2066,Labour efficiency,8.482465606396948
14_PE,Peru,2067,Labour efficiency,8.579086004714243
14_PE,Peru,2068,Labour efficiency,8.677449750186328
14_PE,Peru,2069,Labour efficiency,8.777592186705359
14_PE,Peru,2070,Labour efficiency,8.879548990613005
14_PE,Peru,2071,Labour efficiency,8.983356440466533
14_PE,Peru,2072,Labour efficiency,9.089051307166072
14_PE,Peru,2073,Labour efficiency,9.196671185783893
14_PE,Peru,2074,Labour efficiency,9.306254917678977
14_PE,Peru,2075,Labour efficiency,9.4178423513081
14_PE,Peru,2076,Labour efficiency,9.531474198150525
14_PE,Peru,2077,Labour efficiency,9.647192015462759
14_PE,Peru,2078,Labour efficiency,9.76503828692721
14_PE,Peru,2079,Labour efficiency,9.885056473757137
14_PE,Peru,2080,Labour efficiency,10.006549756203354
14_PE,Peru,2081,Labour efficiency,10.129536264077139
14_PE,Peru,2082,Labour efficiency,10.254034350016042
14_PE,Peru,2083,Labour efficiency,10.380062592222552
14_PE,Peru,2084,Labour efficiency,10.507639797236433
14_PE,Peru,2085,Labour efficiency,10.636785002741115
14_PE,Peru,2086,Labour efficiency,10.767517480404598
14_PE,Peru,2087,Labour efficiency,10.899856738755254
14_PE,Peru,2088,Labour efficiency,11.033822526092994
14_PE,Peru,2089,Labour efficiency,11.169434833436194
14_PE,Peru,2090,Labour efficiency,11.306713897504858
14_PE,Peru,2091,Labour efficiency,11.445680203740437
14_PE,Peru,2092,Labour efficiency,11.58635448936276
14_PE,Peru,2093,Labour efficiency,11.728757746464549
14_PE,Peru,2094,Labour efficiency,11.872911225143955
14_PE,Peru,2095,Labour efficiency,12.0188364366756
14_PE,Peru,2096,Labour efficiency,12.166555156720598
14_PE,Peru,2097,Labour efficiency,12.316089428576014
14_PE,Peru,2098,Labour efficiency,12.467461566464278
