economy_code,economy,year,variable,value
15_PHL,Philippines,1990,Population,62011.501
15_PHL,Philippines,1991,Population,63697.832
15_PHL,Philippines,1992,Population,65066.665
15_PHL,Philippines,1993,Population,66785.586
15_PHL,Philippines,1994,Population,68275.657
15_PHL,Philippines,1995,Population,69762.925
15_PHL,Philippines,1996,Population,71329.566
15_PHL,Philippines,1997,Population,73050.919
15_PHL,Philippines,1998,Population,74766.701
15_PHL,Philippines,1999,Population,76815.347
15_PHL,Philippines,2000,Population,78691.166
15_PHL,Philippines,2001,Population,80559.628
15_PHL,Philippines,2002,Population,82243.348
15_PHL,Philippines,2003,Population,83894.429
15_PHL,Philippines,2004,Population,85569.241
15_PHL,Philippines,2005,Population,87219.768
15_PHL,Philippines,2006,Population,88812.155
15_PHL,Philippines,2007,Population,90205.817
15_PHL,Philippines,2008,Population,91944.551
15_PHL,Philippines,2009,Population,93453.638
15_PHL,Philippines,2010,Population,95314.862
15_PHL,Philippines,2011,Population,97359.388
15_PHL,Philippines,2012,Population,99137.841
15_PHL,Philippines,2013,Population,101213.184
15_PHL,Philippines,2014,Population,102939.488
15_PHL,Philippines,2015,Population,104594.772
15_PHL,Philippines,2016,Population,106031.211
15_PHL,Philippines,2017,Population,107440.227
15_PHL,Philippines,2018,Population,108799.16
15_PHL,Philippines,2019,Population,110131.413
15_PHL,Philippines,2020,Population,111477.954
15_PHL,Philippines,2021,Population,112684.574
15_PHL,Philippines,2022,Population,113517.326
15_PHL,Philippines,2023,Population,114411.351
15_PHL,Philippines,2024,Population,115371.047
15_PHL,Philippines,2025,Population,116077.497
15_PHL,Philippines,2026,Population,116777.969
15_PHL,Philippines,2027,Population,117468.463
15_PHL,Philippines,2028,Population,118153.076
15_PHL,Philippines,2029,Population,118829.996
15_PHL,Philippines,2030,Population,119339.587
15_PHL,Philippines,2031,Population,119836.946
15_PHL,Philippines,2032,Population,120312.466
15_PHL,Philippines,2033,Population,120776.279
15_PHL,Philippines,2034,Population,121226.577
15_PHL,Philippines,2035,Population,121553.895
15_PHL,Philippines,2036,Population,121859.153
15_PHL,Philippines,2037,Population,122144.499
15_PHL,Philippines,2038,Population,122402.912
15_PHL,Philippines,2039,Population,122632.204
15_PHL,Philippines,2040,Population,122824.183
15_PHL,Philippines,2041,Population,122986.792
15_PHL,Philippines,2042,Population,123114.989
15_PHL,Philippines,2043,Population,123208.654
15_PHL,Philippines,2044,Population,123266.033
15_PHL,Philippines,2045,Population,123286.253
15_PHL,Philippines,2046,Population,123266.551
15_PHL,Philippines,2047,Population,123204.24
15_PHL,Philippines,2048,Population,123092.688
15_PHL,Philippines,2049,Population,122932.563
15_PHL,Philippines,2050,Population,122730.841
15_PHL,Philippines,2051,Population,122477.461
15_PHL,Philippines,2052,Population,122179.63
15_PHL,Philippines,2053,Population,121824.345
15_PHL,Philippines,2054,Population,121426.076
15_PHL,Philippines,2055,Population,120984.731
15_PHL,Philippines,2056,Population,120495.586
15_PHL,Philippines,2057,Population,119957.959
15_PHL,Philippines,2058,Population,119388.553
15_PHL,Philippines,2059,Population,118782.196
15_PHL,Philippines,2060,Population,118129.431
15_PHL,Philippines,2061,Population,117440.407
15_PHL,Philippines,2062,Population,116716.305
15_PHL,Philippines,2063,Population,115956.311
15_PHL,Philippines,2064,Population,115168.007
15_PHL,Philippines,2065,Population,114348.301
15_PHL,Philippines,2066,Population,113494.117
15_PHL,Philippines,2067,Population,112621.877
15_PHL,Philippines,2068,Population,111715.824
15_PHL,Philippines,2069,Population,110787.771
15_PHL,Philippines,2070,Population,109832.977
15_PHL,Philippines,2071,Population,108851.561
15_PHL,Philippines,2072,Population,107848.873
15_PHL,Philippines,2073,Population,106817.156
15_PHL,Philippines,2074,Population,105763.154
15_PHL,Philippines,2075,Population,104681.387
15_PHL,Philippines,2076,Population,103581.206
15_PHL,Philippines,2077,Population,102456.481
15_PHL,Philippines,2078,Population,101299.409
15_PHL,Philippines,2079,Population,100126.527
15_PHL,Philippines,2080,Population,98937.861
15_PHL,Philippines,2081,Population,97722.117
15_PHL,Philippines,2082,Population,96492.417
15_PHL,Philippines,2083,Population,95241.085
15_PHL,Philippines,2084,Population,93974.926
15_PHL,Philippines,2085,Population,92688.355
15_PHL,Philippines,2086,Population,91383.029
15_PHL,Philippines,2087,Population,90065.759
15_PHL,Philippines,2088,Population,88738.692
