economy_code,economy,year,variable,value
18_CT,Chinese Taipei,1990,Population,20508.591
18_CT,Chinese Taipei,1991,Population,20681.221
18_CT,Chinese Taipei,1992,Population,20882.279
18_CT,Chinese Taipei,1993,Population,21081.897
18_CT,Chinese Taipei,1994,Population,21267.467
18_CT,Chinese Taipei,1995,Population,21446.813
18_CT,Chinese Taipei,1996,Population,21622.177
18_CT,Chinese Taipei,1997,Population,21796.376
18_CT,Chinese Taipei,1998,Population,21974.281
18_CT,Chinese Taipei,1999,Population,22124.171
18_CT,Chinese Taipei,2000,Population,22283.391
18_CT,Chinese Taipei,2001,Population,22382.348
18_CT,Chinese Taipei,2002,Population,22510.167
18_CT,Chinese Taipei,2003,Population,22623.636
18_CT,Chinese Taipei,2004,Population,22704.613
18_CT,Chinese Taipei,2005,Population,22786.249
18_CT,Chinese Taipei,2006,Population,22863.614
18_CT,Chinese Taipei,2007,Population,22965.654
18_CT,Chinese Taipei,2008,Population,23048.194
18_CT,Chinese Taipei,2009,Population,23124.284
18_CT,Chinese Taipei,2010,Population,23204.438
18_CT,Chinese Taipei,2011,Population,23243.66
18_CT,Chinese Taipei,2012,Population,23302.493
18_CT,Chinese Taipei,2013,Population,23389.429
18_CT,Chinese Taipei,2014,Population,23444.32
18_CT,Chinese Taipei,2015,Population,23501.311
18_CT,Chinese Taipei,2016,Population,23557.197
18_CT,Chinese Taipei,2017,Population,23615.088
18_CT,Chinese Taipei,2018,Population,23650.808
18_CT,Chinese Taipei,2019,Population,23667.802
18_CT,Chinese Taipei,2020,Population,23680.473
18_CT,Chinese Taipei,2021,Population,23646.445
18_CT,Chinese Taipei,2022,Population,23470.22
18_CT,Chinese Taipei,2023,Population,23370.002
18_CT,Chinese Taipei,2024,Population,23264.288
18_CT,Chinese Taipei,2025,Population,23126.466
18_CT,Chinese Taipei,2026,Population,22988.486
18_CT,Chinese Taipei,2027,Population,22851.701
18_CT,Chinese Taipei,2028,Population,22712.429
18_CT,Chinese Taipei,2029,Population,22574.034
18_CT,Chinese Taipei,2030,Population,22414.536
18_CT,Chinese Taipei,2031,Population,22252.284
18_CT,Chinese Taipei,2032,Population,22086.331
18_CT,Chinese Taipei,2033,Population,21918.537
18_CT,Chinese Taipei,2034,Population,21748.149
18_CT,Chinese Taipei,2035,Population,21559.881
18_CT,Chinese Taipei,2036,Population,21369.175
18_CT,Chinese Taipei,2037,Population,21175.01
18_CT,Chinese Taipei,2038,Population,20975.061
18_CT,Chinese Taipei,2039,Population,20772.706
18_CT,Chinese Taipei,2040,Population,20565.395
18_CT,Chinese Taipei,2041,Population,20353.847
18_CT,Chinese Taipei,2042,Population,20137.261
18_CT,Chinese Taipei,2043,Population,19915.724
18_CT,Chinese Taipei,2044,Population,19690.135
18_CT,Chinese Taipei,2045,Population,19461.533
18_CT,Chinese Taipei,2046,Population,19225.741
18_CT,Chinese Taipei,2047,Population,18989.856
18_CT,Chinese Taipei,2048,Population,18747.432
18_CT,Chinese Taipei,2049,Population,18503.777
18_CT,Chinese Taipei,2050,Population,18254.471
18_CT,Chinese Taipei,2051,Population,18003.912
18_CT,Chinese Taipei,2052,Population,17752.478
18_CT,Chinese Taipei,2053,Population,17499.306
18_CT,Chinese Taipei,2054,Population,17243.46
18_CT,Chinese Taipei,2055,Population,16984.507
18_CT,Chinese Taipei,2056,Population,16723.954
18_CT,Chinese Taipei,2057,Population,16464.852
18_CT,Chinese Taipei,2058,Population,16201.866
18_CT,Chinese Taipei,2059,Population,15938.053
18_CT,Chinese Taipei,2060,Population,15670.765
18_CT,Chinese Taipei,2061,Population,15401.155
18_CT,Chinese Taipei,2062,Population,15129.22
18_CT,Chinese Taipei,2063,Population,14856.646
18_CT,Chinese Taipei,2064,Population,14585.126
18_CT,Chinese Taipei,2065,Population,14312.356
18_CT,Chinese Taipei,2066,Population,14040.225
