economy_code,economy,year,variable,value
19_THA,Thailand,1990,Population,54281.477
19_THA,Thailand,1991,Population,55195.181
19_THA,Thailand,1992,Population,56079.687
19_THA,Thailand,1993,Population,56977.982
19_THA,Thailand,1994,Population,57838.415
19_THA,Thailand,1995,Population,58683.293
19_THA,Thailand,1996,Population,59513.172
19_THA,Thailand,1997,Population,60326.956
19_THA,Thailand,1998,Population,61122.213
19_THA,Thailand,1999,Population,61923.048
19_THA,Thailand,2000,Population,62675.039
19_THA,Thailand,2001,Population,63340.591
19_THA,Thailand,2002,Population,63961.692
19_THA,Thailand,2003,Population,64571.181
19_THA,Thailand,2004,Population,65165.152
19_THA,Thailand,2005,Population,65738.942
19_THA,Thailand,2006,Population,66295.897
19_THA,Thailand,2007,Population,66839.477
19_THA,Thailand,2008,Population,67365.312
19_THA,Thailand,2009,Population,67874.349
19_THA,Thailand,2010,Population,68367.811
19_THA,Thailand,2011,Population,68791.084
19_THA,Thailand,2012,Population,69223.332
19_THA,Thailand,2013,Population,69648.864
19_THA,Thailand,2014,Population,70041.365
19_THA,Thailand,2015,Population,70391.368
19_THA,Thailand,2016,Population,70690.223
19_THA,Thailand,2017,Population,71029.46
19_THA,Thailand,2018,Population,71290.914
19_THA,Thailand,2019,Population,71461.243
19_THA,Thailand,2020,Population,71583.299
19_THA,Thailand,2021,Population,71699.668
19_THA,Thailand,2022,Population,71754.996
19_THA,Thailand,2023,Population,71715.662
19_THA,Thailand,2024,Population,71689.208
19_THA,Thailand,2025,Population,71526.82
19_THA,Thailand,2026,Population,71354.098
19_THA,Thailand,2027,Population,71169.715
19_THA,Thailand,2028,Population,70976.588
19_THA,Thailand,2029,Population,70774.719
19_THA,Thailand,2030,Population,70494.99
19_THA,Thailand,2031,Population,70205.638
19_THA,Thailand,2032,Population,69909.273
19_THA,Thailand,2033,Population,69601.513
19_THA,Thailand,2034,Population,69283.134
19_THA,Thailand,2035,Population,68910.627
19_THA,Thailand,2036,Population,68523.138
19_THA,Thailand,2037,Population,68128.065
19_THA,Thailand,2038,Population,67721.255
19_THA,Thailand,2039,Population,67301.954
19_THA,Thailand,2040,Population,66871.771
19_THA,Thailand,2041,Population,66429.554
19_THA,Thailand,2042,Population,65968.752
19_THA,Thailand,2043,Population,65497.777
19_THA,Thailand,2044,Population,65012.883
19_THA,Thailand,2045,Population,64517.2
19_THA,Thailand,2046,Population,64006.11
19_THA,Thailand,2047,Population,63480.47
19_THA,Thailand,2048,Population,62941.587
19_THA,Thailand,2049,Population,62388.485
19_THA,Thailand,2050,Population,61817.407
19_THA,Thailand,2051,Population,61234.963
19_THA,Thailand,2052,Population,60638.33
19_THA,Thailand,2053,Population,60026.084
19_THA,Thailand,2054,Population,59407.309
19_THA,Thailand,2055,Population,58774.447
19_THA,Thailand,2056,Population,58133.685
19_THA,Thailand,2057,Population,57482.372
19_THA,Thailand,2058,Population,56824.503
19_THA,Thailand,2059,Population,56161.615
19_THA,Thailand,2060,Population,55494.358
19_THA,Thailand,2061,Population,54820.626
19_THA,Thailand,2062,Population,54148.405
19_THA,Thailand,2063,Population,53471.427
19_THA,Thailand,2064,Population,52795.854
19_THA,Thailand,2065,Population,52119.747
19_THA,Thailand,2066,Population,51440.926
19_THA,Thailand,2067,Population,50769.04
19_THA,Thailand,2068,Population,50096.11
19_THA,Thailand,2069,Population,49422.862
