economy_code,economy,year,variable,value
20_USA,United States of America,1990,Population,251834.166
20_USA,United States of America,1991,Population,254912.608
20_USA,United States of America,1992,Population,258030.237
20_USA,United States of America,1993,Population,261181.802
20_USA,United States of America,1994,Population,264084.66
20_USA,United States of America,1995,Population,266864.96
20_USA,United States of America,1996,Population,269546.629
20_USA,United States of America,1997,Population,272174.763
20_USA,United States of America,1998,Population,274761.262
20_USA,United States of America,1999,Population,277477.403
20_USA,United States of America,2000,Population,280093.565
20_USA,United States of America,2001,Population,282874.696
20_USA,United States of America,2002,Population,285684.581
20_USA,United States of America,2003,Population,288484.095
20_USA,United States of America,2004,Population,291332.104
20_USA,United States of America,2005,Population,294240.403
20_USA,United States of America,2006,Population,297192.924
20_USA,United States of America,2007,Population,300267.495
20_USA,United States of America,2008,Population,303420.956
20_USA,United States of America,2009,Population,306519.709
20_USA,United States of America,2010,Population,309527.2
20_USA,United States of America,2011,Population,312598.38
20_USA,United States of America,2012,Population,315611.776
20_USA,United States of America,2013,Population,318618.933
20_USA,United States of America,2014,Population,321602.585
20_USA,United States of America,2015,Population,324628.169
20_USA,United States of America,2016,Population,327624.824
20_USA,United States of America,2017,Population,330734.029
20_USA,United States of America,2018,Population,333675.29
20_USA,United States of America,2019,Population,336437.705
20_USA,United States of America,2020,Population,339142.428
20_USA,United States of America,2021,Population,339729.889
20_USA,United States of America,2022,Population,340592.993
20_USA,United States of America,2023,Population,342475.098
20_USA,United States of America,2024,Population,344479.572
20_USA,United States of America,2025,Population,345812.738
20_USA,United States of America,2026,Population,347055.822
20_USA,United States of America,2027,Population,348208.426
20_USA,United States of America,2028,Population,349315.912
20_USA,United States of America,2029,Population,350431.931
20_USA,United States of America,2030,Population,351137.024
20_USA,United States of America,2031,Population,351815.072
20_USA,United States of America,2032,Population,352460.153
20_USA,United States of America,2033,Population,353078.989
20_USA,United States of America,2034,Population,353668.043
20_USA,United States of America,2035,Population,354011.113
20_USA,United States of America,2036,Population,354304.772
20_USA,United States of America,2037,Population,354561.216
20_USA,United States of America,2038,Population,354788.665
20_USA,United States of America,2039,Population,354989.994
20_USA,United States of America,2040,Population,355120.648
20_USA,United States of America,2041,Population,355210.031
20_USA,United States of America,2042,Population,355252.904
20_USA,United States of America,2043,Population,355291.927
20_USA,United States of America,2044,Population,355257.067
20_USA,United States of America,2045,Population,355164.017
20_USA,United States of America,2046,Population,355029.822
20_USA,United States of America,2047,Population,354834.971
20_USA,United States of America,2048,Population,354621.999
20_USA,United States of America,2049,Population,354342.518
