economy_code,economy,year,variable,value
21_VN,Viet Nam,1990,Population,64808.586
21_VN,Viet Nam,1991,Population,66200.519
21_VN,Viet Nam,1992,Population,67583.031
21_VN,Viet Nam,1993,Population,68937.644
21_VN,Viet Nam,1994,Population,70235.124
21_VN,Viet Nam,1995,Population,71473.658
21_VN,Viet Nam,1996,Population,72626.222
21_VN,Viet Nam,1997,Population,73686.671
21_VN,Viet Nam,1998,Population,74767.106
21_VN,Viet Nam,1999,Population,75832.215
21_VN,Viet Nam,2000,Population,76742.689
21_VN,Viet Nam,2001,Population,77565.332
21_VN,Viet Nam,2002,Population,78373.39
21_VN,Viet Nam,2003,Population,79171.058
21_VN,Viet Nam,2004,Population,79956.496
21_VN,Viet Nam,2005,Population,80721.447
21_VN,Viet Nam,2006,Population,81455.179
21_VN,Viet Nam,2007,Population,82880.614
21_VN,Viet Nam,2008,Population,84386.137
21_VN,Viet Nam,2009,Population,85965.438
21_VN,Viet Nam,2010,Population,86954.597
21_VN,Viet Nam,2011,Population,87955.706
21_VN,Viet Nam,2012,Population,88980.922
21_VN,Viet Nam,2013,Population,90039.789
21_VN,Viet Nam,2014,Population,91106.419
21_VN,Viet Nam,2015,Population,92252.737
21_VN,Viet Nam,2016,Population,93393.771
21_VN,Viet Nam,2017,Population,94606.462
21_VN,Viet Nam,2018,Population,95747.492
21_VN,Viet Nam,2019,Population,96727.147
21_VN,Viet Nam,2020,Population,97620.404
21_VN,Viet Nam,2021,Population,98537.978
21_VN,Viet Nam,2022,Population,99332.219
21_VN,Viet Nam,2023,Population,100029.091
21_VN,Viet Nam,2024,Population,100675.292
21_VN,Viet Nam,2025,Population,101123.634
21_VN,Viet Nam,2026,Population,101546.386
21_VN,Viet Nam,2027,Population,101934.792
21_VN,Viet Nam,2028,Population,102302.328
21_VN,Viet Nam,2029,Population,102648.941
21_VN,Viet Nam,2030,Population,102867.619
21_VN,Viet Nam,2031,Population,103086.352
21_VN,Viet Nam,2032,Population,103280.382
21_VN,Viet Nam,2033,Population,103461.608
21_VN,Viet Nam,2034,Population,103621.337
21_VN,Viet Nam,2035,Population,103704.048
21_VN,Viet Nam,2036,Population,103770.328
21_VN,Viet Nam,2037,Population,103811.678
21_VN,Viet Nam,2038,Population,103843.754
21_VN,Viet Nam,2039,Population,103853.707
21_VN,Viet Nam,2040,Population,103843.484
21_VN,Viet Nam,2041,Population,103801.679
21_VN,Viet Nam,2042,Population,103741.026
21_VN,Viet Nam,2043,Population,103647.064
21_VN,Viet Nam,2044,Population,103515.462
21_VN,Viet Nam,2045,Population,103345.047
21_VN,Viet Nam,2046,Population,103144.387
21_VN,Viet Nam,2047,Population,102899.195
21_VN,Viet Nam,2048,Population,102616.754
21_VN,Viet Nam,2049,Population,102290.117
21_VN,Viet Nam,2050,Population,101922.878
21_VN,Viet Nam,2051,Population,101523.338
21_VN,Viet Nam,2052,Population,101074.702
21_VN,Viet Nam,2053,Population,100593.004
21_VN,Viet Nam,2054,Population,100081.054
21_VN,Viet Nam,2055,Population,99534.605
21_VN,Viet Nam,2056,Population,98958.582
21_VN,Viet Nam,2057,Population,98360.677
21_VN,Viet Nam,2058,Population,97730.715
21_VN,Viet Nam,2059,Population,97068.905
21_VN,Viet Nam,2060,Population,96386.075
21_VN,Viet Nam,2061,Population,95688.884
21_VN,Viet Nam,2062,Population,94967.602
21_VN,Viet Nam,2063,Population,94223.138
21_VN,Viet Nam,2064,Population,93462.482
21_VN,Viet Nam,2065,Population,92688.881
21_VN,Viet Nam,2066,Population,91896.815
21_VN,Viet Nam,2067,Population,91084.402
21_VN,Viet Nam,2068,Population,90261.53
21_VN,Viet Nam,2069,Population,89432.455
21_VN,Viet Nam,2070,Population,88593.006
21_VN,Viet Nam,2071,Population,87733.518
21_VN,Viet Nam,2072,Population,86867.027
21_VN,Viet Nam,2073,Population,85981.4
21_VN,Viet Nam,2074,Population,85086.335
21_VN,Viet Nam,2075,Population,84186.754
21_VN,Viet Nam,2076,Population,83278.395
21_VN,Viet Nam,2077,Population,82366.788
21_VN,Viet Nam,2078,Population,81438.86
21_VN,Viet Nam,2079,Population,80510.73
21_VN,Viet Nam,2080,Population,79571.347
21_VN,Viet Nam,2081,Population,78631.362
21_VN,Viet Nam,2082,Population,77686.769
21_VN,Viet Nam,2083,Population,76741.092
21_VN,Viet Nam,2084,Population,75800.195
21_VN,Viet Nam,2085,Population,74864.712
21_VN,Viet Nam,2086,Population,73929.712
21_VN,Viet Nam,2087,Population,72991.292
21_VN,Viet Nam,2088,Population,72050.896
21_VN,Viet Nam,2089,Population,71117.26
21_VN,Viet Nam,2090,Population,70179.71
21_VN,Viet Nam,2091,Population,69239.666
21_VN,Viet Nam,2092,Population,68303.977
21_VN,Viet Nam,2093,Population,67370.179
21_VN,Viet Nam,2094,Population,66433.771
21_VN,Viet Nam,2095,Population,65498.95
21_VN,Viet Nam,2096,Population,64560.332
21_VN,Viet Nam,2097,Population,63609.044
21_VN,Viet Nam,2098,Population,62658.746
21_VN,Viet Nam,2099,Population,61695.583
21_VN,Viet Nam,2100,Population,60730.425
21_VN,Viet Nam,1990,Labour efficiency,2.198865383970826
21_VN,Viet Nam,1991,Labour efficiency,2.2864485193769886
21_VN,Viet Nam,1992,Labour efficiency,2.417456439778074
21_VN,Viet Nam,1993,Labour efficiency,2.4855433921098418
21_VN,Viet Nam,1994,Labour efficiency,2.5574158520572894
21_VN,Viet Nam,1995,Labour efficiency,2.6627352610681903
21_VN,Viet Nam,1996,Labour efficiency,2.7710881957078413
21_VN,Viet Nam,1997,Labour efficiency,2.850570145060609
21_VN,Viet Nam,1998,Labour efficiency,2.832832774873485
21_VN,Viet Nam,1999,Labour efficiency,2.8068698009829345
21_VN,Viet Nam,2000,Labour efficiency,2.885372958647633
21_VN,Viet Nam,2001,Labour efficiency,2.9622876894546333
21_VN,Viet Nam,2002,Labour efficiency,3.049212470865904
21_VN,Viet Nam,2003,Labour efficiency,3.1629033770607253
21_VN,Viet Nam,2004,Labour efficiency,3.3129235275670315
21_VN,Viet Nam,2005,Labour efficiency,3.471680006647928
21_VN,Viet Nam,2006,Labour efficiency,3.717325199967523
21_VN,Viet Nam,2007,Labour efficiency,3.8787762272262287
21_VN,Viet Nam,2008,Labour efficiency,3.970275712081259
21_VN,Viet Nam,2009,Labour efficiency,4.042755305504496
21_VN,Viet Nam,2010,Labour efficiency,4.189753218826232
21_VN,Viet Nam,2011,Labour efficiency,4.2902387889680575
21_VN,Viet Nam,2012,Labour efficiency,4.358341215823176
21_VN,Viet Nam,2013,Labour efficiency,4.438347440055447
21_VN,Viet Nam,2014,Labour efficiency,4.577471553893715
21_VN,Viet Nam,2015,Labour efficiency,4.75300655709245
21_VN,Viet Nam,2016,Labour efficiency,4.909304902585506
21_VN,Viet Nam,2017,Labour efficiency,5.081796868713342
21_VN,Viet Nam,2018,Labour efficiency,5.3146226710335505
21_VN,Viet Nam,2019,Labour efficiency,5.5670420987073275
21_VN,Viet Nam,2020,Labour efficiency,5.458557403831117
21_VN,Viet Nam,2021,Labour efficiency,5.347255913224388
21_VN,Viet Nam,2022,Labour efficiency,5.758251231468897
21_VN,Viet Nam,2023,Labour efficiency,5.901721727068023
21_VN,Viet Nam,2024,Labour efficiency,6.276628653887175
21_VN,Viet Nam,2025,Labour efficiency,6.749881271863731
